teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev
SLN,NL,11,0,38,12,0,0,4,10,4,5,7,5,5,5,2,0.3157894736842105,0.4090909090909091,0.631578947368421,1.0406698564593302,1.0,
SLN,NL,6,0,36,10,2,0,0,6,5,8,10,4,3,3,0,0.2777777777777778,0.3809523809523809,0.3333333333333333,0.7142857142857142,1.0,1.0
SLN,NL,1,0,31,4,0,0,1,1,3,8,6,4,2,2,0,0.12903225806451613,0.2058823529411765,0.2258064516129032,0.4316888045540797,0.0,1.0
SLN,NL,5,0,32,7,3,0,2,5,4,10,5,4,4,4,0,0.21875,0.2972972972972973,0.5,0.7972972972972974,1.0,0.0
SLN,NL,7,0,35,8,1,0,2,7,3,9,4,3,1,1,0,0.22857142857142854,0.2894736842105263,0.42857142857142855,0.7180451127819549,1.0,1.0
SLN,NL,7,0,38,10,3,0,3,7,3,4,7,5,6,6,2,0.2631578947368421,0.3170731707317073,0.5789473684210527,0.89602053915276,0.0,1.0
SLN,NL,5,1,32,11,2,1,1,5,4,2,7,2,0,0,0,0.34375,0.4166666666666667,0.5625,0.9791666666666669,1.0,0.0
SLN,NL,2,1,29,5,0,0,0,1,2,7,6,4,0,0,2,0.1724137931034483,0.2258064516129032,0.1724137931034483,0.3982202447163515,1.0,1.0
SLN,NL,1,1,33,6,3,0,0,1,3,12,8,3,5,5,0,0.18181818181818185,0.25,0.2727272727272727,0.5227272727272727,0.0,1.0
SLN,NL,4,1,28,6,2,0,1,4,4,7,6,4,2,2,1,0.21428571428571427,0.3333333333333333,0.3928571428571429,0.7261904761904762,1.0,0.0
SLN,NL,1,1,69,15,3,0,0,1,11,19,22,10,2,2,0,0.21739130434782608,0.325,0.2608695652173913,0.5858695652173913,0.0,1.0
SLN,NL,5,1,33,10,3,0,2,5,5,5,10,1,2,2,1,0.30303030303030304,0.41025641025641024,0.5757575757575758,0.986013986013986,1.0,0.0
SLN,NL,4,0,36,11,2,0,1,3,4,5,11,4,2,2,0,0.3055555555555556,0.375,0.4444444444444444,0.8194444444444444,1.0,1.0
SLN,NL,7,0,35,9,0,1,3,7,2,12,3,4,9,9,0,0.2571428571428571,0.2972972972972973,0.5714285714285714,0.8687258687258688,0.0,1.0
SLN,NL,9,0,36,12,2,1,3,7,0,4,3,4,4,4,0,0.3333333333333333,0.3684210526315789,0.6944444444444444,1.0628654970760234,1.0,0.0
SLN,NL,1,0,34,8,2,0,0,1,3,12,9,3,2,2,2,0.2352941176470588,0.2972972972972973,0.29411764705882354,0.5914149443561209,0.0,1.0
SLN,NL,0,0,29,4,0,0,0,0,3,10,5,1,2,2,0,0.13793103448275862,0.21875,0.13793103448275862,0.3566810344827586,0.0,0.0
SLN,NL,2,0,33,9,1,0,1,2,2,7,8,3,0,0,0,0.2727272727272727,0.3055555555555556,0.3939393939393939,0.6994949494949495,1.0,0.0
SLN,NL,4,1,30,9,3,0,1,4,5,6,7,4,3,3,0,0.3,0.4,0.5,0.9,1.0,1.0
SLN,NL,5,1,30,6,1,0,1,5,3,7,5,6,2,2,2,0.2,0.29411764705882354,0.3333333333333333,0.6274509803921569,1.0,1.0
SLN,NL,6,1,29,9,3,0,0,4,9,5,9,3,0,0,0,0.3103448275862069,0.4736842105263158,0.4137931034482759,0.8874773139745916,1.0,1.0
SLN,NL,10,1,34,10,3,0,2,10,4,6,5,4,4,4,0,0.29411764705882354,0.38461538461538464,0.5588235294117647,0.9434389140271492,1.0,1.0
SLN,NL,2,1,36,12,3,0,0,2,2,5,9,3,3,3,0,0.3333333333333333,0.3684210526315789,0.4166666666666667,0.7850877192982456,0.0,1.0
SLN,NL,6,1,34,10,4,0,1,5,7,8,11,4,3,3,0,0.29411764705882354,0.4146341463414634,0.5,0.9146341463414632,1.0,0.0
SLN,NL,6,1,33,11,3,0,1,6,1,10,5,3,0,0,0,0.3333333333333333,0.35294117647058826,0.5151515151515151,0.8680926916221035,1.0,1.0
SLN,NL,6,0,37,14,5,0,1,6,2,6,8,4,3,3,0,0.3783783783783784,0.4,0.5945945945945946,0.9945945945945946,1.0,1.0
SLN,NL,1,0,38,9,3,0,0,1,3,11,10,3,2,2,1,0.2368421052631579,0.2926829268292683,0.3157894736842105,0.6084724005134787,0.0,1.0
SLN,NL,0,0,31,6,2,0,0,0,2,4,6,3,4,4,0,0.1935483870967742,0.24242424242424246,0.25806451612903225,0.5004887585532747,0.0,0.0
SLN,NL,2,0,33,7,0,0,0,2,3,10,9,5,5,5,2,0.21212121212121213,0.3157894736842105,0.21212121212121213,0.5279106858054227,0.0,0.0
SLN,NL,4,0,39,13,2,0,0,4,3,11,13,4,3,3,0,0.3333333333333333,0.3809523809523809,0.38461538461538464,0.7655677655677655,1.0,0.0
SLN,NL,0,0,29,4,2,0,0,0,4,8,7,4,2,2,0,0.13793103448275862,0.2647058823529412,0.20689655172413796,0.4716024340770792,0.0,1.0
SLN,NL,11,0,40,11,2,1,0,11,8,2,11,3,2,2,1,0.275,0.4081632653061225,0.375,0.7831632653061225,1.0,0.0
SLN,NL,3,1,35,11,1,0,0,3,3,4,8,3,2,2,3,0.3142857142857143,0.3684210526315789,0.3428571428571429,0.7112781954887217,0.0,1.0
SLN,NL,6,1,37,9,4,0,0,6,3,5,7,5,4,4,2,0.2432432432432433,0.3,0.35135135135135137,0.6513513513513514,0.0,0.0
SLN,NL,1,1,29,6,1,0,0,1,1,9,4,2,4,4,0,0.20689655172413796,0.25806451612903225,0.2413793103448276,0.4994438264738599,0.0,0.0
SLN,NL,4,0,34,9,2,0,2,4,3,7,6,5,3,3,1,0.2647058823529412,0.32432432432432434,0.5,0.8243243243243243,1.0,0.0
