Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20110401,BAL,AL,1,TBA,AL,1,4,1,54,STP01,34078,1030000,1,31,5,1,1,0,4,0,1,0,1,0,7,0,0,0,0,2,2,1,1,0,0,27,9,0,0,0,0,30,4,2,0,1,1,0,0,0,1,0,8,0,1,0,0,3,4,4,4,0,0,27,8,1,0,0,0,guthj001,pricd001,,guthj001,pricd001,,1,Apr 1,1,BAL,"L,1-4",9,5,4,4,0,1,7,0,0,4,33,120,78,0,0,0,0,31,1,1,0,0,1,0,0,4,John Hirschbeck,"D.Price (99-57-L), J.McGee (99), A.Russell (99), C.Ramos (99)"
20110402,BAL,AL,2,TBA,AL,2,3,1,54,STP01,22164,30,10,32,6,0,0,1,3,0,0,0,2,0,9,0,0,1,0,4,5,1,1,0,0,27,7,0,0,0,0,30,4,0,0,0,1,0,0,0,7,1,7,1,0,0,0,9,4,3,3,0,0,27,12,0,0,1,0,accaj001,shiej002,gregk001,tillc001,shiej002,,2,Apr 2,1,BAL,"L,1-3",9,6,3,3,0,2,9,1,0,3.5,34,127,86,2,2,0,0,32,0,0,0,0,0,0,1,4,Wally Bell,"J.Shields (99-67-L), J.McGee (0), K.Farnsworth (99), J.Peralta (99)"
20110403,BAL,AL,3,TBA,AL,3,5,1,54,STP01,17408,100000301,1000000,36,11,3,0,0,5,0,0,0,1,0,5,1,0,1,0,5,4,1,1,0,0,27,8,1,0,0,0,31,4,3,0,0,1,0,0,0,3,0,9,0,1,0,0,6,5,5,5,0,0,27,7,0,0,1,0,britz001,daviw001,,britz001,daviw001,,3,Apr 3,1,BAL,"L,1-5",9,11,5,5,0,1,5,0,0,4,37,138,93,2,0,1,0,36,3,0,0,0,0,0,1,5,Laz Diaz,"W.Davis (99-43-L), C.Ramos (1), J.Cruz (99), A.Russell (1), A.Sonnanstine (99)"
20110405,ANA,AL,5,TBA,AL,4,5,3,54,STP01,13173,310010000,1000020,34,9,0,1,1,5,0,0,0,3,1,6,4,0,1,0,5,4,3,3,1,0,27,5,0,0,0,0,32,5,1,0,2,3,0,0,0,5,0,7,1,0,0,0,7,4,5,5,0,0,27,9,0,0,1,0,weavj003,niemj001,waldj001,weavj003,niemj001,,4,Apr 5,1,LAA,"L,3-5",9,9,5,5,0,3,6,1,0,4.25,37,123,83,1,0,4,0,34,0,1,1,0,0,0,1,4,Todd Tichenor,"J.Niemann (99-37-L), J.Cruz (1), K.Farnsworth (2), J.Peralta (2)"
20110406,ANA,AL,6,TBA,AL,5,5,1,54,STP01,11836,100101011,10000,37,12,3,0,1,5,0,0,0,4,0,15,2,0,1,0,9,3,1,1,0,0,27,9,0,0,0,0,31,4,1,0,1,1,0,0,0,0,0,7,1,0,0,0,3,6,4,4,0,0,27,9,1,0,1,0,hared001,hellj001,,hared001,hellj001,,5,Apr 6,1,LAA,"L,1-5",9,12,5,4,1,4,15,1,0,4.2,41,164,102,3,1,2,0,37,3,0,0,0,0,1,1,6,Gerry Davis,"J.Hellickson (99-53-L), A.Russell (2), C.Ramos (2), J.Peralta (0), J.McGee (3), A.Sonnanstine (2)"
20110407,TBA,AL,6,CHA,AL,6,1,5,51,CHI12,38579,10,20100002x,32,6,1,0,0,1,0,0,0,1,0,14,3,0,1,0,5,3,5,5,0,0,24,8,0,0,1,0,34,12,2,0,0,5,1,0,2,1,0,3,4,0,1,0,9,2,1,1,1,0,27,7,0,0,1,0,jacke001,pricd001,,pricd001,jacke001,,6,Apr 7,@,CHW,"L,1-5",8,12,5,5,0,1,3,0,2,4.42,38,127,86,1,1,4,0,34,2,0,0,1,0,0,1,3,Doug Eddings,"D.Price (5-43-L), J.Cruz (1), J.McGee (0)"
20110408,TBA,AL,7,CHA,AL,7,9,7,54,CHI12,20199,102105,102101020,39,10,0,1,2,8,0,0,0,4,0,7,1,0,0,0,7,5,7,7,0,0,27,12,1,0,1,0,35,11,4,0,3,7,1,0,1,2,1,0,2,0,0,0,5,4,4,4,0,0,27,8,2,0,0,0,russa001,thorm001,farnk001,shiej002,dankj001,,7,Apr 8,@,CHW,"W,9-7",9,11,7,7,0,2,0,3,1,4.79,39,143,91,4,1,2,0,35,4,0,1,1,0,1,0,5,Dana DeMuth,"J.Shields (5-35), J.Peralta (1), C.Ramos (1), A.Russell (1-W), K.Farnsworth (2-Sv)"
20110409,TBA,AL,8,CHA,AL,8,2,4,51,CHI12,26378,10000001,00110020x,33,6,2,0,1,2,0,0,0,4,0,7,1,0,0,0,8,4,4,4,1,0,24,11,0,0,0,0,29,7,4,0,0,4,1,1,1,6,0,4,2,0,0,0,10,4,2,2,0,0,27,10,0,0,0,0,humbp001,daviw001,salec001,daviw001,humbp001,,8,Apr 9,@,CHW,"L,2-4",8,7,4,4,0,6,4,0,1,4.76,38,148,82,2,2,2,0,29,4,0,0,1,1,0,0,4,Kerwin Danley,"W.Davis (5-55-L), J.Cruz (1), J.McGee (1), A.Russell (0)"
20110410,TBA,AL,9,CHA,AL,9,1,6,51,CHI12,23436,1000,22101000x,31,4,2,0,0,0,0,0,0,1,0,8,1,0,0,0,4,2,4,4,0,0,24,10,1,0,0,0,31,8,1,0,3,6,0,0,0,2,0,3,0,2,0,0,3,2,0,0,0,0,27,8,1,0,0,0,floyg001,niemj001,,niemj001,floyg001,,9,Apr 10,@,CHW,"L,1-6",8,8,6,4,2,2,3,3,0,4.73,33,105,72,2,0,0,2,31,1,0,0,0,0,1,0,2,Paul Nauert,"J.Niemann (4-31-L), A.Sonnanstine (3)"
20110411,TBA,AL,10,BOS,AL,10,16,5,54,BOS07,37568,160113004,1100111,45,19,6,1,2,15,0,0,0,3,0,4,0,0,1,0,5,5,4,4,0,0,27,15,1,0,2,0,35,10,2,2,1,5,0,1,0,7,0,4,0,0,1,0,11,4,15,15,0,0,27,11,2,1,1,0,hellj001,matsd001,,hellj001,matsd001,,10,Apr 11,@,BOS,"W,16-5",9,10,5,4,1,7,4,1,0,4.66,43,165,91,4,1,0,0,35,2,2,0,0,1,1,1,5,Tim Tschida,"J.Hellickson (4-46-W), A.Russell (1), C.Ramos (2), J.Peralta (2), K.Farnsworth (2)"
20110412,TBA,AL,11,BOS,AL,11,3,2,54,BOS07,37015,30000,1001000,32,8,0,0,0,3,0,0,0,2,0,9,3,1,3,0,4,3,2,2,0,0,27,11,0,0,0,0,31,5,3,0,1,2,0,0,2,2,0,5,0,1,0,0,6,3,3,3,0,0,27,15,0,0,3,0,pricd001,lestj001,farnk001,pricd001,lestj001,,11,Apr 12,@,BOS,"W,3-2",9,5,2,2,0,2,5,1,2,4.41,35,130,82,2,0,0,1,31,3,0,0,0,0,0,0,3,Jeff Nelson,"D.Price (4-62-W), J.Peralta (0-H), K.Farnsworth (0-Sv)"
20110414,MIN,AL,12,TBA,AL,12,3,4,58,STP01,10042,20001,22,41,12,4,0,0,3,0,1,0,2,1,6,0,0,0,0,11,3,4,4,0,0,28,10,0,0,0,0,35,8,2,0,1,4,0,0,0,3,0,7,1,0,0,0,6,5,2,2,1,0,30,13,1,1,0,0,farnk001,cappm001,,pavac001,shiej002,,12,Apr 14,1,MIN,"W,4-3",10,12,3,2,1,2,6,0,0,4.16,44,170,109,1,0,0,0,41,4,0,1,0,1,0,0,5,Eric Cooper,"J.Shields (5-53), J.McGee (4), J.Cruz (4), C.Ramos (2), K.Farnsworth (1-W)"
20110415,MIN,AL,13,TBA,AL,13,2,5,51,STP01,15342,10001,00000320x,30,4,1,0,0,1,0,0,0,4,0,3,0,0,0,0,5,4,5,5,0,0,24,11,0,0,2,0,33,13,3,0,1,5,0,0,0,1,1,6,1,2,2,0,5,6,1,1,0,0,27,9,1,0,0,0,daviw001,blacn001,farnk001,blacn001,daviw001,,13,Apr 15,1,MIN,"W,5-2",9,4,2,1,1,4,3,0,0,3.91,34,137,80,4,1,0,0,30,1,0,0,0,0,0,0,6,Mark Carlson,"W.Davis (5-64-W), J.Peralta (2), C.Ramos (0), J.Cruz (0), J.McGee (0-H), K.Farnsworth (0-Sv)"
