Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20120406","NYA","AL",1,"TBA","AL",1,6,7,52,"STP01",34078,"024000000","401000002",37,9,1,0,1,5,0,0,1,7,0,6,0,0,1,0,12,4,7,7,0,0,25,8,0,0,1,0,34,12,0,1,2,7,1,0,0,7,3,12,0,0,1,0,10,7,6,6,1,0,27,12,1,0,1,0,"rodnf001","rivem002","","sabac001","shiej002",
"20120407","NYA","AL",2,"TBA","AL",2,6,8,51,"STP01",34078,"000200004","21100220x",32,9,1,1,1,6,0,1,0,7,0,6,0,0,2,0,7,3,6,6,0,0,24,11,1,0,2,0,32,10,4,0,1,8,0,0,0,6,0,5,1,0,2,0,6,6,6,6,1,0,27,14,1,0,3,0,"pricd001","kuroh001","rodnf001","kuroh001","pricd001",
"20120408","NYA","AL",3,"TBA","AL",3,0,3,51,"STP01",30413,"000000000","10100100x",30,3,3,0,0,0,0,0,0,4,0,4,1,0,0,0,7,5,3,3,0,0,24,3,0,0,0,0,30,7,2,1,2,3,1,0,0,3,1,11,0,0,0,0,7,2,0,0,0,0,27,12,0,0,0,0,"hellj001","hughp001","rodnf001","hughp001","hellj001",
"20120410","TBA","AL",4,"DET","AL",4,2,5,51,"DET05",22574,"001000100","00100013x",33,8,1,0,0,2,0,0,1,1,0,7,0,1,0,0,6,3,5,5,1,0,24,5,0,0,1,0,30,8,1,0,1,4,0,1,0,5,1,4,0,0,1,0,7,3,2,2,0,0,27,9,0,0,1,0,"cokep001","mcgej001","valvj001","moorm003","porcr001",
"20120411","TBA","AL",5,"DET","AL",5,4,2,54,"DET05",28180,"000000004","100010000",31,5,0,0,0,3,0,0,0,4,0,7,0,1,0,0,4,2,2,2,0,1,27,9,0,0,2,0,31,6,1,0,0,1,0,0,0,1,0,5,0,1,1,0,3,3,4,4,1,1,27,9,0,0,1,0,"shiej002","verlj001","rodnf001","shiej002","verlj001",
"20120412","TBA","AL",6,"DET","AL",6,2,7,51,"DET05",30288,"001000100","00003022x",33,7,2,0,1,2,0,0,2,5,1,9,0,0,0,0,11,5,7,7,1,0,24,8,0,0,0,0,33,10,0,2,0,6,0,0,0,2,0,8,2,0,0,0,4,6,2,2,0,0,27,7,0,0,1,0,"balec001","niemj001","","niemj001","smyld001",
"20120413","TBA","AL",7,"BOS","AL",7,2,12,51,"BOS07",37032,"010000001","00310008x",33,6,2,0,1,2,0,0,0,1,0,2,0,0,0,0,5,5,12,12,1,0,24,9,1,0,2,0,37,16,5,0,0,12,0,2,1,6,0,6,1,0,2,0,10,2,2,2,0,0,27,8,0,0,0,0,"beckj002","pricd001","","pricd001","beckj002",
"20120414","TBA","AL",8,"BOS","AL",8,5,13,51,"BOS07",38024,"401000000","02102035x",32,6,2,0,1,5,1,0,0,3,0,8,0,0,0,0,4,4,13,13,0,0,24,10,0,0,1,0,37,15,5,0,5,13,0,0,0,6,0,4,0,0,1,0,6,3,5,5,0,1,27,11,0,0,0,0,"buchc001","badeb001","","hellj001","buchc001",
"20120415","TBA","AL",9,"BOS","AL",9,4,6,51,"BOS07",38024,"000031000","03010110x",39,13,4,0,1,4,0,0,0,2,0,11,0,0,0,0,10,3,6,6,0,0,24,6,0,0,0,0,31,8,3,0,2,6,0,0,0,4,2,6,0,0,0,0,5,5,4,4,1,0,27,7,0,0,0,0,"padiv001","moorm003","aceva001","moorm003","doubf001",
"20120416","TBA","AL",10,"BOS","AL",10,1,0,54,"BOS07",38108,"000000100","000000000",31,7,1,0,0,1,0,0,1,7,0,8,1,1,2,0,11,2,0,0,1,0,27,15,0,0,2,0,29,4,0,0,0,0,0,0,0,3,1,6,0,1,1,0,5,3,1,1,0,0,27,13,0,0,2,0,"shiej002","bardd001","rodnf001","shiej002","bardd001",
"20120417","TBA","AL",11,"TOR","AL",10,3,7,51,"TOR02",15331,"000020100","10300111x",32,10,1,0,1,3,0,0,0,4,0,8,0,0,3,0,6,5,4,4,2,0,24,8,3,0,1,0,31,7,0,0,3,6,0,1,1,5,2,9,0,0,1,0,7,4,3,3,2,0,27,11,1,0,4,0,"romer002","niemj001","","niemj001","romer002",
"20120418","TBA","AL",12,"TOR","AL",11,12,2,54,"TOR02",15828,"210102006","110000000",36,10,2,0,4,12,0,1,1,5,1,6,0,0,1,0,4,4,2,2,0,0,27,7,0,0,1,0,38,12,0,0,1,2,0,0,0,2,0,9,0,0,1,0,11,3,11,11,1,0,27,12,1,0,1,0,"pricd001","morrb001","","pricd001","morrb001",
"20120419","TBA","AL",13,"TOR","AL",12,9,4,54,"TOR02",18976,"120030003","100200001",36,9,2,0,2,9,0,0,1,6,1,8,2,0,1,0,7,6,3,3,1,0,27,9,2,0,0,0,39,10,3,0,0,3,0,0,0,5,0,6,0,0,0,0,13,3,9,9,0,1,27,11,2,0,1,0,"hellj001","alvah001","","hellj001","alvah001",
"20120420","MIN","AL",14,"TBA","AL",14,5,4,54,"STP01",18763,"100010300","000013000",35,11,2,0,0,5,0,0,0,6,1,4,2,0,2,0,9,5,4,4,1,0,27,11,1,0,1,0,30,5,0,0,2,3,0,0,0,3,0,3,0,1,1,0,2,4,5,5,0,0,27,12,0,0,3,0,"malom001","gomeb001","cappm001","hendl001","moorm003",
"20120421","MIN","AL",15,"TBA","AL",15,1,4,51,"STP01",31774,"000000001","00000310x",31,5,1,0,0,1,0,1,1,2,0,9,1,0,0,0,7,4,2,2,1,0,24,12,3,0,3,0,30,8,2,0,0,3,1,0,2,4,1,7,0,0,2,0,9,2,1,1,0,0,27,8,0,1,0,0,"shiej002","pavac001","rodnf001","pavac001","shiej002",
"20120422","MIN","AL",16,"TBA","AL",16,2,6,51,"STP01",26507,"000002000","00212001x",32,5,0,0,0,2,0,0,1,2,0,10,1,0,0,0,6,3,6,6,0,0,24,7,0,1,1,0,24,5,1,0,1,6,0,4,1,5,0,8,2,0,1,0,4,5,2,2,0,0,27,12,1,0,1,0,"niemj001","lirif001","","lirif001","niemj001",
"20120424","ANA","AL",17,"TBA","AL",17,0,5,51,"STP01",14933,"000000000","10011200x",31,5,0,0,0,0,0,0,0,1,0,6,1,0,1,0,5,3,5,5,1,0,24,7,0,0,1,0,30,8,0,0,4,5,0,1,0,1,0,9,1,0,1,0,3,1,0,0,0,0,27,10,0,0,1,0,"pricd001","sante001","","sante001","pricd001",
"20120425","ANA","AL",18,"TBA","AL",18,2,3,51,"STP01",14638,"000100001","00200001x",32,7,2,0,1,1,0,0,0,3,0,7,0,2,1,1,7,2,3,3,0,0,24,5,1,0,0,0,30,6,1,0,1,3,1,0,0,6,2,12,3,0,0,0,10,4,1,1,0,0,27,12,2,0,2,0,"hellj001","wilsc004","rodnf001","wilsc004","hellj001",
"20120426","ANA","AL",19,"TBA","AL",19,3,4,52,"STP01",15417,"000012000","100001002",33,7,1,0,1,3,0,0,0,2,0,10,0,0,0,0,5,3,4,4,0,0,25,16,0,0,1,0,30,7,2,1,1,4,0,0,1,4,0,6,2,0,0,0,6,4,2,2,1,0,27,8,1,0,0,0,"gomeb001","waldj001","","willj003","moorm003",
"20120427","TBA","AL",20,"TEX","AL",20,8,4,54,"ARL02",47496,"401201000","100021000",41,16,2,0,2,8,0,0,0,2,0,4,0,0,1,0,8,4,4,4,0,0,27,12,2,0,1,0,38,13,2,0,2,4,0,0,1,1,0,12,1,0,1,1,10,5,7,7,0,0,27,13,1,0,2,0,"shiej002","harrm001","","shiej002","harrm001",
"20120428","TBA","AL",21,"TEX","AL",21,2,7,51,"ARL02",49197,"010000010","20000140x",31,5,1,0,1,2,0,0,1,3,0,8,2,0,1,0,6,4,6,6,1,0,24,8,2,1,1,0,31,8,2,0,1,5,0,0,1,4,1,9,2,1,1,0,5,4,2,2,0,0,27,7,0,0,1,0,"lewic001","niemj001","","niemj001","lewic001",
"20120429","TBA","AL",22,"TEX","AL",22,5,2,54,"ARL02",43475,"031000100","100010000",33,11,3,2,0,5,0,1,0,2,0,10,0,2,1,0,4,3,2,2,0,0,27,10,0,0,0,0,35,8,0,0,0,2,0,0,1,1,0,10,1,0,0,0,8,3,5,5,1,0,27,7,0,0,1,0,"pricd001","holld003","rodnf001","pricd001","holld003",
"20120430","SEA","AL",24,"TBA","AL",23,2,3,70,"STP01",9458,"010000000010","010000000011",47,11,0,0,2,2,0,0,0,1,0,12,0,0,0,0,10,3,3,3,1,0,34,12,0,0,2,0,42,10,3,0,0,3,0,0,0,6,0,10,1,1,1,0,11,5,2,2,0,0,36,12,0,0,0,0,"howej003","leagb001","","hernf002","hellj001",
"20120501","SEA","AL",25,"TBA","AL",24,1,3,51,"STP01",9972,"001000000","20100000x",35,9,2,0,1,1,0,0,0,1,0,12,0,0,1,0,8,4,3,3,0,0,24,10,0,1,1,0,25,3,0,1,1,3,0,1,0,4,0,4,0,0,1,0,3,4,1,1,0,0,27,6,0,0,1,0,"moorm003","noesh001","rodnf001","noesh001","moorm003",
"20120502","SEA","AL",26,"TBA","AL",25,4,5,51,"STP01",9837,"300001000","00220100x",32,6,0,0,2,4,0,0,0,5,0,14,0,0,1,0,6,3,5,5,0,0,24,7,1,1,0,0,33,8,1,0,2,5,0,0,0,2,0,3,1,0,0,0,6,4,1,1,1,0,27,8,1,0,1,0,"shiej002","beavb001","peraj002","beavb001","shiej002",
"20120503","SEA","AL",27,"TBA","AL",26,3,4,51,"STP01",11575,"020010000","04000000x",33,7,4,0,0,3,0,0,0,2,0,8,1,0,2,0,5,2,4,4,0,0,24,7,0,0,0,0,31,7,0,1,1,4,0,0,0,3,0,6,2,0,0,0,6,3,3,3,1,0,27,12,1,0,2,0,"niemj001","millk004","rodnf001","millk004","niemj001",
"20120504","OAK","AL",27,"TBA","AL",27,2,7,51,"STP01",18799,"010000001","00340000x",32,5,2,0,1,2,0,0,1,2,0,13,0,0,0,0,6,4,7,7,1,1,24,4,0,1,1,0,32,9,3,0,1,7,0,0,1,3,0,6,0,0,0,0,5,3,2,2,1,0,27,6,0,0,0,0,"pricd001","rosst001","peraj002","rosst001","pricd001",
"20120505","OAK","AL",28,"TBA","AL",28,4,3,72,"STP01",23890,"101100000001","001110000000",47,9,0,0,2,4,0,0,1,6,1,8,0,0,0,0,14,5,3,3,0,0,36,12,0,0,1,0,44,11,1,0,3,3,2,0,1,2,0,6,0,0,1,0,10,7,3,3,0,0,36,13,2,0,0,0,"fuenb001","peraj002","balfg001","colob001","hellj001",
"20120506","OAK","AL",29,"TBA","AL",29,9,5,54,"STP01",23873,"005030100","400010000",35,10,2,0,1,9,1,1,1,5,1,6,1,0,0,0,7,5,5,5,0,0,27,7,0,1,2,0,30,6,0,0,1,5,0,1,1,7,0,6,2,0,2,0,7,4,9,9,3,0,27,8,0,0,0,0,"milot001","moorm003","","milot001","moorm003",
"20120508","TBA","AL",30,"NYA","AL",29,3,5,51,"NYC21",37086,"000001110","00021011x",33,8,1,1,2,2,0,0,0,5,0,13,0,1,1,0,8,4,5,5,2,0,24,13,1,0,1,0,31,8,2,0,3,5,0,0,0,3,0,5,0,0,1,0,5,3,3,3,1,0,27,8,0,0,2,0,"novai001","shiej002","robed002","shiej002","novai001",
"20120509","TBA","AL",31,"NYA","AL",30,4,1,54,"NYC21",38024,"000000004","100000000",36,9,4,0,1,4,0,1,0,5,0,7,0,0,0,0,11,2,1,1,0,0,27,10,0,0,1,0,35,9,1,0,0,1,0,0,0,1,0,7,1,0,1,0,8,6,4,4,0,0,27,8,1,1,0,0,"rodnf001","robed002","","niemj001","pheld001",
"20120510","TBA","AL",32,"NYA","AL",31,3,5,51,"NYC21",37720,"110000001","02003000x",35,8,0,0,0,3,0,0,1,1,0,10,1,0,1,0,7,2,5,5,0,0,24,11,2,0,2,0,34,11,2,0,2,5,0,0,0,3,0,6,2,0,1,0,8,2,1,1,0,0,27,12,2,0,1,0,"sabac001","pricd001","sorir001","pricd001","sabac001",
"20120511","TBA","AL",33,"BAL","AL",33,3,4,51,"BAL12",26669,"010200000","01000120x",30,5,1,0,0,2,0,0,2,6,1,3,0,0,1,0,8,3,4,4,0,0,24,9,0,0,2,0,29,7,0,0,3,4,0,0,0,2,0,7,1,0,1,0,3,4,3,3,0,0,27,20,0,0,1,0,"odayd001","peraj002","johnj010","hellj001","eveld001",
"20120512","TBA","AL",34,"BAL","AL",34,3,5,51,"BAL12",32862,"010002000","02002001x",34,7,0,0,1,3,0,0,0,1,0,8,1,0,1,0,5,4,2,2,0,0,24,3,5,0,0,0,30,6,2,0,1,4,0,0,0,5,0,12,0,1,0,1,7,4,2,2,0,0,27,9,2,0,1,0,"matub001","moorm003","johnj010","moorm003","matub001",
"20120513","TBA","AL",35,"BAL","AL",35,9,8,54,"BAL12",29552,"031300020","010003211",40,13,3,0,2,9,0,0,0,3,0,13,4,0,0,0,7,5,5,5,0,0,27,13,2,0,1,0,38,11,4,0,2,7,0,0,0,3,0,8,0,0,1,0,6,4,9,9,1,0,27,7,0,0,0,0,"shiej002","arrij001","rodnf001","shiej002","arrij001",
"20120514","TBA","AL",36,"TOR","AL",36,7,1,54,"TOR02",15289,"000060001","010000000",34,8,2,0,1,7,0,0,1,6,0,14,2,1,1,0,7,6,1,1,0,0,27,9,0,0,0,0,31,4,0,0,0,1,0,0,0,6,0,9,1,0,0,0,9,5,7,7,1,0,27,9,1,0,1,0,"ramoc001","morrb001","","niemj001","morrb001",
"20120515","TBA","AL",37,"TOR","AL",37,4,3,54,"TOR02",15612,"000010300","003000000",37,12,2,0,1,2,0,0,0,0,0,3,0,1,2,0,6,3,3,3,0,0,27,12,2,0,0,0,33,6,1,0,1,3,0,0,1,0,0,8,2,0,0,0,4,4,2,2,1,0,27,16,4,0,2,0,"pricd001","alvah001","rodnf001","pricd001","alvah001",
"20120516","BOS","AL",37,"TBA","AL",38,1,2,51,"STP01",20843,"000100000","01000100x",33,7,2,0,0,1,0,0,0,2,0,9,0,0,1,0,7,5,2,2,1,3,24,7,0,0,1,0,30,8,0,0,0,1,0,1,2,3,0,9,1,0,1,0,10,4,1,1,0,0,27,8,0,0,1,0,"hellj001","buchc001","rodnf001","buchc001","hellj001",
"20120517","BOS","AL",38,"TBA","AL",39,5,3,54,"STP01",19842,"111000020","001100010",34,7,0,0,2,5,0,0,1,3,0,13,0,0,0,0,6,6,2,2,0,0,27,10,1,1,0,0,35,8,2,0,0,3,0,0,2,4,0,9,3,0,0,1,12,4,5,5,0,0,27,6,0,0,0,0,"doubf001","moorm003","aceva001","doubf001","moorm003",
"20120518","ATL","NL",40,"TBA","AL",40,5,3,54,"STP01",19693,"110020100","011000010",36,10,2,0,1,4,0,0,0,4,0,12,1,0,1,0,8,3,2,2,0,0,27,6,0,1,1,0,32,7,0,0,0,3,0,1,1,2,0,4,3,0,1,0,6,4,5,5,1,0,27,7,1,0,1,0,"hanst001","shiej002","kimbc001","hanst001","shiej002",
"20120519","ATL","NL",41,"TBA","AL",41,2,5,51,"STP01",27433,"020000000","00400100x",31,6,1,0,0,2,0,1,0,2,0,7,1,0,2,0,5,4,5,5,0,0,24,12,0,0,2,0,25,6,0,0,2,5,1,0,0,8,0,3,2,2,1,0,5,3,2,2,0,0,27,10,1,0,2,0,"cobba001","delgr001","rodnf001","delgr001","cobba001",
