Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
36973,20100406,shiej002,TBA,8,36,0,0,0,1,4,0,1,1,0,13,1,3,1,9,0,4,27,4,0,0,4,0,9,3,0,0,2,0,AL,AL,52,gonzm001,STP01,,,millk004,1,10,0,3,BAL,7,37,0,0,0,1,4,0,1,0,11,3,4,0,0,5,25,3,0,1,7,4,0,0,3,0,sorir001,0.2972972972972973,0.3611111111111111,0.35,0.39473684210526316,0.6486486486486487,0.5555555555555556,0.9986486486486487,0.9502923976608187,1.0,
15220,20100407,garzm001,TBA,7,32,0,0,1,0,2,1,1,2,0,10,1,2,0,6,1,2,27,4,0,0,4,0,8,2,0,0,2,0,AL,AL,51,guthj001,STP01,sorir001,,guthj001,2,7,0,3,BAL,8,34,0,0,0,2,1,0,0,1,6,0,4,0,0,3,24,2,0,0,9,4,0,0,2,0,garzm001,0.17647058823529413,0.3125,0.24324324324324326,0.35294117647058826,0.20588235294117646,0.46875,0.4491255961844197,0.8216911764705883,1.0,1.0
16191,20100408,niemj001,TBA,14,30,0,0,2,0,0,0,0,3,0,6,0,5,0,8,0,6,27,4,1,0,4,1,10,5,0,1,8,2,AL,AL,54,ekstm001,STP01,gonzm001,,matub001,3,8,0,5,BAL,7,36,0,0,0,0,3,0,0,1,9,1,4,1,0,5,27,4,0,1,6,4,0,0,3,0,matub001,0.25,0.2,0.325,0.358974358974359,0.4166666666666667,0.26666666666666666,0.7416666666666667,0.6256410256410256,0.0,1.0
33221,20100409,pricd001,TBA,9,34,0,0,0,0,3,1,0,4,0,10,2,3,0,4,0,3,27,9,0,0,9,3,6,3,0,0,3,0,AL,AL,51,vazqj001,STP01,,,vazqj001,4,8,0,3,NYA,7,35,0,0,0,0,2,0,0,0,8,0,9,0,0,2,24,2,0,0,9,9,0,1,3,0,pricd001,0.22857142857142856,0.29411764705882354,0.2894736842105263,0.35135135135135137,0.34285714285714286,0.5588235294117647,0.6323308270676692,0.910174880763116,1.0,0.0
29892,20100410,daviw001,TBA,13,29,0,0,0,1,1,0,0,5,0,2,0,10,0,4,0,5,27,0,0,0,0,2,7,10,0,0,2,1,AL,AL,54,daviw001,STP01,,,sabac001,5,8,1,10,NYA,13,36,0,1,1,0,2,0,1,0,14,1,0,0,0,2,27,10,0,2,3,0,0,0,8,0,sabac001,0.3888888888888889,0.06896551724137931,0.5,0.12903225806451613,0.5277777777777778,0.10344827586206896,1.0277777777777777,0.23248053392658508,0.0,1.0
31253,20100411,shiej002,TBA,4,31,0,0,0,0,0,0,2,6,0,9,0,7,0,7,0,4,27,3,0,1,3,2,3,7,0,1,5,1,AL,AL,54,choar001,STP01,,,burna001,6,6,0,7,NYA,10,36,0,0,0,3,4,0,0,0,9,2,3,0,0,3,27,6,0,2,6,3,0,0,4,0,burna001,0.25,0.2903225806451613,0.325,0.3888888888888889,0.5277777777777778,0.3548387096774194,0.8527777777777779,0.7437275985663083,0.0,0.0
9129,20100412,guthj001,BAL,10,30,0,0,1,1,0,0,1,7,0,6,1,5,0,6,0,3,27,1,0,0,1,0,7,5,0,0,4,0,AL,AL,54,guthj001,BAL12,,,garzm001,7,5,0,5,TBA,15,36,0,0,0,1,2,0,1,0,12,2,1,0,0,2,27,5,1,0,8,1,0,1,0,0,garzm001,0.3333333333333333,0.2,0.32432432432432434,0.29411764705882354,0.6111111111111112,0.3,0.9354354354354355,0.5941176470588235,1.0,0.0
13731,20100413,matub001,BAL,6,41,0,0,0,0,1,0,1,8,2,11,3,8,1,9,0,6,30,6,0,0,6,0,4,8,0,0,2,1,AL,AL,60,albem001,BAL12,sorir001,,niemj001,8,6,0,8,TBA,12,40,0,0,1,1,1,2,0,1,11,1,6,0,0,6,30,8,0,0,8,6,0,0,3,1,corml001,0.275,0.2682926829268293,0.3409090909090909,0.3333333333333333,0.375,0.5121951219512195,0.7159090909090908,0.8455284552845528,1.0,1.0
10248,20100414,bergb002,BAL,5,32,0,0,0,1,1,1,1,9,0,6,1,6,0,7,0,3,27,1,0,0,1,0,8,6,0,1,3,0,AL,AL,54,bergb002,BAL12,,,pricd001,9,6,0,9,TBA,6,38,0,0,0,1,4,1,1,1,11,3,1,1,0,3,27,9,0,0,10,1,0,0,3,0,pricd001,0.2894736842105263,0.1875,0.35714285714285715,0.2571428571428571,0.631578947368421,0.375,0.9887218045112782,0.6321428571428571,1.0,1.0
37022,20100417,buchc001,BOS,6,38,0,0,0,0,3,2,0,11,0,11,3,1,0,8,0,3,27,5,0,0,5,0,8,1,0,0,2,1,AL,AL,54,buchc001,BOS07,sorir001,,shiej002,11,5,0,6,TBA,8,34,0,0,0,0,3,0,0,0,5,1,5,0,0,5,27,5,0,2,11,5,0,0,4,0,shiej002,0.14705882352941177,0.2894736842105263,0.23684210526315788,0.325,0.3235294117647059,0.6052631578947368,0.5603715170278638,0.9302631578947369,1.0,1.0
