Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,TEX,AL,1,OAK,AL,1,0,8,51,OAK01,36067,0,20020031x,28,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,3,4,8,8,2,0,24,6,1,0,0,0,37,11,3,1,2,7,0,0,0,4,0,9,0,0,0,0,9,2,0,0,0,0,27,8,1,0,1,0,grays001,gally001,,gally001,grays001,,1,Apr 6,@,OAK,"L,0-8",8,11,8,8,0,4,9,2,0,9,41,174,102,1,0,0,0,37,3,1,0,0,0,1,0,4,Bill Miller,"Y.Gallardo (99-38-L), A.Bass (99), P.Klein (99), R.Mendez (99)"
20150407,TEX,AL,2,OAK,AL,2,3,1,54,OAK01,15025,1020000,1000,34,8,1,0,0,2,0,0,3,0,0,6,0,0,1,0,7,4,1,1,0,0,27,9,1,0,3,0,30,5,0,1,0,1,0,0,0,3,0,7,0,0,3,0,5,4,3,3,0,0,27,11,1,0,1,0,lewic001,hahnj001,felin001,lewic001,hahnj001,,2,Apr 7,@,OAK,"W,3-1",9,5,1,1,0,3,7,0,0,4.76,33,135,84,0,0,0,0,30,0,1,0,0,0,1,3,4,Doug Eddings,"C.Lewis (99-64-W), K.Kela (99-H), S.Tolleson (99-H), N.Feliz (99-Sv)"
20150408,TEX,AL,3,OAK,AL,3,0,10,51,OAK01,19479,0,00512110x,30,3,1,0,0,0,1,0,0,2,0,13,0,0,0,0,6,3,7,7,1,0,24,11,3,1,0,0,39,15,3,1,0,9,0,0,1,3,0,4,0,0,0,0,9,3,0,0,0,0,27,4,1,0,0,0,kazms001,detwr001,,detwr001,kazms001,,3,Apr 8,@,OAK,"L,0-10",8,15,10,7,3,3,4,0,1,5.76,43,158,104,3,1,0,0,39,3,1,0,0,0,0,0,3,Jim Wolf,"R.Detwiler (99-17-L), L.Verrett (99), P.Klein (1)"
20150409,TEX,AL,4,OAK,AL,4,10,1,54,OAK01,16045,302300110,10,38,12,1,0,4,9,0,1,2,2,0,5,0,0,1,0,6,3,1,1,0,0,27,8,0,0,2,0,31,6,1,0,0,1,0,0,0,3,0,6,0,0,2,0,6,4,9,9,0,0,27,12,3,0,2,0,martn002,gravk001,,martn002,gravk001,,4,Apr 9,@,OAK,"W,10-1",9,6,1,1,0,3,6,0,0,4.5,34,131,85,0,0,0,0,31,1,0,0,0,0,0,2,3,Adam Hamari,"N.Martinez (99-72-W), K.Kela (1), R.Mendez (2)"
20150410,HOU,AL,4,TEX,AL,5,5,1,54,ARL02,48885,100010102,1000,34,10,2,0,2,5,1,0,0,2,0,7,1,0,0,0,5,4,1,1,0,0,27,15,0,1,0,0,32,6,3,0,0,1,0,0,0,2,0,8,0,1,0,0,6,6,5,5,0,0,27,10,2,0,2,0,mchuc001,holld003,,mchuc001,holld003,,5,Apr 10,1,HOU,"L,1-5",9,10,5,5,0,2,7,2,0,4.6,37,125,79,1,0,1,0,34,2,0,0,1,0,1,0,6,Cory Blaser,"D.Holland (99-45-L), A.Bass (3), R.Mendez (0), S.Tolleson (2), N.Feliz (2), P.Klein (1)"
20150411,HOU,AL,5,TEX,AL,6,2,6,51,ARL02,36833,1001000,11003001x,38,11,2,0,1,2,0,0,0,4,0,9,0,0,0,0,13,4,2,2,0,0,24,15,3,0,0,0,33,9,4,1,0,4,1,0,1,4,1,4,1,0,0,0,9,6,2,2,0,0,27,5,0,0,0,0,gally001,carmf001,,carmf001,gally001,,6,Apr 11,1,HOU,"W,6-2",9,11,2,2,0,4,9,1,0,4.15,42,145,94,5,1,0,0,38,2,0,0,0,0,0,0,6,Jeff Nelson,"Y.Gallardo (4-51-W), J.Edwards (99), P.Klein (0-H), K.Kela (1-H), S.Tolleson (0-H), N.Feliz (0)"
20150412,HOU,AL,6,TEX,AL,7,6,4,84,ARL02,35276,4E+12,22000000,50,11,1,1,3,6,0,0,0,3,1,9,3,0,3,0,5,8,4,4,1,0,42,16,0,0,1,0,49,9,1,0,0,4,0,1,4,7,0,9,0,0,1,0,15,7,6,6,0,0,42,15,1,0,4,0,harrw002,verrl001,dedus001,keucd001,lewic001,,7,Apr 12,1,HOU,"L,4-6",14,11,6,6,0,3,9,3,0,4.09,53,197,121,2,0,3,0,50,1,1,1,0,0,1,3,7,Laz Diaz,"C.Lewis (4-53), R.Mendez (1), N.Feliz (0), S.Tolleson (0), K.Kela (0), P.Klein (0), L.Verrett (3-L)"
20150413,ANA,AL,7,TEX,AL,8,6,3,54,ARL02,18401,140001,300000000,38,12,1,0,2,6,0,0,0,5,0,5,1,0,0,0,10,4,3,3,1,0,27,4,1,0,0,0,33,7,2,0,0,3,0,1,0,1,0,11,1,0,0,0,5,3,6,6,0,0,27,7,0,0,0,0,shoem001,detwr001,streh001,shoem001,detwr001,,8,Apr 13,1,LAA,"L,3-6",9,12,6,6,0,5,5,2,0,4.32,43,143,88,4,1,1,0,38,1,0,0,0,0,0,0,3,CB Bucknor,"R.Detwiler (4-32-L), S.Pimentel (99), R.Mendez (0)"
20150414,ANA,AL,8,TEX,AL,9,2,8,51,ARL02,21805,110,13000400x,32,7,2,0,0,2,0,1,1,3,0,2,0,0,1,0,8,5,8,8,3,0,24,8,0,0,1,0,33,11,3,0,2,8,0,0,1,5,0,6,3,0,1,0,7,3,1,1,1,0,27,8,1,0,1,0,martn002,rucid001,,rucid001,martn002,,9,Apr 14,1,LAA,"W,8-2",9,7,2,1,1,3,2,0,1,3.96,37,127,82,0,0,0,0,32,2,0,0,0,1,1,1,3,Lance Barrett,"N.Martinez (4-63-W), P.Klein (1), K.Kela (1)"
20150415,ANA,AL,9,TEX,AL,10,10,2,54,ARL02,25757,60103000,10001,39,13,4,0,0,10,1,0,0,5,1,6,2,0,0,0,8,2,2,2,0,0,27,5,0,0,0,0,33,6,1,0,2,2,0,0,1,3,0,7,0,0,0,0,8,4,10,10,0,0,27,12,1,0,0,0,santh001,ranaa001,,santh001,ranaa001,,10,Apr 15,1,LAA,"L,2-10",9,13,10,10,0,5,6,0,0,4.55,45,194,116,3,2,2,0,39,4,0,1,1,0,0,0,4,Dan Iassogna,"A.Ranaudo (99-19-L), A.Bass (4), L.Verrett (2), S.Pimentel (1)"
