Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20100405","TOR","AL",1,"TEX","AL",1,4,5,52,"ARL02",50299,"201000010","000000302",35,8,1,0,2,4,0,0,0,2,1,7,1,0,1,0,6,3,5,5,0,0,25,7,1,0,1,0,31,6,2,0,1,5,0,0,1,2,1,7,0,0,1,0,4,4,4,4,0,0,27,6,1,0,1,0,"franf001","frasj002","","marcs001","felds001",
"20100407","TOR","AL",2,"TEX","AL",2,7,4,54,"ARL02",22890,"001220101","100200100",32,5,2,0,3,7,0,1,2,10,0,10,0,0,0,0,11,3,2,2,0,0,27,8,3,0,0,0,33,5,1,0,2,3,0,0,0,3,0,9,0,0,0,0,5,5,5,5,0,0,27,6,1,0,0,0,"tallb001","nippd001","frasj002","tallb001","hardr001",
"20100408","TOR","AL",3,"TEX","AL",3,3,1,54,"ARL02",14707,"000000003","000000100",34,9,2,1,1,3,0,1,0,4,0,13,0,0,1,0,9,3,1,1,5,0,27,14,0,0,0,0,31,5,2,0,0,0,0,0,0,4,0,9,0,0,0,0,7,5,3,3,0,0,27,7,0,0,1,0,"jansc001","franf001","frasj002","romer002","wilsc004",
"20100409","TOR","AL",4,"BAL","AL",4,7,6,54,"BAL12",48891,"301010002","300020010",32,9,4,0,1,7,1,2,0,3,0,8,0,0,1,0,4,4,6,6,0,0,27,12,0,0,2,0,32,7,1,0,1,6,0,0,1,7,0,8,1,0,2,0,7,5,7,7,1,0,27,6,0,0,1,0,"jansc001","gonzm001","gregk001","morrb001","bergb002",
"20100410","TOR","AL",5,"BAL","AL",5,3,0,54,"BAL12",21148,"000101001","000000000",34,9,6,0,0,3,0,0,1,6,3,5,0,1,1,0,11,3,0,0,0,0,27,15,0,0,2,0,30,6,1,0,0,0,0,0,1,3,0,3,0,1,2,0,7,3,3,3,0,0,27,10,0,0,2,0,"eveld001","hernd002","frasj002","eveld001","hernd002",
"20100411","TOR","AL",6,"BAL","AL",6,5,2,54,"BAL12",22499,"000100031","200000000",35,7,1,0,4,5,0,0,0,2,0,7,0,0,0,0,5,4,2,2,0,0,27,9,1,0,2,0,34,9,1,1,0,2,0,0,0,1,0,8,0,0,2,0,6,3,2,2,0,0,27,11,1,0,0,0,"jansc001","millk004","gregk001","marcs001","millk004",
"20100412","CHA","AL",7,"TOR","AL",7,8,7,66,"TOR02",46321,"02200200101","02400100000",44,14,0,1,3,8,0,0,2,3,0,4,4,0,4,0,8,6,7,7,0,0,33,10,0,0,0,0,41,8,3,0,2,7,0,0,1,6,0,11,1,0,0,0,8,5,8,8,0,0,33,16,1,0,4,0,"thorm001","accaj001","jenkb001","peavj001","tallb001",
"20100413","CHA","AL",8,"TOR","AL",8,2,4,51,"TOR02",12167,"000000020","00202000x",28,1,0,0,1,2,0,0,1,2,0,14,0,0,0,0,2,2,4,4,0,0,24,5,0,0,0,0,34,10,4,0,0,4,0,0,0,2,0,6,1,0,0,0,8,2,2,2,1,0,27,11,0,0,0,0,"romer002","floyg001","gregk001","floyg001","romer002",
"20100414","CHA","AL",9,"TOR","AL",9,11,1,54,"TOR02",10610,"011144000","000010000",40,15,4,0,2,10,0,0,1,4,0,4,1,0,2,0,7,2,1,1,0,0,27,8,1,0,1,0,29,2,0,0,0,1,0,0,0,3,0,8,1,0,1,0,4,5,11,11,0,0,27,11,0,0,2,0,"dankj001","morrb001","","dankj001","morrb001",
"20100415","CHA","AL",10,"TOR","AL",10,3,7,51,"TOR02",10744,"000010200","01330000x",31,5,0,0,2,3,0,0,0,3,0,8,0,0,0,0,4,5,7,7,0,0,24,5,0,0,1,0,34,12,5,0,1,7,0,1,0,6,1,15,2,0,0,0,10,4,3,3,0,0,27,12,0,0,1,0,"eveld001","garcf002","","garcf002","eveld001",
"20100416","ANA","AL",11,"TOR","AL",11,7,5,54,"TOR02",14779,"001120030","010000040",36,11,3,0,1,7,0,0,0,2,0,7,3,1,1,0,4,4,5,5,0,0,27,10,0,0,0,0,34,8,0,0,3,5,0,0,0,1,0,9,1,0,0,0,3,3,7,7,1,0,27,14,1,0,1,0,"weavj003","marcs001","rodnf001","weavj003","marcs001",
"20100417","ANA","AL",12,"TOR","AL",12,6,3,54,"TOR02",17187,"211000011","002000001",36,10,4,0,2,6,0,0,0,3,1,6,1,0,1,0,6,3,1,1,0,0,27,13,2,0,0,0,34,7,5,0,0,1,0,0,0,1,0,4,1,0,0,0,5,4,6,6,0,0,27,12,0,0,1,0,"saunj001","tallb001","rodnf001","saunj001","tallb001",
"20100418","ANA","AL",13,"TOR","AL",13,3,1,54,"TOR02",14246,"000001002","000000001",33,7,4,0,0,2,1,0,0,2,0,7,1,0,1,0,6,1,1,1,0,0,27,10,0,0,0,0,31,4,2,0,1,1,0,0,0,0,0,6,1,0,0,0,3,2,2,2,2,0,27,12,1,0,1,0,"sante001","romer002","","sante001","romer002",
"20100419","KCA","AL",13,"TOR","AL",14,1,8,51,"TOR02",10314,"000001000","00113120x",30,5,1,0,0,1,0,0,0,2,0,9,0,0,2,0,4,4,8,8,2,0,24,7,1,0,0,0,36,11,4,0,3,7,0,0,0,6,0,8,2,0,0,1,11,3,1,1,1,0,27,13,0,0,2,0,"morrb001","bannb001","","bannb001","morrb001",
"20100420","KCA","AL",14,"TOR","AL",15,3,4,51,"TOR02",10565,"021000000","10010020x",35,11,1,0,0,3,0,1,0,3,0,6,0,1,2,0,9,3,4,4,0,0,24,9,0,0,2,0,29,8,4,0,1,4,0,1,0,2,0,6,0,0,2,0,4,4,2,2,1,0,27,16,1,0,2,0,"camps002","davik002","gregk001","davik002","eveld001",
"20100421","KCA","AL",15,"TOR","AL",16,4,3,60,"TOR02",15577,"3000000001","0002000100",35,8,1,0,2,4,0,0,0,1,0,7,0,2,0,0,2,5,3,3,0,0,30,8,1,0,1,0,33,4,0,0,1,3,1,0,1,1,0,12,1,0,1,0,3,3,4,4,0,0,30,18,0,0,1,0,"tejer001","downs001","sorij001","greiz001","marcs001",
"20100423","TOR","AL",17,"TBA","AL",17,6,5,54,"STP01",22056,"400101000","000011210",38,11,6,0,1,6,0,0,1,5,1,12,1,0,0,0,11,4,5,5,0,1,27,5,0,0,0,0,36,9,2,0,2,5,0,0,0,3,0,10,2,0,0,0,7,6,6,6,1,0,27,5,0,0,0,0,"cecib001","garzm001","gregk001","cecib001","garzm001",
"20100424","TOR","AL",18,"TBA","AL",18,3,9,51,"STP01",23870,"000012000","00002007x",33,6,1,0,2,3,0,0,1,2,1,10,1,0,0,0,6,4,9,9,1,0,24,12,2,0,1,0,34,11,2,0,1,9,1,0,1,5,1,3,0,0,1,0,8,5,3,3,0,0,27,7,0,0,0,0,"wheed001","downs001","","romer002","niemj001",
"20100425","TOR","AL",19,"TBA","AL",19,0,6,51,"STP01",23250,"000000000","00002004x",30,4,2,0,0,0,0,0,0,1,0,9,0,0,1,0,4,4,6,6,0,0,24,13,0,0,1,0,27,8,3,0,0,6,0,0,1,8,0,9,0,4,1,0,6,1,0,0,0,1,27,11,0,0,1,0,"pricd001","morrb001","","morrb001","pricd001",
"20100426","BOS","AL",20,"TOR","AL",20,13,12,54,"TOR02",13847,"104314000","006211020",45,18,4,0,0,12,0,0,1,4,0,11,2,0,0,0,10,7,12,12,0,0,27,4,0,0,0,0,42,16,4,2,2,12,0,1,0,4,0,9,0,0,0,0,8,6,13,13,2,0,27,8,0,0,0,0,"schos001","camps002","papej001","beckj002","eveld001",
"20100427","BOS","AL",21,"TOR","AL",21,2,1,54,"TOR02",14776,"010000010","100000000",33,7,1,0,0,2,0,0,0,5,0,7,0,0,1,0,9,2,1,1,0,0,27,10,1,0,0,0,34,7,1,0,0,1,0,0,0,2,0,4,0,0,0,0,8,3,2,2,0,0,27,11,0,0,1,0,"buchc001","downs001","ramir003","buchc001","marcs001",
"20100428","BOS","AL",22,"TOR","AL",22,2,0,54,"TOR02",15276,"000001100","000000000",33,8,4,0,0,2,0,1,0,1,0,6,1,0,1,0,6,3,0,0,0,0,27,8,0,0,0,0,28,2,2,0,0,0,0,0,0,2,0,15,0,1,0,0,3,4,2,2,0,0,27,8,0,0,1,0,"lestj001","cecib001","papej001","lestj001","cecib001",
"20100429","OAK","AL",23,"TOR","AL",23,3,6,51,"TOR02",10721,"102000000","00230100x",31,5,3,0,0,3,0,0,1,4,0,10,1,0,2,0,6,5,6,6,0,0,24,10,0,0,1,0,31,8,2,0,4,6,0,0,0,6,1,7,0,0,1,0,7,4,3,3,1,0,27,14,1,0,2,0,"romer002","duchj001","gregk001","duchj001","romer002",
"20100430","OAK","AL",24,"TOR","AL",24,2,10,51,"TOR02",12722,"100100000","03022300x",35,9,1,0,0,2,1,0,1,2,0,11,2,0,0,0,10,2,8,8,1,0,24,6,1,0,1,0,35,11,2,0,3,10,0,0,1,3,0,5,0,0,1,0,5,4,2,2,0,0,27,11,0,0,0,0,"morrb001","cahit001","","cahit001","morrb001",
"20100501","OAK","AL",25,"TOR","AL",25,4,3,54,"TOR02",13951,"010300000","000100200",36,10,1,0,1,4,0,0,0,3,0,3,2,1,0,0,8,4,3,3,0,0,27,11,0,0,0,0,32,5,2,0,0,3,0,0,0,2,0,11,0,0,0,0,4,3,4,4,0,0,27,14,0,0,0,0,"gonzg003","eveld001","baila001","gonzg003","eveld001",
"20100502","OAK","AL",26,"TOR","AL",26,3,9,51,"TOR02",14725,"000100020","42030000x",34,9,1,0,0,3,0,0,0,4,0,8,0,0,2,0,8,3,9,9,0,0,24,5,0,0,0,0,36,13,6,1,3,9,0,1,0,2,0,5,1,0,0,0,6,3,3,3,0,0,27,8,0,0,2,0,"marcs001","sheeb001","","sheeb001","marcs001",
