Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,TOR,AL,1,NYA,AL,1,6,1,54,NYC21,48469,5000100,1000,33,6,0,0,2,5,1,0,0,5,0,12,2,0,0,0,6,3,1,1,0,0,27,4,0,0,0,0,29,3,0,0,1,1,0,0,1,3,0,5,0,1,0,0,5,6,5,5,0,0,27,6,1,0,0,0,hutcd001,tanam001,,hutcd001,tanam001,,1,Apr 6,@,NYY,"W,6-1",9,3,1,1,0,3,5,1,1,1,33,130,80,2,0,0,1,29,0,0,0,0,0,0,0,3,Fieldin Culbreth,"D.Hutchison (99-63-W), A.Loup (99), M.Castro (99)"
20150408,TOR,AL,2,NYA,AL,2,3,4,51,NYC21,31020,1010010,00000103x,33,7,1,0,0,2,0,1,0,3,0,7,0,0,0,0,7,5,4,4,1,0,24,8,0,0,1,0,28,7,2,0,0,3,0,1,2,4,1,7,1,0,1,0,7,4,2,2,0,0,27,10,2,0,0,0,betad001,loupa001,milla002,dickr001,pinem001,,2,Apr 8,@,NYY,"L,3-4",8,7,4,4,0,4,7,0,2,2.65,35,133,71,7,3,1,0,28,2,0,1,0,1,0,1,5,Jim Reynolds,"R.Dickey (99-62), M.Castro (1-H), A.Loup (1-L), B.Cecil (99-BSv), R.Osuna (99)"
20150409,TOR,AL,3,NYA,AL,3,6,3,54,NYC21,32152,40001010,12000,35,9,0,0,1,5,0,0,0,0,0,10,0,0,1,0,2,4,3,3,1,0,27,9,0,0,0,0,32,7,3,0,2,3,0,0,1,4,0,10,0,1,0,0,7,3,5,5,0,0,27,7,1,0,1,0,norrd002,sabac001,castm002,norrd002,sabac001,,3,Apr 9,@,NYY,"W,6-3",9,7,3,3,0,4,10,2,1,2.77,37,152,93,1,0,0,1,32,3,0,0,0,0,0,0,4,Jerry Meals,"D.Norris (99-48-W), R.Osuna (0-H), B.Cecil (0-H), M.Castro (0-Sv)"
20150410,TOR,AL,4,BAL,AL,4,12,5,54,BAL12,45936,401501001,100010021,39,16,8,0,0,12,0,4,1,3,0,6,0,0,0,0,8,4,5,5,0,0,27,13,1,0,3,0,36,13,3,0,2,4,0,0,0,2,0,2,0,0,3,0,6,4,12,12,0,0,27,10,1,0,0,0,buehm001,norrb001,,buehm001,norrb001,,4,Apr 10,@,BAL,"W,12-5",9,13,5,5,0,2,2,2,0,3.34,38,130,79,0,0,0,0,36,3,0,0,0,0,0,3,4,Todd Tichenor,"M.Buehrle (99-47-W), L.Hendriks (99), C.Hynes (99), M.Estrada (99)"
20150411,TOR,AL,5,BAL,AL,5,1,7,51,BAL12,38897,1,20104000x,30,3,1,0,0,1,0,0,1,1,0,10,1,0,0,0,4,4,7,7,1,0,24,11,1,0,2,0,32,9,0,0,3,6,0,0,1,6,2,8,0,0,2,0,8,3,1,1,0,0,27,15,0,0,0,0,jimeu001,sanca006,,sanca006,jimeu001,,5,Apr 11,@,BAL,"L,1-7",8,9,7,7,0,6,8,3,1,4.19,39,153,92,2,0,0,0,32,0,0,2,0,0,1,2,4,Tim Welke,"A.Sanchez (99-33-L), C.Hynes (0), T.Redmond (99), L.Hendriks (0)"
20150412,TOR,AL,6,BAL,AL,6,10,7,54,BAL12,32522,214100020,202030000,36,10,3,0,3,10,0,1,0,6,0,5,1,0,0,0,6,5,7,7,2,0,27,9,0,0,1,0,35,8,0,0,2,7,0,0,2,2,0,9,1,0,1,0,5,5,10,10,0,0,27,4,0,0,0,0,loupa001,tillc001,castm002,hutcd001,tillc001,,6,Apr 12,@,BAL,"W,10-7",9,8,7,7,0,2,9,2,2,4.67,39,139,88,0,0,1,0,35,0,0,0,0,0,0,1,5,Mike Everitt,"D.Hutchison (5-25), A.Loup (3-W), R.Osuna (2-H), B.Cecil (2-H), M.Castro (2-Sv)"
20150413,TBA,AL,7,TOR,AL,7,2,1,54,TOR02,48414,200000,10000,30,3,0,0,0,2,0,0,1,6,0,8,2,0,0,0,8,2,1,1,1,0,27,12,0,0,1,0,28,2,1,0,0,1,0,0,0,4,0,4,0,1,0,0,4,3,2,2,0,1,27,4,0,0,0,0,odorj001,dickr001,boxbb001,odorj001,dickr001,,7,Apr 13,1,TBR,"L,1-2",9,3,2,2,0,6,8,0,1,4.28,37,143,81,0,0,2,0,30,0,0,0,0,0,0,0,3,Chris Guccione,"R.Dickey (4-59-L), R.Osuna (0), A.Loup (0)"
20150414,TBA,AL,8,TOR,AL,8,3,2,54,TOR02,17264,110000010,200000,31,7,1,0,1,3,0,2,1,5,1,11,4,1,0,0,9,5,2,2,0,0,27,10,0,0,0,0,35,8,1,0,0,2,0,0,1,1,0,4,0,0,0,0,8,4,2,2,0,0,27,6,1,1,0,0,gelts001,castm002,jepsk001,andrm001,norrd002,,8,Apr 14,1,TBR,"L,2-3",9,7,3,2,1,5,11,1,1,3.99,39,160,103,1,0,4,1,31,1,0,1,0,2,0,0,4,Cory Blaser,"D.Norris (4-56), L.Hendriks (2), M.Castro (1-L), C.Hynes (2)"
20150415,TBA,AL,9,TOR,AL,9,7,12,51,TOR02,15086,12004,23222010x,38,11,2,0,2,7,0,0,0,4,0,7,0,0,1,0,8,5,11,11,0,0,24,9,0,1,2,0,36,14,3,0,3,12,0,0,0,5,0,5,0,0,2,0,5,4,7,7,0,0,27,10,1,0,1,0,buehm001,ramie004,,ramie004,buehm001,,9,Apr 15,1,TBR,"W,12-7",9,11,7,7,0,4,7,2,0,4.33,42,155,94,4,2,0,0,38,2,0,0,0,0,1,1,4,Jeff Nelson,"M.Buehrle (4-49-W), T.Redmond (3), C.Hynes (0), B.Cecil (2)"
20150416,TBA,AL,10,TOR,AL,10,4,2,54,TOR02,14433,1012000,11,33,8,4,0,1,4,0,0,1,3,0,8,1,2,1,0,6,4,2,2,0,0,27,6,0,0,1,0,29,4,1,0,0,2,0,1,3,4,0,12,0,0,1,0,8,3,4,4,0,0,27,12,1,0,2,0,archc001,sanca006,boxbb001,archc001,sanca006,,10,Apr 16,1,TBR,"L,2-4",9,8,4,4,0,3,8,1,1,4.3,37,144,89,1,1,1,2,33,4,0,0,0,0,1,1,3,Laz Diaz,"A.Sanchez (4-47-L), A.Loup (2), M.Estrada (5)"
