Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100405,TOR,AL,1,TEX,AL,1,4,5,52,ARL02,50299,35,8,1,0,2,4,0,0,0,2,1,7,1,0,1,0,6,3,5,5,0,0,25,7,1,0,1,0,31,6,2,0,1,5,0,0,1,2,1,7,0,0,1,0,4,4,4,4,0,0,27,6,1,0,1,0,franf001,frasj002,,marcs001,felds001,,0.22857142857142856,0.1935483870967742,0.2702702702702703,0.2647058823529412,0.42857142857142855,0.3548387096774194,0.6988416988416988,0.6195445920303606,0.0,
20100407,TOR,AL,2,TEX,AL,2,7,4,54,ARL02,22890,32,5,2,0,3,7,0,1,2,10,0,10,0,0,0,0,11,3,2,2,0,0,27,8,3,0,0,0,33,5,1,0,2,3,0,0,0,3,0,9,0,0,0,0,5,5,5,5,0,0,27,6,1,0,0,0,tallb001,nippd001,frasj002,tallb001,hardr001,,0.15625,0.15151515151515152,0.37777777777777777,0.2222222222222222,0.5,0.36363636363636365,0.8777777777777778,0.5858585858585859,1.0,0.0
20100408,TOR,AL,3,TEX,AL,3,3,1,54,ARL02,14707,34,9,2,1,1,3,0,1,0,4,0,13,0,0,1,0,9,3,1,1,5,0,27,14,0,0,0,0,31,5,2,0,0,0,0,0,0,4,0,9,0,0,0,0,7,5,3,3,0,0,27,7,0,0,1,0,jansc001,franf001,frasj002,romer002,wilsc004,,0.2647058823529412,0.16129032258064516,0.3333333333333333,0.2571428571428571,0.47058823529411764,0.22580645161290322,0.803921568627451,0.48294930875576036,1.0,1.0
20100409,TOR,AL,4,BAL,AL,4,7,6,54,BAL12,48891,32,9,4,0,1,7,1,2,0,3,0,8,0,0,1,0,4,4,6,6,0,0,27,12,0,0,2,0,32,7,1,0,1,6,0,0,1,7,0,8,1,0,2,0,7,5,7,7,1,0,27,6,0,0,1,0,jansc001,gonzm001,gregk001,morrb001,bergb002,,0.28125,0.21875,0.32432432432432434,0.375,0.5,0.34375,0.8243243243243243,0.71875,1.0,1.0
20100410,TOR,AL,5,BAL,AL,5,3,0,54,BAL12,21148,34,9,6,0,0,3,0,0,1,6,3,5,0,1,1,0,11,3,0,0,0,0,27,15,0,0,2,0,30,6,1,0,0,0,0,0,1,3,0,3,0,1,2,0,7,3,3,3,0,0,27,10,0,0,2,0,eveld001,hernd002,frasj002,eveld001,hernd002,,0.2647058823529412,0.2,0.3902439024390244,0.29411764705882354,0.4411764705882353,0.23333333333333334,0.8314203730272597,0.5274509803921569,1.0,1.0
20100411,TOR,AL,6,BAL,AL,6,5,2,54,BAL12,22499,35,7,1,0,4,5,0,0,0,2,0,7,0,0,0,0,5,4,2,2,0,0,27,9,1,0,2,0,34,9,1,1,0,2,0,0,0,1,0,8,0,0,2,0,6,3,2,2,0,0,27,11,1,0,0,0,jansc001,millk004,gregk001,marcs001,millk004,,0.2,0.2647058823529412,0.24324324324324326,0.2857142857142857,0.5714285714285714,0.35294117647058826,0.8146718146718146,0.6386554621848739,1.0,1.0
20100412,CHA,AL,7,TOR,AL,7,8,7,66,TOR02,46321,44,14,0,1,3,8,0,0,2,3,0,4,4,0,4,0,8,6,7,7,0,0,33,10,0,0,0,0,41,8,3,0,2,7,0,0,1,6,0,11,1,0,0,0,8,5,8,8,0,0,33,16,1,0,4,0,thorm001,accaj001,jenkb001,peavj001,tallb001,,0.3181818181818182,0.1951219512195122,0.3877551020408163,0.3125,0.5681818181818182,0.4146341463414634,0.9559369202226345,0.7271341463414633,0.0,1.0
20100413,CHA,AL,8,TOR,AL,8,2,4,51,TOR02,12167,28,1,0,0,1,2,0,0,1,2,0,14,0,0,0,0,2,2,4,4,0,0,24,5,0,0,0,0,34,10,4,0,0,4,0,0,0,2,0,6,1,0,0,0,8,2,2,2,1,0,27,11,0,0,0,0,romer002,floyg001,gregk001,floyg001,romer002,,0.03571428571428571,0.29411764705882354,0.12903225806451613,0.3333333333333333,0.14285714285714285,0.4117647058823529,0.271889400921659,0.7450980392156863,1.0,0.0
20100414,CHA,AL,9,TOR,AL,9,11,1,54,TOR02,10610,40,15,4,0,2,10,0,0,1,4,0,4,1,0,2,0,7,2,1,1,0,0,27,8,1,0,1,0,29,2,0,0,0,1,0,0,0,3,0,8,1,0,1,0,4,5,11,11,0,0,27,11,0,0,2,0,dankj001,morrb001,,dankj001,morrb001,,0.375,0.06896551724137931,0.4444444444444444,0.15625,0.625,0.06896551724137931,1.0694444444444444,0.2252155172413793,0.0,1.0
20100415,CHA,AL,10,TOR,AL,10,3,7,51,TOR02,10744,31,5,0,0,2,3,0,0,0,3,0,8,0,0,0,0,4,5,7,7,0,0,24,5,0,0,1,0,34,12,5,0,1,7,0,1,0,6,1,15,2,0,0,0,10,4,3,3,0,0,27,12,0,0,1,0,eveld001,garcf002,,garcf002,eveld001,,0.16129032258064516,0.35294117647058826,0.23529411764705882,0.43902439024390244,0.3548387096774194,0.5882352941176471,0.5901328273244781,1.0272596843615496,1.0,0.0
20100416,ANA,AL,11,TOR,AL,11,7,5,54,TOR02,14779,36,11,3,0,1,7,0,0,0,2,0,7,3,1,1,0,4,4,5,5,0,0,27,10,0,0,0,0,34,8,0,0,3,5,0,0,0,1,0,9,1,0,0,0,3,3,7,7,1,0,27,14,1,0,1,0,weavj003,marcs001,rodnf001,weavj003,marcs001,,0.3055555555555556,0.23529411764705882,0.34210526315789475,0.2571428571428571,0.4722222222222222,0.5,0.814327485380117,0.7571428571428571,0.0,1.0
20100417,ANA,AL,12,TOR,AL,12,6,3,54,TOR02,17187,36,10,4,0,2,6,0,0,0,3,1,6,1,0,1,0,6,3,1,1,0,0,27,13,2,0,0,0,34,7,5,0,0,1,0,0,0,1,0,4,1,0,0,0,5,4,6,6,0,0,27,12,0,0,1,0,saunj001,tallb001,rodnf001,saunj001,tallb001,,0.2777777777777778,0.20588235294117646,0.3333333333333333,0.22857142857142856,0.5555555555555556,0.35294117647058826,0.8888888888888888,0.5815126050420169,0.0,0.0
20100418,ANA,AL,13,TOR,AL,13,3,1,54,TOR02,14246,33,7,4,0,0,2,1,0,0,2,0,7,1,0,1,0,6,1,1,1,0,0,27,10,0,0,0,0,31,4,2,0,1,1,0,0,0,0,0,6,1,0,0,0,3,2,2,2,2,0,27,12,1,0,1,0,sante001,romer002,,sante001,romer002,,0.21212121212121213,0.12903225806451613,0.2571428571428571,0.12903225806451613,0.3333333333333333,0.2903225806451613,0.5904761904761904,0.41935483870967744,0.0,0.0
20100419,KCA,AL,13,TOR,AL,14,1,8,51,TOR02,10314,30,5,1,0,0,1,0,0,0,2,0,9,0,0,2,0,4,4,8,8,2,0,24,7,1,0,0,0,36,11,4,0,3,7,0,0,0,6,0,8,2,0,0,1,11,3,1,1,1,0,27,13,0,0,2,0,morrb001,bannb001,,bannb001,morrb001,,0.16666666666666666,0.3055555555555556,0.21875,0.40476190476190477,0.2,0.6666666666666666,0.41875,1.0714285714285714,1.0,0.0
20100420,KCA,AL,14,TOR,AL,15,3,4,51,TOR02,10565,35,11,1,0,0,3,0,1,0,3,0,6,0,1,2,0,9,3,4,4,0,0,24,9,0,0,2,0,29,8,4,0,1,4,0,1,0,2,0,6,0,0,2,0,4,4,2,2,1,0,27,16,1,0,2,0,camps002,davik002,gregk001,davik002,eveld001,,0.3142857142857143,0.27586206896551724,0.358974358974359,0.3125,0.34285714285714286,0.5172413793103449,0.7018315018315018,0.8297413793103449,1.0,1.0
20100421,KCA,AL,15,TOR,AL,16,4,3,60,TOR02,15577,35,8,1,0,2,4,0,0,0,1,0,7,0,2,0,0,2,5,3,3,0,0,30,8,1,0,1,0,33,4,0,0,1,3,1,0,1,1,0,12,1,0,1,0,3,3,4,4,0,0,30,18,0,0,1,0,tejer001,downs001,sorij001,greiz001,marcs001,,0.22857142857142856,0.12121212121212122,0.25,0.17142857142857143,0.42857142857142855,0.21212121212121213,0.6785714285714286,0.38354978354978353,0.0,1.0
20100423,TOR,AL,17,TBA,AL,17,6,5,54,STP01,22056,38,11,6,0,1,6,0,0,1,5,1,12,1,0,0,0,11,4,5,5,0,1,27,5,0,0,0,0,36,9,2,0,2,5,0,0,0,3,0,10,2,0,0,0,7,6,6,6,1,0,27,5,0,0,0,0,cecib001,garzm001,gregk001,cecib001,garzm001,,0.2894736842105263,0.25,0.38636363636363635,0.3076923076923077,0.5263157894736842,0.4722222222222222,0.9126794258373205,0.7799145299145299,1.0,0.0
20100424,TOR,AL,18,TBA,AL,18,3,9,51,STP01,23870,33,6,1,0,2,3,0,0,1,2,1,10,1,0,0,0,6,4,9,9,1,0,24,12,2,0,1,0,34,11,2,0,1,9,1,0,1,5,1,3,0,0,1,0,8,5,3,3,0,0,27,7,0,0,0,0,wheed001,downs001,,romer002,niemj001,,0.18181818181818182,0.3235294117647059,0.25,0.425,0.3939393939393939,0.47058823529411764,0.6439393939393939,0.8955882352941176,0.0,1.0
20100425,TOR,AL,19,TBA,AL,19,0,6,51,STP01,23250,30,4,2,0,0,0,0,0,0,1,0,9,0,0,1,0,4,4,6,6,0,0,24,13,0,0,1,0,27,8,3,0,0,6,0,0,1,8,0,9,0,4,1,0,6,1,0,0,0,1,27,11,0,0,1,0,pricd001,morrb001,,morrb001,pricd001,,0.13333333333333333,0.2962962962962963,0.16129032258064516,0.4722222222222222,0.2,0.4074074074074074,0.3612903225806452,0.8796296296296295,0.0,0.0
20100426,BOS,AL,20,TOR,AL,20,13,12,54,TOR02,13847,45,18,4,0,0,12,0,0,1,4,0,11,2,0,0,0,10,7,12,12,0,0,27,4,0,0,0,0,42,16,4,2,2,12,0,1,0,4,0,9,0,0,0,0,8,6,13,13,2,0,27,8,0,0,0,0,schos001,camps002,papej001,beckj002,eveld001,,0.4,0.38095238095238093,0.46,0.425531914893617,0.4888888888888889,0.7142857142857143,0.9488888888888889,1.1398176291793314,0.0,0.0
20100427,BOS,AL,21,TOR,AL,21,2,1,54,TOR02,14776,33,7,1,0,0,2,0,0,0,5,0,7,0,0,1,0,9,2,1,1,0,0,27,10,1,0,0,0,34,7,1,0,0,1,0,0,0,2,0,4,0,0,0,0,8,3,2,2,0,0,27,11,0,0,1,0,buchc001,downs001,ramir003,buchc001,marcs001,,0.21212121212121213,0.20588235294117646,0.3157894736842105,0.25,0.24242424242424243,0.23529411764705882,0.5582137161084529,0.4852941176470588,0.0,0.0
20100428,BOS,AL,22,TOR,AL,22,2,0,54,TOR02,15276,33,8,4,0,0,2,0,1,0,1,0,6,1,0,1,0,6,3,0,0,0,0,27,8,0,0,0,0,28,2,2,0,0,0,0,0,0,2,0,15,0,1,0,0,3,4,2,2,0,0,27,8,0,0,1,0,lestj001,cecib001,papej001,lestj001,cecib001,,0.24242424242424243,0.07142857142857142,0.2571428571428571,0.13333333333333333,0.36363636363636365,0.14285714285714285,0.6207792207792208,0.2761904761904762,0.0,0.0
20100429,OAK,AL,23,TOR,AL,23,3,6,51,TOR02,10721,31,5,3,0,0,3,0,0,1,4,0,10,1,0,2,0,6,5,6,6,0,0,24,10,0,0,1,0,31,8,2,0,4,6,0,0,0,6,1,7,0,0,1,0,7,4,3,3,1,0,27,14,1,0,2,0,romer002,duchj001,gregk001,duchj001,romer002,,0.16129032258064516,0.25806451612903225,0.2777777777777778,0.3783783783783784,0.25806451612903225,0.7096774193548387,0.53584229390681,1.088055797733217,1.0,0.0
