teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO
TOR,AL,4,0,35,8,1,0,2,4,2,7,6,3,5,5,1,0.2285714285714285,0.2702702702702703,0.42857142857142855,0.6988416988416988,0.0,,0.9876543209876544,0.2058823529411765,0.05882352941176471,4.066654320987655,0.21739130434782608,5.4,6,7
TOR,AL,7,0,32,5,2,0,3,7,10,10,11,3,2,2,3,0.15625,0.37777777777777777,0.5,0.8777777777777778,1.0,0.0,0.8888888888888888,0.25,0.08333333333333333,4.967888888888889,0.13636363636363635,3.63,5,9
TOR,AL,3,0,34,9,2,1,1,3,4,13,9,3,1,1,0,0.2647058823529412,0.3333333333333333,0.4705882352941176,0.8039215686274509,1.0,1.0,1.0,0.2571428571428571,0.11428571428571427,2.4123333333333337,0.2272727272727273,2.73,5,9
TOR,AL,7,0,32,9,4,0,1,7,3,8,4,4,6,6,0,0.28125,0.32432432432432434,0.5,0.8243243243243243,1.0,1.0,1.5555555555555556,0.2,0.175,5.412333333333334,0.2608695652173913,3.57,7,8
TOR,AL,3,0,34,9,6,0,0,3,6,5,11,3,0,0,0,0.2647058823529412,0.3902439024390244,0.4411764705882353,0.8314203730272597,1.0,1.0,1.0,0.08823529411764706,0.08823529411764706,3.745666666666666,0.2222222222222222,2.84,6,3
TOR,AL,5,0,35,7,1,0,4,5,2,7,5,4,2,2,1,0.2,0.2432432432432433,0.5714285714285714,0.8146718146718146,1.0,1.0,1.1111111111111112,0.2285714285714285,0.028571428571428567,1.6345555555555558,0.3461538461538461,2.7,9,8
TOR,AL,7,1,41,8,3,0,2,7,6,11,8,5,8,8,1,0.1951219512195122,0.3125,0.4146341463414634,0.7271341463414633,0.0,1.0,1.5454545454545454,0.08163265306122447,0.061224489795918366,7.260818181818182,0.2972972972972973,3.36,14,4
TOR,AL,4,1,34,10,4,0,0,4,2,6,8,2,2,2,0,0.29411764705882354,0.3333333333333333,0.4117647058823529,0.7450980392156863,1.0,0.0,0.3333333333333333,0.4516129032258064,0.06451612903225806,2.4123333333333337,0.0,3.19,1,14
TOR,AL,1,1,29,2,0,0,0,1,3,8,4,5,11,11,0,0.06896551724137931,0.15625,0.06896551724137931,0.2252155172413793,0.0,1.0,2.1111111111111107,0.08888888888888889,0.08888888888888889,6.745666666666668,0.38235294117647056,4.04,15,4
TOR,AL,7,1,34,12,5,0,1,7,6,15,10,4,3,3,0,0.35294117647058826,0.4390243902439024,0.5882352941176471,1.0272596843615496,1.0,0.0,0.8888888888888888,0.2352941176470588,0.08823529411764706,5.190111111111111,0.14285714285714285,3.94,5,8
TOR,AL,5,1,34,8,0,0,3,5,1,9,3,3,7,7,1,0.2352941176470588,0.2571428571428571,0.5,0.7571428571428571,0.0,1.0,1.4444444444444444,0.18421052631578946,0.05263157894736842,3.634555555555557,0.35714285714285715,4.22,11,7
TOR,AL,3,1,34,7,5,0,0,1,1,4,5,4,6,6,0,0.2058823529411765,0.2285714285714285,0.35294117647058826,0.5815126050420169,0.0,0.0,1.4444444444444444,0.15384615384615385,0.07692307692307693,5.634555555555559,0.2857142857142857,4.36,10,6
TOR,AL,1,1,31,4,2,0,1,1,0,6,3,2,2,2,1,0.12903225806451613,0.12903225806451613,0.2903225806451613,0.41935483870967744,0.0,0.0,1.0,0.19444444444444445,0.05555555555555555,2.190111111111112,0.2692307692307692,4.18,7,7
TOR,AL,8,1,36,11,4,0,3,7,6,8,11,3,1,1,0,0.3055555555555556,0.4047619047619048,0.6666666666666666,1.0714285714285714,1.0,0.0,0.7777777777777778,0.28125,0.0625,1.745666666666667,0.2380952380952381,3.96,5,9
TOR,AL,4,1,29,8,4,0,1,4,2,6,4,4,2,2,1,0.27586206896551724,0.3125,0.5172413793103449,0.8297413793103449,1.0,1.0,1.5555555555555556,0.15384615384615385,0.07692307692307693,2.7456666666666667,0.3666666666666665,3.83,11,6
TOR,AL,3,1,33,4,0,0,1,3,1,12,3,3,4,4,0,0.12121212121212124,0.17142857142857146,0.21212121212121213,0.3835497835497835,0.0,1.0,0.9,0.19444444444444445,0.027777777777777776,4.5790000000000015,0.2307692307692308,3.81,8,7
TOR,AL,6,0,38,11,6,0,1,6,5,12,11,4,5,5,0,0.2894736842105263,0.3863636363636364,0.5263157894736842,0.9126794258373204,1.0,0.0,1.3333333333333333,0.2564102564102564,0.07692307692307693,4.745666666666667,0.2916666666666667,3.88,9,10
TOR,AL,3,0,33,6,1,0,2,3,2,10,6,4,9,9,2,0.18181818181818185,0.25,0.3939393939393939,0.6439393939393939,0.0,1.0,2.0,0.07317073170731707,0.12195121951219512,6.2040000000000015,0.3333333333333333,4.19,11,3
