Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20120405,WAS,NL,1,CHN,NL,1,2,1,54,CHI11,41176,11,100000,32,4,1,0,0,2,0,0,0,6,0,10,1,0,0,0,9,3,1,1,0,0,27,9,1,0,1,0,33,6,0,1,0,1,0,0,0,1,0,7,0,1,1,0,6,3,2,2,1,0,27,8,1,0,0,0,clipt001,marmc001,lidgb001,stras001,dempr002,,1,Apr 5,@,CHC,"W,2-1",9,6,1,1,0,1,7,0,0,1,34,108,76,0,0,0,1,33,0,1,0,0,0,1,1,3,Dana DeMuth,"S.Strasburg (99-67), T.Clippard (99-W), B.Lidge (99-Sv)"
20120407,WAS,NL,2,CHN,NL,2,7,4,54,CHI11,40102,200050,100300000,37,12,1,0,2,7,1,0,0,3,0,7,0,0,1,0,7,5,4,4,2,0,27,6,0,0,0,0,35,8,0,1,0,3,0,0,1,5,0,13,2,0,0,0,10,5,7,7,0,0,27,13,0,0,1,0,mattr001,woodk002,rodrh002,gonzg003,garzm001,,2,Apr 7,@,CHC,"W,7-4",9,8,4,4,0,5,13,0,1,2.5,41,161,104,2,0,2,0,35,0,1,0,0,0,0,0,5,Kerwin Danley,"G.Gonzalez (99-34), C.Stammen (99), R.Mattheus (99-W), T.Clippard (1-H), H.Rodriguez (99-Sv)"
20120408,WAS,NL,3,CHN,NL,3,3,4,51,CHI11,31973,1002,00010102x,30,4,1,0,1,3,1,1,0,1,0,8,0,0,0,0,3,3,3,3,0,0,24,7,0,1,0,0,30,8,4,0,0,4,1,1,0,2,1,5,2,0,0,0,6,2,1,1,0,0,27,9,1,0,0,0,samaj001,zimmj003,marmc001,zimmj003,samaj001,,3,Apr 8,@,CHC,"L,3-4",8,8,4,3,1,2,5,0,0,2.77,34,107,71,2,1,2,0,30,4,0,1,1,1,0,0,3,Doug Eddings,"J.Zimmermann (99-63-L), R.Mattheus (0), S.Burnett (99)"
20120409,WAS,NL,4,NYN,NL,4,3,4,51,NYC20,23970,102000000,1200001,35,10,1,1,0,3,0,0,0,4,0,10,0,0,2,0,9,3,3,3,0,0,24,7,2,0,0,0,31,7,3,0,1,4,1,0,0,6,1,7,0,1,0,0,10,4,3,3,0,0,27,10,1,0,2,0,raucj001,rodrh002,,jacke001,pelfm001,,4,Apr 9,@,NYM,"L,3-4",8,7,4,3,1,6,7,1,0,2.91,38,141,79,1,0,0,1,31,3,0,1,1,0,2,0,3,Todd Tichenor,"E.Jackson (99-51), T.Gorzelanny (99), H.Rodriguez (1-L)"
20120410,WAS,NL,5,NYN,NL,5,6,2,54,NYC20,26927,100003110,110,37,13,4,0,1,5,1,1,1,4,0,11,0,1,1,0,11,5,2,2,0,0,27,13,0,0,1,0,33,7,3,0,0,2,0,0,0,3,0,10,0,0,1,0,7,3,5,5,0,0,27,8,1,0,2,0,detwr001,gee-d001,,detwr001,gee-d001,,5,Apr 10,@,NYM,"W,6-2",9,7,2,2,0,3,10,0,0,2.72,36,140,97,2,0,0,0,33,3,0,0,0,0,0,1,5,Brian Gorman,"R.Detwiler (99-68-W), C.Stammen (2), S.Burnett (1-H), T.Clippard (2), B.Lidge (4)"
20120411,WAS,NL,6,NYN,NL,6,4,0,54,NYC20,34614,10000111,0,34,9,1,0,0,3,0,0,1,10,0,10,1,1,0,0,14,4,0,0,1,0,27,4,1,0,0,0,30,3,0,0,0,0,0,0,1,4,0,15,0,0,0,0,8,6,4,4,1,0,27,5,0,1,1,0,stras001,santj003,,stras001,santj003,,6,Apr 11,@,NYM,"W,4-0",9,3,0,0,0,4,15,0,1,2.25,35,164,99,0,0,0,0,30,0,0,0,0,0,0,0,4,Larry Vanover,"S.Strasburg (5-74-W), R.Mattheus (2-H), S.Burnett (0-H), H.Rodriguez (1)"
20120412,CIN,NL,7,WAS,NL,7,2,3,59,WAS11,40907,20,200001,36,5,4,0,0,2,0,0,0,2,1,12,0,0,0,0,6,4,3,3,1,0,29,11,0,0,1,0,37,9,1,0,0,2,0,0,1,4,0,2,0,0,1,0,10,4,2,2,0,0,30,10,1,0,0,0,stamc001,simoa001,,latom001,gonzg003,,7,Apr 12,1,CIN,"W,3-2",10,5,2,2,0,2,12,0,0,2.18,38,154,103,0,0,0,0,36,4,0,1,0,0,1,0,4,Mike Everitt,"G.Gonzalez (4-80), T.Clippard (1-H), B.Lidge (1-BSv), C.Stammen (1-W)"
20120413,CIN,NL,8,WAS,NL,8,1,2,76,WAS11,26959,100000000,100001,44,5,2,0,0,1,0,1,0,5,0,10,1,0,0,0,10,6,2,2,0,0,37,15,0,0,0,0,44,9,2,0,1,2,1,0,0,5,0,8,1,0,0,0,11,6,1,1,0,0,39,17,2,0,1,0,stamc001,marss002,,arrob001,zimmj003,,8,Apr 13,1,CIN,"W,2-1",13,5,1,1,0,5,10,0,0,1.92,50,193,128,0,0,1,0,44,2,0,0,0,1,2,0,6,Paul Schrieber,"J.Zimmermann (4-68), R.Mattheus (1), H.Rodriguez (1), B.Lidge (0), T.Gorzelanny (3), C.Stammen (0-W)"
20120414,CIN,NL,9,WAS,NL,9,1,4,51,WAS11,35489,10000000,01200010x,28,2,1,0,0,1,0,0,1,1,0,9,0,0,1,0,2,2,4,4,0,0,24,9,0,0,1,0,33,10,2,0,0,4,0,0,0,5,0,5,0,0,1,0,10,1,1,1,0,0,27,10,0,0,1,0,jacke001,bailh001,,bailh001,jacke001,,9,Apr 14,1,CIN,"W,4-1",9,2,1,1,0,1,9,0,1,1.82,30,92,67,1,1,0,0,28,1,0,0,0,0,0,1,1,Tim Welke,E.Jackson (4-87-W)
20120415,CIN,NL,10,WAS,NL,10,8,5,66,WAS11,25679,40010000003,31010000,44,13,2,0,1,8,2,0,0,5,2,10,1,0,2,0,10,5,5,5,0,0,33,19,1,0,1,0,41,9,2,0,0,5,0,0,0,3,0,9,0,0,1,0,6,6,4,4,0,0,33,16,2,0,2,0,arrej001,clipt001,marss002,leakm001,detwr001,,10,Apr 15,1,CIN,"L,5-8",11,13,8,4,4,5,10,1,0,1.99,51,192,125,0,0,1,0,44,2,0,2,2,0,2,2,6,Laz Diaz,"R.Detwiler (4-43), C.Stammen (1), R.Mattheus (1), B.Lidge (1), H.Rodriguez (1), T.Clippard (2-L)"
