Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,NYN,NL,1,WAS,NL,1,3,1,54,WAS11,42295,2100,100000,34,5,0,1,0,3,0,0,0,3,0,9,0,0,0,0,7,5,1,1,0,0,27,12,1,0,0,0,31,3,0,0,1,1,0,0,0,1,0,10,0,0,0,0,4,4,0,0,0,0,27,6,2,0,0,0,colob001,schem001,carlb001,colob001,schem001,1,Apr 6,1,NYM,"L,1-3",9,5,3,0,3,3,9,0,0,0,37,123,88,4,0,0,0,34,0,1,0,0,0,2,0,4,Tim Welke,"M.Scherzer (99-71-L), X.Cedeno (99), A.Barrett (99), M.Thornton (99)"
20150408,NYN,NL,2,WAS,NL,2,1,2,51,WAS11,25999,10000000,20000000x,32,6,0,0,0,1,0,0,0,1,0,6,1,0,0,0,5,2,2,2,0,0,24,9,0,0,0,0,31,7,3,0,1,2,0,0,0,3,2,8,0,0,0,0,8,4,1,1,0,0,27,6,0,0,1,0,zimmj003,degrj001,stord001,degrj001,zimmj003,2,Apr 8,1,NYM,"W,2-1",9,6,1,1,0,1,6,0,0,0.5,33,136,91,0,0,1,0,32,0,0,0,0,0,0,0,4,Mike Everitt,"J.Zimmermann (99-62-W), C.Stammen (99-H), B.Treinen (99-H), D.Storen (99-Sv)"
20150409,NYN,NL,3,WAS,NL,3,6,3,54,WAS11,25327,4002000,201,36,10,0,0,0,6,0,0,1,3,0,9,0,0,2,0,7,5,3,3,0,0,27,7,1,0,0,0,34,7,3,0,0,3,0,0,0,3,0,12,0,1,0,0,7,4,3,3,0,0,27,8,1,0,2,0,harvm001,stras001,,harvm001,stras001,3,Apr 9,1,NYM,"L,3-6",9,10,6,3,3,3,9,0,1,1.33,40,151,103,2,0,0,0,36,0,0,0,0,0,1,2,4,Tim Timmons,"S.Strasburg (99-34-L), X.Cedeno (2), T.Roark (99), A.Barrett (2)"
20150410,WAS,NL,4,PHI,NL,4,1,4,51,PHI13,19047,100000000,00000040x,32,6,1,0,1,1,0,0,0,1,0,9,0,0,0,0,5,4,4,4,0,0,24,17,0,0,2,0,27,7,2,0,0,4,0,1,2,4,0,5,0,1,1,0,6,4,1,1,0,0,27,11,0,0,0,0,garcl005,gonzg003,papej001,gonzg003,willj003,4,Apr 10,@,PHI,"L,1-4",8,7,4,4,0,4,5,0,2,2.06,34,122,83,6,4,0,1,27,2,0,0,0,1,0,1,4,David Rackley,"G.Gonzalez (99-51-L), X.Cedeno (0-BSv), C.Stammen (1), B.Treinen (1)"
20150411,WAS,NL,5,PHI,NL,5,2,3,58,PHI13,23740,1000100,201,36,7,1,0,1,2,0,0,0,4,1,9,1,0,0,0,8,5,3,3,0,0,28,15,1,0,0,0,41,13,5,0,0,3,0,0,0,2,1,5,0,0,0,0,12,5,2,2,1,0,30,16,0,0,0,0,mcgod001,roart001,,fistd001,hamec001,5,Apr 11,@,PHI,"L,2-3",9.1,13,3,3,0,2,5,0,0,2.23,43,155,102,1,0,0,0,41,5,0,1,0,0,0,0,5,Jerry Layne,"D.Fister (99-61), M.Thornton (4-H), B.Treinen (0-BSv), C.Stammen (0), T.Roark (1-L)"
20150412,WAS,NL,6,PHI,NL,6,4,3,60,PHI13,30094,1001000002,101001,37,9,2,0,1,3,0,1,1,4,0,8,0,1,0,0,9,5,3,3,0,0,30,5,1,0,0,0,39,9,0,0,1,3,0,0,0,4,0,12,2,0,0,0,10,5,4,4,2,0,30,13,0,0,0,0,barra001,diekj001,stord001,schem001,osuls001,6,Apr 12,@,PHI,"W,4-3",10,9,3,3,0,4,12,1,0,2.32,43,166,112,0,0,2,0,39,0,0,0,0,0,0,0,5,Hunter Wendelstedt,"M.Scherzer (5-62), X.Cedeno (1-BSv), C.Stammen (0), A.Barrett (2-W), D.Storen (3-Sv)"
20150413,WAS,NL,7,BOS,AL,7,4,9,51,BOS07,37203,20110,13400100x,32,4,0,1,2,4,0,0,0,2,0,9,0,0,1,0,3,4,8,8,2,0,24,13,1,0,3,0,34,13,0,0,2,9,0,1,2,5,0,2,2,0,3,0,9,2,3,3,0,0,27,9,2,0,1,0,porcr001,zimmj003,,zimmj003,porcr001,7,Apr 13,@,BOS,"L,4-9",8,13,9,8,1,5,2,2,2,3.18,42,164,93,3,1,2,0,34,0,0,0,0,1,1,3,4,Manny Gonzalez,"J.Zimmermann (4-8-L), T.Roark (1), A.Barrett (0), X.Cedeno (0)"
20150414,WAS,NL,8,BOS,AL,8,7,8,51,BOS07,35258,10060000,02210030x,36,10,1,1,0,7,0,0,2,3,0,11,1,1,0,0,7,4,5,5,0,0,24,13,3,0,1,0,36,11,1,0,1,6,0,0,3,1,0,5,1,0,1,0,8,5,7,7,1,1,27,12,1,0,0,0,mujie001,treib001,uehak001,stras001,mastj001,8,Apr 14,@,BOS,"L,7-8",8,11,8,5,3,1,5,1,3,3.45,40,150,99,5,2,1,0,36,1,0,0,0,0,2,1,4,Jim Reynolds,"S.Strasburg (4-33), C.Stammen (1-H), M.Thornton (2-H), B.Treinen (2-BL)"
20150415,WAS,NL,9,BOS,AL,9,10,5,54,BOS07,33493,206000200,20021000,38,12,4,1,2,10,0,0,0,6,0,5,0,0,1,0,7,3,4,4,0,0,27,10,1,0,0,0,35,7,2,1,1,5,0,0,0,2,0,12,0,0,0,0,5,4,10,10,0,0,27,11,0,0,1,0,gonzg003,milew001,,gonzg003,milew001,9,Apr 15,@,BOS,"W,10-5",9,7,5,4,1,2,12,1,0,3.52,37,158,102,0,0,0,0,35,2,1,0,0,0,1,0,3,Paul Schrieber,"G.Gonzalez (4-46-W), R.Martin (99), D.Storen (2)"
20150416,PHI,NL,10,WAS,NL,10,2,5,51,WAS11,24768,1100000,10011200x,31,5,1,1,0,2,0,1,0,4,1,6,0,0,1,0,7,3,5,5,0,1,24,10,0,0,1,0,29,6,2,0,2,5,0,0,0,4,1,9,0,0,1,0,4,4,1,1,0,0,27,5,1,0,1,0,fistd001,hamec001,stord001,hamec001,fistd001,10,Apr 16,1,PHI,"W,5-2",9,5,2,1,1,4,6,0,0,3.26,36,113,70,3,0,0,0,31,1,1,1,0,1,1,1,4,Larry Vanover,"D.Fister (4-60-W), M.Thornton (1-H), A.Barrett (2-H), D.Storen (0-Sv)"
