Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20170403","MIA","NL",1,"WAS","NL",1,2,4,51,"WAS11",42744,"000200000","00000121x",33,6,2,0,0,2,0,0,0,0,0,5,0,0,0,0,4,4,4,4,0,0,24,7,0,0,2,0,31,9,2,0,2,4,0,0,0,3,0,9,2,0,2,0,6,3,2,2,0,0,27,12,0,0,0,0,"stras001","pheld001","treib001","volqe001","stras001",
"20170405","MIA","NL",2,"WAS","NL",2,4,6,51,"WAS11",22715,"200000011","01041000x",33,9,1,0,1,4,1,0,3,2,0,10,0,0,1,0,8,5,6,6,0,0,24,11,0,1,1,0,31,11,3,0,1,6,1,0,0,4,0,5,0,1,1,0,6,5,4,4,1,0,27,12,0,0,1,0,"roart001","strad003","treib001","strad003","roart001",
"20170406","MIA","NL",3,"WAS","NL",3,4,3,60,"WAS11",19418,"0000000211","1000001100",40,14,1,0,1,4,0,0,0,4,1,9,1,0,4,0,10,6,3,3,0,0,30,8,0,0,2,0,36,8,1,0,3,3,0,0,0,6,3,7,1,0,1,0,9,6,4,4,1,0,30,13,0,1,4,0,"pheld001","blanj001","ramoa001","koeht001","gonzg003",
"20170407","WAS","NL",4,"PHI","NL",4,7,6,54,"PHI13",45121,"202030000","000001302",35,11,2,0,3,7,0,0,0,6,0,17,1,0,3,0,7,5,6,6,0,0,27,5,0,0,0,0,35,9,3,0,2,6,0,0,0,4,0,9,0,0,0,0,6,5,7,7,0,0,27,8,0,0,3,0,"schem001","velav001","treib001","schem001","velav001",
"20170408","WAS","NL",5,"PHI","NL",5,3,17,51,"PHI13",37241,"000102000","(12)1000121x",34,10,2,0,0,3,0,0,0,2,0,10,1,0,2,0,6,5,16,16,0,0,24,5,2,0,1,0,37,15,3,3,2,16,0,3,0,5,0,10,1,0,1,0,4,3,3,3,0,0,27,9,0,0,2,0,"nolaa001","guthj001","","guthj001","nolaa001",
"20170409","WAS","NL",6,"PHI","NL",6,3,4,53,"PHI13",36917,"000000003","010020001",33,6,2,0,1,3,0,0,0,4,0,6,0,0,0,0,7,3,4,4,0,0,26,10,0,0,0,0,32,7,2,0,0,4,0,0,0,5,0,8,1,1,0,0,7,5,3,3,0,0,27,6,0,0,0,0,"gomej002","glovk001","","stras001","hellj001",
"20170410","SLN","NL",7,"WAS","NL",7,6,14,51,"WAS11",27413,"021020001","11013107x",39,10,1,0,1,6,0,0,0,0,0,6,1,0,1,0,6,6,13,13,0,0,24,5,1,0,1,0,40,19,4,0,0,14,1,2,0,6,1,8,1,0,1,0,11,4,4,4,0,0,27,9,4,0,2,0,"roart001","waina001","","waina001","roart001",
"20170411","SLN","NL",8,"WAS","NL",8,3,8,51,"WAS11",30663,"100100010","00222011x",31,7,1,0,2,3,1,1,1,1,0,7,0,0,1,0,5,3,5,5,0,0,24,8,2,0,0,0,36,11,4,0,3,7,0,0,1,4,0,5,0,0,0,0,9,3,2,2,0,0,27,9,1,0,1,0,"gonzg003","lynnl001","","lynnl001","gonzg003",
"20170412","SLN","NL",9,"WAS","NL",9,6,1,54,"WAS11",31647,"100020003","000000010",35,8,1,0,1,6,0,1,2,3,0,14,2,0,0,0,8,5,1,1,0,0,27,10,0,0,0,0,34,8,2,0,0,1,0,0,0,0,0,8,0,0,0,0,6,6,4,4,3,0,27,5,2,0,0,0,"leakm001","schem001","","leakm001","schem001",
"20170414","PHI","NL",10,"WAS","NL",10,2,3,57,"WAS11",38664,"0100100000","0100001001",34,6,2,0,1,2,0,0,0,3,0,11,0,0,2,0,5,5,3,3,0,0,27,13,0,1,1,0,35,9,3,0,0,3,0,0,1,4,1,9,0,0,1,0,10,4,2,2,0,0,30,13,0,0,2,0,"kells001","gomej002","","nolaa001","stras001",
"20170415","PHI","NL",11,"WAS","NL",11,4,2,54,"WAS11",35626,"000200020","001000100",32,6,1,0,1,4,0,0,1,0,0,5,1,0,1,0,2,3,2,2,0,0,27,8,0,0,0,0,31,4,1,0,1,2,0,0,0,1,0,3,0,0,0,0,3,3,4,4,0,0,27,12,0,0,1,0,"hellj001","blanj001","benoj001","hellj001","roart001",
"20170416","PHI","NL",12,"WAS","NL",12,4,6,53,"WAS11",29774,"100000021","102000003",34,8,2,0,1,3,1,0,0,4,0,5,1,1,0,0,8,4,6,6,0,0,26,9,1,0,0,0,37,11,3,0,2,6,0,0,0,2,1,5,0,0,0,0,7,4,3,3,1,0,27,13,1,0,0,0,"kells001","benoj001","","eickj001","gonzg003",
"20170418","WAS","NL",13,"ATL","NL",13,3,1,54,"ATL03",21834,"000020010","000000001",31,7,4,0,0,3,1,0,0,4,0,4,0,2,1,0,6,4,1,1,2,0,27,9,0,0,1,0,30,5,0,0,0,1,1,0,0,5,0,9,0,0,1,0,8,3,3,3,1,0,27,16,1,0,1,0,"schem001","foltm001","kells001","schem001","foltm001",
"20170419","WAS","NL",14,"ATL","NL",14,14,4,54,"ATL03",22101,"150100052","201000010",46,20,3,0,3,13,0,0,0,6,2,7,1,0,1,0,11,3,4,4,0,0,27,12,0,0,2,0,33,8,0,0,1,4,0,0,0,2,0,8,0,0,2,0,4,5,14,14,1,0,27,9,1,0,1,0,"rossj002","tehej001","","rossj002","tehej001",
"20170420","WAS","NL",15,"ATL","NL",15,3,2,54,"ATL03",27498,"010002000","010100000",30,4,1,0,1,3,0,1,0,3,0,6,0,0,0,0,4,4,2,2,0,0,27,8,0,0,0,0,33,7,1,0,0,2,0,1,0,3,0,12,0,0,0,0,8,4,3,3,0,0,27,13,0,0,0,0,"stras001","dickr001","kells001","stras001","dickr001",
"20170421","WAS","NL",16,"NYN","NL",17,4,3,66,"NYC20",34773,"20001000001","10010100000",36,5,1,0,2,4,1,0,1,6,1,6,0,1,0,0,7,5,3,3,0,0,33,10,1,0,1,0,38,7,1,0,2,3,1,0,0,5,1,8,0,0,1,0,8,5,4,4,1,0,33,11,0,0,0,0,"romee002","smokj001","kells001","roart001","harvm001",
"20170422","WAS","NL",17,"NYN","NL",18,3,1,54,"NYC20",42145,"000120000","000001000",34,8,2,0,0,3,0,0,0,7,1,15,0,0,1,0,11,4,1,1,0,0,27,8,0,0,0,0,29,2,0,0,0,1,0,0,0,3,0,8,0,0,0,0,4,4,3,3,0,0,27,5,1,0,1,0,"gonzg003","degrj001","glovk001","gonzg003","degrj001",
