teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO
WAS,NL,1,1,34,9,4,0,0,1,3,11,9,6,11,11,1,0.2647058823529412,0.32432432432432434,0.38235294117647056,0.7066772655007949,0.0,,2.4444444444444446,0.08163265306122448,0.1836734693877551,8.079,0.3235294117647059,11.0,13,4
WAS,NL,4,1,36,10,2,1,1,4,5,9,11,5,7,7,1,0.2777777777777778,0.35714285714285715,0.4722222222222222,0.8293650793650793,0.0,0.0,2.111111111111111,0.13333333333333333,0.17777777777777778,6.190111111111111,0.3448275862068966,9.0,11,6
WAS,NL,6,1,31,9,4,1,1,6,3,3,6,5,5,5,1,0.2903225806451613,0.34285714285714286,0.5806451612903226,0.9235023041474655,1.0,0.0,1.7777777777777777,0.046511627906976744,0.09302325581395349,4.301222222222222,0.34285714285714286,7.67,12,2
WAS,NL,2,0,31,4,1,1,0,2,5,6,7,5,8,8,0,0.12903225806451613,0.25,0.22580645161290322,0.47580645161290325,0.0,1.0,2.25,0.14634146341463414,0.14634146341463414,10.329,0.32,7.97,12,6
WAS,NL,4,0,31,5,0,1,0,4,6,8,6,3,3,3,2,0.16129032258064516,0.2972972972972973,0.22580645161290322,0.5231037489102005,1.0,0.0,1.4444444444444444,0.23809523809523808,0.11904761904761904,2.856777777777778,0.3333333333333333,6.95,8,10
WAS,NL,5,0,32,7,1,1,1,5,5,6,7,4,2,2,1,0.21875,0.34210526315789475,0.40625,0.7483552631578947,1.0,1.0,1.2222222222222223,0.08108108108108109,0.10810810810810811,5.190111111111111,0.20689655172413793,6.11,7,3
WAS,NL,4,0,34,6,3,0,1,4,2,9,6,5,6,6,1,0.17647058823529413,0.24324324324324326,0.35294117647058826,0.5961844197138315,0.0,1.0,1.375,0.08571428571428572,0.08571428571428572,5.079000000000001,0.25,6.2,8,3
WAS,NL,7,0,34,10,4,0,0,7,6,5,8,7,14,14,0,0.29411764705882354,0.4146341463414634,0.4117647058823529,0.8263988522238164,0.0,0.0,2.375,0.09302325581395349,0.11627906976744186,8.829,0.3548387096774194,7.3,14,4
WAS,NL,7,0,33,9,1,0,2,7,9,6,9,4,5,5,0,0.2727272727272727,0.42857142857142855,0.48484848484848486,0.9134199134199135,1.0,0.0,1.5555555555555556,0.17073170731707318,0.12195121951219512,6.079000000000001,0.2692307692307692,7.04,9,7
WAS,NL,5,1,29,10,0,1,1,5,4,6,7,4,2,2,1,0.3448275862068966,0.45714285714285713,0.5172413793103449,0.974384236453202,1.0,1.0,1.2222222222222223,0.15789473684210525,0.07894736842105263,4.190111111111111,0.25925925925925924,6.52,8,6
