,teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win
1,CHN,NL,5,0,30,5,1,0,2,5,3,7,1,6,14,14,2,0.166666667,0.242424242,0.4,0.642424242,0
2,CHN,NL,2,0,31,7,1,0,0,1,3,7,6,4,3,3,0,0.225806452,0.285714286,0.258064516,0.543778802,0
3,CHN,NL,2,0,30,4,0,0,2,2,3,9,5,5,0,0,1,0.133333333,0.212121212,0.333333333,0.545454545,1
4,CHN,NL,4,0,36,11,0,0,1,4,2,7,13,3,5,5,0,0.305555556,0.380952381,0.388888889,0.76984127,0
5,CHN,NL,4,0,30,5,0,0,3,4,1,8,0,3,3,3,1,0.166666667,0.193548387,0.466666667,0.660215054,1
6,CHN,NL,1,0,31,5,1,0,0,1,8,9,12,5,2,2,1,0.161290323,0.333333333,0.193548387,0.52688172,0
7,CHN,NL,9,1,36,13,1,0,3,9,3,10,7,4,5,5,0,0.361111111,0.41025641,0.638888889,1.049145299,1
8,CHN,NL,7,1,32,12,2,0,1,7,4,4,8,5,6,6,1,0.375,0.447368421,0.53125,0.978618421,1
9,CHN,NL,6,1,36,10,4,0,3,6,4,9,7,4,6,6,3,0.277777778,0.35,0.638888889,0.988888889,0
10,CHN,NL,7,1,32,11,4,1,1,7,3,4,5,3,0,0,1,0.34375,0.388888889,0.625,1.013888889,1
11,CHN,NL,3,1,38,9,4,0,0,3,0,9,8,5,4,4,1,0.236842105,0.236842105,0.342105263,0.578947368,0
12,CHN,NL,1,0,34,9,1,0,0,1,5,9,12,5,4,4,1,0.264705882,0.375,0.294117647,0.669117647,0
13,CHN,NL,0,0,29,3,1,0,0,0,5,9,7,3,4,4,0,0.103448276,0.235294118,0.137931034,0.373225152,0
14,CHN,NL,9,0,39,14,2,1,1,9,9,9,14,5,3,3,0,0.358974359,0.469387755,0.538461538,1.007849294,1
15,CHN,NL,2,0,36,10,2,0,0,2,2,8,10,4,3,3,2,0.277777778,0.307692308,0.333333333,0.641025641,0
16,CHN,NL,8,0,38,13,2,1,2,7,3,9,8,2,1,1,1,0.342105263,0.390243902,0.605263158,0.99550706,1
17,CHN,NL,5,0,36,10,2,0,0,5,4,7,9,5,1,1,0,0.277777778,0.341463415,0.333333333,0.674796748,1
18,CHN,NL,12,0,42,18,4,0,4,12,4,4,8,3,2,2,1,0.428571429,0.468085106,0.80952381,1.277608916,1
19,CHN,NL,4,1,33,8,2,2,0,4,8,5,9,4,3,3,0,0.242424242,0.390243902,0.424242424,0.814486327,1
20,CHN,NL,1,1,33,7,0,0,0,1,2,3,8,3,2,2,1,0.212121212,0.257142857,0.212121212,0.469264069,0
21,CHN,NL,2,1,34,9,1,0,0,2,4,3,11,2,3,3,0,0.264705882,0.333333333,0.294117647,0.62745098,0
22,CHN,NL,5,1,32,6,0,0,1,5,1,6,3,5,9,9,1,0.1875,0.235294118,0.28125,0.516544118,0
23,CHN,NL,11,1,34,11,2,0,4,11,5,6,6,4,5,5,0,0.323529412,0.4,0.735294118,1.135294118,1
24,CHN,NL,7,1,35,14,3,0,1,7,4,5,10,4,5,5,0,0.4,0.461538462,0.571428571,1.032967033,1
25,CHN,NL,2,0,34,8,1,0,2,2,5,5,12,2,3,3,0,0.235294118,0.35,0.441176471,0.791176471,0
26,CHN,NL,2,0,30,5,0,0,0,2,0,7,4,3,4,4,0,0.166666667,0.212121212,0.166666667,0.378787879,0
27,CHN,NL,1,0,33,6,5,0,0,1,3,6,8,5,8,8,3,0.181818182,0.25,0.333333333,0.583333333,0
28,CHN,NL,14,0,41,15,4,1,3,14,8,6,8,5,7,7,1,0.365853659,0.469387755,0.731707317,1.201095072,1
29,CHN,NL,2,0,38,12,1,0,0,2,2,9,11,5,12,9,2,0.315789474,0.35,0.342105263,0.692105263,0
30,CHN,NL,3,0,30,5,1,0,1,2,1,8,2,2,5,5,1,0.166666667,0.193548387,0.3,0.493548387,0
31,CHN,NL,2,1,34,9,2,0,0,2,3,8,8,3,3,3,3,0.264705882,0.324324324,0.323529412,0.647853736,0
32,CHN,NL,2,1,31,7,2,0,0,2,2,5,6,2,3,3,2,0.225806452,0.264705882,0.290322581,0.555028463,0
33,CHN,NL,4,1,28,8,3,0,0,3,4,8,5,4,3,3,1,0.285714286,0.375,0.392857143,0.767857143,1
34,CHN,NL,6,1,36,11,3,0,1,5,3,10,8,6,10,10,0,0.305555556,0.365853659,0.472222222,0.838075881,0
35,CHN,NL,3,1,35,9,4,1,0,3,2,7,8,3,4,4,0,0.257142857,0.315789474,0.428571429,0.744360902,0
36,CHN,NL,4,1,33,8,2,0,0,3,4,3,9,3,3,3,1,0.242424242,0.324324324,0.303030303,0.627354627,1
37,CHN,NL,4,1,39,10,2,0,1,4,1,7,5,4,2,2,0,0.256410256,0.275,0.384615385,0.659615385,1
