Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO,TeamAbbr
6.2,0.7,33.4,9.5,2.1,0.0,1.4,5.7,4.4,8.9,7.2,4.6,3.0,3.0,0.1,0.2615,0.33870000000000006,0.4513,0.7899,0.9,1.0,1.011388888888889,0.2968203597228365,0.06475540176198072,3.370944444444445,0.27053342515970336,4.327,6.7,10.4,CHN
3.7,0.3,35.0,8.1,2.1,0.1,1.2,3.6,2.7,9.1,6.7,5.2,4.5,4.5,0.7,0.2459,0.3197,0.4267,0.7463000000000001,0.3,1.0,1.355,0.25640758983012174,0.08845441188226055,4.586777777777778,0.29946017819773874,4.534000000000001,8.6,9.7,PHI
4.1,0.7,35.4,8.4,1.4,0.3,0.4,3.2,1.8,7.6,6.0,5.0,4.5,4.5,0.6,0.2654,0.3224000000000001,0.42279999999999995,0.7452,0.4,0.0,1.5094696969696968,0.2374821414107128,0.11990892633749776,4.437737373737373,0.319186148411106,5.2219999999999995,8.9,9.6,PIT
2.9,0.6,34.9,8.2,2.0,0.0,1.0,2.8,4.3,9.4,9.2,4.6,4.1,4.1,0.4,0.2439,0.31429999999999997,0.42210000000000003,0.7363,0.4,1.0,1.1219241192411924,0.2422800525844301,0.08002578297379939,4.351791327913279,0.24577328135687265,4.199,7.1,9.1,CIN
5.4,0.3,37.5,8.9,1.1,0.5,1.8,4.8,5.0,12.5,8.7,6.1,4.3,4.3,0.7,0.2454,0.32130000000000003,0.4141,0.7353000000000001,0.6,0.0,1.399490231990232,0.22579215525439783,0.09163284285137832,4.701588522588522,0.2988979223125564,3.789,9.5,9.9,SLN
5.6,0.3,36.7,9.8,1.5,0.2,1.4,5.0,3.3,10.4,7.2,6.3,5.7,5.7,0.1,0.26870000000000005,0.3395,0.4666,0.8061,0.4,0.0,1.4560620915032678,0.25552788311660923,0.1049221168477568,4.9849313725490205,0.3060354621224186,4.667,8.8,10.1,BOS
5.7,0.5,38.0,12.2,2.1,0.3,1.7,5.3,2.2,11.0,8.4,5.0,3.7,3.7,0.1,0.26010000000000005,0.31320000000000003,0.4117,0.7249,0.7,1.0,1.2183558558558558,0.23834237022330002,0.07615537467529877,4.334983483483484,0.27405310872702177,4.96,8.2,8.7,CHA
5.1,0.4,32.6,7.3,1.6,0.0,1.4,4.9,3.2,8.9,5.2,4.7,5.0,5.0,0.4,0.251,0.3248,0.4337000000000001,0.7584,0.4,0.0,1.488888888888889,0.2380716090313614,0.06818479800677943,4.165388888888889,0.3431519395935872,3.6639999999999993,9.8,8.8,CLE
2.2,0.6,33.3,7.6,1.4,0.4,0.7,2.2,1.2,8.9,5.6,4.7,5.1,5.1,0.7,0.2404,0.2948,0.38849999999999996,0.6835000000000001,0.1,0.0,1.5665458937198067,0.23078886026254447,0.06322130720157035,3.9481183574879224,0.3655608844714796,5.2540000000000004,11.2,9.1,DET
4.9,0.5,33.3,7.4,1.6,0.1,1.9,4.9,2.7,10.9,4.6,6.3,3.6,3.6,0.5,0.26859999999999995,0.3403,0.49160000000000004,0.8318,0.4,0.0,1.2978535353535352,0.3087918175398627,0.07391653217785146,3.7425353535353536,0.3262922714204179,4.297,8.3,11.6,NYA
5.7,0.4,37.7,8.9,1.6,0.1,1.8,5.7,4.1,9.2,7.7,4.9,4.3,4.3,0.4,0.2465,0.3095,0.414,0.7232999999999999,0.5,1.0,1.160298543397135,0.20413079427882058,0.07197593342330186,4.733460996749729,0.24975397409607938,5.654000000000001,8.3,7.8,BAL
6.1,0.4,34.5,9.2,1.7,0.2,1.8,6.0,3.4,9.8,6.2,6.1,2.9,2.9,0.1,0.25730000000000003,0.3375,0.4720000000000001,0.8093999999999999,0.8,1.0,1.0969696969696972,0.2962017798125792,0.0767180241019652,3.2160202020202022,0.27744318181818184,3.4200000000000004,7.2,11.1,LAN
2.6,0.6,35.0,7.3,1.2,0.1,0.6,2.5,3.1,9.4,7.7,6.0,5.1,5.1,0.1,0.23969999999999997,0.3028,0.394,0.6969000000000001,0.3,0.0,1.3395833333333331,0.2692365980313479,0.09753354572746933,4.163305555555556,0.29057177949653384,4.364,8.3,11.0,SFN
6.2,0.4,34.3,9.3,2.0,0.4,1.8,5.9,3.2,6.9,6.2,5.3,4.1,4.1,0.4,0.2699,0.33799999999999997,0.49379999999999996,0.8318999999999999,0.8,1.0,1.348148148148148,0.2820213972048453,0.07185250388919924,2.7460987654320985,0.3478765239840952,4.192,8.8,10.4,MIN
