Home Team,Away Team,Game Time
WAS,PHI,September 24 @ 1:05PM
WAS,PHI,September 24 @ 7:05PM
CIN,MIL,September 24 @ 6:40PM
DET,MIN,September 24 @ 6:40PM
PIT,CHN,September 24 @ 7:05PM
TOR,BAL,September 24 @ 7:07PM
TBA,NYA,September 24 @ 7:10PM
NYN,FLO,September 24 @ 7:10PM
TEX,BOS,September 24 @ 8:05PM
CHA,CLE,September 24 @ 8:10PM
KCA,ATL,September 24 @ 8:15PM
ARI,SLN,September 24 @ 9:40PM
SFN,COL,September 24 @ 9:45PM
ANA,OAK,September 24 @ 10:07PM
SEA,HOU,September 24 @ 10:10PM
SDN,LAN,September 24 @ 10:10PM
