,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.0061501941066630945,0.007267035520731328,0.013892811122533322,0.02315746612559796,-0.04456853048183139,-0.05763437207073846,-0.05105793539126962,-0.04210214526242046,-0.044275575151549514,-0.027801904570421122,0.07444948675099522,0.019648732970341757,-0.12560590987552947,0.030414537877796237,0.09394844774206469,0.008890679286018742,0.01362663615749102,0.11602161328133048,-0.13723299103953615,-0.09328007329393899,0.03019022145844011,-0.008960835491985073,-0.052553290073267825,0.20636789117578083,0.022645345818918493,0.02211927684511044,0.03962018576072701,-0.016873107855965592,-0.0455580278803616,-0.1277971022911526,-0.05441056423590239,0.01961277929538285,-0.003891864086344358,0.03037096166782074,-0.04114172879554588,-0.028635493149001504,-0.05368135076414464,-0.06379066417459558,0.12660486068773222,0.015349040665420153,-0.128321704593984,-0.032159989551346864,0.04707432428238485,0.02628536744424693,-0.04409652067007109,0.14162491333245794,-0.10102094483351783,0.016532344552470966,0.0007121427276586279,0.049692553098862335,-0.03876460097809716,0.19006080156591626,0.022665696563569634,0.022534068958264153,0.04485595391220993,0.03074593109493088,-0.039799931827487325,-0.08906577221807586,-0.07483956487540273,2.683506866386111e-05,0.03411780191854213,0.04073595103105928,-0.02916261749099785,-0.02238314151030024,-0.009700597216198249,0.006482442607756072,0.012516203426438525,0.046889104776193714,0.004922593285688691,0.03506705435192039,-0.021645510199128783
Visiting Team Game Number,0.0061501941066630945,1.0,0.9994050000912182,-0.022414218276462044,0.04024750522631851,-0.04792282018029564,0.02340062998946705,-0.03850200719721684,-0.024909937785229496,-0.012777390022300312,0.032989548679635015,-0.012236135589429528,-0.029329067237700887,-0.018329389466199743,0.026571486348807197,0.010332379466580907,-0.06871234347548086,-0.0005625057996770047,0.012627464004979353,0.009092407865823326,-0.038582321101484386,-0.028067185777734826,-0.024079191061124265,-0.04999471999471569,0.11306057988407361,0.03294691144885236,0.03167842051778828,-0.061013403014954136,0.03261785400443521,-0.05100668806070399,0.004367082072067277,0.019290483478694748,-0.02181424047984193,-0.02573401155728714,-0.01746392683808279,-0.022039402789001346,0.012469074085303311,0.01797093540500121,-0.014923872341442379,0.02011864960523623,0.037508171177976876,0.0191262694737843,0.009889470791195315,0.00873108574973333,-0.0016160348857443682,-0.02136922700456178,-0.03895943539348278,0.006713445364225933,0.050195429722857926,-0.029970196651246908,0.032271748460603066,-0.01774665466937882,0.09950707038413947,-0.02386180340547293,-0.026033711142414286,0.018463670169940362,-0.013891979815694589,-0.040322580196250055,-0.029983459763210752,-0.019143009423490856,0.0032248283225568075,-0.02856295277254987,0.023386946529194916,-0.02464657058147789,0.022640610781963215,-0.041669011983998624,0.026746333055505278,-0.010671115643035906,0.028207524055096102,-0.02293127233097363,0.029434217079124452,0.024392437955261307
Home Team Game Number,0.007267035520731328,0.9994050000912182,1.0,-0.023306673482120607,0.03965398748297358,-0.047166119579952905,0.02724948586794436,-0.03766851609322791,-0.02479481970713571,-0.013323016390161518,0.03236765034126744,-0.011864735017661922,-0.03001039544962592,-0.02003289676219402,0.02619560094588483,0.009737304152345897,-0.06980064307110084,-0.001213740326667971,0.01519803379445333,0.006232471385605859,-0.03942804696798356,-0.029337949261934986,-0.023833763394558317,-0.04961428801221734,0.11227979630659297,0.03224845842629576,0.03098534114983842,-0.062056190795154585,0.032766867639813034,-0.05032515091384692,0.006219323864942902,0.019781676837580142,-0.021111623924649624,-0.02592363899470086,-0.013568317865778605,-0.02204002924835918,0.011519287032662955,0.016062861657442803,-0.016391568519097014,0.01970925601832797,0.03699111908023925,0.018585715620765095,0.010029440524727911,0.011730912641037235,-0.002631649464085179,-0.021172455177842588,-0.04011891026280648,0.007764981166072273,0.0495682521167527,-0.02957798618949133,0.03230433034122062,-0.017935811972952694,0.09901360683190533,-0.02417972496243075,-0.0262727384728246,0.01934541823731069,-0.015503918122131243,-0.03953426137489577,-0.03219606943775755,-0.021446787580346682,0.004461054570691765,-0.029182534139504692,0.02335936524048445,-0.025127414901417608,0.021785253764879397,-0.04223879863686238,0.025839558151845018,-0.010718566422397277,0.026922167163204107,-0.02317748080998311,0.02820683611158663,0.025036404883911283
Visiting Team Score,0.013892811122533322,-0.022414218276462044,-0.023306673482120607,1.0,0.02446847669824128,0.17635998614034043,-0.02427931214377499,0.622749632037246,0.7935549371447262,0.4941560082842995,0.19511635828285867,0.5405482541872008,0.9867100870093095,0.1453412376210259,0.30832060666796396,0.1269125777556215,0.3662192916494755,0.185650874937262,-0.1262848953532149,0.126257155217666,0.005142636085027912,0.00831144372641966,0.029963664931970706,0.24816495400212416,0.25130572278398894,0.026516663885346518,0.027274294638104393,0.03236143866256563,0.008628032585015228,0.3037159920908785,0.058834549736069934,-0.004208058877010456,0.010544334234643677,0.03643792808164072,-0.002840915688628638,0.29625334353182037,0.07653240448031433,0.041231174580003825,0.023708946904946092,0.025574394373230815,0.029832802995914613,-0.13257544614309222,0.01850479918320251,-0.04080984349387741,0.05512987684702368,-0.07937867846777519,0.11747197217759718,-0.0338581111418531,-0.07928245444269473,0.04354084996686064,0.015466672976286028,0.11030786388157161,0.4048258983017169,0.9699212321668598,0.9671044042577407,0.19964728047676897,0.047463303151720496,0.006375192878576082,0.0677812377192861,0.28876590532070456,0.021499610851585693,0.012748297519489603,0.014346034825979483,0.7863164166892698,-0.033302651019283785,0.76834674045159,-0.0342571825115971,0.7960170659072728,-0.024394420658016877,0.8327512418373271,-0.029516229165505233,0.024333703522886475
Home Team Score,0.02315746612559796,0.04024750522631851,0.03965398748297358,0.02446847669824128,1.0,-0.15607500024440538,0.008911128450806221,0.06522265794333754,0.05603122427224,0.030995672422164236,-0.027058994963976995,0.02480243292751151,0.027452005252682172,-0.058668505930387436,-0.015917417735649742,-0.01064112818811294,-0.03538355367495093,-0.10561153635151138,0.028554382995085396,-0.10600366849412889,-0.0639929336379167,0.017568401240976406,0.024677955643383667,0.03067003175911969,0.29588491029064384,0.9656358829732904,0.9641358578224279,0.14359754188085636,0.050421199131787095,-0.27858320499907196,-0.03929794749794921,0.2374748368280194,0.06232420486671245,-0.025706178682558235,-0.020601008108545194,0.4233227149651438,0.7616308696935153,0.43700370917728243,0.17356145845327284,0.5359003914063761,0.9862440547145298,0.06408940434759478,0.21815150713394163,0.06539078038623831,0.3223559960537589,0.1515054012540192,-0.12493929604893617,0.19132941398797013,0.03754313601093418,-0.0400343463913087,0.02337966489206467,0.10759194254527152,0.08929555914658212,0.021921602376762543,0.020726714621876426,-0.025469839982316035,0.012687568412717197,0.006356084204123689,-0.006696495581663269,-0.02001250145298672,0.01433724476513595,0.01295111322783181,0.031879370148168176,0.017600458831356715,0.7731958646715906,0.019126672834397035,0.7550722321304258,0.032382762648551104,0.7787151266083302,0.029326531741127627,0.8186736232937321,0.00253785618468779
Length of Game in Outs,-0.04456853048183139,-0.04792282018029564,-0.047166119579952905,0.17635998614034043,-0.15607500024440538,1.0,-0.008618548086655858,0.6558731036395221,0.22355539209248565,0.0815792726248229,0.024388016361229455,0.09243176805407644,0.16710133390558773,0.18876474116296849,0.11395337349012159,0.03649692246557008,0.22028349371797543,0.24975576163262436,0.21725393448602204,0.132972837742084,0.06893606899895381,-0.0020086372812669726,-0.0014701294223009645,0.26198693901539544,0.3910851136198639,-0.16001745418150448,-0.15955764484376894,0.05468801173526783,0.027067672560572652,0.9708090360087384,0.35508749084812696,0.030856127378466502,0.030631399654837407,0.10126589829995594,0.0022341987384363214,0.6295626787088507,-0.02681023137903375,-0.04250315659094445,0.004732440018557206,-0.07053093737848717,-0.16075025218248098,0.16105220913313176,-0.05249587874649252,0.06310687781988444,0.15666298220352975,0.23276073668166894,0.3111508825145073,0.0305712898429626,-0.00888846624078847,0.0902569017330078,0.026110340042229202,0.24986501957355806,0.41305368545785287,0.1682803044590275,0.16810543874413117,0.09933906213028658,-0.002371380467016383,0.9559198778133413,0.24384581113110473,0.11983519060919588,0.006815139079333522,0.030119812946626162,-0.013707702210862906,0.09635185393447866,-0.21067396434474947,0.10059451835822136,-0.18927645051730982,0.06370207594268643,-0.23237968870515474,0.08131229511646727,-0.2311470717260419,0.004823700499239844
Attendance,-0.05763437207073846,0.02340062998946705,0.02724948586794436,-0.02427931214377499,0.008911128450806221,-0.008618548086655858,1.0,-0.02013632444946198,-0.019447486308651934,-0.008327457807109582,-0.05026037262381721,-0.001074381393150785,-0.02610269514494845,0.010774400269327035,0.04236916543707188,0.0010430162748876616,0.03250188913504112,-0.004802354152362624,0.07217224314167815,-0.03525203482389981,0.003385729870079826,0.007446462246965613,-0.007536112393236117,0.02332577726240728,-0.04381559315125384,0.007410599266832031,0.007444026703294904,-0.007157740998755735,0.0216565169122223,-0.021968726408420843,0.0971850963304581,0.050401170700178,0.03724960573881125,-0.001346006135804707,0.0006543500466403577,0.008637578608485307,0.021716376578095452,-0.022925011959059386,0.021870877678620664,0.023959136409548783,0.016654099891047526,-0.019695336186676574,0.053694566442964664,0.04594242987593117,-0.037578330068212,0.01139136773106346,-0.06988899821135412,-0.04441223970232826,-0.021163553998634437,-0.0019965577626390543,0.05117804807820397,0.01871917119778731,-0.004629857560391476,-0.02849185801179891,-0.027937331647132593,0.02923460791066169,-0.007837187569057786,0.00840959398602268,-0.09461614733563882,-0.03978537498608092,0.0033726521663075826,-0.0061985296924266875,-0.04079538418302957,-0.005046326035834667,0.019050981913095868,-0.0063688882025486285,0.00810665457966865,-0.014889857541850317,0.022067689837306847,-0.01257386181364957,0.01835098074146385,-0.0030223334066888964
Visting Team At-Bats,-0.05105793539126962,-0.03850200719721684,-0.03766851609322791,0.622749632037246,0.06522265794333754,0.6558731036395221,-0.02013632444946198,1.0,0.7949651216917158,0.4236721918909655,0.14646035840536192,0.3208461992453817,0.6123434853406978,0.08658898837990843,0.09916698255887325,0.050204521350366835,0.1921441138547539,0.22935978184300673,0.09718926366372481,0.15687574169400992,-0.05876798832146323,-0.07576663674316436,0.033179289973407515,0.5919953135384733,0.3580006281470164,0.05382426000014624,0.05401496776146731,0.03996080556691116,0.04039535926422997,0.6696673273908034,0.22680863015720248,0.06925790093052087,0.03473071857537907,0.06113723514208047,0.001395442797658803,0.5763418804498578,0.1381883190334581,0.07877868837286091,0.02965371500876634,0.03492649597845484,0.06297907789110019,0.04969303819486923,0.004131695448097837,0.01614034803566437,0.14567207193813875,0.1132584686170189,0.2191002434566674,0.04055327501018806,-0.04373975451567548,0.04741678412534965,0.032606176772533524,0.210053075274543,0.5230105785395162,0.6007070356052313,0.5991236174073277,0.17355885805140261,0.014408451191876575,0.586637424081714,0.1097605795311669,0.25734975874602106,0.008809806758973726,-0.07098672659051156,0.001395442797658802,0.5980634068654012,-0.024689338996694715,0.5658190135931812,-0.02206082065674141,0.5487308272183484,-0.036870714852737026,0.5876194148845408,-0.03376591588971175,0.011936405131546611
Visting Team Hits,-0.04210214526242046,-0.024909937785229496,-0.02479481970713571,0.7935549371447262,0.05603122427224,0.22355539209248565,-0.019447486308651934,0.7949651216917158,1.0,0.5372005914305245,0.1868520973118782,0.39242781740284133,0.7868354564658883,0.13881368838102182,0.23649796034503648,0.07501242648557449,0.19681398874376113,0.180718490913456,-0.13765787899825943,0.15279171403732,0.0319955429787634,0.13858478982088154,0.0325789514376226,0.5336580348996398,0.2264844174770153,0.04884666524980811,0.049334593408107426,-0.003122905017919791,0.023864122605109703,0.3118829239219729,0.07356582808157355,0.013593006742161571,0.014131830159323526,0.010986864559474528,-0.004764238957284029,0.31437110191137535,0.09778460704885943,0.07887465345058074,0.03095776504154269,0.014703071497275413,0.05976827857342252,-0.0530004461373404,0.005742126907810969,-0.047612336395987095,0.06093089510684828,-0.04764092989518567,0.10991985565913175,0.01667927803888566,-0.05535667407755643,0.008757179548793365,0.027004806626201108,0.10826971134281743,0.4101402373529713,0.7883781932587522,0.7868273520178077,0.16301372068266276,0.02235536146328083,0.0975821164587317,0.12736274600062275,0.18768053135025448,-0.00986920001074589,0.14975900526043318,0.017357609449467855,0.9265188595552245,-0.008446434924273128,0.865898685209009,-0.014138370912919357,0.8101223410936635,-0.009985006167561756,0.8789955782967127,-0.012123919060259917,0.022183872460674908
Visting Team Doubles,-0.044275575151549514,-0.012777390022300312,-0.013323016390161518,0.4941560082842995,0.030995672422164236,0.0815792726248229,-0.008327457807109582,0.4236721918909655,0.5372005914305245,1.0,0.04352389566635868,0.10405250225096455,0.48509731878299,0.09357707827481064,0.15957951566837494,0.03260633860560185,0.14210004387677033,0.17274204179024039,-0.07841525416943446,0.04228972550282549,-0.029489153256858056,-0.008141002637668187,0.04533779868887151,0.28302978765020487,0.13082907396074497,0.02569171567891492,0.025926108096753307,0.018212493115253726,-0.01738856338892557,0.1409361663888299,0.015054382400236436,0.03008267962367306,0.0040876433931552585,-0.03213434951379389,-0.013254801221395308,0.1693801970936142,0.06538884006682638,0.05146013774293773,0.012213512990244648,-0.0308974390214376,0.029014349752246534,-0.04635588357471841,-0.009016402814578803,-0.06099427150266073,0.038717439814002705,-0.006188748925472448,0.03978559510155387,0.039531728311562264,-0.03704159493555172,-0.040769422804219115,0.021994599553962654,0.07810458293768675,0.22216792889807183,0.4883092228866519,0.48907537740874163,0.10732317764651406,-0.0035623605916621005,0.0024035943171346686,0.03845730184133431,0.13577654267876776,0.014097698138834646,0.0023524428626194947,0.0064650969222723575,0.512030691623469,0.006629078118175303,0.47547231698605436,0.001319171430506784,0.5383368597020882,-0.01870303979769053,0.5466167675156522,-0.012562274609643447,0.0029798810413556075
