,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.012153632922244884,0.010801328080174298,0.10357223608427613,0.029348512258832345,0.006639127126509512,-0.08671171134867013,0.05460930016132494,0.08113870668643543,0.08866657195624156,0.06902460910482579,0.07439884910613923,0.10509582259516169,-0.029200180857272592,0.02292978913408875,0.1305025896139358,0.037470839654257466,0.04183996215140888,-0.014713504722818344,0.05558500805524225,-0.05262474132960296,0.01260390579808312,-0.010355964548129811,0.03241881628907938,0.09755481709672346,0.03106404753471515,0.031587852756845336,0.048597128135691045,-0.0255171353170935,0.019941930199195494,-0.08404958010767177,-0.018513568527875602,0.034545639128702184,-0.018370103991084463,,0.02661679851149059,-0.00147354348820646,0.0068627715778231515,-0.008708758087360541,0.03335123915116344,0.030171633538212565,-0.08544743688282082,0.035801136931040665,0.02940206490352135,-0.004456206173061527,-0.06656721888260074,0.056030847624926994,-0.03906744253089767,-0.02451652700182155,-0.022855430187250128,-0.030769397453654663,-0.02518509838546,0.11848677603551558,0.10899102781835733,0.11215787756148354,0.00904575103565453,0.05290086351521973,-0.010528981611656501,-0.03167803763219076,-0.008197093720768127,0.011122955315301334,-0.005040386895729548,0.020341340469636954,,0.0925478899298527,-0.023042797926402677,0.09753410190542428,-0.013899549362156932,0.11432805524141158,0.009694322511289398,0.11546833746312266,0.001494561489067337,-0.07162706005138648
Visiting Team Game Number,0.012153632922244884,1.0,0.9995172275109,-0.029028652069557327,-0.013866046778569402,-0.04579998522126063,0.02602207929972503,-0.030786856639877822,-0.014627844484595183,-0.02776322914117075,0.010977094030360119,-0.014723026169414543,-0.028947529405924023,-0.03715742580890484,0.03099475253948828,0.0031645770305274252,-0.027084285188052,0.0475984103019319,0.01079868258802652,-0.00957999175212397,-0.027014926280800523,0.009272408807296613,-0.02770534585171494,-0.004355587649423741,0.04630038365379553,-0.013733607573473808,-0.013561847004913096,-0.0016586559672163261,-0.010144198732663697,-0.04629556593977131,-0.07023996851386675,-0.03513963624700544,-0.05173083304251684,-0.050980379343699894,,-0.017698712538031885,0.007151418388872317,0.022808680830777986,0.05025302362009076,-0.031136394492824307,-0.01646429085867774,-0.014481079990347864,0.011047528039294206,0.017810850844627885,-0.011421852278569627,0.016970788787457086,0.030724241273566034,0.03745193312841472,-0.010194271925886613,-0.052026725965025084,-0.03389552877591414,0.03047251765576047,0.09293527433779544,-0.025366628496202897,-0.025824604304180862,-0.04553631804035817,-0.02300197939026568,-0.041467830732459285,0.0020220559988388858,-0.03295898455040444,-0.008198204235678418,-0.0005462098253699165,0.0030742369417080923,,-0.006170081079565327,0.010247679021172927,-0.01483744539403746,0.0075178343624416775,-0.011582788768208127,0.003629700761903256,-0.013590255943488413,0.005326317867466776,-0.013761338941823688
Home Team Game Number,0.010801328080174298,0.9995172275109,1.0,-0.028890537911081506,-0.014617500058961187,-0.046120390097072916,0.02595870652564307,-0.03082049674087747,-0.014757742983642247,-0.02882270199617952,0.01246112130173065,-0.014343582135294903,-0.028909964467570205,-0.037853537769305896,0.030889693427194147,0.0024348907510569114,-0.027407393462259413,0.048223236757128335,0.01113928148522555,-0.009414745889806076,-0.026559513406172887,0.008804398008491612,-0.028762501879614037,-0.0048693294413854156,0.04583820497459439,-0.014747549478862674,-0.014579204435805456,-0.002363474775500775,-0.010020223157985708,-0.046569147496300624,-0.06993230603900315,-0.03526297704046305,-0.05104974302938727,-0.04964955907462307,,-0.01886311261009607,0.006496622016761814,0.022674738962613752,0.04974227613244126,-0.030963726931822477,-0.01740269196216885,-0.013855774337339892,0.011654279739170671,0.01609592644036003,-0.010039447068284375,0.016002541155459654,0.0308746161469067,0.0376303573765569,-0.010377871871141397,-0.051179347435139175,-0.0338315021391421,0.030787402890016323,0.09255551506128502,-0.025179519574955747,-0.02564522109994403,-0.04615275609509426,-0.022892592188329126,-0.04182079720649862,0.0013172062091118782,-0.03289507535575435,-0.008496474197667,-0.00067761831338895,0.002546039478553249,,-0.006487097397291812,0.010348823058067232,-0.015140340703627157,0.007789990166880826,-0.011535137432418456,0.0036402626627840984,-0.0136732755200522,0.005435592358756988,-0.013480602278200478
Visiting Team Score,0.10357223608427613,-0.029028652069557327,-0.028890537911081506,1.0,0.031068116163159066,0.2435876665193088,-0.006062796955489592,0.6354890300045077,0.7623997713856664,0.46667417070429634,0.18489074487950977,0.5475938529163646,0.9871892951325842,0.06797485638639396,0.25773360763219244,0.16237171910784412,0.4178065515161079,0.2588662130295085,-0.05919065165257416,0.17947992910561797,-0.037202674807228275,-0.03017356468736983,0.006806503175250491,0.231748141981666,0.22094116725128984,0.033159275448379565,0.03350044080498586,-0.03064360039544269,-0.08044599087207213,0.3612610208987791,0.0927550471979233,0.014976895456779231,0.04552705252368266,0.025448936184503803,,0.33905230793238633,0.08407948770108457,0.0473815562932115,0.04974969201780132,-0.009011552504295634,0.030500771563295212,-0.06625562617610782,0.03352139435756287,-0.008220663502832867,0.019500100401047188,-0.10712377902774768,0.15851658429046744,-0.04187383361396506,-0.07995923055080467,0.0396837787616233,-0.03133248205303218,0.10010410482379213,0.403763530428788,0.9694878213827673,0.9672960225046373,0.17018253744399398,0.04131768578036412,0.07673772618029488,0.030257003976147626,0.23521333737739972,0.09479567768904094,-0.03426239552354118,0.060776421162602436,,0.7570317571680254,-0.055942830999212434,0.7404544963073575,-0.050787569789611145,0.7890094308989144,-0.04168287828071871,0.8225871301992465,-0.04784806653049783,0.0030892782208418843
Home Team Score,0.029348512258832345,-0.013866046778569402,-0.014617500058961187,0.031068116163159066,1.0,-0.1564214218972707,0.025447161428081715,0.041602705763014045,0.023268864501849344,0.021042222822404685,-0.021079416246238564,0.020475152798835734,0.04135586944066504,-0.1044200492829421,-0.00276354479568395,0.05298091328266124,-0.03384703222531018,-0.12062574879014334,-0.017164491789854647,-0.07154405762751144,-0.07243980369744829,0.03168616902793728,-0.0051442251094559795,-0.015131832973107624,0.2714441413142023,0.9649463301338487,0.9638610707842853,0.18159602387627652,0.036862266878263564,-0.27932559020973946,-0.07397234808690231,0.20975845071845556,0.07261889590663861,-0.06763214644334602,,0.39723210887154436,0.7397531078016224,0.41629300611509373,0.2536591781616962,0.4980060650317351,0.9875890238659936,0.10924491982085371,0.2716257450843404,0.10343729039837855,0.32824019258842035,0.15187154239196626,-0.13968649870334632,0.09716823820534028,-0.01830086889714426,-0.041797086934820024,0.039598855890352176,0.14193363447311458,0.06378420527455429,0.0379506221665152,0.03824025549085807,-0.028202578432445547,-0.022016484256166383,0.009901751004039757,0.044757267268832154,-0.03921500166643839,0.04477591125369153,0.020969943052643915,0.0339859039975753,,-0.015928316890546548,0.756286367414985,-0.010276442466025031,0.7429042268605248,0.010513725494030403,0.7829720175704857,0.003271673238764698,0.8196869988109753,-0.0017574482698597496
Length of Game in Outs,0.006639127126509512,-0.04579998522126063,-0.046120390097072916,0.2435876665193088,-0.1564214218972707,1.0,0.010607579260731184,0.6768908351338386,0.28272615956234187,0.1270631214422688,0.10196498502554463,0.15223284546166257,0.24185719859776228,0.16893870369775715,0.09389373302326158,0.062115824266645144,0.2546042384415482,0.30853586233187197,0.23273176576070023,0.1946305159390987,0.11085518480426292,0.044636433024887304,0.034120867156719206,0.25753932710018806,0.44735656177494565,-0.14514155894042566,-0.1450236245215174,0.023585812859768508,0.005935201680158034,0.971316581662995,0.34621590349170983,-0.010932092157975033,0.01824018192188316,0.12319824376344739,,0.6423711655032437,0.011002402953308768,-0.05743915271628954,-0.017794188525609808,-0.05354131815967697,-0.14911020555001914,0.14110426960321876,-0.05530321813316254,0.07830444895082535,0.10344564667492777,0.1504176463339616,0.3215108378653756,0.06534969144735506,0.05459767178379355,0.11981129719258354,-0.027203537712807657,0.2400617289362109,0.48054027361095386,0.23009838175421662,0.23050586642014773,0.07609176043284208,0.028366409869626227,0.9547956296343248,0.26383320183133174,0.12519842102224307,0.02969367128858837,0.05056764776806918,0.0017492789596238404,,0.14850550238539667,-0.19274331260835018,0.15110235576586487,-0.18123189020396505,0.1372716100669251,-0.2129918094365541,0.15161800751537802,-0.2151633879954623,-0.01569292838883208
Attendance,-0.08671171134867013,0.02602207929972503,0.02595870652564307,-0.006062796955489592,0.025447161428081715,0.010607579260731184,1.0,0.012501999980355493,-0.018220825989645452,-0.02000008409212987,-0.0026710117674008183,-0.0031664450591170823,-0.007132891542840096,-0.0465175731483791,-0.06717430451024206,-0.05041031628625251,-0.02776035880445699,-0.010954653571173593,0.04694755104829934,-0.01836654598320636,0.044153196517201246,0.013712114886708869,0.004800452516950602,-0.044424917504566855,0.034981939883518366,0.032111175740871974,0.03225194250581646,0.0501752812915729,-0.017433906239032716,0.0021826526266958655,-0.043406482998645975,-0.007703814241897949,0.0071752713854865875,-0.0038233011279028514,,0.006353880437142016,-0.0051117730148029835,0.016160793908920154,0.024235220211188794,0.05607944636612594,0.02425958460389648,0.03077101803245817,-0.061765674622110515,-0.003490518028950626,0.029129119748362676,0.030336343026349626,0.03445657452104842,0.04233042903135083,-0.004188747041989336,-0.008965293420470264,-0.03334429099943969,-0.00474292360261401,0.010068638516305514,-0.013001695680517485,-0.013955515388664292,-0.03548539551937566,0.024105922236156707,0.0202797719756963,0.03480329631263124,0.01986098315752468,0.02725668835299489,0.014040535050772338,-0.009285841340917478,,-0.04703523860353933,0.00012627759674877236,-0.041920906870321864,0.0073239457753557485,-0.026640545173964327,0.03404772708976066,-0.034233270809125894,0.02628417010155422,-0.040057163875184626
Visting Team At-Bats,0.05460930016132494,-0.030786856639877822,-0.03082049674087747,0.6354890300045077,0.041602705763014045,0.6768908351338386,0.012501999980355493,1.0,0.8163801808994495,0.3993933169935451,0.13821243427321095,0.34527681158284923,0.629128745761381,0.030462503429484717,0.06995318316649426,0.04912806315028288,0.2332056959045734,0.2844014988159536,0.17518484264773526,0.24130931214141135,-0.028229644837876197,-0.10347018085098557,0.022039634448811588,0.5721959369196848,0.3831596519617122,0.05452998732744321,0.05520670380963389,0.015245664140361031,-0.03839435271818739,0.6894416486531391,0.2268041834314037,0.00813036344756753,0.04736333789326149,0.07186459522981416,,0.5817062637230317,0.14792394080380755,0.04986733388697867,0.04520719361764115,0.03151460970575517,0.04470388487042739,0.06384157655126431,0.008258485463188489,0.043504559803144605,0.11224708235922008,0.04628996381081877,0.2246665428818511,0.041253618924104236,-0.02382118331780249,0.0774670523087205,-0.05269863813117875,0.2183191089083993,0.5573882760952743,0.6179215072356185,0.6175449611844838,0.15444657268072035,0.0359372649521364,0.60633103920155,0.10191146547964636,0.22865277749861349,0.07212413223508057,-0.10894189339455855,0.027339683037658546,,0.6149661034317381,-0.03715828345904374,0.5771161102087937,-0.022520024025993547,0.5803395313119252,-0.032527233728708915,0.6174397545667039,-0.030926640610569902,-0.009658183604622698
Visting Team Hits,0.08113870668643543,-0.014627844484595183,-0.014757742983642247,0.7623997713856664,0.023268864501849344,0.28272615956234187,-0.018220825989645452,0.8163801808994495,1.0,0.4955600634513847,0.13304172709940565,0.3730057960640351,0.7547790597718936,0.11211397879001939,0.1939102340693587,0.06111694790083627,0.23292085305595966,0.24382760399260783,-0.018920028826795072,0.19358442722900449,0.023825480241111772,0.06264270321555251,0.0017992722010554685,0.554315831171157,0.20844759786072073,0.028739202539074055,0.029103907597367085,-0.016837571704637854,-0.06188747703544694,0.3608404680025944,0.09652190550294167,-0.0005208707507729906,0.05924661073560733,0.021496409781363916,,0.3348760837209519,0.09089170771938072,0.04516912318402238,0.04942725939968504,-0.01054421303889879,0.02334644132786414,-0.03516104343209562,0.015079774362185255,0.01158416598206847,0.015855040244763332,-0.08037319174429647,0.11145177269912541,-0.011563886608881696,-0.06853571981006237,0.0306417325535212,-0.05332552421124239,0.10776995619331022,0.4313972190093924,0.7650334184289452,0.7655326155082992,0.151562791541351,0.04610524617795108,0.16215663327260313,0.07736888511715849,0.1614038258975126,0.05797585145318604,0.07391163794538698,0.05120820818817549,,0.9185832395568928,-0.04868011518356624,0.849450609101994,-0.03796903396239267,0.7979723181722249,-0.035767816135118154,0.8703288460270369,-0.03895560604905767,-0.009528315495926563
Visting Team Doubles,0.08866657195624156,-0.02776322914117075,-0.02882270199617952,0.46667417070429634,0.021042222822404685,0.1270631214422688,-0.02000008409212987,0.3993933169935451,0.4955600634513847,1.0,-0.0002306786048020628,0.06296530933546073,0.4658158371034711,0.03987831134114598,0.12322125768453875,0.06280242250962348,0.22308467829508802,0.2409930128996853,-0.03748438204072409,0.06387720480423527,0.014174985274500309,-0.040170418640653134,-0.013998226499598832,0.2773337292645449,0.08433062337333114,0.02238986020521251,0.022226710615981533,-0.020507029828205185,-0.06490420844193506,0.1771413829689076,0.04824858229637932,0.016121420893964143,0.03944466263586707,-0.01966357496088973,,0.16670511082556363,0.043564980358223516,0.0005919544161780687,0.031349413578995004,0.0017867190527275421,0.021567106442148137,0.007975202403462866,0.027148584551429232,-0.035236500361169744,0.005622270295123027,-0.06482036174509401,0.065640858471939,0.0040128168885979285,-0.050092707670189904,0.0004673063325754106,-0.02020450475277067,0.04462636820051361,0.21957426589380558,0.4771472155355775,0.47785689912104207,0.08253543283296379,0.003589038644344821,0.054159972063096876,0.028254690295026322,0.07824498182964973,0.04418602665167337,-0.027199347225051934,0.07993240484512189,,0.48878378133469724,-0.031533298744868994,0.4669334534000214,-0.02962249878940249,0.5216582922761346,-0.026200869121813963,0.5352224573161142,-0.02921387830711805,-0.032907524589270716
