,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.0048566378989078115,0.004851152678759232,-0.03646011563920725,-0.01134883278716503,0.010583480705747104,-0.060006013992852915,-0.00580501160847665,-0.03827942122897039,-0.07158011052474814,0.005507694210333572,0.020021867917636726,-0.034353697564119996,-0.12578750650018866,-0.03970433761944256,0.006953546266619927,-0.03565554187042218,-0.050850514962106116,0.1704814780440211,-0.1439191828739875,-0.015964366393975166,-0.010128259872994398,-0.007643521354129186,-0.03557784703267811,0.08225401350235485,-0.027313543591882084,-0.027211340364081387,0.051323449349171865,-0.020125977314452394,0.0041852603023752755,-0.018438889123843526,0.02283398635329809,0.012141120003196929,-0.011855810435865713,0.03026738375497612,0.016248464394300423,-0.010828596576828678,-0.02857625730487758,0.024208885625990197,0.01801442085560754,-0.013959821116871147,-0.13816506124832886,-0.03484123146425764,0.0023574259649577155,-0.03511489589441105,-0.029429081425356735,0.13145875237851554,-0.05416563123303874,-0.023393613529156136,0.0019096369759625757,-0.061395042035885035,-0.01852539572851238,0.09369455236075241,-0.030841547512112225,-0.03289032022358501,0.030464738285179108,-0.043085691592881704,0.017456207669349792,-0.05856943938545594,-0.006685891613040373,0.04699216519024705,-0.01166075872302896,0.0001687782438932057,,-0.056799387067761775,-0.036307913975414635,-0.05269392207982089,-0.03193288357074531,-0.02385022559703959,-0.004448424375460743,-0.035743136205709555,-0.014740661686110006,0.05943433105440921
Visiting Team Game Number,0.0048566378989078115,1.0,0.9995015652323455,0.0017175074193994816,0.024144609372296906,0.008064843907029542,0.01468893296279647,0.007479541792373882,0.004896531853673692,-0.053047008462042876,-0.0028588900159925395,0.009621250790679345,-0.0022086695147734373,0.015467041068036457,0.0377740005323376,0.004182528882242205,-0.042723187982594564,0.05204098330830157,-0.008788612611188717,-0.007139640636495007,0.029802418200736282,-0.052103918456492836,0.019280483547766302,-0.016926298455636368,0.10761055422007702,0.023177174868084585,0.022636001320317407,0.015887668897230717,0.011906386289688625,0.010576215613923445,0.0022327181029536,0.007242713100900425,-0.02782575971541264,-0.017226157315703688,-0.03165875780632949,0.007183374751449455,0.00012674128333255976,0.00026889800211030927,-0.02701205913938994,0.013701811627470676,0.019877993374694838,0.047699024074849154,-0.018918143765965623,-0.011639384946795828,-0.014785931883955966,0.017668723599849438,0.0469626723676604,0.05366566030354264,0.000664635361915473,-0.013270734021599862,-0.02344757401369816,-0.04218032277752788,0.0894980822519595,-0.005555374415240284,-0.008463975376016264,0.020921492095874836,-0.019182571340097324,0.004654578051738909,-0.03861473569217072,0.013432738436062443,0.021427050609833603,-0.056486030095447295,0.03072861610184292,,0.0038025764470095546,-0.009278200848660618,-0.008869152803905073,-0.016072660511030804,-0.0050870225422467155,-0.002162601743519014,-0.006769099467793031,-0.0073660543463731345,-0.033735130694020295
Home Team Game Number,0.004851152678759232,0.9995015652323455,1.0,0.0005309746521022355,0.023355344872742063,0.009216100761715456,0.016147826459490193,0.007194510713650403,0.003504685573652262,-0.05268973839023828,-0.0031724719471532574,0.00824878789390336,-0.0033621016705334466,0.015657305447532754,0.038253533914231176,0.0034965972906846675,-0.04372467029477645,0.0506879766135443,-0.006947753463469232,-0.006547421101438913,0.02976317152130361,-0.0531484079782739,0.018237440364343726,-0.01809115204980686,0.10937286164400636,0.022110911797756944,0.02161906622562413,0.016910319870384972,0.012469743190563203,0.011600507200343602,0.0023409202723142183,0.008418898913011915,-0.027603654520859344,-0.016631379630316957,-0.031073116581294857,0.008489792208252897,0.0005326361768635828,0.001172823694271569,-0.027361495741742497,0.012634035617840784,0.019206857011739655,0.047096206793423016,-0.01938128240514501,-0.01241323742876347,-0.015291257085365396,0.020697065755143622,0.04799182830148293,0.053655339640470305,-0.0012858102797685851,-0.012418863457470671,-0.022212872182917075,-0.04091362162096763,0.08892804042061994,-0.00674763878869175,-0.009693060600402188,0.02104497705891558,-0.019738887818737855,0.005887320441918761,-0.03737621313175107,0.013900640608835417,0.02197494039996852,-0.05706153998733696,0.030731083486554248,,0.0017803163232091726,-0.009362337958392105,-0.010790223345870254,-0.016448715064431525,-0.0066102324904043,-0.002667173726175732,-0.00853108089107427,-0.007855131256194952,-0.032624702686900514
Visiting Team Score,-0.03646011563920725,0.0017175074193994816,0.0005309746521022355,1.0,0.05415772469031846,0.16629008000682638,0.005157116283122554,0.6117033022282441,0.79623010992959,0.4778366705051405,0.21643803884970367,0.5861406520436004,0.9882913775799165,0.08176668981164545,0.27893641746901093,0.11436532079006324,0.36092398595401387,0.1615816723083338,-0.08769667492106986,0.12696821783671866,0.012930582681667697,0.03809475717329835,0.01363431860121407,0.17261937024697593,0.2212539744541951,0.05882631494170517,0.05879742611835478,0.04677195173608587,-0.04941081719954511,0.2777563133781461,0.0015862117058118182,-0.009404925985689514,0.07240224671859294,-0.0012316081668622837,-0.020629084226102386,0.26259238873393126,0.08024267964456068,0.039339931477512226,-0.013414710279742595,0.03840145864948087,0.06059496551782481,-0.05946816952459195,0.09058337203015634,0.021339303164968553,0.0676909486309048,-0.09311544622786815,0.10765460729016421,-0.0955239755462485,-0.017348661684027645,0.007392602644604716,0.011006683764664908,0.11722841058265195,0.3737422129717457,0.9683862063182412,0.964483806954957,0.1994836146154189,0.06859836850707189,0.026105219206638334,0.05716936457732245,0.2376033811332928,0.13602153876029932,0.03594372392116659,0.004104945565884705,,0.7925143301819734,-0.022078673008791284,0.7638148481106823,-0.020897644352790252,0.8038290894619051,-0.01964246039440912,0.8396973336804663,-0.0213198911288709,0.0389585128547622
Home Team Score,-0.01134883278716503,0.024144609372296906,0.023355344872742063,0.05415772469031846,1.0,-0.13735868346392238,0.09455894972478063,0.05399530216496222,0.04819312351119213,0.005501490300445809,0.028402462284838427,0.03369564178427467,0.058492039344111214,-0.07235085481903245,-0.009317440523380833,0.034895497283576424,-0.0674660094220389,-0.1013769043647217,0.015199839540179717,-0.06280478591034043,-0.05413705089776615,-0.010306407907901915,-0.015412188286564954,-0.02544790660309866,0.3032282520958107,0.9688072854108865,0.9677266380977563,0.1531530530310723,0.009461330878408761,-0.24255854548079497,-0.046680400417961114,0.21443192321022858,0.12859377073630845,-0.012590477940864854,0.0023074623968271754,0.42644470944979496,0.7825865450034618,0.4909894976072426,0.17910007329805497,0.5562799421495206,0.9868159868879963,0.022907242893061175,0.2781614250995034,0.0801720428246243,0.29497703397242003,0.14789675710038447,-0.17975651035453238,0.13579476390780443,0.010346093947124666,-0.032587909415281995,-0.004969886026584895,0.11600422670643902,0.040569804148615954,0.06868578532880722,0.068864285785625,0.05301410378492788,-0.02109498937569808,-0.006196821389533729,-0.023877550431761044,-0.005881088327966339,0.019245260992596578,-0.021820257744571293,0.014752725693598982,,0.008554075478941821,0.7936049693220071,-0.005213019298343654,0.763249764855198,0.034489520568685206,0.8096445342140385,0.02233148843166974,0.8430251441929092,0.053306964113563365
Length of Game in Outs,0.010583480705747104,0.008064843907029542,0.009216100761715456,0.16629008000682638,-0.13735868346392238,1.0,-0.04909202386295213,0.6933988845654658,0.24114783120055744,0.10910878717311855,0.024714662455181533,0.04733969642414782,0.16182348742117109,0.177367261293723,0.15701855056619984,0.05775462490197742,0.26779877579237715,0.18108579256065088,0.2580594027949236,0.12276592461301784,0.11863694981084909,0.12353370189958836,0.048687577485666815,0.29424652566215354,0.43429158002701956,-0.1278143978949908,-0.12741535983426028,0.057317116465847286,-0.03709572562708926,0.97710158086897,0.31843717517324843,-0.005120647620745075,0.018704843280593183,0.09489159741997027,-0.012623572725379548,0.6774243710596642,0.029355542621980642,-0.006227305511401231,-0.03764871745181956,-0.05729434224627569,-0.13429037680393044,0.06844889604724391,-0.001967501129127532,0.030947141964805087,0.11255199638303157,0.17270487459087983,0.3688895312733474,-0.0015466556386683466,0.11316851220638183,0.08008686548747207,-0.011767278984743935,0.25260338738799415,0.4808137165017841,0.15251704812381867,0.1491393297988081,0.10805073245441932,0.02163432896601831,0.9684828900963602,0.3020104853848953,0.12385687360446845,0.005293705938537514,0.14948464720340532,-0.008268908906729764,,0.0889263214191075,-0.19847673587731302,0.10228408177045402,-0.18531434474011516,0.03224523421698488,-0.20872221820702,0.059517734273384366,-0.2131558337592147,-0.0036117938574484506
Attendance,-0.060006013992852915,0.01468893296279647,0.016147826459490193,0.005157116283122554,0.09455894972478063,-0.04909202386295213,1.0,0.005198120603334585,0.020814784932331267,0.007085998219751986,0.037829500635500814,0.0332095478452897,0.010704565914671475,0.013088487517038632,-0.024059651103344872,-0.009293091064921943,-0.05734027599276312,-0.03176519823626725,-0.02619970786237558,0.052629096754694925,-0.002311380597115295,-0.0011881769549643105,-0.030782552489825213,-0.008581448990003234,0.0111535634540535,0.09042975077206984,0.08881039650734615,0.009346152226508074,-0.04642421892019665,-0.05496086439424874,0.041510654579556515,0.055195318036081444,-0.052125935516369126,0.07650791591383216,-0.0038888619679749957,0.04611038832658479,0.11135452949969754,0.0542830438610511,0.018694383643054563,0.09628357336853474,0.09808855495355648,0.001978177161623335,-0.007000349301789702,-0.016562999071694326,0.02092626361768584,0.06711371610715547,-0.09551541821026573,-0.05661363277390866,-0.03515995922256555,0.05931044118521581,0.005523106308778353,0.0426013201457493,-0.04858525961987434,-0.00023295931181079328,-0.0003576840431611993,-0.004028170340090633,0.004310223702463898,-0.03935856433502548,0.0192359828396881,0.02832284460234507,0.0494251740170471,-0.0016009148895877285,0.01675618451186927,,0.00828171772442531,0.11359130514668923,-0.005546092632452503,0.10951709639437375,0.03873788026604391,0.12991267847995502,0.025193683759763115,0.13054909484104205,-0.018126269135534064
Visting Team At-Bats,-0.00580501160847665,0.007479541792373882,0.007194510713650403,0.6117033022282441,0.05399530216496222,0.6933988845654658,0.005198120603334585,1.0,0.7936063970716827,0.4208151389289314,0.14193261682351335,0.3228771553578035,0.6056519403933052,0.07674892977483329,0.12676836537034408,0.061501213876904395,0.19374549032864005,0.17938282631554772,0.16940557180351395,0.14132017182950543,0.021496937576814146,-0.022451464074523194,0.021965822775322802,0.5401240712160273,0.3903870580751724,0.05003813570795142,0.05052702227033919,0.08446178448974946,-0.05503215689785961,0.7086974717605834,0.19665023530601944,0.0457637964724235,0.05805118934549249,0.06738257560507566,-0.02952374032522304,0.6068374835658704,0.16190133534662815,0.08067293969713474,0.004150034085673598,0.0548228725783531,0.05354170004063852,-0.010944665147614802,0.06188419134981417,0.02162192029656546,0.1185817609740543,0.090961759621937,0.24256523249766881,-0.011753963509015659,0.06846256902240329,0.06361965739665976,0.008095130400143773,0.22812626608845463,0.5411073606402425,0.5870441083730191,0.5814301586510676,0.1915861150004532,0.03187662974919065,0.635048835356594,0.14594500447428121,0.2519289932510909,0.0583151046737056,-0.014743691974464594,0.0020476271414454766,,0.5804093041994576,-0.03175967595526849,0.5401801236214753,-0.03306560742894038,0.525982490311002,-0.02912763093466396,0.5640133984681482,-0.03237186426218596,0.016141452026590182
Visting Team Hits,-0.03827942122897039,0.004896531853673692,0.003504685573652262,0.79623010992959,0.04819312351119213,0.24114783120055744,0.020814784932331267,0.7936063970716827,1.0,0.5203285140206199,0.2076085070312817,0.4299093473754524,0.7897628715153836,0.09063078786261365,0.21192906699753308,0.0740509275183521,0.1674647354477051,0.14251098795792427,-0.07529072827545273,0.1140998686605699,0.08201375878058499,0.11436673221548156,-0.005049848791971221,0.46580914944121143,0.20797904665538355,0.045978920989920326,0.045960961760582016,0.06798956837983457,-0.050481917662098995,0.32249018215270314,0.0581122471496093,0.015895601598257487,0.05789585626950634,0.04366520640578557,-0.04285178371981908,0.3054520362456308,0.10744772656318163,0.06850040050621442,-0.03060505395844218,0.027571448592725985,0.048308362483222976,-0.06650912214086223,0.06440222710157609,0.008868592965667714,0.04698825514022766,-0.035573962232540245,0.10682595006594722,-0.06954126231460521,0.011512747659462596,0.04639473458462758,0.013102291028247903,0.11884397235373766,0.39088979921631745,0.7885306071460528,0.7845755479870977,0.1690052018079535,0.03811468833280543,0.13186114836243518,0.12761838958503255,0.17542237984317283,0.07143394496647636,0.1221459988801594,0.02047649600653061,,0.9167928323222232,-0.005148036300692626,0.8451007760994467,-0.015157078470061185,0.806007381527921,-0.011659270665761778,0.8705368521431759,-0.013658118405848825,0.01758069148837263
Visting Team Doubles,-0.07158011052474814,-0.053047008462042876,-0.05268973839023828,0.4778366705051405,0.005501490300445809,0.10910878717311855,0.007085998219751986,0.4208151389289314,0.5203285140206199,1.0,0.07328980189127692,0.10041964831718694,0.4714709954012455,0.0736824488652087,0.10922093677788973,0.024546867228959348,0.13810721236993362,0.15002603428231143,-0.02979827620674666,0.05514788347521947,0.029139483664133353,-0.07195402659124439,-0.0059701550415552475,0.24701093904172336,0.0856584364590656,0.014013820116341094,0.013427642370112151,0.04874628832778253,-0.01512499371343186,0.1629905708263528,0.02471167132848815,0.018588347021164377,0.02713847196705494,0.0636381975418882,-0.014968708178054017,0.1384332464676496,0.04252906826907092,0.06014299121544215,0.013952886241579653,-0.010082627665427325,0.0029706032267517763,-0.06366952163189785,0.03025243593891226,0.02243377965371016,0.012156746805034247,-0.08528496985205912,0.07154283768179837,-0.03850469447923564,-0.003788494110831559,0.059447328133627395,0.04589587451174939,0.047021471988545976,0.19411832051431996,0.46919582788654457,0.46980993795176695,0.04411614612907851,0.0025156622860262345,0.03966931447393696,0.05047568104138998,0.10942720905794365,0.0549911567381192,-0.06996189158500293,-0.00858285300264385,,0.48699542867160694,-0.014833986719222642,0.45257041040326706,-0.007637902862247593,0.5209829375194908,-0.009016668235093887,0.5289131355842808,-0.009074250691235058,0.02570622727705436
