,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
Date,1.0,0.009890060039168579,0.009982560637061854,0.012487851679462805,0.0456406870509097,-0.02876993307628598,-0.12373459281087347,-0.0003647026307501356,-0.032961090461271526,-0.010239493071295359,0.05610804239983382,0.09879746993552628,0.017730756984980715,-0.08161007548729639,-0.000516221425533292,0.041514840863535914,0.04740145847575898,-0.0605217670537067,0.2036257251216314,-0.09978962576589774,-0.09256544334749772,-0.0757130903500605,0.029656669153103696,0.03618476345581229,0.1562441485818331,0.03369785206290035,0.032866295074429785,0.06429583789497638,-0.007344346185434561,-0.032662079843720264,-0.10069410295486567,0.04447880218563279,0.031392614995210844,-0.005113580696920352,,-0.02276433700452753,-0.02695330286142033,0.06507071250941242,0.06731872251798418,0.029758509128032247,0.040534706401002304,-0.08745750243624816,-0.011472100055518027,0.04993153824297836,0.06240122451868269,-0.04087598223427784,0.20208036764794263,-0.011404943616783713,-0.06612790839679208,-0.005083707799936463,0.04995275639728801,-0.011064719446839108,0.15804294084093876,0.008610579500240138,0.0066297672954239275,0.005374627464298663,-0.022954243194643204,-0.02147177282202428,-0.08650129900627514,0.012927337335943293,0.03448753067904959,-0.06744425229029354,0.014954245933532277,,-0.038633629078184975,-0.026497610449270556,-0.006538344699009745,0.008983334450878388,0.052952072851577624,0.030483382627574787,0.03368456491150923,0.024613530997353306,-0.07616525242296841,-0.07610703418739584
Visiting Team Game Number,0.009890060039168579,1.0,0.9993396231772658,0.031278142118843756,-1.1646145383368842e-05,-0.019490960469933268,0.07916135049131666,0.04409281453783713,0.06012242195110652,0.02588919281735656,-0.000630937479087262,0.06393874073645062,0.030519240917332845,-0.012158057724158159,0.01231561502292072,-0.026731281602137506,-0.00931358605120097,0.018262608667056507,0.04484006454012917,0.020928339373529666,-0.004187715017707266,-0.0196135949873891,0.022450569651374767,0.04286038250425035,0.021347368915876703,-0.0033029484443402256,-0.0027128466970736853,-0.05739349893796905,0.017452046094307505,-0.01432486344978236,0.018582942349049843,-0.005762581958221211,-0.03512795503524372,-0.010188458209614124,,0.017051873394173134,0.027650892323029665,-0.02209290517159002,0.013909417620416512,0.004245461442950418,0.0002950904620314012,-0.02840966046596351,-0.00683098530296087,0.04784880929176642,-0.03960274299749804,-0.0025433868288680266,0.022323340647218977,0.02670277459191559,-0.025075354220123077,-0.009172300358026011,-0.014204880343301612,0.016616504770165078,0.06303864633592839,0.04187974075556853,0.04147847081543502,0.049979214860674095,-0.007646782870060212,-0.02438563152190004,-0.07123263724547689,-6.843700765910696e-06,-0.008823899044864492,-0.020786234926453147,-0.050159928810957044,,0.06431662221288598,0.02858240071922247,0.04480541877174183,0.010595714410911809,0.07834691522120771,0.01113076241049502,0.07056570717728274,0.011681006191667086,-0.008532688011109938,-0.0013229761330797694
Home Team Game Number,0.009982560637061854,0.9993396231772658,1.0,0.03153249036851745,0.0013438679005252096,-0.018501995538052946,0.08199794348836631,0.045872680737322084,0.061741672399493776,0.026344942368220135,0.0022518881849606155,0.062287305079155725,0.031027790844789273,-0.010737359520752778,0.01256043518659756,-0.026944766891159808,-0.011386797784475041,0.018662630407153838,0.04491326659061736,0.02171352618962342,-0.003571246473108265,-0.021110319077130485,0.022427215421309203,0.0432013462848256,0.02287719295626561,-0.0019705877401680976,-0.0012615177972634356,-0.05962989945095985,0.017151174579719253,-0.013502429224183802,0.0176393446517694,-0.004177682419028482,-0.03406966694636525,-0.010056320365624238,,0.018306335618478848,0.0279753035583598,-0.02060156806412733,0.0151543439917378,0.003996598127960843,0.0014223276935582151,-0.02837840977842974,-0.007774091974239809,0.04740060690069044,-0.03704409309014316,-0.0010066518624455955,0.02495571374257695,0.02716127920904512,-0.025430298588759732,-0.009596225006793593,-0.01523320402258819,0.017840682193004307,0.06261209900504106,0.04213908634793874,0.04166391712059591,0.048764053143587914,-0.007628802246289986,-0.02326885224415148,-0.070140888830733,-0.0016461542396032473,-0.007674302242940984,-0.022657190208327425,-0.05075519411123708,,0.06574898822798815,0.028110687673242034,0.04499407978638582,0.011235456462532288,0.07852247890877298,0.011152339281049221,0.07075741230839847,0.011931639828121414,-0.011321319200963444,-0.002048313445914307
Visiting Team Score,0.012487851679462805,0.031278142118843756,0.03153249036851745,1.0,0.019818291778984764,0.22567585782538724,-0.013991207952978122,0.6607267803498732,0.7881133291596263,0.45885851391540067,0.1961469605053143,0.5527593045700467,0.9888534715287604,0.031411502430787684,0.2711953399855595,0.14202301454927008,0.4124703175129103,0.14430459499873521,-0.0329865397694514,0.188572354271589,-0.017119131816451964,-0.01392654716703717,-0.029859453652019138,0.28409718873851864,0.19620933496998463,0.025714231372981608,0.02704153505155676,0.019116890170900413,-0.008063007991148239,0.34466386231608265,0.1035920606786884,-0.0060896559354232625,0.006523590300986409,-0.0007639102934812871,,0.29079894613112267,0.061986131113471635,0.03868164018818796,-0.02223780494858093,0.04765799488373085,0.022807940340559364,-0.10263435109357301,0.013765118739095309,-0.0040875128813497525,-0.021394984255532816,-0.1011050863834576,0.11401131642866319,-0.0712333769443794,-0.10082193634996692,0.01632792506424325,0.020193614000222106,0.04864944267089449,0.3997287920498576,0.9710343799022908,0.9693395261913811,0.2319701228895103,0.008421821263858563,0.05688880804485809,0.01433205202767686,0.1855648865250099,0.09861099400676475,-0.03303119080479688,-0.0015579220650935347,,0.7433328786733188,-0.04516598897429192,0.7517657259401679,-0.0794351427139521,0.7926578530891222,-0.030713225807753403,0.8274806966007319,-0.050714510676882686,-0.04583962696807615,0.025391069574748185
Home Team Score,0.0456406870509097,-1.1646145383368842e-05,0.0013438679005252096,0.019818291778984764,1.0,-0.14789205366340435,0.014184997006532887,0.0379385544902538,0.015178919649988638,0.029727422638818404,0.04384575067741701,0.016616108931826874,0.02120868710250112,-0.08933503363892342,0.013254985339016095,-0.01691720692321718,-0.013291372879031512,-0.11527189690290586,0.047042936198842845,-0.06578661874509276,-0.09054063368532528,0.013098843075572504,-0.009561398198986876,-0.0017298935640766672,0.2602806930466985,0.9632163304723067,0.958753305404445,0.15550165310507752,0.04654074787889324,-0.268471878152172,-0.0655801724679447,0.2464682374765991,0.05245086209766917,-0.05598060820243485,,0.440039707891671,0.7689558637404263,0.4306497641515975,0.21012559438999537,0.565297352777508,0.9886192771162511,0.0393782386078789,0.20312019995939515,0.11409116111911694,0.2897260136808653,0.13730752381507455,-0.14241455528068162,0.13890056333263667,-0.02554512949464032,-0.04230275108407321,-0.035403369209872075,0.13617734237162518,0.09984953530205938,0.019952738035936165,0.019956645228980323,-0.008719194101874765,-0.042036711478476076,0.01643934640712667,-0.050332180782795666,-0.016535538422105714,-0.016047184277487407,-0.0012453842161608733,0.02387673071978341,,0.0031207949754413623,0.7618753250389655,-0.01277229641863183,0.7542686401810953,0.020736819389564724,0.8069390465842655,0.009306314450567416,0.8417185523095545,-0.029930466445145677,-0.0610897758929228
Length of Game in Outs,-0.02876993307628598,-0.019490960469933268,-0.018501995538052946,0.22567585782538724,-0.14789205366340435,1.0,-0.03428355749956211,0.6559350194153972,0.27560989695274885,0.15755460583927866,0.07757801718597758,0.11869798450187842,0.22480853523657626,0.20478863411426407,0.05945033402444738,0.07194702444440486,0.2486535416483823,0.28625927987403926,0.16460278780357318,0.15438102288286007,0.09984925572309412,0.052549041560723875,0.023162116878610906,0.2816344620037026,0.43263036709621516,-0.1272428089404454,-0.1258883435565413,0.04247363744402028,0.0014639030436677208,0.9710008529782929,0.3157068920454337,-0.048582237732927344,-0.0002859114750562909,0.11305389715834509,,0.6207457820674058,0.025952969797009718,-0.035631917310148795,-0.0062938414186913495,-0.08689002669507066,-0.14290729473684383,0.13657562703642862,-0.010197199273703673,-0.013160425242415055,0.11341017404981558,0.18447246578514206,0.3250134022380375,0.005647102760209651,-0.03270660663855583,0.08052353142518015,-0.0027672206249867186,0.24265159755726848,0.4065550811433782,0.21296272618198475,0.21320668675944685,0.07227082059542993,-0.001051272055865846,0.9534789432342133,0.3031786042272072,0.12324750363096822,0.08929978936980792,0.07571545520576253,-0.01240142743756279,,0.11177054699201001,-0.20048162249802823,0.14931589005319074,-0.18713417794463758,0.116587817434392,-0.22919365479303985,0.13644933468625073,-0.22909396619778405,-0.006564520133578338,0.032198260834305416
Attendance,-0.12373459281087347,0.07916135049131666,0.08199794348836631,-0.013991207952978122,0.014184997006532887,-0.03428355749956211,1.0,0.001415935492054801,0.04167053425316223,-0.0018523541713914415,0.05650717637284503,-0.006830982773214911,-0.01088587544755669,0.04433421849111752,0.01981908810676385,0.0103873022119211,-0.11004300734892289,0.025242323225892784,-0.03971509749278469,-0.008991332704645328,0.0017447205759855838,0.03296024206285855,-0.007069751259477958,-0.02495769487692579,-0.06010155562135092,0.03000152703532461,0.027853837065299782,-0.06212308975264464,-0.0051405394088009015,-0.033285843733661266,0.03115792372054725,-0.05465000154142349,-0.04773695533069385,0.040568505330002086,,-0.013697118565844739,0.031043192241074533,0.012924168861956626,0.02490017035623518,0.004010295595973437,0.01885053098852892,-0.0057001842983086335,0.004129646366887228,0.046200339810978555,-0.011359256530686966,0.018908884096350276,-0.09519947169597286,-0.03773063133580083,-0.04066293419861373,0.05886244726238416,-0.01772894715114856,-0.0011483194721073418,-0.029504546692257386,-0.002696594000004847,-0.00195702026816927,-0.061524635587288025,0.03605613322382338,-0.03269418668986172,0.027495399135970173,-0.031894135347487126,-0.01329958567040924,0.043726975358143634,-0.050765490495052336,,0.054742536463436624,0.03888532673627292,0.0007179602721215128,0.03367302900690492,0.029185267100684475,0.031220135370676978,0.020212866875379674,0.03421732887973049,0.0088831567206518,-0.004793006322158379
Visting Team At-Bats,-0.0003647026307501356,0.04409281453783713,0.045872680737322084,0.6607267803498732,0.0379385544902538,0.6559350194153972,0.001415935492054801,1.0,0.8221240055120534,0.43803124601537224,0.157066946271279,0.3299241763909727,0.6549822646315864,0.017064940904401846,0.061461554188778945,0.07153289412660911,0.23057455080436243,0.2371723841583184,0.11166333862552995,0.21676893527994898,-0.02237460397430004,-0.05195497300288193,0.014668167698632897,0.5948050583036378,0.3351075028226529,0.05201344242412472,0.05412340634644326,0.042403904978067584,-0.003716211716059429,0.6684989965023137,0.22237038574191978,-0.004763741950287903,0.02671324334352721,0.027838798092932996,,0.5322231086789981,0.13296309470032291,0.0405896741097188,-0.004786315123466005,0.05043714409298229,0.04505650094057407,0.0362207419414289,0.03287337295315312,-0.01454122631456871,0.0641309401444322,0.07779571450274582,0.17944598120058297,-0.02355516814108446,-0.10293376855794717,0.02127952949358646,0.0015675336799332506,0.1621484381489806,0.5221756735973083,0.6366274191484772,0.635699704101202,0.19110196408564065,-0.0004668142627303977,0.5855928849858189,0.12326816936665105,0.2362062891193296,0.09338044172968216,-0.06137954187440034,-0.01369218129856923,,0.6629949632546274,-0.04181041383320804,0.583768384570075,-0.06615763343875523,0.5681879835688172,-0.043919156767510584,0.6102287540077171,-0.05505580880968389,-0.04069393254639173,0.034713396092255835
Visting Team Hits,-0.032961090461271526,0.06012242195110652,0.061741672399493776,0.7881133291596263,0.015178919649988638,0.27560989695274885,0.04167053425316223,0.8221240055120534,1.0,0.510321756735468,0.17358125231542065,0.36431887568287574,0.7827818917432772,0.05768691369389824,0.20395433212046332,0.10535355348864725,0.23606088460843938,0.17095317691707576,-0.08478838021180889,0.18937007098702135,0.05658914618213764,0.13312399157456684,-0.019898189298167362,0.5597885103425821,0.1721014034791994,0.026969088247372583,0.027763785054964844,0.003577440696605801,-0.02383831247695513,0.3553528958790348,0.12402166834925457,-0.011217452210430521,0.02904150460724148,-0.022294187811212538,,0.29820972271801605,0.06913594350281274,0.016222029476282582,-0.02815556380281727,0.04898198316372527,0.02039921509693196,-0.07510320616043079,0.02813405748672554,-0.03397841611763803,-0.03223863047482044,-0.0594230595645866,0.07246033680932307,-0.051894894642726515,-0.10611143806241649,-0.003607369182127415,0.010198635078075533,0.04679259663883377,0.4203027396973624,0.7821081716763388,0.7811278788311498,0.19856067756422802,0.012895883357190639,0.15215942171120728,0.13496595406459178,0.1266364416678896,0.06629712692323175,0.12909549267484086,0.01793679255837844,,0.9631963193236974,-0.03559970817984541,0.8563623443283847,-0.08141780937727863,0.7844521556576217,-0.027968421003393956,0.861668978863413,-0.049526090773849445,-0.03261122828362536,0.020198767710308974
Visting Team Doubles,-0.010239493071295359,0.02588919281735656,0.026344942368220135,0.45885851391540067,0.029727422638818404,0.15755460583927866,-0.0018523541713914415,0.43803124601537224,0.510321756735468,1.0,0.03794291461028504,0.055088208732462084,0.4543346164543193,0.08254148946778317,0.12616725743780663,0.07133744450895768,0.1622967445618873,0.1376267442554097,-0.029672176067964007,0.04997054101555635,0.007741612980769004,-0.02744101884734116,0.007435903408967235,0.2900051615429981,0.12455060940427791,0.04681721801725059,0.04725833456066544,-0.005070168788599208,0.01774867639661827,0.20014998975626547,0.07525723728380658,0.01634599527690226,-0.0329264628379819,0.014023359917109582,,0.18241203668141603,0.06619178071119651,0.05352773366482243,-0.02562246523105782,0.05962007282361525,0.03549879453654614,-0.0837078185439195,0.029174450224841292,0.007291113730287665,0.013228251930822924,-0.037287679551796744,0.031164272273746817,-0.021539642235436765,-0.05795540692585104,0.017926485653659258,0.041595433725065585,0.051006157312977134,0.22835237804255665,0.4556810871428734,0.45496428668036126,0.11694561771142899,-0.024879476988344012,0.09075378112750451,0.08120426052419978,0.08068884917774083,0.03317197497285967,-0.028708877063341676,0.023640098716518447,,0.4852635891226119,0.006850781649681242,0.4477318928489089,-0.005278099575923398,0.494026509102174,0.024540078900535955,0.5078133961680203,0.015208498760203552,-0.02721921964433317,0.03405578334082454
