,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.012137198517741216,0.012106145910098905,0.010347164247164505,-0.0009538230583982017,0.04007782142453469,0.10114503686676005,-0.002172363485620217,-0.03281696255567809,-0.00743782980113211,-0.03825822577936845,0.0579794497164623,0.012914209343152613,-0.057690447283341995,-0.004026533588995745,0.07420601437616775,0.08691821591646234,0.06318653344322646,0.1408385831870671,-0.01657439277204051,-0.018811860233360945,-0.008720552217798378,0.016594848437241513,0.016127762385939135,0.11244588102872197,0.0049447706699445445,0.006714855735925342,0.08146496701672672,-0.026548756621735333,0.03265909792660301,-0.023454846007785683,-0.04893790514020781,0.012561003612787221,-0.004237930541196736,,-0.017530689096095734,-0.05640798346062377,-0.0877254717884673,-0.02896637975788665,0.059441621892439775,0.0020805942888117365,-0.16766203570116234,-0.015001071693021758,0.05700623467174071,0.063737883671063,0.003891956477740776,0.17325640838915368,0.0005655449776958405,0.03720460255695007,-0.00047563183570494184,0.034262238557052016,-0.035234580924021965,0.14323416143466522,0.019334282336151136,0.02157901918784523,0.04610101948404286,0.020237976607974873,0.046024923226808054,0.00198357615172975,-0.010838717070370275,0.052609733533486566,-0.016658035374994922,0.021813048077635556,,-0.01708653342577962,-0.0448787759766281,0.01428524624671632,-0.019729829766713954,0.005421882279728609,-0.02367599290406254,0.00907118931606322,-0.02374090933074479,0.13590829031658833
Visiting Team Game Number,0.012137198517741216,1.0,0.9994558143012753,-0.01084088547559642,-0.01124356601280272,-0.03864495233217814,0.02356393432125463,-0.03376312594106528,-0.016427872706164415,0.004037806892520431,-0.008268735885884483,-0.0022339904153241257,-0.0069212966262031305,-0.007294028021142558,-0.004495875751711759,0.024095153429749005,-0.010615676114928163,-0.016393760088941778,0.016277714466078966,-0.054919104125548346,-0.014066427184581716,0.015195255829995228,0.04156020471594405,-0.004854220489047227,0.0802982326833579,-0.0007181258328454806,-0.000626893777575989,0.049042664235671156,0.013990076747562474,-0.030323568746896276,-0.04005524295624643,-0.05292719013085415,-0.04810864052348073,0.02911617086287503,,-0.026208929665728548,0.001549213212138563,0.00225879913528465,-0.03826808923371411,0.03155897490927905,-0.012573455175132925,-0.03902642065721455,-0.025973305786626478,-0.03849599020446395,-0.033987300298517445,-0.02288737477906927,0.031917493513504945,-0.04593192525643994,0.028074733399613274,0.022571343008847482,0.01156269651899731,-0.04302213059248981,0.0995807901058233,-0.016520380638547986,-0.017676365815280752,0.016527549136513588,-0.00720012329378767,-0.045781421073644885,-0.04391027853088188,-0.003638647034051884,0.005853803416378005,-0.0037255906467824566,0.04543805746970267,,-0.012263103265541518,-0.003600095013821346,-0.004237247040517217,-0.013479925444214984,-0.004639205173840008,0.013544337998513557,-0.004808370315290358,0.004559618515879868,0.040008979945902724
Home Team Game Number,0.012106145910098905,0.9994558143012753,1.0,-0.01034455107609348,-0.011712124889238281,-0.036433995916284156,0.02003406223274163,-0.031475249960771154,-0.015364609298671138,0.004415014533562413,-0.00805128436072157,-0.0021169769604425545,-0.006389822341503171,-0.008136879854057089,-0.005056648915611138,0.025575278844843917,-0.009276022344347174,-0.014228930403677911,0.016876730941824913,-0.05769317589014332,-0.01375905872176391,0.01406448423401192,0.042121924320194036,-0.002635178001599559,0.08159890461538943,-0.0010062548587567303,-0.0008699377153791864,0.04888174854997732,0.013669423335332175,-0.02832801823237247,-0.0379360616948415,-0.05295650777248063,-0.048212014608103045,0.03051302870482566,,-0.02462069866900108,0.0019486193541743094,0.002805027482543371,-0.0401498243880277,0.029942556624574006,-0.012953603001711668,-0.0397757884695775,-0.026899619893737903,-0.03963189764161337,-0.03418931375307691,-0.022304144973915738,0.03131110073029388,-0.04379030479142437,0.02676544144593536,0.0241820759146809,0.01095415847338186,-0.04295367445311251,0.09981901227432372,-0.015816793886776273,-0.016940584712674175,0.016221327038804016,-0.006116156407292957,-0.0434751003693806,-0.046229119073339785,-0.0040492749179204075,0.007024852268267698,-0.004635339200127075,0.04541074044929228,,-0.011529111324176484,-0.0039024177627427427,-0.0030775148061990693,-0.013759786869984475,-0.004491143988681509,0.01232001272934494,-0.004276027352196703,0.003601644066042855,0.03779757627259788
Visiting Team Score,0.010347164247164505,-0.01084088547559642,-0.01034455107609348,1.0,0.02319303143083889,0.14507046402450266,-0.00953908541540475,0.6109291388277324,0.7870870769123283,0.46475082428139564,0.20182091144770892,0.5861440782889553,0.988113580425899,0.03468280355194603,0.23119641794584045,0.09531236824297948,0.356835564585089,0.157068210372521,-0.07168893225864163,0.11594560510737903,-0.044651145630335794,0.02046424632244494,-0.0029424536794086017,0.18015719810867967,0.1382855445421153,0.016328204367161883,0.016909977237080015,0.015227149499202713,-0.0438425681447131,0.26876383041693863,0.08038268393005361,0.013486321617037816,0.04190805668000156,0.03405892042839132,,0.2540816332849505,0.05955854662553149,-0.004729271727357445,0.034227734771933846,0.08564155807142243,0.027472429965379904,-0.10237838353039419,-0.014863795402313551,0.010485515807059592,-0.07369215391162054,-0.15384317878848452,0.1556529207506075,-0.08982159272669879,-0.06352995179752167,0.045969978521440656,0.001916190562848013,-0.0006503422577984051,0.3545505469780419,0.9653836184758424,0.9592283273391418,0.17127666183270793,0.011169726236835101,-0.014125438679457914,0.01151911946119853,0.2360122409555938,0.1472907058989982,0.018474173598019297,-0.014366201985645264,,0.7689357289405232,-0.07429759422677484,0.7473936920914134,-0.08777825015495519,0.8066369407119518,0.006493999390325634,0.8399877771828402,-0.027434700314318695,0.033176627635823
Home Team Score,-0.0009538230583982017,-0.01124356601280272,-0.011712124889238281,0.02319303143083889,1.0,-0.1808664922378063,0.04343556770575486,0.04163317961452784,0.049214965947890155,0.025572256790522472,0.014378926410721696,0.02972066630196777,0.023954257967269754,-0.09745190270091542,-0.01481477408899849,-0.0037111978405652097,-0.04558875308929456,-0.15640009335942137,-0.007579332514637662,-0.05619339560964755,-0.09955128844364719,0.023355399558931286,-0.020917007785685622,0.006796638431003441,0.2627263067021491,0.9659454841998495,0.9638908101781282,0.14242709680320648,0.040400670350528294,-0.29658933060758114,-0.06483739332116294,0.23349271230338525,0.09717770758285263,-0.05349554804279393,,0.3697166127897311,0.7544020391205278,0.4412336831252753,0.23077274638138515,0.5568588900346224,0.9865015799276703,0.1479068252659933,0.22114749851722293,0.14798760725875235,0.3385430153689843,0.1487798347861567,-0.1518499684318051,0.09755118834665016,-0.0413002975059358,-0.04483284551763463,-0.012849674835238628,0.13134338260747216,0.024242782383456712,0.023256184758293746,0.025442113475894,0.011587265919299494,-0.015336289820938227,-0.02859619093515824,0.003252569994907493,-0.021300237587320872,0.05777049841901191,0.0280030009579192,0.0269328503662306,,0.01505883261679268,0.7741543515693946,0.014828007199570977,0.7605034902014192,0.0440259122299474,0.7922850852002643,0.03624396010584617,0.8309835435913682,0.009021609052972163
Length of Game in Outs,0.04007782142453469,-0.03864495233217814,-0.036433995916284156,0.14507046402450266,-0.1808664922378063,1.0,-0.011816521678850793,0.6639141029560853,0.22566766138028313,0.09005229123998043,0.038313811562486554,0.0824099347031649,0.14781758355523067,0.12397513447542886,0.029417892149521428,0.06869748506765365,0.24804268183763054,0.2417851122511227,0.2858520630305946,0.15420351762179638,0.062021339508557524,0.06541209469639095,-0.0009178609352819517,0.295020709421359,0.4231069839490097,-0.17277500345416166,-0.17252733455506764,0.02634745536709113,0.02475469742728728,0.9721501277323712,0.349294476195354,0.00553049051108534,-0.024380278437584477,0.10492832822267514,,0.6663193289081625,0.019300879886943737,-0.0661209881234326,0.006383597626211953,-0.10155636269571514,-0.18058120094850483,0.0417379340466128,-0.05430772522722753,0.10599248789075806,0.14169070085790683,0.18699270336511717,0.3456565875834535,0.033940252439069174,0.05929572899704009,0.0982702601054405,0.022304759409582285,0.3229903568747276,0.44103040664502763,0.14406022339916533,0.1441151048188445,0.04618734500751585,0.02289750257679451,0.9596099317715615,0.273137780540615,0.10430897008772268,0.04608719956553056,0.08264841486109699,-0.01882395786395067,,0.09137087936260359,-0.18165289248476787,0.11177939008864916,-0.1637486939979616,0.05687177335334629,-0.2207455357232722,0.08107395316261674,-0.21399088849983544,0.029422531567066063
Attendance,0.10114503686676005,0.02356393432125463,0.02003406223274163,-0.00953908541540475,0.04343556770575486,-0.011816521678850793,1.0,-0.04758294647444737,-0.046899473539448344,-0.08386501010868239,-0.014252688160767957,0.009631787233926001,-0.0031523594641104245,0.03151771822338789,0.014633920742305517,-0.03185405806343555,0.006308856740060079,-0.033382535877913455,0.031337908352464375,0.027739931271962316,0.017868591829789008,-0.0049556981123916035,-0.0008091228662625329,-0.0545867285499565,0.02628925370969591,0.05062904409529877,0.051810801478973455,-0.004769272644934458,-0.018763084206788867,-0.016083102663542393,-0.0399131448053954,-0.015192253703661097,0.006922011179808773,0.009532387609405956,,0.016963887254655995,0.041370972152652875,0.007107508425124033,0.012520298132921152,0.030164354469334773,0.042734395958998396,0.0015984875401245848,0.012991231606857149,0.09811814016369322,0.036431307598100766,0.04343943067723707,0.007875580033281048,-0.03487963538728872,-0.02006171133308615,0.012327164195300193,0.03675895583378861,0.05016528569623935,0.02082200032975504,-0.011018833466956403,-0.013179942132188805,-0.0020718063896580695,0.012367186634037625,-0.005822425163357317,0.0023658256743387222,-0.009252274465820895,0.007891920563922421,-0.0054818788234777,-0.008777866607947594,,-0.03987131669002526,0.06342187852362989,-0.02796524535680282,0.06357227424509881,-0.03433476135359783,0.041160074006634705,-0.034331345130402265,0.05193609495198638,0.014565239147637271
Visting Team At-Bats,-0.002172363485620217,-0.03376312594106528,-0.031475249960771154,0.6109291388277324,0.04163317961452784,0.6639141029560853,-0.04758294647444737,1.0,0.7974400691484153,0.40001722826135794,0.12062117545373191,0.34847012661683896,0.6045071292664349,-0.01785270346406582,0.028075331286153415,0.027633008755783575,0.22129332473556942,0.22554823849397992,0.17423993136571184,0.16607556693127065,-0.0654634777630521,-0.04612005459791784,-0.006130124856934707,0.5577298902749134,0.33609250975113875,0.0337110984741721,0.03393906490143322,0.026970351555883832,0.010256924476280155,0.6786747796133504,0.2503117553629639,0.07548122514349316,0.0023763877403140134,0.07953849878077068,,0.5831733497895618,0.14965420117183187,0.025532725878642266,0.07371173422447957,0.052008633349425,0.04043585389993319,-0.01296215617363577,0.015566380486644146,0.07563859187980064,0.07601293028866042,0.05180846196124606,0.2538974931539684,0.0006668188164147673,-0.014903234143389576,0.08096085549770263,0.005848494082854256,0.2020617648925083,0.5253463036211256,0.5889012859505973,0.5858417881719765,0.1363805691988695,0.04306598524448541,0.5971832115934045,0.10981687265740978,0.2518937113105156,0.10664639103761817,-0.043513741566398055,-0.043393790512998145,,0.5881180768410488,-0.04130297736957916,0.5584139221270286,-0.04684419335847331,0.549592738777286,-0.015907624605909807,0.5905059834740912,-0.028186406972780815,0.03320695804520756
Visting Team Hits,-0.03281696255567809,-0.016427872706164415,-0.015364609298671138,0.7870870769123283,0.049214965947890155,0.22566766138028313,-0.046899473539448344,0.7974400691484153,1.0,0.5117406156059706,0.15870789586768888,0.42884562718987557,0.7807982167397514,0.058951496403690344,0.1885772592503687,0.03461614321559458,0.2032732382104098,0.19160101769437746,-0.07188065346488076,0.13433119312541952,0.03045243069219076,0.09508919320588144,-0.015666232901039762,0.48762583810321203,0.15053159674370303,0.03769347962071894,0.03715966168938079,0.010604216458306073,-0.02885000512840988,0.31039668387724845,0.11480709096840355,0.07305316663636789,0.030985677876595372,0.04545252098635883,,0.30799969401194666,0.09941533717330638,0.019482551096364382,0.05076252194517827,0.07907798598799214,0.04974847235349771,-0.06573072485840302,0.012963708429278837,0.001270921754389017,-0.04786980137827836,-0.10676254830118022,0.14678465030555254,-0.048134987135305514,-0.05081623705415412,0.056638222867247866,0.009175075127094744,0.03942602802034653,0.396377476895284,0.7786648314554123,0.7765725000488168,0.1359069888543436,0.03639835122842447,0.10729626197190513,0.09182653947317718,0.17144495795051942,0.09563402082373539,0.10597394596042312,-0.0317025679006387,,0.9133361728608472,-0.038187275564000984,0.845548542896646,-0.05798676984099247,0.8073551472530571,0.025428576507425842,0.8767894326599925,-0.0033437306373041227,0.027691001399101117
Visting Team Doubles,-0.00743782980113211,0.004037806892520431,0.004415014533562413,0.46475082428139564,0.025572256790522472,0.09005229123998043,-0.08386501010868239,0.40001722826135794,0.5117406156059706,1.0,0.006764731365442989,0.08991299630062889,0.4629266476566886,-0.011524130411121278,0.10871868719980882,-0.005386763443714501,0.14989552650904933,0.21433096393793433,-0.08479258008019303,0.018088656890971944,-0.03727504894599892,-0.0014306528282721658,-0.015273481749062068,0.22669138953306175,0.05386267211330138,0.019262962288062888,0.020663851318969452,-0.0014504400550157804,-0.005453766153316928,0.15076206671730452,0.07549828128604176,0.05024028049902387,0.023669288177006892,0.018733523347351712,,0.14946018018384657,0.03467683258871136,0.019190816232344008,0.0027280540729031507,0.07149698630857507,0.02799324703413646,-0.06482734568411685,0.016753482652075234,-0.004056909180510202,-0.04996079405092488,-0.08869499975078798,0.0757908457315042,-0.017791962360624906,-0.05314270770971684,0.03376195960043858,0.03269581400773833,-0.008677122641893818,0.19571858566098718,0.4637508231831321,0.46314731531934894,0.08219782691397193,0.0016330675922151046,0.010525982195281683,0.05846406487863633,0.08396654256849057,0.10950091356377448,0.006213587203263484,-0.019077766460974095,,0.48580434851830806,-0.03869657530903221,0.4484206371980463,-0.0538820494707828,0.5143197379538931,0.023284941480751185,0.5251833041147888,-0.003347289278394326,0.018267080634589785
