,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.00804327168316782,0.007575727608775636,0.040343250860986286,0.08033462056074721,-0.029015876084382386,-0.010577072430167294,-0.010508802874850193,-0.003554426933465834,0.007968235336343926,0.07387228105925174,0.03611641297358531,-0.06008399843853042,0.03539278447434805,0.011960265508974223,0.02042193878929887,-0.0014891316920735943,0.0736115052511451,0.03554595970093674,-0.009404387191432731,0.009090851529647923,-0.010915160482406717,-0.04045387761305946,0.0830044953473936,0.07525409170538024,0.07666252157661639,0.017102160107668123,-0.017073806134966986,-0.028860883937915038,-0.07400990775692018,-0.02378862363570138,0.029044891828070785,0.012949221694292648,-0.008022332087218573,0.005242015464667054,0.023755309353168497,-0.0044329184027200276,0.016331426888173566,0.05838662848888134,0.0794191652011177,-0.0530390049700812,-0.02829617113355812,0.02831173483136117,0.09755879947142981,0.00021139476741678434,0.10900183705515387,0.05377800040653029,-0.030368024084252057,0.03545056456615799,-0.007329566438638,0.013610843326096455,0.034084374297082186,0.04879584951453654,0.05065676366094379,-0.014227966823565915,-0.0050917800129775485,-0.02000249797542358,-0.01796047424423494,-0.012451345985562029,0.0047334736137245766,-0.0056103474326910825,-0.008058691557272275,,0.008718526695329253,0.04192310994600701,0.009413966620759362,0.06904508742663891,0.06323115216766581,-0.006061640323760112,0.048099052281338144,-0.0033838160006347696,-0.11352124824786985
Visiting Team Game Number,0.00804327168316782,1.0,0.9995466268467773,-0.012871664189919347,-0.05505063034407338,-0.012575353518553292,-0.03788789465527953,-0.025674530155468233,-0.055179020485341485,-0.01499014001134341,-0.02976332474744394,-0.0205988788573184,0.0020826754606328587,-0.009216450344661264,0.009585917470703758,-0.05218612453960148,-0.02260510344800695,0.01414697044183279,-0.029813698965355136,-0.034980769651427136,0.020908925660234133,-0.03399720688929924,-0.013722403049659744,0.08614850020503517,-0.052402325737908484,-0.05118187662244938,0.05969696189227244,-0.05544432318115504,-0.0012768275733156076,-0.051448841021411236,-0.04414495056516463,0.0020774257596725167,-0.001998661226549789,-0.036932013037595815,-0.018849958697392463,-0.010925707464534059,-0.021218273334036537,0.02353087331220081,-0.047948557980112695,-0.05416559807588996,-0.04758769526184885,-0.035756741186598065,0.03868796076851468,-0.04569262959923691,-0.009849458700998558,0.07144546667969531,-0.025023251924439608,0.015486180656889906,0.023009534460149896,-0.04025534611101717,-0.009604606681240723,0.10560287261433163,-0.015691371365278265,-0.016463321393499326,0.014671713456414737,-0.009675549981574133,-0.004914275080047589,-0.020109784405629785,0.011691346895564666,0.014827184951947438,-0.016578151800454757,-0.03317520340372473,,-0.004882504671130582,-0.016144751606071223,-0.01570973746014533,-0.021025466218053762,-0.021875658637732935,-0.0395210610041013,-0.021211092204981047,-0.04013236000186235,-0.024297895611175357
Home Team Game Number,0.007575727608775636,0.9995466268467773,1.0,-0.013386016750897924,-0.055678199909660143,-0.011749579297102032,-0.03788170917033076,-0.02556842545230848,-0.05475762670031507,-0.013673308195553655,-0.029722210285221765,-0.02120000573213021,0.003128261556879001,-0.009667174834519333,0.00819794827083701,-0.05334767583622655,-0.022049121660442424,0.014316628826543106,-0.03097302933453271,-0.03540308419906924,0.021626627279014647,-0.0340954294245726,-0.01403797284953153,0.086676599815676,-0.053089828091050686,-0.05179858159063724,0.05998667009998981,-0.056032471413638124,-0.0005251473445255503,-0.051415773668556174,-0.044364888817790764,0.0019998248851776576,-0.002686485051298548,-0.0370192024433416,-0.018822131566283613,-0.011595910874740175,-0.022596867777440847,0.023870081356931316,-0.04880452011180165,-0.054920832254314766,-0.046564579808848934,-0.03655610716088917,0.03918422636263468,-0.04641826439657833,-0.010304524785162052,0.07399317009723437,-0.024058940163993615,0.01609969909178705,0.022325586323053426,-0.04153890557267744,-0.010155467627350482,0.1054298903515833,-0.01643820461245769,-0.01718547332200325,0.01502719895730296,-0.009252440533337033,-0.004110584038352083,-0.018473818266176358,0.011869691105936593,0.015848603281637997,-0.01621853390731704,-0.0331155628558699,,-0.005278504009847515,-0.017087295141877464,-0.016395355479576892,-0.021762791901606064,-0.02157497470967436,-0.03961339627522994,-0.021250440021771094,-0.04025251636726555,-0.024086051375762987
Visiting Team Score,0.040343250860986286,-0.012871664189919347,-0.013386016750897924,1.0,0.036691979122748374,0.18491022635526308,-0.030405484889543838,0.4973548730822395,0.4170967737972575,0.14544152660963486,0.4938615810801264,0.990188400844238,0.09939219861938671,0.24233554326759962,0.10383678242289673,0.3618861436910583,0.19398077243456754,-0.055662158297288315,0.17030495275612126,-0.019893055082691517,-0.048792717517695774,-0.03758316880330368,0.20056508553685404,0.21258030561399718,0.03136157639384879,0.03215007569139303,-0.02940109688332654,-0.06728943526749104,0.30760897413169225,0.0409945797195829,0.020511065766048383,-0.013490129411738699,0.0026938856004240248,-0.03832178117785108,0.28445620358081725,0.053155056728487735,0.0050481880193366455,0.025514038890944887,0.01930880520528905,0.03343343332591849,-0.11489072599464659,-0.011174353365548607,-0.012026785497029424,0.0115610808558697,-0.12736278701539056,0.1606372586404607,-0.09706890709426996,-0.046508423000799395,0.04107725361753835,-0.032682247748508225,0.039899085816747004,0.42848528253163953,0.9700273028087358,0.9662896613533997,0.18577597612096575,0.036607254676152175,0.03349488495180543,-0.0024361474981337543,0.26746768265271975,0.10309710626077748,-0.07144916564722888,-0.036970918284318324,,0.7574013266232527,-0.08284428999220593,0.7336294143514394,-0.07573900455922053,0.7952065063900334,-0.03942020920577418,0.8307138852669079,-0.042130294614854805,-0.01947908113437914
Home Team Score,0.08033462056074721,-0.05505063034407338,-0.055678199909660143,0.036691979122748374,1.0,-0.1596210290118944,-0.029007316177662522,0.016841637740572783,0.014567680643253781,-0.007119462313101638,0.025016063066830845,0.03779757726737217,-0.11290381129189982,0.02786009411673226,-0.04064368141346231,0.009513954424773968,-0.0797128764041055,0.012346306381606675,-0.07845649542503004,-0.09044801423566017,0.052386176903727655,-0.0361365940644584,0.02891012326285484,0.3209879864426318,0.9710471616945994,0.9683787288504142,0.17205979417314315,0.057653260151270966,-0.2508300214612826,-0.10749370752368287,0.23028471536040213,0.04105909632222636,-0.08239222012985054,-0.029693645442806338,0.3962137891970034,0.7474655699862672,0.40715855966632586,0.12952672214776406,0.47625867391134996,0.9870714785698128,0.06935080723332446,0.2812122990611231,0.08601868157754237,0.37357413442266585,0.13587738371841074,-0.07983071803489225,0.1834418442881241,-0.023658649261089678,-0.0847527074936462,-0.04018364585682119,0.15281739519441476,0.043666104889894315,0.03850391383050104,0.03965206898428593,-0.009011041689387303,-0.031149214389667387,-0.014935147536287791,-0.00403468299232869,-0.016571099133142468,-0.0023656569422927246,0.015911527942342574,-0.028800875932138162,,0.03560669633177021,0.759572676404223,0.03675808397535872,0.7490867854977334,0.055333847085483535,0.02900875261004423,0.05255937010247743,0.057593407766804695,-0.003079666829806635
Length of Game in Outs,-0.029015876084382386,-0.012575353518553292,-0.011749579297102032,0.18491022635526308,-0.1596210290118944,1.0,-0.006011175785200215,0.16524091328951448,0.12265163853357404,0.10817385483946418,0.05729464879831699,0.1825120178901228,0.2077146341367098,0.0634152092041501,0.10549339266014128,0.22502864362534122,0.2451815123134588,0.23645102918416075,0.15237140235043334,0.014515885306635064,0.022703470565799414,-0.017317705231584837,0.3029660323466242,0.4240387567524586,-0.1545134989496212,-0.15422471253251066,0.03223382404007023,0.06706304149586925,0.953493399235842,0.3535986510343762,-0.006222101575922044,0.002228321250680903,0.0265089316645865,-0.014611985520600796,0.6436562293122949,0.005036708064759711,-0.0333381278663095,-0.0010965793334068938,-0.07409364772623567,-0.15863974507158668,0.16156216959807929,-0.03689012695993794,0.07795778635636166,0.12606190085183025,0.18317215956346433,0.3116679359272354,-0.025824233245700816,0.04271437174968334,0.02598551557230909,0.007578207565600756,0.2617519201602629,0.484642041670208,0.17141336276273336,0.17103203532200914,0.06115679112698237,0.03842668280610515,0.9288184073000988,0.32004578965116043,0.14312144181939931,0.022867904044567802,0.03374227561207503,-0.015028259143145043,,0.1023425186756452,-0.20285405183677357,0.10961859389337317,-0.1840607567650435,0.06572753600667235,-0.03064946439201143,0.08663983035003646,-0.037557021286577535,-0.03244538636000215
Visting Team At-Bats,-0.010577072430167294,-0.03788789465527953,-0.03788170917033076,-0.030405484889543838,-0.029007316177662522,-0.006011175785200215,1.0,0.7360883865922749,-0.028477765193482912,0.061709820681041826,0.5199969133508899,-0.012375250583676386,-0.015473132011723496,-0.012075301445178396,-0.015147120599305576,-0.038297521054896526,-0.009484980547546373,-0.07427861557325173,-0.014673960538487196,-0.013972837669604657,-0.024132752906079573,0.9732681147502305,-0.06391176581073696,-0.052334154734672476,-0.036453493681824996,-0.036656779220317376,0.0308480846458292,0.35051350607618886,-0.21365671061816735,-0.07786986120462194,-0.01862774223136424,-0.005582617563950754,0.5744419048939057,0.9969665579052434,-0.18903165298369223,-0.06578767087438306,-0.03206076761114973,-0.010347526105893871,0.530816880971745,-0.0018598188131920127,-0.015006149761499329,-0.013092078023720172,-0.01543444162664989,-0.027366819157392974,0.03815343890090765,-0.06529858165131863,-0.01668945164732094,0.15206064675668085,-0.021934453128393077,0.8707411828565721,-0.06420678047681048,-0.07487453779458832,-0.029666380102086273,-0.029678865550326346,0.2837728267496649,0.24869835177698768,-0.2712643079064305,-0.08404236104077709,-0.015407669212685727,-0.005540340962820412,0.6082218736390315,0.9938254273274302,,-0.07137619021490747,-0.07479216674075023,-0.09500604032177916,0.05473894559484455,-0.06057754131099321,0.9971478332596025,-0.07764045573573843,0.9943261562787752,0.027245627329165384
Visting Team Hits,-0.010508802874850193,-0.025674530155468233,-0.02556842545230848,0.4973548730822395,0.016841637740572783,0.16524091328951448,0.7360883865922749,1.0,0.3030836104335012,0.15744058935642677,0.6125810079217024,0.5069713010703404,0.08392503540958865,0.12837437428139437,0.022726766793382244,0.08835304248470906,0.14097104395659948,-0.10027792764914455,0.10528167191202611,0.008533479162371033,0.03414249410650434,0.7076129052416271,0.29977183239412664,0.10403168777240206,0.00715049422404021,0.006014355402034753,0.01741496857451716,0.2294878921022358,0.061718086141835306,-0.01213845398210904,0.0063628553345687405,-0.02578582869961353,0.44239269323846053,0.7257906411297873,0.06786931287502,0.010641838728406232,-0.008268181748101467,0.005052724558943556,0.407565673166457,0.036674057941477406,-0.0513431842575344,0.005680117229439599,-0.025491007230694737,0.018125676603564813,-0.015764245305248285,0.02170162303046025,-0.06281718744976234,0.09858790207608353,0.00901589196923547,0.6399735993880566,0.009890891222719255,0.26115678428409134,0.4922053166966808,0.49247473259039287,0.3127357785330593,0.220860561601003,-0.108234080837295,0.000294613741458054,0.11077698087391999,0.042181297987483816,0.4871163670074873,0.7259796096906471,,0.5619620889082578,-0.0770983975727993,0.49369308097973286,0.022759675810099363,0.48520668305384806,0.7272483703077153,0.5237769452357491,0.724532232052084,0.025920193316407263
Visting Team Doubles,-0.003554426933465834,-0.055179020485341485,-0.05475762670031507,0.4170967737972575,0.014567680643253781,0.12265163853357404,-0.028477765193482912,0.3030836104335012,1.0,0.02851768650229992,0.02652992418048092,0.4094597122282248,0.04089340306167231,0.1401446299900265,-0.057980221340227324,0.14844062963800148,0.2502241145062051,-0.01818705848620091,0.03417085408941956,-0.016926735170595855,-0.05331668319747787,-0.034523647066924706,0.25546567219297706,0.10544651820292278,0.006561069171622439,0.006444082260794583,-0.0021836163829270323,-0.023374706664290888,0.17389633168640728,-0.022272917602456074,0.03396342578680206,0.0016101620388936314,-0.04516845378542004,-0.03219998688831801,0.17127399921958586,0.037924684431462755,0.023617724034679675,0.06478413509097883,-0.004602830741822105,0.014915620144447564,-0.04775749889465591,0.01738500033969315,-0.005596064020025583,0.037701018641241445,-0.04757566283366213,0.0731675982524662,-0.02276307420479799,-0.00882974096865701,-0.0221111829219191,-0.01762093133317352,0.0794154384720109,0.23628218074053253,0.420473656893404,0.42126535346138566,0.09877797667325007,0.023976026341859448,0.06221970153817314,-0.008869141415546707,0.06888662251915915,0.07695348431043116,-0.06080894124717903,-0.03401983923258102,,0.4493706661391762,-0.024746867972807018,0.4093987431828031,-0.02698716371116317,0.47254370603677237,-0.03332650724897081,0.4838977010476635,-0.03419701023546268,0.02789662114923783
Visting Team Triples,0.007968235336343926,-0.01499014001134341,-0.013673308195553655,0.14544152660963486,-0.007119462313101638,0.10817385483946418,0.061709820681041826,0.15744058935642677,0.02851768650229992,1.0,0.04736811581063373,0.14617011619900014,-0.01933021132068347,0.06476632664538925,0.024028704315928365,0.03578778670434575,0.09471281636758626,0.020770482610594554,0.050703365291006545,-0.021361546738347868,0.0798145560364315,0.05175751476225675,0.05425710366477442,0.004306021542964507,0.0014970352222936302,-0.00035050288930564083,0.02111776737908575,0.01633303710418331,0.10447339586106888,0.11070564023047795,-0.02849696332441087,-0.03563664988108962,0.06383069558233348,0.05900615620769413,0.05736013152957079,-0.017000674428231572,-0.015868932323826627,-0.01697407229696399,0.0477119116097014,0.0025599624889674926,0.010271954854407303,-0.04681529112638969,-0.036349583119858024,0.039760943935246,-0.02369187420914019,0.014953210889172884,-0.04623552474786006,0.01933177498736504,0.03980474691361043,0.03800333198782416,-0.005885808651804691,0.06922667525358212,0.1486683093566622,0.14909399770934892,0.02535297324036262,0.03397193991395553,0.0674011801299802,0.02335655279919328,0.03121439204590034,0.007013053129833304,0.09171353401563187,0.058472321548977434,,0.1326915596970982,-0.040011883585831784,0.12459565358311649,-0.025698116803506768,0.20835859038120572,0.05800842227052706,0.19284035647020042,0.056736615512636604,0.011607305277115733
