,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.005647502836927323,0.005553871414140496,-0.01184386879662791,-0.002371274035821304,-0.006058897510210527,0.01674999519581114,-0.015525169099945444,-0.03648504361787684,-0.011601132047722007,0.03277975306793134,0.14904908574282424,-0.0035593439409846808,-0.06109981069059541,-0.032937120735550954,0.006550938674373487,-0.06871870924405515,-0.009451155021718153,0.2167754719476821,-0.06801861389787744,-0.06352541281774349,-0.03717462593471311,0.06586417100123322,-0.06855730106633562,0.08350498502669591,0.0066632325338863395,0.00504134636629413,0.04647274864433217,-0.03385736890660634,-0.0023878512866906893,-0.15684499886547804,-0.002529040346255397,0.019887754134776857,-0.03222893086363734,4.805757789283777e-05,9.024491275606367e-05,-0.03074418087887608,0.016868974140766255,-0.07032905525234236,0.07320408942729496,0.007941174617621224,-0.056159816501486604,-0.04783106230812667,-0.07035999361447984,-0.03979091458128142,-0.03747662374739785,0.1839670157234336,-0.03175782379428424,-0.06327229682684889,-0.032350482573585804,0.003961112153529836,-0.05825638443459628,0.06999079632034147,0.0036983912640494577,0.003960906402945055,0.01391225008633674,-0.019309412180301005,-0.00996614432216007,-0.14435697539613157,-0.029886061656377933,-0.004838124100266978,-0.03603056920057853,-0.030702814199343505,,-0.05464563911329254,-0.06265472534086657,-0.0559286682983325,-0.06696337408723242,0.07339667520836063,0.006379959896613691,0.029735321158858706,-0.02069386772753116,0.10492504964488329
Visiting Team Game Number,0.005647502836927323,1.0,0.9994152007245346,-0.04453722517845488,-0.01653139269773415,-0.005522653002587337,0.07752725202800627,0.004940969544590563,0.004083094378361909,-0.03288804049953292,0.02961095656129218,-0.017451707418273267,-0.048597608199338914,-0.019099950823751734,-0.014645011321946998,0.016816769177263116,-0.05106228503533669,-0.006999839032724809,0.031848188566215116,-0.0014124116914626635,-0.008225335325437176,-0.03366600603816822,-0.03001769170861882,0.026984899518495975,0.05413220474304201,-0.023465952280830586,-0.023910951500732216,-0.07757105590052688,-0.025633598912299074,-0.004153124801881538,-0.009296514567505715,0.022818317116621845,-0.034866570192844004,-0.028306313372354383,0.0007553502312417413,0.023684997068349024,0.03066095553631572,0.0041269033836263845,0.03295138468992516,-0.03194638157282779,-0.014147483980724228,0.01625135998492521,-0.014868835682171577,0.049926297399230095,-0.10141928104246928,0.0308330731321555,0.019019148871655726,0.04945464991091683,0.03702440705509451,-0.02259934583770766,0.006050127857275907,-0.005122061489435259,0.07855557638343168,-0.03885026446344378,-0.03976897253885021,-0.008049971978416,0.009275482674641063,-0.006753522399440479,-0.07672031253543533,-0.01280013425340003,-0.017179284266821252,-0.0297060926549028,-0.04424094808838018,,-0.005830955122999457,0.011126905518929257,-0.016497958842740416,-0.013319654067402532,-0.009891083439016403,0.00480785198629105,-0.012956313069342402,-0.0016844914209887603,0.03975218366834633
Home Team Game Number,0.005553871414140496,0.9994152007245346,1.0,-0.04513868865706084,-0.01823041525664609,-0.004635091820351406,0.08248946850346836,0.005067962068803591,0.0034406486067036506,-0.03265287891446254,0.03226153509080844,-0.018583548620059325,-0.049047602739405886,-0.018842559449257473,-0.014278003450139761,0.01688650387545108,-0.05126596861174796,-0.00721436514910593,0.03248570512696105,-0.0013096036782799959,-0.00883522887173346,-0.03568299635312261,-0.029486316353590208,0.027209370030145164,0.05456769212419082,-0.0250128374280745,-0.025412700805214978,-0.07937051940999298,-0.025017870605125486,-0.0031861220437611527,-0.009112491206878157,0.0222416732661317,-0.03657428970089794,-0.028354063566960033,0.0024430811096912523,0.023775529359121934,0.029857839933863463,0.0033483137196684007,0.03418272254997047,-0.033294934281300086,-0.015632135085162483,0.016914287876867988,-0.015972123936773042,0.05006082614332738,-0.10308911117709807,0.03291032529387936,0.019268699917879228,0.04984483283900206,0.03651601717664417,-0.02356179633640805,0.006477163024781783,-0.005455936589682455,0.0789480518668028,-0.03909558996527178,-0.040029932330826204,-0.00692662747825888,0.009813125354899374,-0.006021326488808258,-0.07821636423661735,-0.012067977984097453,-0.017487299133900194,-0.03150316092022519,-0.04428461768851629,,-0.006575588328862067,0.009976721557116267,-0.017417872641540388,-0.01510399274031758,-0.010524437481854604,0.0034779329954657957,-0.013735119520502704,-0.0032665897502133622,0.03861946437305206
Visiting Team Score,-0.01184386879662791,-0.04453722517845488,-0.04513868865706084,1.0,-0.04912298205324092,0.16923787612667401,-0.03651130421771411,0.6167302336070429,0.797771256029983,0.5166382789243331,0.18563948130037747,0.5673427877579166,0.989428872316989,0.05801359370135316,0.2388932543502726,0.1262567633009224,0.37305714909139037,0.1739237911485555,-0.1251572703095782,0.14056817104047103,-0.04980480564743005,0.018043623949249125,0.003539185220331336,0.22438633041198877,0.18954221212757322,-0.041942227844599146,-0.041786890072697175,-0.012255769018724577,0.02169369130251567,0.2997214302813892,0.07417727972634049,-0.04530278666730603,0.0017184688124072113,0.04515271368437141,0.04718204583269226,0.2326969435166895,0.019693543172514726,0.03696627857569966,-0.03459189412479743,-0.01750088549471925,-0.0443104787169159,-0.12341374578991245,-0.03569104621863816,0.004261750732435664,-0.014661570408732822,-0.11960084904881318,0.12520848094590306,-0.13134277084851886,-0.03847714576129515,0.054179890653577804,0.009377797775139848,0.05460334946131686,0.4158355156286649,0.968752654703488,0.9652430343141479,0.11254736987982118,0.05700852910248201,0.0036240436738323553,0.03224444730039116,0.22860596177836787,0.06950128929984353,0.0019834740899428525,-0.02713223010898684,,0.7819958589726985,-0.09394512886811818,0.7557494145988456,-0.09240288186850329,0.8055913867681096,-0.07681034389671351,0.8363284622341405,-0.08738564816895318,-0.002849930071238677
Home Team Score,-0.002371274035821304,-0.01653139269773415,-0.01823041525664609,-0.04912298205324092,1.0,-0.15905860660943655,0.045121151592423095,-0.020710329458925876,-0.05036430176615779,-0.002617437739509063,-0.06357477225854023,0.008857244895659866,-0.04916910829665957,-0.11736583339408402,-0.02185407298296756,-0.0036642162969457836,-0.08801294973398274,-0.11088822480108976,0.0746751891305634,-0.12703817873062523,-0.06720336881295547,-0.004625728861312401,-0.02927301772760268,-0.05864254568200767,0.23942937767532596,0.9662340368609803,0.9642390006527367,0.17898986642065945,0.03732594024517314,-0.27595203062321566,-0.02003946747542639,0.1868503784050752,0.04129149778503111,0.009463841261921626,-0.012467058295928035,0.38657844637728817,0.7581399815508094,0.4575743258751874,0.19720035028528007,0.5219609429413308,0.986643654691622,0.061668354760569935,0.27535658191451023,0.12469880953961046,0.33905093449972173,0.16654142342248435,-0.2250089159787065,0.18026257448917193,-0.02399885165900648,0.019024500866735433,-0.010206390699320413,0.13447519222717125,-0.008973134319046757,-0.04397718436660457,-0.044107649278383274,-0.0523943177394837,-0.06203424400696662,-0.010176109585624277,-0.042622643636314655,-0.043059980242105785,-0.05186263851131299,-0.006025386345029579,0.022002433049582222,,-0.08257301261639702,0.7866292884879393,-0.09261499603529226,0.7596995400546644,-0.03443370151731402,0.7980778987183806,-0.05820377570248421,0.8329120098202296,-0.006766750962656636
Length of Game in Outs,-0.006058897510210527,-0.005522653002587337,-0.004635091820351406,0.16923787612667401,-0.15905860660943655,1.0,-6.383369701808656e-05,0.7001167797362926,0.263710844782811,0.0750524396991616,0.04466997241030831,0.1292142030673173,0.17140126291303714,0.11841637335174594,0.10662695966879034,0.05385587631148468,0.20203906571322494,0.24793547886425937,0.21957832437942487,0.0833250966285849,0.03449268007706126,0.06673853452830689,0.004431453115867272,0.288323816543423,0.432590533305459,-0.15377336390074095,-0.1535022579021867,0.01173792924615235,0.013717331132342001,0.9730239768281997,0.2904609643418896,-0.02603399688232002,0.010329560352181496,0.10676062599833905,0.0022134395524476204,0.6589893983222433,0.01645046570051023,-0.05239257587666411,-0.024984443581203337,-0.06858140944805728,-0.1539586614183523,0.12724541013055238,-0.057059768783640594,0.04939193021147113,0.1250439949727136,0.20762349745277162,0.34656027762721653,0.011915543392678085,0.04799986382334874,0.08549522541909463,-0.010917556984967172,0.26142542572574734,0.4703693168036437,0.17903923105207042,0.18009972789605194,0.10376279858340656,0.004792501509896839,0.9622925907425088,0.3149545698986803,0.04001371715472179,0.022579923767652197,0.0798029207440905,-0.012559746451273158,,0.109264039488725,-0.19795209372866168,0.1081603901618898,-0.18376992129579356,0.08476909162419424,-0.2313871001228642,0.09866565183320604,-0.2278209612127995,-0.0033440552246127736
Attendance,0.01674999519581114,0.07752725202800627,0.08248946850346836,-0.03651130421771411,0.045121151592423095,-6.383369701808656e-05,1.0,-0.03543069466387394,-0.056481507279548725,-0.07367199171565922,0.026211521179135083,-0.004902170266331543,-0.03491348927854663,0.011014802480567465,0.006134267324062483,-0.0028283409615387904,-0.02502993717936653,-0.017667685563805078,-0.008759267819224478,-0.01787785060533279,-0.022285571946803508,-0.014250163952072981,0.005758056916840551,-0.043886350353049594,0.03297186188667526,0.04390071746643006,0.04427578449213147,-0.03194961605033771,0.015576603526652969,-0.00917091722109053,0.01948222715896569,-0.02741967454233351,-0.03068183000481178,0.03317861326618342,0.05905656884268317,-0.005463341134560614,0.023770081932516098,0.00017678416961972783,0.031387271895967135,0.02659055123558216,0.0398369134508181,0.0038505469491991085,0.04779868816730093,0.00044983028152488453,-0.017414963669456197,0.09723576435180947,0.0005289321739691894,-0.05279911028619479,-0.00805584714498096,0.024168863708830035,-0.015631691977400955,-0.05238108764580468,0.002063261968333367,-0.02853443283611132,-0.02770977606995291,-0.01968969966584678,-0.01799776962563727,0.010678504862717531,-0.04363598350346738,-0.03670708583135843,0.004993702277903553,-0.013399076752335926,-0.041758989053380234,,-0.051226303566088295,0.0375496282425177,-0.054268093496846734,0.016637268065122893,-0.04092224159309148,0.03823805355158204,-0.048395472736408665,0.032506158135304025,-0.09587729536061518
Visting Team At-Bats,-0.015525169099945444,0.004940969544590563,0.005067962068803591,0.6167302336070429,-0.020710329458925876,0.7001167797362926,-0.03543069466387394,1.0,0.8002766480702521,0.42621716793798436,0.14847151637823408,0.3673157174347105,0.61633477736838,0.03202036661884435,0.07200649801886534,0.06114945083643392,0.2005629277957164,0.2508878990526523,0.11590484342573087,0.12374049262276662,-0.06886792011530529,-0.029445056925745092,-0.018511150808446813,0.5682374195536071,0.38683662389883766,-0.0156074155332295,-0.015609320843975264,0.025753538273266003,0.03803929232844149,0.7228464420324188,0.2099380131178504,-0.028078145735167852,0.019613681643234068,0.08399895734040247,0.018129610395317384,0.5656888824665164,0.10042031614623197,0.030064699492839065,-0.025786717157916535,-0.0027469678455299346,-0.013780365973120975,0.023283453967604426,-0.01471163197385496,0.07872329214074414,0.12547578419322344,0.09051897375133075,0.25765062498171526,-0.030625879494603585,-0.011624421851318581,0.08810682758416528,-0.013053459611859561,0.23138581167379144,0.5817759343817743,0.6088160874723805,0.6072495458780356,0.1193888444754271,0.0447731587484854,0.6246489227793173,0.1607642321601832,0.19116533580830994,0.05267740355626445,-0.0371890627604907,-0.0222134269383726,,0.5980068870239723,-0.07454167419244939,0.5514795726686985,-0.06130854594629572,0.5673710753024527,-0.09873991654419101,0.5961721810737596,-0.09080978843035457,-0.0033623469858309104
Visting Team Hits,-0.03648504361787684,0.004083094378361909,0.0034406486067036506,0.797771256029983,-0.05036430176615779,0.263710844782811,-0.056481507279548725,0.8002766480702521,1.0,0.559048663377365,0.17640988521161935,0.4230745910433607,0.7956821367206613,0.09666341130327069,0.16229604264935887,0.07946479647096924,0.22945477649346194,0.21309200544489368,-0.11681515573063846,0.14332443319454197,0.02856586679576409,0.12987197936930878,-0.01722200023554914,0.5322102871944192,0.2150072256918847,-0.041087880692799165,-0.041510608891654775,-0.00539526504052836,0.028543299920665587,0.3606324664720501,0.08413744488668153,-0.05453647015352737,0.02610916732178163,0.054497221514500774,0.0318078685961249,0.27354773174744607,0.028414942204354327,0.014718921105948303,-0.038314596255611164,-0.03116574799276184,-0.042896532212576166,-0.07965417994155796,-0.02686766525496556,0.024521412679104397,0.030750571411618473,-0.06285091621285384,0.1445900400009303,-0.08656180763524049,-0.029528327615773866,0.07190306536268301,-0.015849267719298295,0.10024252762435239,0.4670181301849316,0.7940755930714665,0.7929010929901923,0.09875159156806386,0.06175100083562672,0.13110172508249354,0.13503010829262585,0.150008669941568,0.06330864284242481,0.12614813897566843,-0.012275746714903482,,0.9244327820457093,-0.07890559690453978,0.8567415718168718,-0.0697626549792927,0.8189771151424499,-0.08921808987994637,0.8831523745965898,-0.08743289360664241,0.010612531525284595
Visting Team Doubles,-0.011601132047722007,-0.03288804049953292,-0.03265287891446254,0.5166382789243331,-0.002617437739509063,0.0750524396991616,-0.07367199171565922,0.42621716793798436,0.559048663377365,1.0,0.02146143613617432,0.11756765962696279,0.5133094868271562,0.06269752639834003,0.09596237485644613,0.07399033464279174,0.15167647948278182,0.1550222276418288,-0.061348221473913875,0.038189717394881785,-0.018057432394569365,-0.00021617345211829826,-0.011857381420809162,0.27759608322949614,0.13805321926321287,-0.0009222718300142724,0.0001602210919985555,0.04502911579158005,0.029114469151689033,0.13806186586621466,0.04527288625361082,-0.027314762091086908,-0.019730449409945422,0.06572259473561483,0.05581887051897683,0.11709341185679613,0.030131565861581316,0.036436528641202975,-0.010337593880510093,0.014014564786602145,0.0011233116291206493,-0.051089912696782355,-0.019271390541807765,0.01384858081136629,0.06778411002939497,-0.03794572426037659,0.052046499518580425,-0.05184025841479201,-0.05505052042533561,0.08723633877575133,-0.012361457706932763,0.07664224860076187,0.2682768505308584,0.5209627803233967,0.5204253227601892,0.06761281473750035,0.04868226459731694,-0.0044573693460362,0.02583841659972859,0.09587134470000212,0.013327877535525785,-0.00018467176557335427,-0.014742777269998439,,0.5273645081172927,-0.00324896478693015,0.48780023378852333,0.01433918909162265,0.5579149800796868,-0.0037438199341167594,0.5659481483922844,0.0027974639942798395,0.0018537254673868966
