,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.006609636357804846,0.006162697714831106,0.039822532383218236,0.005816681036279654,-0.023664334866547183,0.010226757822825791,-0.012252255254311418,-0.01010219730338285,0.0021163474653152223,0.017895745262780788,0.06462815577119112,0.03912904519590301,-0.05119910615180565,-0.0452989044010591,0.008343596763065432,0.016259415909944164,-0.03469474596623032,0.13701890543179965,-0.035215050387756346,-0.0548979646828794,-0.015978749865963104,7.324279515307365e-05,-0.04824163621938106,0.053698907283903786,0.01278599677363959,0.011940351642869525,0.00145167349184061,-0.021333288490183865,-0.01107141340982364,-0.057045748712697186,-0.06493023857863969,-0.015222679205774038,0.03525142604281471,,-0.0069432998614806975,-0.01145696738935624,-0.0012892615213497018,-0.000620752462257222,0.07220758727449246,0.010377955545163364,-0.12098143499353306,0.011238376453107674,0.008064942282903305,-0.06179614798206382,-0.12218304771251344,0.12139228510925956,-0.08108012042587998,-0.06550626089741203,0.04360820242080776,0.039617763826611314,-0.07758690903984272,0.0795243902221679,0.046860771334456056,0.0461148776131699,0.012167096158438733,0.012567864655558189,-0.03735182934559544,-0.028519378369068323,-0.023592924383830097,-0.013034145424924148,-0.014146256214258678,0.007186611954857238,,-0.009837172902401556,-0.03560550238975834,-0.0004453300497767142,-0.033285263863170364,0.03798223984668624,0.039581132624022144,0.026149900415469798,0.016386274804652688,0.046575230343121124
Visiting Team Game Number,0.006609636357804846,1.0,0.9994049195397718,-0.0557691257298483,0.06592598431258288,-0.01584159832339893,0.10831993202174346,0.009087150851621827,-0.009890489255431489,-0.004786517607301302,0.05756097727741579,-0.06438963075574337,-0.05885378268275564,0.003910296533588662,-0.006937555352983253,0.037787009801072684,-0.06575673138351906,0.033059114017760995,0.07256305764892415,-0.020868886498342894,-0.04994733897494844,-0.03657917162137642,0.032250379740957645,0.04147883674032491,0.15415724608961323,0.06878823420535682,0.06854239257757026,0.06713491650147721,0.008425924398406861,-0.03157730509863123,-0.03915820303684826,0.03544663365165372,0.004448716240264664,0.03283316011003073,,0.06408510486558137,0.0965140457967888,0.01167980873976459,0.0004080816313530704,0.049141577592472285,0.06020387692137953,-0.008658645428127387,0.005716418293076949,-0.02044622847393007,0.020550641678068356,0.08447680401065928,0.033472077325864096,0.02171180910320584,-0.008526887376877785,0.0246646707909378,0.025983230515306436,0.06304710659686476,0.14976263410594962,-0.048662004578086844,-0.04662921100579684,0.000336241921662494,-0.0023084107123581697,0.005686358485716861,-0.07309833280928414,-0.0015665403594177787,-0.04662672861326612,-0.03967212709212871,0.005428919287602552,,-0.02523780270907746,0.09370804332899642,-0.03898313026471466,0.09099697987722163,-0.03666596869162595,0.07371015014377692,-0.039661450903137094,0.08444730498441168,-0.047728526375099015
Home Team Game Number,0.006162697714831106,0.9994049195397718,1.0,-0.05750819517311682,0.06646790378568884,-0.014623052411960291,0.11167374253304566,0.009084257020219576,-0.011167451222504078,-0.006078892925179664,0.05724355127109208,-0.06510123404331422,-0.0605623823510628,0.002634595901657487,-0.0069272916701613,0.03773743532435289,-0.06578108166785065,0.03214848760858252,0.07238459583737235,-0.022352897633944813,-0.049035528428273564,-0.037084112611751145,0.03136686025521334,0.041879580732620846,0.15487866019088814,0.06949571836945764,0.06927783641678821,0.06959566210155002,0.007001941460596675,-0.030951442904047048,-0.03821090874502512,0.03583653114579221,0.007479710820129497,0.032617792310482084,,0.06447828156998253,0.09682819725035895,0.011407351953636269,2.6388354268477742e-05,0.04840285217025205,0.06061729141999143,-0.008525316878914987,0.006652135047450316,-0.020112858443289614,0.021097520814728186,0.08581802981450254,0.03389743914660624,0.022009127262995375,-0.00794865606181595,0.02439778551056156,0.025214160329213982,0.06304196315908332,0.1508702231191266,-0.05032435694938423,-0.048334310642930874,-0.001237136506728947,-0.0022568738170483335,0.007538894428502321,-0.07237212795335797,-0.0025268570583868687,-0.046912878734804264,-0.04009410393119682,0.0046434037140637265,,-0.026833672100602033,0.09435233462517471,-0.04027463990200147,0.09150136340911266,-0.03812797057501634,0.07323739596343143,-0.04114672642741074,0.08428924878621533,-0.046795474467190276
Visiting Team Score,0.039822532383218236,-0.0557691257298483,-0.05750819517311682,1.0,0.09175951806637023,0.20032847357231665,0.0010380828703146097,0.6761367627047132,0.8039082843551758,0.4878350663054438,0.23845559730389784,0.5712942072234695,0.987679101627336,0.11937581658707398,0.2735774807531879,0.14970767907799848,0.3408976105564259,0.14745892878711708,-0.14626406867259462,0.1580153741290163,-0.0022431308969628624,-0.02551675792083176,-0.016325115059620497,0.223256413681575,0.2536441128760273,0.09043112468179768,0.09113048254089497,0.026911126211092522,-0.02606714884507894,0.33492753886046017,0.09460077955602973,0.046342523660484414,-0.043086354161562916,0.051891663825970706,,0.3379149853148052,0.1392769827358061,0.07411104212109262,0.006468417427352147,0.05628405460852658,0.08817215945933143,-0.03941202835935396,-0.014038663517706187,0.02690380548880153,-0.0008005840233074902,-0.10793731445249827,0.14474600414590155,-0.02934965236243685,-0.023730395669310785,0.04050093264011776,0.0314329681915868,0.08770063132989028,0.39776250293851956,0.9739165022948744,0.969467096563501,0.20494990814551145,0.03381272440818269,0.009868216768344762,0.10368696982476763,0.249022075574356,0.06586071917343173,-0.011703823222018498,0.016668707174701654,,0.7836241153810307,0.006985340423420981,0.7606988109235054,0.0037791510845234014,0.8061929399075439,0.02906003293492935,0.8367761626853075,0.021978071441028146,-0.05569286000150406
Home Team Score,0.005816681036279654,0.06592598431258288,0.06646790378568884,0.09175951806637023,1.0,-0.18224663790028048,0.04369993048933309,0.09012416586003057,0.10807172833458739,0.06386549486592018,0.028830494744859006,0.03144363441686124,0.09464697961466706,-0.10019145642218623,-0.0055661993190915734,0.01172180531940093,-0.03918484430594412,-0.1170549827920286,-0.0400868638260242,-0.08119929817450623,-0.11142711976827623,0.07118561501740475,0.009917597629948038,0.0009505555580476099,0.23950029845992007,0.967529143141066,0.9660666882279316,0.12294111434916276,0.09217367276280954,-0.2955574080636274,-0.0633819010351616,0.22218164095773135,0.07115205139380001,-0.04226332127455796,,0.48994901371196053,0.7784711525268191,0.4250572129104751,0.27288373017416045,0.5247988791550925,0.9877600352951724,0.10566850416450203,0.1904001062762121,0.09507761797134623,0.27841492330732803,0.09900857359783141,-0.11798947535971471,0.12150561259736892,-0.0001956807689503614,-0.04098655462129784,0.02587321876420523,0.115904405126079,0.08113128930575023,0.09352271805796736,0.09358882155512803,-0.0038040076142182517,-0.014012215762054414,-0.020584445978732067,0.04250689533970893,-0.00684789921715673,0.005251676100844895,0.04113957668759319,0.010109903688524526,,0.07462905246418025,0.7845224713361867,0.06147167279953127,0.7773826241150815,0.07990508161748879,0.7917446573402709,0.07784262898755581,0.836552679528606,0.06257774674646964
Length of Game in Outs,-0.023664334866547183,-0.01584159832339893,-0.014623052411960291,0.20032847357231665,-0.18224663790028048,1.0,-0.007773131818424938,0.6195801278277718,0.25790522795243914,0.12212616399065689,0.048514876666936164,0.12201562773315279,0.20077850002368774,0.16443195402374866,0.03529019652153257,0.026622355720142012,0.2073768706972363,0.19136987830958277,0.14985919358594743,0.10923357053143602,0.13749695580937835,0.06069213625147551,-0.01397657971627172,0.2393172293183886,0.4335517725381785,-0.1683016232131779,-0.16785061041700983,0.031952120655429725,-0.03561108688019659,0.9664088941702959,0.29304670286122286,-0.01639676791736867,-0.04877425068665021,0.0967703727960201,,0.53557660457083,-0.014534985508778948,-0.054003917586792266,-0.04856813421433861,-0.0788828704100358,-0.18106767435458188,0.14510988083835516,-0.005917203010200284,0.01461028709601315,0.09581099623261995,0.0935804150470604,0.27243086926982363,0.0026572528800751635,0.06866475067894988,0.09120362634909783,0.013011108464143918,0.23612036612026693,0.4323721424517448,0.19703671381277826,0.1965610208140624,0.08862404405425638,0.0017087337867596531,0.945230211816345,0.28845355906219355,0.11621403494353935,0.0004831177882152633,0.08136289131776378,0.027395474918878674,,0.132071348429661,-0.19740511947122388,0.1405915685419811,-0.19863899596889603,0.11460065580453581,-0.23035152195269035,0.13082158269570196,-0.2336813115560886,-0.004494100908388672
Attendance,0.010226757822825791,0.10831993202174346,0.11167374253304566,0.0010380828703146097,0.04369993048933309,-0.007773131818424938,1.0,0.0367416686306902,0.029573426462143358,-0.000801294298609267,0.014255605564025373,-0.002169801763673491,0.0006920418012489041,-0.013931206889062303,-0.06195873598405751,0.010116894081112398,-0.027106217555253227,0.0286687839762374,0.027789650745384968,0.028095362489800716,0.016387971035540513,0.004689836766977962,0.049268304000044075,0.023373369054854556,-0.03819893010289046,0.03256781224293077,0.031704362857094257,0.02804265485950726,-0.009794615096126174,-0.01852413045789608,-0.026404076569410486,0.030062186126112042,0.011060540541751282,0.03146157090384605,,0.017708222934848552,0.034554290313612436,0.014077262561670495,0.008418779286293287,0.011123459856411735,0.042329740105507295,0.02211713240858501,0.017235370814765977,-0.0014088289195957815,0.013049807673612825,0.02690242530319955,-0.018144263130749804,-0.024601593822051942,-0.003572270574718271,0.00825763579327987,0.008580206675950705,0.010224722529539787,0.04562506206774932,0.00738174721731195,0.006040978738471762,-0.02350971696626395,-0.0006940610100023402,0.006638081084727149,0.02642882790079864,0.007267068307946866,0.01386311032210394,-0.006155031892739524,7.125148671215215e-05,,0.011377098709551321,0.04060139211644003,0.006255774612402817,0.031140925888012257,0.002475842059799881,0.027922804822539296,0.004003619150436157,0.030816136376816877,-0.0038930092258121023
Visting Team At-Bats,-0.012252255254311418,0.009087150851621827,0.009084257020219576,0.6761367627047132,0.09012416586003057,0.6195801278277718,0.0367416686306902,1.0,0.842618189494398,0.46996872166561177,0.17470512460118648,0.36351742582769137,0.6678738055514903,0.046504549351000055,0.051162553588565605,0.06860267991048717,0.1752756280464933,0.17473933568765246,0.025779039444833254,0.14527956525658683,0.003027838054292128,-0.03221503332548038,-0.009922837236729865,0.5638445029395182,0.3940373320038325,0.08489107142937044,0.08548671436467233,0.05976518783013395,-0.03436159768647726,0.6399143637632949,0.20791548166808135,0.06772216806547553,-0.02526326644174481,0.06658751615438507,,0.5262824494564476,0.17026539922137554,0.0831531665271122,0.02731730004567735,0.044441805291775625,0.08582844532222686,0.09342192900860415,0.011484039785721196,0.034379136762794714,0.07422192581759104,0.02793117027230275,0.18918517025435427,0.00558822670161583,0.028541978037953195,0.05555505391923574,0.03261543224956317,0.18290309494025433,0.5514767153077877,0.6590139786455816,0.6565157277938825,0.16235954168261033,0.022741676580873296,0.5333892604171161,0.1756522563008292,0.2398403846720118,0.04166313131010473,-0.025833716245119362,0.009416922727255236,,0.6538413345345347,0.010031304949811002,0.6243939564661635,0.0008374450227962679,0.6113760330118558,0.0029687980555165756,0.6519516146827964,0.0024044207240592626,-0.012433927832645254
Visting Team Hits,-0.01010219730338285,-0.009890489255431489,-0.011167451222504078,0.8039082843551758,0.10807172833458739,0.25790522795243914,0.029573426462143358,0.842618189494398,1.0,0.5487937913729772,0.23499278903416487,0.41625668152549367,0.7981298988763554,0.14721883356922,0.20286585609987043,0.09461643911158753,0.1943867183761509,0.1672320462190076,-0.1655671720540851,0.15061497101459725,0.04952057474314462,0.12078365511997687,-0.004128771845630127,0.538158976651296,0.26525778930653676,0.09754052544522206,0.09828932719196014,0.021634902414495807,-0.04378310502483761,0.34692611854774236,0.11567932628256287,0.06630912342784655,-0.029407646357331195,0.03915665641825935,,0.3586626597738878,0.16161945194763383,0.09431856323450306,0.0313981792135614,0.05906784256864224,0.10581047518282259,0.027541719656593452,-0.007036044006625653,0.021608477923583613,0.0027553725007546143,-0.04553459624814547,0.12518359630560688,-0.00525881786799804,0.005060436568285766,0.02541579895638856,0.027336661499271386,0.10668910428563579,0.45045044409127777,0.797970514973204,0.7959282400492991,0.15621422050886372,0.0248760828543491,0.11971993590422852,0.19059802111961002,0.16459479821088918,0.04389155543772072,0.14427195125857423,0.014139039391723994,,0.9271981414126078,0.03787387249961271,0.8715249164229452,0.027559411561877467,0.8182373751740297,0.05239837448956329,0.8856616992560272,0.04694226273877259,-0.012021878162649356
Visting Team Doubles,0.0021163474653152223,-0.004786517607301302,-0.006078892925179664,0.4878350663054438,0.06386549486592018,0.12212616399065689,-0.000801294298609267,0.46996872166561177,0.5487937913729772,1.0,0.0832930483283205,0.11411875676787864,0.48769124382348267,0.08437785175214378,0.1423713259552911,0.0709468207109191,0.14315994946217292,0.15560380659708145,-0.09745416240903514,0.06893207049003049,-0.02878532320055581,-0.039922779498770926,0.03206930317246472,0.31108024796142797,0.13299862704793494,0.05689925684823561,0.05706512078625606,0.0006968020525049453,-0.03154335338377208,0.17983928749157355,0.04175617948167281,0.04260282173225209,-0.01477695221584871,0.04722838948874077,,0.20005529465503982,0.1023972267384892,0.08046826020690738,0.03139970298978092,0.04079824718046498,0.06487691069223525,0.020802170873643108,-0.03141257151212354,0.01987815373224729,-0.03690719698593632,-0.055269363050740525,0.08872262948176872,-0.019603450320004434,0.007268594370551741,0.0366573362784592,0.00025621382161494094,0.03612323565375648,0.25085275385667316,0.4917727777945749,0.4894331392964739,0.09814867722339286,0.006013907276299178,0.03693109784030684,0.09375559577448914,0.06787005419749467,0.009925949201785949,-0.017510166673788793,0.029688153506954727,,0.5143768661308068,0.02602225804330726,0.48885608519391927,0.01750576261455052,0.5489404044693799,0.04939529742586425,0.5591168987516877,0.041264444291075515,-0.018615961206921862
