,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
Date,1.0,0.0040140796683952335,0.004966161066624618,0.02476212129779509,0.007034302539894175,-0.011878675364958397,-0.18730179930650018,-0.022736538272397428,-0.026892943147587976,-0.01748148252336051,0.019361240070224894,0.09587795274740532,0.030053733651028595,-0.14127251436461086,0.00921639823958163,0.026087258992941755,-0.03807897018021338,-0.10937758669599555,0.09783962854475635,-0.057388435551049215,0.006573354233575578,-0.021199527728641775,-0.00030077723778250176,-0.09139288817437267,0.1264650151873839,0.009616950622459774,0.008991410065600934,0.0021970829901242364,-0.012713869131335834,-0.0021498245987779784,-0.12095223563133949,-0.01395375524664748,-0.01699056538092238,-0.04254188224822062,0.02883378015471188,0.02131481249444601,-0.008955442388441282,0.02660403057464149,0.007924741252031057,0.07643309324114628,0.010912585288558773,-0.11429989283751957,-0.017159024241176938,0.02019209656898706,-0.043076158922418124,-0.03605168935475197,0.1144933873286709,-0.032460949280358954,-0.0076571175472028305,-0.044060496238727556,-0.004150126521248257,-0.023573082676002294,0.12112891854365088,0.03817508706230078,0.038292090322316986,-0.0433808659375939,-0.02445203394484299,-0.02275698379752461,-0.07282455572134386,-0.07158096585489578,0.02017241516983333,-0.02769003525600916,0.030622032360994266,,-0.028948626298908247,-0.024309725613599183,-0.03637713500352548,-0.03681983448998745,0.03969446297816703,0.03583970116396239,0.013306036231853268,0.011461266348197528,-0.09668849768360423,-0.09523418092221946
Visiting Team Game Number,0.0040140796683952335,1.0,0.9993572507454214,0.012971563254801746,-0.00036895338287402143,-3.632319504445144e-05,0.08998169588721454,0.026091580166679,0.021812157075226123,-0.04976717038545085,0.0019509158199456558,0.015551853484900005,0.014653937644273776,0.03018033918289061,-0.004318475880852533,0.004894302570228103,-0.08140849697350815,0.011396970498200347,0.004176754445565193,-0.04070466632378618,-0.044392080090924484,-0.03015782562110155,-0.044996154214363135,-0.022095553797317556,0.041332430877567106,-0.007003399701324435,-0.009209726959467123,0.027691620032336443,0.00916599218536188,0.004193776871322678,0.020484581215995588,0.007141234370991338,0.005797839677644632,0.02253203108074481,0.008331952547462112,0.021194380958464834,0.022861945900775966,-0.03883998694914503,0.01022545938203168,0.0470866436388139,0.002935315640226153,0.001703457600636009,-0.03286910462235383,0.02728387884402398,-0.03576548739830038,0.023518660011513336,0.0028642979307225793,-0.02018477532277688,-0.0142678118738397,0.026806978745615943,-0.009247541706058458,0.002278093335359283,0.048685902451716924,0.013508172831876043,0.013832700163371882,-0.009955217859995208,-0.019220092445996248,-0.005221420908101386,0.0034621547615619184,0.011228633973290714,0.034217007936762175,-0.04318339950604192,0.014328888839027788,,0.016149096793006964,0.022959021087712462,-0.022987940998045776,0.008286256845016372,0.0033247327632982162,0.03377251717793418,-0.006430440161693764,0.026584499532680134,-0.024123320387167958,-0.027485088709016822
Home Team Game Number,0.004966161066624618,0.9993572507454214,1.0,0.01198327830153379,-0.00165972266703788,0.001577494834043785,0.08660547661096904,0.027073956872856176,0.02146948213362435,-0.04856627861772818,0.0005336919767039603,0.01597347489484973,0.013815983969037889,0.0306543649601083,-0.004316724367699287,0.004306119294380845,-0.0828174579792243,0.011652816414551449,0.006092356703986809,-0.040213907961485024,-0.04638319628931029,-0.032885284012625506,-0.04583007613533845,-0.021793638315309425,0.0412731056668757,-0.008026041854653346,-0.01023908251287392,0.025414357217322492,0.010103124941544687,0.0055904721546239135,0.018251094368946334,0.006517857327033126,0.007406931348498357,0.02068784411505996,0.008720872263386187,0.02172611734873017,0.021819765531344706,-0.03978096446982459,0.010942403327890683,0.046847459067234615,0.0016784438487366998,0.001708827617381885,-0.03305664923960319,0.02811060807536224,-0.0370155097348426,0.025351598180849026,0.006082763730567057,-0.017457786350211456,-0.01466606321039085,0.024550309706515547,-0.007664727645645371,0.0024696752889915036,0.049067273956128116,0.012234854551908063,0.012505446993308625,-0.009118237111226828,-0.020098773974696234,-0.0034845410385209966,0.00293529583383008,0.01128830452819805,0.03586557193343472,-0.04590148016257306,0.014889740270907642,,0.01539549546218301,0.02146628742764504,-0.0243879613642644,0.006414777623035641,0.0030469189874270846,0.032734318409855155,-0.0071496096868282144,0.025173551639786348,-0.024125169047689556,-0.02675032009653787
Visiting Team Score,0.02476212129779509,0.012971563254801746,0.01198327830153379,1.0,-0.0005816609245905376,0.2224697189073047,-0.03448099442356696,0.6695188227281407,0.8039845565284517,0.47979094429214664,0.1730374465324837,0.5386838386060269,0.9899533870602724,0.07738689757831924,0.2742638888131175,0.07894591777934365,0.3636532623321865,0.2605919722189953,-0.11518361440576315,0.21317758332116432,-0.008815794062560866,0.02265938998935218,0.05407930964870841,0.2726111926209054,0.24289854579931103,-0.011251061172972178,-0.012926839726440036,0.04499300511247573,0.004441049047650733,0.3554163663997265,0.08201134447916283,0.0026701344917975083,0.04594448032552001,-0.005276881194760807,-0.00486106154145698,0.2930328410992625,0.04616331186951802,0.03159199219747956,-0.009969214219762192,0.016759382493370972,0.0041349596530491995,-0.07199878694004819,0.0072423962219200855,0.01294321487650399,-0.00566572192736669,-0.1422513307590722,0.10861929264189779,-0.1152857512899682,-0.03458577766862678,0.010053627093998483,-0.018654071646113133,0.08591952398448574,0.44153684677890753,0.969376364407399,0.967549419920939,0.19063396316513062,0.07682806589593526,0.0396606884654977,0.03191925404049016,0.2111137842381258,0.07091700688946843,0.026739835151056934,0.02156157371460674,,0.7702702508960477,-0.06179335570215581,0.7690323287097466,-0.08418839140108247,0.7983179800761174,-0.05445010351110678,0.8353871689199743,-0.06887141102026734,-0.014017098985177468,0.03047611351120149
Home Team Score,0.007034302539894175,-0.00036895338287402143,-0.00165972266703788,-0.0005816609245905376,1.0,-0.14929714531067503,0.061465844266038426,0.05262191840033504,0.023392205416788707,0.024365746721481087,-0.01652364417641978,-0.006832224597933054,0.003145313147348184,-0.07706593550655988,-0.005655892144065009,0.006635206096578619,-0.04244466114345465,-0.07904893498333632,0.06197848392859555,-0.05402064806785217,-0.0718981599843985,0.005592358310066453,0.027271474043355153,0.03442156067584091,0.3105362526429964,0.9655469681832771,0.9619203680842209,0.152389871655715,0.017304219697217807,-0.27292536349003066,-0.03217857074135137,0.21491932297730587,0.05943118006409809,-0.04543216332035748,-0.02047821877623765,0.44495839815307775,0.7657209396467998,0.4022938883832808,0.27842598536777663,0.542563173748349,0.9888450835431658,0.04993354916667735,0.31698431127904825,0.12924812737222874,0.3391546331143507,0.16885965086175875,-0.14392112364003495,0.12139515397406084,0.005964519578534892,-0.046143930519733166,-0.028616657770867634,0.14811902741296926,0.06955552797709932,-0.0028560899789205666,-0.0036847177757444462,-0.00940758275302091,-0.016879879390988985,0.015587711236852044,-0.03703216686642463,0.0352193344640399,-0.023987434862254332,-0.000663451993453851,0.0024009523697409905,,0.005506932145399726,0.7539224114721516,-0.01820311433586647,0.7571422069493928,-0.007009204660100563,0.8027995497444391,-0.011667301486508509,0.8376448793360501,0.02836657809707214,-0.018241790534670413
Length of Game in Outs,-0.011878675364958397,-3.632319504445144e-05,0.001577494834043785,0.2224697189073047,-0.14929714531067503,1.0,-0.036924714240317354,0.6488392331524374,0.28836735976124067,0.11104588936159512,0.04566237299017123,0.15206392667017382,0.21916206144729022,0.18389812867628247,0.09625144475839792,0.0394259639789144,0.1866544875460686,0.25301960108738086,0.19693337178478212,0.09381487475875597,0.11744126459373594,0.05575141812483401,0.10001328251204043,0.24921936676631085,0.3836318995316469,-0.14449603612937706,-0.14367529348849795,0.028169665627442664,0.06127668832861187,0.9676501258509732,0.2841104766169153,-0.006520453390354171,0.04283719968506644,0.09073222748392375,0.005093898228721089,0.6108844363448407,0.01565672641525792,-0.018126470072386627,-0.03500979766495239,-0.08168016689787136,-0.1451633963720438,0.1549875655370962,-0.019255235813565405,0.0460739620436864,0.10216843946007416,0.1298076943820416,0.3497090604776127,-0.016926863837404205,0.03937851094292076,0.07586553353370308,-0.004884270124083961,0.25699430724249533,0.42180384361222956,0.20370964178609735,0.20332711763380967,0.055312739634196986,0.07125388982624266,0.9509166395201417,0.27827092683014476,0.09367599293663026,0.03505713500502659,0.09089946687710418,0.0036006911392443687,,0.13006398710426162,-0.20857510034449123,0.13412457418669044,-0.1985004819793326,0.12817390744002338,-0.22792026377128768,0.13815609112485855,-0.23176950113026826,-0.029797156492451533,0.00019216105613192983
Attendance,-0.18730179930650018,0.08998169588721454,0.08660547661096904,-0.03448099442356696,0.061465844266038426,-0.036924714240317354,1.0,-0.029270726061330413,-0.019128341874648704,-0.02483784637695031,0.03205509152302202,0.009973701443114274,-0.025900904576927238,0.05110040010588166,-0.04732914789855179,-0.025652277602081948,-0.07707920753191341,-0.05721939306638834,-0.025965826380577598,0.04056139318247163,0.02006456277865535,-0.008741580777495829,0.04616434081104807,-0.056740857681289565,-0.005227127329686637,0.06873405207552616,0.06717026161215443,-0.017402229995417125,0.03159931165216683,-0.04960738939558981,0.03157805047851375,0.046498838577398775,0.026276559922691328,0.03824306045914608,0.02410401866167035,0.019970075650728666,0.08537463618089312,-0.021321794790558894,0.039289593127289295,0.09432372474035164,0.05570893510623452,0.024149508724880843,0.045239650463009436,-0.01303011535470134,0.016147400233431725,0.046604373153041,-0.07340242425532655,-0.022858842083088925,-0.01668041564891408,0.03746070697551911,0.0008092433966947434,0.0324905064502716,-0.05204334474764703,-0.024059187479698867,-0.024445302933565644,-0.07992778613828716,-0.025455998186478982,-0.018091616335143546,0.033050810197804675,-0.026066181764074003,0.026110411849537305,-0.01742667719413948,-0.03850636896751666,,-0.012934713292173721,0.10433665208552166,-0.041490060848180486,0.09411857175220868,0.003910170744171577,0.11302164072993703,-0.013031687737954436,0.11334607421920131,0.024188057727099414,0.02242754322494539
Visting Team At-Bats,-0.022736538272397428,0.026091580166679,0.027073956872856176,0.6695188227281407,0.05262191840033504,0.6488392331524374,-0.029270726061330413,1.0,0.8422479702603131,0.42614754127460275,0.11112043299595842,0.36197628682780575,0.6661777186715827,0.044017631747124586,0.09688661642955086,0.018676658287293084,0.16944940065899983,0.2755202687254186,0.07465949503704446,0.1664692745238099,-0.01628695362643427,-0.012190888847655054,0.07313634203476066,0.5893458938311614,0.36109696844792344,0.046416288481442886,0.04619588512867256,0.04390945770928275,0.012656905831275177,0.6656524630386472,0.20522340360487237,0.0063394666981080455,0.05984879905983443,0.048939240848648646,-0.017141858972978232,0.5443106549901472,0.1429868722365711,0.04348489578872573,0.022469757326368835,0.04316453550066247,0.0560051805707072,0.03646805636321483,0.025685139085518758,0.04069380488128326,0.10496801592342822,0.043628176598273935,0.20766106747431626,-0.04636311405925921,-0.002381515806264693,0.04819165901892907,-0.0463387165762662,0.21093651866395266,0.5504286450407843,0.6385919209585553,0.6373626783926166,0.13199092562641743,0.079792309851871,0.5706255941058297,0.140980582598647,0.24881269830932506,0.029607335873249863,-0.0022266906869870973,-0.017918262385350416,,0.6984422289588659,-0.031202466989101223,0.6052384091182879,-0.03577279043170289,0.5982503286707264,-0.03629577799389224,0.6369772184279081,-0.03843717692050773,-0.015862691759357977,0.010288129323826051
Visting Team Hits,-0.026892943147587976,0.021812157075226123,0.02146948213362435,0.8039845565284517,0.023392205416788707,0.28836735976124067,-0.019128341874648704,0.8422479702603131,1.0,0.5103010872189034,0.14974616476140543,0.3953306578250833,0.8016691100553163,0.0902786391234087,0.227165790422019,0.020732398847663362,0.1912419049967115,0.24463648028936616,-0.12955913014820528,0.19490082705478554,0.04874045281584739,0.15203864807270853,0.06223052165726756,0.555280044034917,0.24471792124971892,0.015337673172513753,0.013845946883677107,0.032414964203910275,-0.027282447891564757,0.3769229029647385,0.10542332048201589,-0.0018871361734921386,0.05491654179084214,-0.002023249265334432,-0.014981360460793394,0.31737510452568946,0.06687293122496149,0.015032488619490386,0.007578306039953252,0.028655186427068453,0.02666138952833147,-0.054255600430833384,0.0026243960540385147,0.0203685391229237,0.03981627379101296,-0.07049950334362169,0.09992200751038674,-0.05671684681131443,-0.030421960538222992,0.0063273165777686675,-0.056674122938146866,0.11023437248286695,0.4645560768019576,0.7943457038056095,0.7933907329630333,0.15225543938195935,0.05576429686515045,0.15415595214566394,0.14406524876333932,0.17269569002904642,0.034960492274571944,0.17011085836834666,-0.007178636377567772,,0.9660049477669304,-0.04172526826817543,0.8614669281569649,-0.049490017673351296,0.8057163860873349,-0.03977719618834112,0.8754062180740144,-0.04590128428097222,-0.01802027882589342,0.027228118308787158
Visting Team Doubles,-0.01748148252336051,-0.04976717038545085,-0.04856627861772818,0.47979094429214664,0.024365746721481087,0.11104588936159512,-0.02483784637695031,0.42614754127460275,0.5103010872189034,1.0,0.0227176343359168,0.09001033091370736,0.47714559506528276,0.0462867677629821,0.1283427411215784,0.006132871695344566,0.16263021015692547,0.22720950916912652,-0.07834445576794678,0.07587618447664708,-0.04543651010661669,0.012168878145332697,0.03484888697182675,0.28537930303837566,0.15350021317232473,0.01716872349757555,0.015912832627197598,0.022661655575849635,0.007489976463525223,0.1700336719376118,0.057608166884760004,0.05773060854117408,-0.0018440477013601695,-0.018687134869874264,-0.019849204229907474,0.16493034164843975,0.04420439490118209,0.03083421314360286,-0.012197359365451707,0.02874020151249514,0.02141431442624225,-0.06069448302888995,0.02310577351170614,0.007530432463186877,0.019329945690636296,-0.03956890922424562,0.0631567426532465,-0.0007819512810959406,-0.014111322608662356,-0.02667840748833862,0.02881978183097922,0.06805993216098666,0.23970297053139578,0.47860425672781204,0.47810581814684877,0.09179713642043448,-0.004299452275562448,0.028839347782381595,0.044230526010293314,0.11018744616714668,0.053326927752515144,0.02796376760097357,0.005301364722579431,,0.4971784046232579,-0.016032749764518187,0.4666508414739424,-0.02524893072038942,0.5220884456371904,-0.005790312933193332,0.5326022364121046,-0.013308308367649076,0.00664408910643715,0.0027460159159226516
