,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.002321511667131471,0.0020616153173912493,0.004694381062065088,0.0717349918347132,-0.006845271240652577,-0.13135511707614858,0.004826015987582971,0.0005368023613101227,-0.02801550909729002,-0.014482837867135317,0.03733594190944911,0.008778518883941537,-0.09758550675743419,-0.04719976189359452,0.1085538175159689,0.029825045611477176,0.016794141478614334,0.07174388086160291,-0.1083222418480355,-0.012274072900683781,0.05220923121668725,0.0479054287265226,0.01570385792914478,0.11762085794342791,0.06841637190538213,0.06833106491141751,0.04879362326155887,-0.018229894956168842,-0.01664026009702486,0.019497958319355156,-0.010995230833201974,0.005760975016417377,0.03845268581169199,,0.009383534030612954,0.025761357293862162,-0.01721039885716564,-0.05525779498933747,0.09310985822615289,0.06748179305287477,-0.09146434067594807,0.03712010609638375,0.0523581987567341,0.007824389080097832,-0.01142690635831011,0.013113798208396386,-0.09736422469422529,0.01119924500189001,0.031235173007175886,0.037553197253342746,-0.04178398514986384,0.12209574618996409,0.015337178493398317,0.016573487176041235,-0.02149765595232287,0.02038805138201456,0.005483528791932066,0.001526678314551006,-0.07646425083463923,0.012479169860590264,0.039696710205245886,0.02011058203482445,,0.0035711020350372422,0.0239757166913547,0.026263996665887083,0.02678837439803618,0.008228004200253245,0.048005903449985114,0.0157264007936392,0.042996433095246624,-0.011542474008776801
Visiting Team Game Number,0.002321511667131471,1.0,0.9995303761988019,-0.017819211739678324,0.0013723653438316242,-0.026514282551096037,-0.011980417504375422,0.005900696662915496,0.009639800585551469,-0.017404883053374762,0.01426117057429934,-0.0032843474331753094,-0.014123841577983017,-0.022283817568982463,0.010208384918183237,-0.010726106371387866,0.013701546467344549,0.029227842520249694,0.0029948641899346885,-0.014511457302644285,-0.04374962128688274,0.0025734525731777426,-0.04550195498056356,0.05216012752195046,0.08266952104211486,0.0009909255640330205,0.000734284415175554,0.028917182191717444,-0.021643594992200612,-0.02986174397699302,-0.02253408456922722,0.006686618879046459,0.026561941772391684,0.015643739891274,,-0.01257341181517985,0.011497850177716571,-0.009480007356506406,0.0504086381596405,0.009550878958144743,0.0032367036916074554,0.03228966854472135,-0.04058864125705021,0.002996317436507906,-0.023315246614343497,0.009728530906776346,-0.006295735684409379,0.013801479793784542,-0.023911336405641272,0.004338713569122895,0.009338246779600665,-0.00490003884364524,0.05328863987207984,-0.008328268860577031,-0.008478122135399271,0.004469093531841693,-0.042953856268125284,-0.020684651267186355,-0.04253412801266027,-0.014554514281365638,0.000159832942965242,-0.0031348659780685625,-0.03333889136368648,,0.014359205162217791,0.012142765559226398,0.009009266850535155,0.0064746120428972286,0.0009095752143526598,0.017373779939202447,0.004087291753686321,0.014362422305520631,-0.021028248614607403
Home Team Game Number,0.0020616153173912493,0.9995303761988019,1.0,-0.01764232773058657,0.001134761158405684,-0.025944037729840358,-0.011869442072862668,0.006146969161799898,0.009995203424910327,-0.016106263640537324,0.013784236641268831,-0.0031954920464442463,-0.013921059518931377,-0.022467289898337597,0.01123366892302259,-0.010578104791171043,0.014535927886909739,0.029939942568954412,0.0026045371837602424,-0.015900358552494755,-0.0442917412558404,0.003197022984546548,-0.04511425108149764,0.052823266684365766,0.08354588175501831,0.000855546106099888,0.0005750800674468603,0.028251568496829024,-0.023359071280370944,-0.029201657911319477,-0.02144720565100909,0.008341926072906418,0.025954303202637224,0.015188441139076895,,-0.011767408224612596,0.011485224959828568,-0.011023095097747711,0.05044020539229555,0.009135491686359836,0.002981497728235373,0.03264452392065028,-0.04108779819565063,0.002956324556474921,-0.02368652964120367,0.009229291482976165,-0.006106792394248468,0.014911204359945845,-0.023896300180213007,0.004098961261285387,0.008351884490735989,-0.0044335995320939695,0.052553683210786184,-0.008077142147815665,-0.008224717212523375,0.004600353206017565,-0.04328423367556938,-0.020261414828256392,-0.04209179035664044,-0.015200368226475717,-0.0008837871064708085,-0.002325231203919551,-0.033354413547547986,,0.015031910389753463,0.011589104215818378,0.009636722098473365,0.005781319331555315,0.0014910903281750323,0.0164506024749343,0.004726081804683844,0.01346928884858413,-0.01980289304911493
Visiting Team Score,0.004694381062065088,-0.017819211739678324,-0.01764232773058657,1.0,0.041893888150312926,0.19042448913630505,-0.03326986033394188,0.6074433964895873,0.7748402216688027,0.47086325054755745,0.24493862805693215,0.5036251355509193,0.9858946255376413,0.11609203256459914,0.2582642651061531,0.1636859936332138,0.3197651840568648,0.24399460409625068,-0.03429495052249874,0.16944418261163147,-0.02340310306276004,-0.006703938025804785,0.0031196561596793563,0.23137782985419778,0.2526198143576138,0.04360939462290541,0.0434016697545815,0.017972674680172065,-0.03393547553608696,0.30240619854856926,0.09106846343609443,0.013912474406302677,-0.006789294146553713,0.01903108771616638,,0.2895661234866993,0.06549755039135527,0.03755174508269806,0.013635556004450426,0.061950210526371896,0.04563008686628882,-0.09214939585115206,-0.007265115866658709,0.05054862415543837,0.04294822841651195,-0.0938091697379569,0.09486262597880234,-0.07321108872685692,-0.06784781591505701,0.04131527073745545,-0.026921667213905702,0.09112788605446183,0.39898776632488403,0.9695242859624605,0.9669407907103065,0.17201457380062904,0.06724279280930845,0.041975926650430914,0.01294955776482015,0.23641173884383818,0.05958393579059901,-0.010928116577004224,0.017405563661601873,,0.7653408296317784,-0.051877987665016695,0.7390040650175574,-0.03900327186771944,0.7837966297372352,-0.00903843736418601,0.8199446373693776,-0.020732616375303294,-0.00401417484459575
Home Team Score,0.0717349918347132,0.0013723653438316242,0.001134761158405684,0.041893888150312926,1.0,-0.16909977769667586,0.0823848475487805,0.042366013666210664,0.04624538067776373,0.03257119134638402,0.03855986276796481,0.05267825215379584,0.04030502405019466,-0.05718283920280695,-0.029709127581902042,0.0039010161367881786,-0.038782249240060705,-0.1133085169011508,0.03075752452352241,-0.07176681695736026,-0.09488597298531554,0.05729169835007716,-0.010214244866073504,-0.001383048170668521,0.261902356424038,0.9704471803658289,0.9694869679308225,0.11971574187716921,0.04526707110504682,-0.28009896904410186,-0.0868165689432986,0.19493948510259398,0.055349085973065426,-0.046441525434557714,,0.3714301007826407,0.7502200114658769,0.45140340235235327,0.2522316686319138,0.5255380641550982,0.9865824880824403,0.11495271259058883,0.23890042818262347,0.05384113050328568,0.3176011545967464,0.16721578773246065,-0.13411418882212303,0.09063844124217504,-0.017774341660049434,-0.034332246829626024,0.011024631191586734,0.11568164254383421,0.04364501792636593,0.043393548153788764,0.044206609686107214,-0.005066754131401767,0.0007205481207847067,-0.023267671901101423,0.00402414416541378,0.0001575076329874117,-0.013435243058081294,0.035466413251240995,-0.011598330295076259,,0.00383719313443039,0.7644149918762582,0.009868561839989357,0.7563417026507763,0.05329859952023455,0.8027038541250352,0.04022180786875449,0.8337108372154561,-0.02078172946091001
Length of Game in Outs,-0.006845271240652577,-0.026514282551096037,-0.025944037729840358,0.19042448913630505,-0.16909977769667586,1.0,-0.07588373407145005,0.6876837390689234,0.25836491633898906,0.11668723211661947,0.025724635043751908,0.07793347754825133,0.18611904458666917,0.18540113024343502,0.045204588039648025,0.07812694138399462,0.19751480683699313,0.2959318993710469,0.23183685087415315,0.10186940486451511,0.1226614228328192,0.055751440021763625,0.022231468662276915,0.251772588647055,0.4188232260170187,-0.167275449797926,-0.1668395667459166,-0.014450564465106366,-0.03840602773026048,0.9751437236063231,0.3349961131884199,-0.01864975146733277,0.004970482933848601,0.07054756715756234,,0.6824680353705136,0.030165580106241506,-0.04914100677629572,-0.02587983566721034,-0.1123724774199225,-0.1660034712051527,0.09287139276913099,-0.012079624309754091,0.09659947509301818,0.1434919260895107,0.21585515227032334,0.3430688548386439,0.024732461267759315,0.031978334620045054,0.06566915571352516,-0.014951354001722003,0.316318206934999,0.4242502947480437,0.1857616500744449,0.1856375057951609,0.07938855431900856,0.019846912059916594,0.9632689865619246,0.26272128036220344,0.06726875346132856,0.036200306613380966,0.06621434893893915,0.0012469054097314105,,0.10616715782079073,-0.18191454679338293,0.10426918005960714,-0.17288033561650476,0.062197295108211134,-0.2354494015823013,0.08261722487554239,-0.2263212002234941,0.000934837839070844
Attendance,-0.13135511707614858,-0.011980417504375422,-0.011869442072862668,-0.03326986033394188,0.0823848475487805,-0.07588373407145005,1.0,-0.00893028638433766,0.0037275013669426406,-0.030294533591330493,-0.014696015823418802,0.04395061403754319,-0.03291936169480483,0.024652899784630086,-0.047315169855861997,-0.03840614582645592,-0.09802936140811129,-0.057950885907992425,-0.027468051033876246,0.0026623477684765257,-0.052298539420000366,0.0014158324489005724,0.013334277560755517,-0.009798222975738903,-0.006090710336950947,0.09118868098767201,0.09199750394529359,0.04988685252926928,0.00967686319735572,-0.08539760605601565,-0.08100064656741122,-0.03956973478325926,0.004631410241483028,-0.04646829313235477,,-0.02459521474677096,0.05774834278523675,0.08674873836685325,0.0018366818143235736,0.08847846163914977,0.07994775307704648,0.05669758227606767,0.028992182370726868,-0.03414205154702921,0.04165136286845686,0.053542310339281446,-0.09604958381194918,0.03298158322236154,-0.01353593709936646,-0.02847195221195456,-0.02078617001772065,0.007934278623427042,-0.05464381964682247,-0.031308128241840004,-0.031939176070755505,-0.02574168886116092,0.003151153492423835,-0.05928001022578507,0.08350080666503913,0.048782240546659,-0.04634981651757452,0.0004672686136689096,-0.004052316024008793,,-0.017386230005247166,0.09262498029328828,-0.04174986476977262,0.08314318158099236,0.017450920737613142,0.11494733696389278,-0.004133854188064462,0.11002289089111812,-0.056364179884365276
Visting Team At-Bats,0.004826015987582971,0.005900696662915496,0.006146969161799898,0.6074433964895873,0.042366013666210664,0.6876837390689234,-0.00893028638433766,1.0,0.7979751744381975,0.3912223691200922,0.18191017705133655,0.2812156071800543,0.5972018525522942,0.06018265036321919,0.033813924043762926,0.09225944278817289,0.13849980347130475,0.29995225628701294,0.17924772921116267,0.14256799141831336,-0.039121367166949514,-0.043257840287632375,0.009244991410115887,0.5511284574405259,0.40463926498558317,0.04592239532337812,0.04618542673049354,0.034226130415340485,-0.032741433041118984,0.6959197560922635,0.23857586070750086,0.008717330158080896,-0.0036702203357359365,0.04190567232567983,,0.5892994688616114,0.1504592574310975,0.0492568736824887,0.04629150621199682,0.02668542399458191,0.045889205908582975,0.04991772607391518,0.038404587361657305,0.10350560613990416,0.16298762982684498,0.12105560732573761,0.2286419189176866,0.00235640325873938,-0.0024337907755339985,0.05553251748857858,-0.016419276680896086,0.26454396093016386,0.5227194937453897,0.5890548969292595,0.5887285206666183,0.13949345096433577,0.03962188112648576,0.6317263028718052,0.1178015598633689,0.20244634345363263,0.044655725411569355,-0.0423001187387253,-0.01654296962548023,,0.5755939089721561,-0.01736237078379765,0.5357416320767238,-0.0069971553325957805,0.5360541000646765,-0.03138783308818836,0.5724406651715729,-0.024198441472888917,-0.004110654189051949
Visting Team Hits,0.0005368023613101227,0.009639800585551469,0.009995203424910327,0.7748402216688027,0.04624538067776373,0.25836491633898906,0.0037275013669426406,0.7979751744381975,1.0,0.46805182789112426,0.22856582342452636,0.343850258004277,0.7697296749193914,0.13105212724498083,0.1971372833884674,0.09061916707471745,0.14131980100215116,0.22970185007264576,-0.03765880930610088,0.16078603709504014,0.011731890829837307,0.11740647528025978,0.005752589646505995,0.5278041020499692,0.24291627395229137,0.0483581765000617,0.048316455014326076,0.028498853386185317,-0.02304999475450138,0.3298664487101726,0.11178285721542108,0.006932541108602491,-0.003806447746440971,0.028336437299463262,,0.2954751614231352,0.07900368212609195,0.03669518370903477,0.03999033477288532,0.043311564579084645,0.04763139125794842,-0.022421293963532228,0.027299389892849406,0.0671572235427165,0.061029085072353016,-0.03235419590377408,0.08615362785365575,-0.05924180666655806,-0.03225610184011315,0.04517364747970641,-0.016250809176865503,0.10450900136668942,0.4117711788353873,0.7677958229100104,0.7673937446802014,0.12326771642624931,0.0355233616727635,0.15443457007814224,0.10083259701757759,0.1523697381378401,0.03137644361073872,0.1308791792207784,0.009704122821936993,,0.9083274820449735,-0.018755637173103044,0.8378150436733538,-0.014181591759372876,0.7958984896860978,-0.0027220790527313853,0.8662257446655527,-0.007150148056895775,-0.005935552025463363
Visting Team Doubles,-0.02801550909729002,-0.017404883053374762,-0.016106263640537324,0.47086325054755745,0.03257119134638402,0.11668723211661947,-0.030294533591330493,0.3912223691200922,0.46805182789112426,1.0,0.03597889556933609,0.07955995596641297,0.4686189373385625,0.004220671239049579,0.13049511030544522,0.07734141623416191,0.14436895038997857,0.2119721337593786,0.00666602564248263,0.019369216734723246,-0.03652758685448763,-0.033147059012806186,0.02888100425115944,0.23844636828546606,0.11555353161718283,0.03099558176041098,0.031365343246203645,0.012534410261464818,-0.049533363792428974,0.16200274304160708,0.08914948288225132,0.02752547060275368,-0.0047130077994957794,-0.0032917487327195766,,0.1648339213526847,0.045276193105598536,0.015124124505555702,0.011751649483377303,0.006617242630677654,0.03935958000779914,-0.060468706870840744,-0.004579671719730445,0.07188650472933016,0.017130026352569723,-0.03713196610897939,0.03539866982305766,-0.052862023579743386,-0.03656193792713823,0.009210650616084103,0.015838750305657213,0.05597057149869906,0.17975360451491376,0.4604847505463449,0.4610095557212375,0.06891869381519747,0.021772394841305057,0.05396533189970268,0.03153118230030408,0.08787692219384874,0.06649170378009771,-0.03372706412650988,0.02624136703563368,,0.4437673825136245,-0.018906917129330892,0.4221209573708538,-0.012452359433225299,0.5102695604884355,-0.016845808593350487,0.5111115117251666,-0.016223673393301493,-0.018713321937639013
