,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
Date,1.0,0.008130178767218652,0.008017395458284882,-0.000627960424501391,-0.012605471568116639,-0.030959507553505856,0.08574987365800986,-0.04777084279385977,-0.06434813667422748,-0.077276980839085,-0.0018762624986402602,0.09889184006221934,-0.0011247419682390083,-0.08897820808467052,-0.01894173817882688,0.050754892296599165,-0.04369460495000855,-0.08532111677819013,0.17620253557947188,-0.09432879036333036,-0.09791890960922735,0.0062588482293081706,-0.015428901878425608,-0.09170467233243292,0.07593606602625178,-0.010175957530804192,-0.010283629419645125,0.027960132571930228,-0.03412976500267233,-0.027187967066316026,-0.15308583730312983,-0.045510659688807124,0.03062092150315005,-0.0078437872216104,-0.02054494200595188,-0.019671836773698305,-0.03934980564025125,-0.021154571590947125,-0.022893548865143384,0.07734183958843231,-0.01278643257603353,-0.11705976303628807,-0.05872962493412726,0.03823267581773138,-0.03581146962079641,-0.08847709628262726,0.15132158183127278,-0.11635930934998565,-0.06280837696736913,0.006850916233435306,-0.005284359507796319,-0.037798444422355366,0.08952030889333627,-0.0008277500551729049,-0.002782210460299066,0.001036792326165082,-0.023383809718439914,-0.03315523875818002,-0.10163765989049656,-0.06220195050523575,-0.0028480145478816427,-0.022745228807061483,,,-0.0664181869161589,-0.04551088546151231,-0.06831230600833871,-0.0437619773721591,0.011426231544628448,0.015131224486308435,-0.017866605938023354,-0.0053672215448499015,0.010052658569861516,0.010678008688926854
Visiting Team Game Number,0.008130178767218652,1.0,0.9993856051711721,0.016862251907017307,0.025327996582701656,-0.009203900364528122,-0.008551656486157579,0.011220245059778694,0.011575388005468333,-0.016347516830878175,0.0506864128487125,0.014810962767145927,0.01510823991171467,-0.03022658215813524,0.04483077673541252,-0.04253503793484557,-0.028463567553998353,-0.014883660080756722,0.06185616272297058,0.06775840807400489,-0.01549399644215984,-0.05083690426599438,-0.009400682694107671,-0.021209830671496215,0.07258271253351149,0.021644159404421427,0.021194345886521082,-0.024309028635655525,-0.010934194625052318,-0.007406102894522406,-0.018989150144498333,0.032056024045769085,-0.022931159437511953,-0.020961394002639477,-0.03859343856457298,0.04889816587412628,0.05208640070918499,0.01341475132202199,0.023499102690001706,0.019290567123654095,0.024801667675333868,-0.030618066242803738,-0.010809168704145295,-0.027451621185971067,-0.0461479359690506,0.07245344962597884,0.048415871412523855,0.029264447672471532,0.004129005863807128,-0.01396889027008122,-0.03174589986696366,0.005467280963600351,0.057204284258361444,0.021116038730880474,0.019563482046072358,9.209481306199389e-05,-0.0006073867436401201,-0.010722999115443,-0.09623128209762814,0.009843603706140668,0.028631086515147584,-0.05146069084345823,,,0.008071531895816626,0.03916528464125668,-0.01509087164372401,0.0065358982533423055,0.017880619837684755,0.035227344022236914,0.006582312274526725,0.02708782029286464,0.03004498840319168,0.03548618418944041
Home Team Game Number,0.008017395458284882,0.9993856051711721,1.0,0.016207569374876746,0.02493783036948789,-0.008539660545542761,-0.006824333283843099,0.011993756375752524,0.01116253496847687,-0.016717989651906903,0.04992767441450773,0.012938695405205362,0.014357495746503874,-0.031023319980426626,0.044514174591304564,-0.04197067290549278,-0.02964733031926047,-0.014053373337888544,0.06267007223776591,0.06852049946888758,-0.017350193651524386,-0.05196280906098754,-0.009222244133726,-0.020880080344454415,0.07267482314596897,0.021172433811613343,0.020732674587554033,-0.02472810602023121,-0.010757296487789728,-0.006968072046890871,-0.02039144329983024,0.03189711473576548,-0.023797997286746815,-0.022598724118404703,-0.03863925527475179,0.04871769802454336,0.05131904686326776,0.013406554715238142,0.023315613562351213,0.020062255219572552,0.024369249525400906,-0.030879799732610253,-0.009674604989291022,-0.026412823454147284,-0.04564767912413493,0.07344296371364334,0.05067604035362234,0.02713914741878233,0.004201540125958121,-0.015296454860729874,-0.03151371264223832,0.005973481340687703,0.057018659406048035,0.02057525183008031,0.01905507560247099,-0.00012034019482249679,-0.0006784816246175608,-0.009825606640570615,-0.09675193809042983,0.009330921809362723,0.030113978004712518,-0.05322847417239012,,,0.007215319826315747,0.0382468989047382,-0.016273391370427815,0.006024459621775118,0.01605147316399055,0.035207417104693224,0.0048832511239331215,0.0268871233596711,0.029336424306487658,0.03498810933625215
Visiting Team Score,-0.000627960424501391,0.016862251907017307,0.016207569374876746,1.0,0.014136823068203064,0.19116865685818318,0.015813862296117084,0.6425953490626454,0.7869445230012742,0.48228960842152957,0.18201944889816893,0.5451392660530465,0.9891577248665099,0.043125316103478924,0.28966739582918255,0.14834393923706565,0.37862473746101627,0.16534758977287847,-0.09113040310837905,0.13014699086343942,0.003983760705735237,0.02987686410427712,-0.010516022831876375,0.19600249536335934,0.22341956405128247,0.00568313144234792,0.005421006101985382,0.006983898646059781,-0.008398586780415121,0.3164813308482428,0.0608887057499253,-0.007979141043790723,0.013154442380862236,0.05067124832920185,-0.0027673111666864317,0.28110117663773304,0.05759576391689821,0.06184039385944602,-0.021003743279888392,0.01292385798518632,0.013058789317749921,-0.05626864299061739,0.007571987517118715,0.05832455287107842,-0.02162012788627511,-0.09640463821176964,0.0816489767215145,-0.09605712748905154,-0.07522041995303838,0.05165374855147509,0.0028625074335582243,0.0630927228363788,0.37096156376003336,0.9750920879589815,0.9732389406276138,0.141272732247094,0.044358760514237976,0.014444104232749808,0.02355951620595871,0.21124911356326717,0.10965655446285359,0.03855076662941413,,,0.7479395752670129,-0.04329194247884959,0.7607250284490351,-0.0672633084457229,0.8051016035080363,-0.035677587808225324,0.8382284310321043,-0.04957485373519996,-0.03980902537489706,-0.009989394125408953
Home Team Score,-0.012605471568116639,0.025327996582701656,0.02493783036948789,0.014136823068203064,1.0,-0.19095416478314323,0.03008117019747317,0.0299390286785528,0.013281790816118863,0.02691397037399072,-0.036672804023081054,0.040833341408777944,0.020192353330876503,-0.06562921708175579,-0.02237269132887131,-0.0023828431805299707,-0.0063915782198575,-0.1103283862658455,0.0267207187002058,-0.11166855528443513,-0.08249639705684655,-0.026842692276676905,0.008348505116780666,0.033264469074833776,0.19411660552708318,0.9646687552990997,0.9642147701385284,0.1737039115106661,0.09628415599357042,-0.30515089914975224,-0.07020646431394129,0.21096114315604264,0.05589250680771461,-0.0448869417732657,-0.01241487284080152,0.38821141515100227,0.7397153292021593,0.4241864090761626,0.16748057693801963,0.5189899352783296,0.9863837950788644,0.06515775690634278,0.25804400149357565,0.13925778773857767,0.2671639324203629,0.14193784856099884,-0.13996439238506878,0.12152674629454609,-0.046884293242695864,-0.06731782912628574,0.11601259382695807,0.09199500752869154,0.07675522032928415,0.006819779487064789,0.005564312363426873,-0.028172875525232854,-0.04534072355057617,-0.02848174090996743,-0.1105572547169382,0.019355653133195982,-0.03148724102327186,-0.03246086123419868,,,0.00023056560441687998,0.7372857745873642,-0.004877312331105896,0.7379389172139017,0.01887017850714858,0.7872276350592683,0.011103442998527335,0.8214263660300712,-0.037535873206514386,0.017134495433945095
Length of Game in Outs,-0.030959507553505856,-0.009203900364528122,-0.008539660545542761,0.19116865685818318,-0.19095416478314323,1.0,-0.027094056057313968,0.6273881127109951,0.23207355314489606,0.07341482367146288,0.023876220022544387,0.12856975376518237,0.1854059046485457,0.2016666152527263,0.10712631701174852,0.03695603341242701,0.21636538514793624,0.22725818428551056,0.19803446879331094,0.10267773339036729,0.106210416821465,0.021108540204143534,0.014735852591162698,0.21610188199366556,0.4419808491986246,-0.18520303542006278,-0.18508075187275494,0.02636930778715995,0.01544630653165369,0.9710265798265395,0.33845888031986543,-0.0033986356978628197,0.008225602781638653,0.1253093402875344,0.002384236927295308,0.6210650988815093,-0.019533810323596343,-0.019122618434446233,-0.05540113301858818,-0.09661554575285441,-0.1924405161055742,0.1347154429745263,-0.06246791843451549,0.06281340011157088,0.10725961774335091,0.19061729458336357,0.28811776441986037,0.053847920287134234,0.0711250932509409,0.09040147189711041,-0.023026869164172178,0.22668464579624106,0.4118105233390493,0.18269264400499893,0.18291676838084786,0.05753381599355106,0.06301254132446028,0.9520310861125761,0.28786914240882294,0.07554721093967272,0.05067914221426634,0.0493703212170048,,,0.07674544583124523,-0.2367712725377352,0.10690130438681607,-0.2116338380757155,0.08090018457331537,-0.2538031322376588,0.09568894783694117,-0.2552346558485968,0.04894610735549889,-0.0313906953306945
Attendance,0.08574987365800986,-0.008551656486157579,-0.006824333283843099,0.015813862296117084,0.03008117019747317,-0.027094056057313968,1.0,-0.006552555160596135,-0.00034988575090920675,0.02614644315276547,0.008441921309488771,0.01598864487499342,0.020438179619972466,0.028284230609670672,0.03550618401317491,0.03747356441612356,-0.02735289260885456,-0.004261227903255826,-0.02712118679906434,0.028512323118314635,-0.033819953576326126,-0.007871184024505668,0.003589124294121281,-0.01265178844442823,-0.02430465033083511,0.041980103140907256,0.04187999411549535,-0.0037876587656492226,-0.0002988348638348369,-0.03114145738772681,0.010400028800085968,-0.03315610317436802,-0.004727241130218064,0.030903115793199997,-0.008140281198037986,-0.01190418928321835,0.027908932362024685,-0.0025023968543412,-0.02130871024285886,0.06723904746063353,0.03448447371192622,-0.004926959150610943,0.004660662842499139,0.006702301898231631,-0.028350851948033336,0.017167563289249208,-0.014318437105899381,-0.08635212412262615,-0.03563545119333396,0.035545007598757804,-0.008283787917530604,-0.03874033066257284,0.010201677813152493,0.010909805074302312,0.011017408041055648,-0.07595140252743886,-0.00857071284430604,-0.019606518315293114,0.016411022125335056,0.01793042617074863,0.0011085424578236413,-0.028537933209288196,,,0.0006511552921476629,0.03744095078674075,-0.009968350164909146,0.021565642071015804,0.018277635654962855,0.05578561157333465,0.008781768139139601,0.046990677121971754,-0.04810111871737429,0.006084712543392824
Visting Team At-Bats,-0.04777084279385977,0.011220245059778694,0.011993756375752524,0.6425953490626454,0.0299390286785528,0.6273881127109951,-0.006552555160596135,1.0,0.8187512667552251,0.4255723993474888,0.11865365518874836,0.3283565850853091,0.6341754597525637,0.05095518701561709,0.09450034624087131,0.0447527687459077,0.19854840725358397,0.19789200898315049,0.11924473143532643,0.12614554835859512,-0.013597453226190454,-0.08419523913181044,0.019809786298512055,0.5648393010552595,0.3627358836879537,0.02089886444950587,0.020704832231053374,0.033976097686947045,0.017207581488087483,0.6446355842705751,0.18958496055659468,0.01658737739247327,0.02393382120635364,0.07172447028590913,-0.033189321820628226,0.5258720688736783,0.11176900804130727,0.08096168874958329,-0.012230832540469432,0.019341565797612363,0.03366846499498879,0.03807599713963001,0.05539907644812172,0.07707380747224139,0.09270863649364854,0.07714848437337353,0.1583216859254656,0.02360971173511073,-0.04694522889022568,0.048918962372603604,-0.009462635233728482,0.18318987799534772,0.5007033622876685,0.6210395467344999,0.6193942417306862,0.10323878252128789,0.05426836116198519,0.5519314590879929,0.09719104788730583,0.20269715006323627,0.10221202601927717,-0.07165170415350365,,,0.6707599621271537,-0.05387893724296355,0.5945960936144555,-0.04987423204947892,0.575579647256725,-0.05096553274900783,0.6183531133674178,-0.053946159797743955,0.028248779714731352,-0.002000132059071073
Visting Team Hits,-0.06434813667422748,0.011575388005468333,0.01116253496847687,0.7869445230012742,0.013281790816118863,0.23207355314489606,-0.00034988575090920675,0.8187512667552251,1.0,0.5186540989837722,0.15513001873507262,0.36062902155000226,0.7801176730864258,0.08886253805695772,0.22500498893749127,0.06377958243433972,0.2061603512485343,0.1678426351439729,-0.07968706890886175,0.12229916644327486,0.07090499146369869,0.1162783728882604,-0.0007577771227977927,0.5185589292312768,0.19116296186738946,0.004239681776280502,0.003703295166794632,0.013503195275548966,-0.00827069075568654,0.3199837777699779,0.07047783667937803,-0.003998113914566427,0.010949270332520612,0.03786639166106722,-0.016210172360059942,0.2725560418028459,0.055780172810140756,0.053473124927365605,-0.025918277058404764,0.0005043477639800408,0.01871657663240147,-0.04429834883220942,0.05730759093310594,0.041502206063768476,0.009672816020614651,-0.05260162644703089,0.07073486462912583,-0.045047888292400806,-0.07639472808781898,0.030300406870220745,-0.01013670937460687,0.0791072303682709,0.37410060677996954,0.7760798155345662,0.7748458298046756,0.11354553983636018,0.06162374427500967,0.0997628267428775,0.09902965109984779,0.1311490554322749,0.1003708673350605,0.1343752958756816,,,0.9681726847283403,-0.03983759967045293,0.8693503090043041,-0.0542559625722717,0.799345922336709,-0.04272720347088987,0.8751499787155618,-0.049769152957768605,-0.013538335636762034,0.006866959079684792
Visting Team Doubles,-0.077276980839085,-0.016347516830878175,-0.016717989651906903,0.48228960842152957,0.02691397037399072,0.07341482367146288,0.02614644315276547,0.4255723993474888,0.5186540989837722,1.0,0.06329942199659117,0.06043350428476326,0.4780711096853844,0.041316225070579075,0.13030988875728194,0.04187206688983363,0.1789822552902501,0.14643697379729814,-0.05838942314433158,0.025813626952139516,-0.005168132432914614,-0.06121106395715021,-0.01599536697006999,0.28157316400441695,0.0821957127882977,0.012362685156933123,0.0119275477110484,-0.03475007086684388,0.03961147402677976,0.12627880553639656,0.01042740917631241,0.020340018234803945,-0.005372068749840107,0.0020863712149946775,-0.014060319954615708,0.135692877372845,0.03429423682782041,0.02735029319440486,0.008052470509618919,0.009701625213327202,0.02507686638756436,-0.06800043935945406,0.03644320686361704,0.02497849511767693,0.010047903496012076,-0.06695779851487181,0.02107594244728799,-0.042779693518634185,-0.08763243232494948,0.001308173447763202,0.009348885714285986,0.05100472421759923,0.17022672633119434,0.47581344112029617,0.4754010489312221,0.06095474119888108,0.010113878955128167,-0.0005224696896169042,0.02708879012399449,0.09653837001229024,0.037061377074205926,-0.04669692657321604,,,0.48870822487528437,-0.020773900630373727,0.4650506370446124,-0.02594848379370992,0.5191602690748266,-0.0111854856419971,0.5309301657339569,-0.017317000536563824,-0.015449427252435605,-0.001622008931055585
