,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.007856839324354383,0.008171794588772565,0.012926037817016506,0.05232881124378644,0.020274642380794048,0.12524014240660605,0.03338236210529951,-0.015565096340347442,0.018284136087294227,0.017354842831334413,0.15377975884460973,0.006439976555874952,-0.1790508528042799,-0.05986953235677468,0.03919449714400369,0.027471170273209434,-0.07200401607271338,0.1955151474989596,-0.08854942800163121,-0.09450132023090108,-0.026923517822518395,0.016844280415772465,-0.0007274715331870125,0.13467331478311304,0.06020234653891077,0.06062854542491699,-0.002652280490931926,0.016981206433029805,0.013993259490671886,-0.13731281002252116,-0.006625048648509391,0.041831208507237504,-0.002421968100278428,4.375795271007432e-05,0.023045563049286087,-0.03262907522001272,0.007770136136884103,-0.05950575969893478,0.1975614550243693,0.051219771800672206,-0.19603003420230294,-0.08728054552154776,0.026324740487427323,-0.005527836283457588,-0.10420623792350338,0.24390292901566688,-0.09217788088966244,-0.06296002967714542,0.0005959775099672274,0.050631163161106815,-0.09370876521612562,0.13769670959021027,0.023923118444148624,0.02397031152812423,0.05128675911428516,0.014078566457088108,0.02631486152259806,-0.1679929242017668,-0.07626762821098922,0.04745324007904899,-0.03308837786280263,-0.03606023593085105,,-0.04048501080497889,-0.07088513480837592,-0.00941302184717026,-0.04523909911354039,0.07877941464451055,0.07735453732528888,0.04915997192968048,0.03697282144751573,0.06551426026022668
Visiting Team Game Number,0.007856839324354383,1.0,0.9995503800033996,-0.017740611840295944,0.0011914469559139937,0.005488485892258255,0.037708199796943946,0.009577020424722226,-0.009094623052382176,-0.005772814267522431,-0.03852903837513879,0.018133533275709622,-0.021323208833966493,-0.05092968597094934,-0.018131642714185582,0.04385330926210386,-0.06429432745523153,0.03278535918245516,0.025480650234598428,0.023426655863847116,-0.022689318230710423,-0.03516880432788215,0.0191033021357978,-0.01860135124496134,0.11830236286249442,0.008615777986112197,0.00572183771113955,-0.008686195482613812,-0.031735059403683596,0.007044941704857888,-0.021158679170585004,-0.010124596123000512,-0.04701515984026474,0.007450087537418875,0.020266477820179582,0.008576475098712446,-0.005326345410825678,-0.02892692583573439,0.006800923351398852,0.03378933561409324,0.010318935466962244,0.001903459642681762,-0.0740664923302137,0.013487319090446058,-0.03615168732362635,0.0030535839156951095,0.052837917453960874,0.00744950204659492,-0.042711170476158855,-7.706729772573067e-05,-0.009333216257385344,-0.03439916100642273,0.0635706059350971,-0.022880310091732574,-0.023064150640905105,-0.02028662753106868,-0.026768813055442556,0.0031342327321313033,-0.042336426702739335,-0.01916211618790134,-0.013249411927380357,-0.030645202758746444,-0.013018574864453418,,-0.03213321398877355,-0.030559209407532907,-0.0357984650004646,-0.02677094762539061,-0.0066315590855258195,0.0006186086019541834,-0.01844501321122049,-0.009467315170072094,0.03162108904904725
Home Team Game Number,0.008171794588772565,0.9995503800033996,1.0,-0.018584708642270305,0.001208028703253983,0.005159974000276793,0.04095101822754759,0.009168873320851216,-0.01036478679384879,-0.005934657486600911,-0.03997275040841682,0.017403986067123463,-0.02209856893853719,-0.05031447948660224,-0.018134660511506327,0.04363808857457728,-0.06656147640973631,0.03333091715745258,0.027004059032344086,0.02193726328034222,-0.02319024917453918,-0.03682802933736007,0.018155410848537543,-0.019955247960730303,0.11804274270039457,0.008385114557687944,0.0054798653490944794,-0.007137788387008847,-0.030808977808611276,0.0064530341537701015,-0.01992654850519935,-0.008415275936288106,-0.04784677882213034,0.0074880974817440665,0.021851985628350265,0.008364761748804989,-0.005502341379014237,-0.028920682299841915,0.005660534039966477,0.034281284891523836,0.010207733852420839,0.0017426859766186287,-0.07449448961748098,0.012435386439783714,-0.036051143261686576,0.0026746246160304628,0.053311825351382555,0.006809907391475867,-0.04205421248657424,-0.0002338000355604586,-0.009913438920407155,-0.034400123951671996,0.06202678640469891,-0.023817091861856324,-0.02402762382802946,-0.020194305708981748,-0.02648808350002276,0.0031551563994436935,-0.04413059171496799,-0.018665149293092653,-0.013084871260483799,-0.0325906512171842,-0.012237395086267528,,-0.03386049542937323,-0.030683261993794755,-0.0379061015453703,-0.026820207984566857,-0.008084552152767373,0.0007354834009472225,-0.020243664255729297,-0.00940439531153779,0.0315951139364283
Visiting Team Score,0.012926037817016506,-0.017740611840295944,-0.018584708642270305,1.0,0.02143921242679678,0.19261821616228791,-0.12509555427086178,0.6305575977133653,0.7861357161018206,0.4293539287114299,0.20837995180944008,0.5427403310152344,0.9873652902883325,0.10641975706238954,0.288111839204004,0.1343498316677705,0.3979611882560514,0.14470944798574936,-0.12426636295667617,0.1739600677760241,-0.04450511129231645,0.012819871859461702,-0.01068530452366885,0.27413935994712213,0.21139633692674276,0.025506469534360327,0.02523984856259942,0.07249452984993188,-0.03311796412169352,0.3204586047568278,0.04887977176366594,-0.015084156786271142,-0.001380745597035978,-0.018781314373788816,0.07793776724741318,0.3117859485809219,0.09261383029473647,0.031206674161132743,0.04321283334557841,-0.026046122388196372,0.021952500154221722,-0.07733690941830558,0.03568906134719505,0.013596832326366071,-0.007512343833170861,-0.13703096314364796,0.14159300353642423,-0.06601730778150446,-0.09290774165502284,0.0034718647493308277,-0.023785380169794042,0.110229872311025,0.40258285085540646,0.9674955924469603,0.9644549930565542,0.2033676411497415,-0.0010956923538836183,0.020311779160579628,0.06180490532570308,0.2937498411396255,0.09179452660093677,0.02259954525634544,-0.024587509905434117,,0.762260193574158,-0.03317014466436957,0.7398064815715354,-0.0409678223071382,0.7892084168710305,-0.04085487341636636,0.8186122171541549,-0.04350512445204347,0.026430677139237205
Home Team Score,0.05232881124378644,0.0011914469559139937,0.001208028703253983,0.02143921242679678,1.0,-0.14612864140451992,-0.023547710170885874,0.06402584536600552,0.027464964636317184,0.016683051275124136,-0.021731926750648663,0.0411148175879732,0.020403023959948616,-0.09420271590818341,-0.045866078514698844,-0.058487497408953024,-0.03006591579016975,-0.13247521670489745,0.0050133160933741455,-0.021088984280956808,-0.12272908705442545,-0.026309139672807624,-0.004398031230318918,0.007382642661908553,0.3138877770050901,0.968465093671584,0.9656839734176085,0.16947107157468733,0.09046507548557674,-0.2647217770295035,-0.04662065314217183,0.17616159607955115,0.09926303957772256,-0.032513952656372525,-0.013383563886366889,0.393110748015894,0.7377400627522598,0.43538099435856276,0.21944927884248677,0.5936611030722047,0.9872421337562589,0.13750049893508393,0.22996264057092639,0.10118539653882078,0.3584808872356976,0.1308944215313887,-0.1489852131519138,0.13541393826965978,0.02134315046717277,-0.03882748319931313,-0.007558827226156389,0.14944768268039563,0.08079769837062543,0.015924228816044946,0.014865032097854766,0.06449321234784156,-0.029709609972995984,0.011058269578893411,-0.040740389981633575,0.009566855194944435,-0.0002304389344691951,-0.017287504015620115,-0.0007464244450243643,,-0.017921086562551935,0.7625185083567074,-0.014332165362114478,0.755003104098813,0.02290419682375496,0.8100728969592621,0.009758946866728159,0.8414360104249228,0.016509733531188737
Length of Game in Outs,0.020274642380794048,0.005488485892258255,0.005159974000276793,0.19261821616228791,-0.14612864140451992,1.0,-0.024476263861142704,0.6741427006586789,0.2791150357548487,0.10036683082646652,0.04800937276740496,0.13965102675450863,0.18466010626039778,0.1572466390918562,0.022982439099247503,0.04288031245625445,0.2053045590405088,0.23065439709085317,0.1363378797164464,0.09988331839845144,0.06507916673153613,0.07384726308503625,0.019027539526307535,0.2795050103961656,0.4309693684630652,-0.13594194227783596,-0.13615758091028496,0.08949018239424836,-0.026302353568200106,0.9701954537783599,0.2931903187370226,-0.009694141229560279,-0.002805855891982953,0.039430108646520017,0.0033242214214207026,0.6448714800854926,0.02006531948835858,-0.006697195600919881,-0.0041616444209925324,-0.09032462068404173,-0.14406158795715826,0.05722160483011821,-0.00904193909977262,0.0014754045010267618,0.13735341322960007,0.16409096946020343,0.32450846407997375,0.03894889812516908,0.057774488324997486,0.042725270866861675,0.026909905981036902,0.26440051069627546,0.43524043523352973,0.1967234473005343,0.1971215837102448,0.09657664060682479,0.028485754704876486,0.9549317400283932,0.2711881750359852,0.04701413339289826,-0.0009832592858231575,0.07109477202886146,-0.011944126810719383,,0.13015831860819074,-0.17717220247410478,0.1321998407998484,-0.15918954398437188,0.11362545577970008,-0.21392629243820807,0.12790228010513935,-0.20734984655891137,-0.02317692567526217
Attendance,0.12524014240660605,0.037708199796943946,0.04095101822754759,-0.12509555427086178,-0.023547710170885874,-0.024476263861142704,1.0,-0.06652681904303338,-0.11632648175807457,-0.0918233131417047,-0.09102679821258922,-0.041844080390888445,-0.12558641165484474,-0.025344702012052456,-0.053562792111175206,-0.005962784442583688,-0.17577336109182756,-0.003941498367357121,0.11721696115350284,-0.031968531767987696,0.009403634984735768,-0.0498982303134116,-0.009117530465447693,-0.11190919146444062,-0.10319199978076571,-0.018372465227273198,-0.017648635152425526,0.024698733472259156,-0.019977244073168154,-0.04172470250140767,-0.0329391645386395,0.00802438842776659,-0.041798502682113395,0.007443118816712616,0.03058914217119573,-0.0720425733523119,-0.03799140376205187,0.015956065188800175,-0.05941307246093448,0.044786660473966594,-0.026872779008507913,0.01993588500690259,-0.007812155297817434,0.045698134214792706,0.0036955759710669803,-0.015196374460978329,-0.05693734703244189,-0.003013938339798695,0.024837127088425864,0.017115526658647028,-0.00812816984806641,-0.026628164753992673,-0.05074268499588613,-0.1384468789271928,-0.1384096651226255,-0.028588256979415264,0.024743078917364898,-0.0013517437760841421,-0.00483983273221742,0.020096583007084654,-0.028502111236432533,-0.0633244793593896,-0.0020648650273298237,,-0.14394181354874816,-0.008511611012430967,-0.17528751815970495,-0.0028974463118236963,-0.1222640933417767,0.01869445696566277,-0.15054355374730746,0.011905924084462024,0.0530915194400916
Visting Team At-Bats,0.03338236210529951,0.009577020424722226,0.009168873320851216,0.6305575977133653,0.06402584536600552,0.6741427006586789,-0.06652681904303338,1.0,0.815738937326233,0.37822677632626395,0.14909811344710788,0.3491037523014944,0.6234948247394962,0.03771165332613143,0.05366924731866615,0.04386767038384255,0.22489155406494282,0.21906258455778202,0.02534377723417366,0.16517414747760467,-0.07571523584310119,-0.004299599946587422,-0.014934421694008592,0.5952942259892399,0.3982807082379849,0.06871155356464384,0.06832656474431986,0.11240170830230159,-0.02622619066018263,0.6862077144155367,0.18764784596363104,0.01245572132413897,0.0032167352311875575,-0.012349960161748259,0.04218409279575469,0.577021028907628,0.15088708766724201,0.06827541599851795,0.07479424795727908,0.017685267310483282,0.061569936458478414,0.014312924370712089,0.0599441434498184,0.01754865257548738,0.11903208895319643,0.05079269251353199,0.2230269176241864,0.006897596453931008,0.0038451987913870854,0.004779289593253017,-0.00433757609958695,0.2148480432014633,0.532227345534481,0.6173605672272285,0.6156774770051976,0.1759705953472898,0.005319929344400865,0.6043700809779128,0.1704939884750188,0.22271077635676342,0.04428362090435277,-0.02315473335005043,-0.037418959257572805,,0.6036488911850485,-0.019389597968606433,0.5660723348024259,-0.017812665964312524,0.5714078706541685,-0.02968874956228603,0.6045960244290874,-0.027193940403257514,-0.007534363410219213
Visting Team Hits,-0.015565096340347442,-0.009094623052382176,-0.01036478679384879,0.7861357161018206,0.027464964636317184,0.2791150357548487,-0.11632648175807457,0.815738937326233,1.0,0.4842407585419017,0.19352097195491272,0.38090801415804953,0.7828255146049434,0.11971813011962693,0.22114807276716855,0.08604740257014418,0.2728455933013421,0.1926344238999019,-0.16128125345161348,0.1940566265791613,0.022018036895469075,0.16954172084626382,-0.038466410117216056,0.5898409090366628,0.22848647206452954,0.035601829421712486,0.03543674562493237,0.06467934597133708,-0.02773125110796039,0.36639892304771604,0.07163331561697955,-0.01161550651009313,0.00014144733725503575,-0.015107792295495904,0.05289433092021539,0.33716946836014366,0.10324101060011255,0.03498553546168319,0.06797029106218042,-0.02187377069029947,0.026997171537560108,-0.030498294360109864,0.047376530772123976,0.003927878739984613,0.0038222147868368556,-0.08450584383890003,0.11609233618841655,-0.03145269022853853,-0.053257902132967494,0.006915109921159207,-0.0058707935352770736,0.1140075343834915,0.4522809724759163,0.7829068009809986,0.7812054619467897,0.17076569043339554,0.014271448019605016,0.1494307034381531,0.17599629492761512,0.21062521220003685,0.06125298137011527,0.1762333663741248,0.0012555044351452763,,0.9180999316683478,-0.021217867704766823,0.8571404985356884,-0.032460797767271815,0.8040503403651129,-0.03101715297139839,0.8744441165793686,-0.03353122075921692,-0.0004961626586498357
Visting Team Doubles,0.018284136087294227,-0.005772814267522431,-0.005934657486600911,0.4293539287114299,0.016683051275124136,0.10036683082646652,-0.0918233131417047,0.37822677632626395,0.4842407585419017,1.0,0.049170734033992726,0.03146722255277205,0.4320461606358005,0.0658264954872466,0.177053413075072,0.08369336557507712,0.19236923317126045,0.20394106022059388,-0.0855328363701803,0.061397142184640825,-0.0500431174485483,-0.0060676123541090945,0.009706286862691916,0.3173453761711372,0.13698842172766434,0.022626396398275586,0.023224349985105495,0.04715599068959614,-0.0115155183948948,0.16100659647254434,0.04475920202299178,-0.020882236317954533,0.015913383300298237,0.01456666157944465,0.024487165988799818,0.14568685628841455,0.04535899984743948,0.03807535625827239,0.023815502826844262,0.007117044691678086,0.01772615630741768,-0.005675079293042501,0.002913141212251485,0.0074662458727330835,0.016121667127099365,-0.024998433127381686,0.05378649188135327,-0.021987099288964026,-0.016633350293522996,0.028731466466444252,0.0018887144460100892,0.0522404400968428,0.24834973379201578,0.4455000542647893,0.44717675856314226,0.11917109568143004,-0.014917545500846448,0.01790083860868093,0.07405670722445246,0.06617974746055813,0.03691674065192563,0.004081788622340209,0.010327788038166788,,0.48110967570133084,-0.0029889738032850494,0.45292915996399913,-0.005668282666008564,0.4961722683168482,-0.00010206147389589319,0.5098943390777558,-0.0021663085806648674,-0.005137331666291986
