,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.004368127678937047,0.003925248958502348,-0.018880790481064395,-0.028830870634579713,0.0025846056363859637,-0.07204662379001363,-0.06167473449708979,-0.05322224511387803,-0.05405344405557301,-0.011131595707673815,0.05023641806022887,-0.019114309512124138,-0.08834124977537466,-0.03210787617767853,0.007804357368786627,0.06823281166763763,0.021594146550202555,0.13971721585585908,0.0081512548994434,0.0335517471857134,0.08285755369185886,0.02220271354228172,-0.04642760161402796,0.1057196730960427,-0.021900308413804834,-0.021632136593635713,0.009109246038485586,0.024924947520001794,0.006653718722650413,-0.06850407041013401,-0.010119609170776723,0.045002432511169074,-0.008374632648800706,,-0.05162169936077244,-0.0769279109498939,-0.048349153900486955,-0.00011338994289092595,0.03597134658501442,-0.03185775524400299,-0.1053560726168692,-0.011742171342329532,-0.013908962797575003,0.02502823187640251,-0.007360898340890045,0.20135460366620767,0.010804438194697532,0.04213834368937846,-0.0012099126200558277,0.01575255166637053,-0.06312117434909852,0.09561287745063882,-0.014878172939854946,-0.014499390310706586,-0.04348618994333476,-0.017647465682483623,-0.0028407858521019417,0.007966665366188789,0.01438955815854253,0.05999752348584743,0.07353783279230672,0.005900639046360932,,-0.030626070229019826,-0.0674974001006245,0.0015634830638982173,-0.0518142003206064,0.0022520919266536535,-0.024486667811931033,0.0021475988869055287,-0.036002500348135645,0.009792740027033436
Visiting Team Game Number,0.004368127678937047,1.0,0.9994244671002693,-0.049569039815938395,-0.028543619119342636,-0.04403265816049737,0.09038531981584995,-0.06790077780531602,-0.050641937068585316,-0.0799423198201909,-0.051379623124735915,-0.03096718956588937,-0.05356200347985385,-0.007473603905341379,-0.0146931318150004,-0.010904749681374063,0.023643314214181498,0.017894485746427043,0.016674389325832144,0.03192349869699165,-0.019559544882911794,0.01919785668836643,-0.04363917582297914,-0.008464075586832284,0.04193303850078806,-0.029492760241346876,-0.030096387137224574,0.03775418223033305,-0.0384035279263428,-0.041992188115059385,0.005080731211224183,0.018289670201792126,-0.016942218502273038,-0.008101132088895879,,-0.0502755838091822,-0.024158081477676695,-0.020779900149164744,-0.02690419751517571,-0.027567318734257697,-0.02848534796661452,-0.007340997801751582,-0.01084016234967422,0.0178079294923358,-0.06358612621432765,-0.03953672450686216,-0.04053346408744232,-0.0024557330484582746,0.01335394498895576,0.00034111822072814107,-0.034834752049150285,-0.05062267325637621,0.07841121356066885,-0.04399967091223889,-0.043744745080148945,-0.036970533922431686,-0.02122786628232773,-0.04262273383053355,-0.037363172598862765,0.0013140212301777573,-0.013939672927920914,0.02692607128691759,0.01653793782331338,,-0.02187367905010727,-0.02836644567572937,-0.011540205730317577,-0.03450817959624087,-0.053422803406661806,-0.03139353820051513,-0.04133079402999725,-0.034617994403418124,0.04261536419922964
Home Team Game Number,0.003925248958502348,0.9994244671002693,1.0,-0.04978577206605698,-0.028010978679315575,-0.042349530900106375,0.09205631516301582,-0.0668227631420534,-0.05104271967055492,-0.07971011319315786,-0.05017963943545283,-0.031038025671133455,-0.05379716262147848,-0.007420446099773125,-0.016133698126590757,-0.011905760704105569,0.024489404403315304,0.018520131248813337,0.01714232686964332,0.031926580624518,-0.020003567235387053,0.0189452007351761,-0.04242860468795383,-0.00787576221187155,0.043138912042034766,-0.029360609183735387,-0.029953241490573202,0.0373836288025496,-0.038381513175435894,-0.04064572521841026,0.0059720092794808026,0.019106397372890497,-0.016203626225755018,-0.009027662220853864,,-0.048497937120634924,-0.02352078753462933,-0.020688737442392635,-0.028538552136290106,-0.02693951286862639,-0.02797980297461578,-0.006520775249883318,-0.010798407575562375,0.017129143873882407,-0.06390814442064269,-0.038390411166651366,-0.03909018595903427,-0.0008476732633748187,0.011613248562706107,0.00038893643641349144,-0.03344125232754123,-0.05007576100645901,0.07797130861672924,-0.04435753142758188,-0.04410253451969028,-0.03734274480658194,-0.022497040996349343,-0.04066358655186836,-0.037001137922284225,0.0018718593383841814,-0.014337266826704215,0.0263728740304478,0.017489123120755838,,-0.022678729227118964,-0.028334154582870547,-0.01176107446241061,-0.03475220899119419,-0.0535855293345942,-0.03127801335350424,-0.041526570475569256,-0.034624727730304256,0.04348971178810016
Visiting Team Score,-0.018880790481064395,-0.049569039815938395,-0.04978577206605698,1.0,0.009872793589510223,0.2042751340831627,-0.013471971324748257,0.6332397658039843,0.7785490615109689,0.43446359117702116,0.20812453185796342,0.5541405632851735,0.9863898766252952,0.1405780961207433,0.2575310487757571,0.1647299205646023,0.3421595867254678,0.1952720792920304,-0.11961676188602449,0.17274248376273507,0.009354866975600472,0.0010144930812607986,0.06826699359019034,0.23557624526543688,0.2225670577146934,0.014416347748987387,0.014194288237178176,0.0012611406905857622,0.004977792533481856,0.33701076021884474,0.07382520203308514,-0.011063782051935065,-0.017988678952401298,0.03549129509332457,,0.30771340741247555,0.07245078164865087,0.031206839813891222,-0.004248234849591599,0.047220675110107205,0.015253552544325144,-0.12463442244953013,0.0018001204483234466,0.04488930038024464,0.015297847293039261,-0.15507865198955287,0.13479673065260528,-0.0592576020642111,-0.030515495494817687,0.04531857506678295,-0.0068633147432235345,0.10714549950716587,0.3980410143208671,0.9591616964529427,0.95890818828313,0.15527466391891992,0.02724098660855558,0.016365747714265917,0.025482323786063993,0.27147542963076926,0.10012461573029616,-0.003282939076935123,-0.014815921325490533,,0.7653952777044952,-0.05632511475536455,0.7447323962404265,-0.04572076893821861,0.7992006689613781,-0.01991214745595582,0.833575363772458,-0.03057310340630997,0.017332969417322246
Home Team Score,-0.028830870634579713,-0.028543619119342636,-0.028010978679315575,0.009872793589510223,1.0,-0.18994218108719993,0.0255860101235509,0.036048394697859684,0.033481122915796614,0.05972799252890325,-0.026502160643278923,0.028002183446506235,0.010031076858276016,-0.07791977955744112,-0.0010407686174348644,-0.004444784338185767,-0.04610006547307175,-0.11576682246238885,0.015292756155244632,-0.05299071314268296,-0.09464042954743888,0.03224203250498827,-0.029318118616650058,0.00799715527879794,0.26168260838959384,0.9668187487819867,0.9653831986300783,0.13879441233791745,0.08622939982237836,-0.3086480168194592,-0.05789819429416138,0.2564678081290584,0.10737940362952954,-0.032170263010074446,,0.3994622777193948,0.7456963204016241,0.3963928089334435,0.19381572485779996,0.5441821923818401,0.9875625422729397,0.08981419804133059,0.2438585698501775,0.13341020702357276,0.3267578150178738,0.08808937684261305,-0.12532278873303318,0.18606236025675965,-0.023072691540306594,-0.03327307700035684,0.03826678875076272,0.11332883763065829,0.03701858051197005,0.01647400300962356,0.01666880779883685,-0.026866423902899877,-0.022525527782097203,-0.021232893061704724,-0.03033367238398281,-0.05425963932022878,0.016871876052568024,0.027227295709747835,-0.010939152930925261,,0.0013741077942168295,0.7663680813761076,-0.0007514405276527653,0.7502342073086458,0.037253844524769174,0.7827217890138006,0.025510708910950187,0.8232983916850003,-0.009870570413395034
Length of Game in Outs,0.0025846056363859637,-0.04403265816049737,-0.042349530900106375,0.2042751340831627,-0.18994218108719993,1.0,-0.012189053459595573,0.6496062135495227,0.27324057498015,0.1269117287792753,0.08842505096439156,0.15454545917437607,0.200567136475822,0.18425785306530607,0.08837763686365362,0.07125797729828932,0.21159464949828125,0.30925094883679405,0.17811897824007045,0.10171713259263762,0.101858057177913,0.06300439785495325,-0.0037192269558403916,0.27874845332382353,0.4122991584521596,-0.18224698116057478,-0.1815571346578257,0.022316380817127508,-0.004016076120917105,0.9687818832878072,0.29416301004504014,-0.02386807013646674,-0.05387231925643371,0.11485600621273537,,0.6196027870260854,-0.0009280150003477686,-0.0680231788692666,-0.06820486186330471,-0.11168694188827799,-0.1867322339655065,0.012546339652923682,-0.03871286098309534,0.05575471979053607,0.12010133202990224,0.1057882334926136,0.29284978522328914,-0.015148626195057462,0.04915385208476109,0.11460487352280471,0.0726571908501584,0.2743721760194463,0.4250644259731119,0.19970237933831972,0.199684992054405,0.06325317138067177,0.022884262856367087,0.948693207091112,0.3086472894683277,0.08958325485800189,-0.015442084151295637,0.0693810535639562,-0.014742666578618427,,0.15115830708655173,-0.19904850199606333,0.14794115787972048,-0.18219984401466902,0.13728626403157268,-0.25251735514941775,0.1507211488605945,-0.24397678006435153,-0.01831428763186945
Attendance,-0.07204662379001363,0.09038531981584995,0.09205631516301582,-0.013471971324748257,0.0255860101235509,-0.012189053459595573,1.0,-0.014338696660174172,-0.009248910291961869,0.016345935399589263,-0.06910368750363337,-0.04165003826393794,-0.017272094119632198,-0.008015023479577362,-0.0021891250570293323,-0.021108097632139663,0.003670608880187631,-0.009381512640339304,0.02302884288541754,-0.06085724347745315,0.008910812640721676,0.04274779558598871,-0.006051087509134652,-0.005339333878922619,-0.005978814748014518,0.01550168700939807,0.01580161637946959,-0.006116404231279773,0.03257922096656327,-0.014121843425694197,-0.046852346187252134,0.00797958756043265,0.029266920431657125,-0.04203862186931651,,0.00866607166756642,-0.00042900456137749974,0.035966748609448575,-0.01912216064250422,0.037412098908614744,0.028731773062452875,0.04043157209463781,0.025360408651039956,0.048507114234812784,-0.029290140777038974,0.005746308829544378,-0.015325046842779013,-0.013543070322847047,-0.04340262658622467,-0.028972016862308284,-0.045017005496208046,-0.0009783674097015448,0.004444832382780742,-0.015457123171155024,-0.015251105371825443,-0.015421130868869478,-0.017286923512883832,-0.008613205541106624,-0.01393167204061425,0.019092648163002022,0.0068657504587482585,0.04121627427163275,0.0021309131258318934,,-0.0056617643453193344,-0.013103430572100026,-0.007563966144282975,-0.01717395484888258,-0.035947632221632636,0.023328751636816313,-0.027735296734001547,0.010246255926925914,0.006789428653363948
Visting Team At-Bats,-0.06167473449708979,-0.06790077780531602,-0.0668227631420534,0.6332397658039843,0.036048394697859684,0.6496062135495227,-0.014338696660174172,1.0,0.8201118555421868,0.4337448250885656,0.18139949398752508,0.3400510149472381,0.6237817514535187,0.07132605430616451,0.06940871469975123,0.07184139882638502,0.16104001001549972,0.26825531271827174,0.0914499657978606,0.15027766847240784,-0.014204389904158789,-0.029098093765196145,0.015375573275027947,0.5835507296983129,0.3814345537936718,0.03304199509240191,0.03250909851842512,0.046959487336584026,0.0016534913285729059,0.6670821265756354,0.20942540347130464,0.04274293070923694,-0.037012648411204774,0.08662961198207507,,0.5572155895695605,0.1508514250710466,0.04565614833977376,-0.025960688856340584,0.02907218311893164,0.03925932211366137,-0.03387904092747264,0.018025082244933432,0.05908299658154173,0.1327442228211594,0.012367470425371627,0.18910741479753942,-0.004734089878913908,0.024545615117399874,0.09860374031159692,0.03317648153908259,0.23656277004308493,0.5214493624243065,0.6013666534327817,0.6014421453328116,0.1288241582422095,0.024611742136931396,0.5681225946298005,0.1338213201976197,0.2658874644231271,0.0418373018004426,-0.03984316037491227,-0.037403996564456005,,0.6116659042273005,-0.01777440386323299,0.5735723492510928,-0.007101355838454104,0.5829250354680477,-0.03872820389539228,0.619427358487115,-0.029883745480798814,-0.038087339746251
Visting Team Hits,-0.05322224511387803,-0.050641937068585316,-0.05104271967055492,0.7785490615109689,0.033481122915796614,0.27324057498015,-0.009248910291961869,0.8201118555421868,1.0,0.5164380749707765,0.1980610033192671,0.3586371984732046,0.7690500539581945,0.1650372744046171,0.19890109065581224,0.08253079385216952,0.18333192487408548,0.21692610806489396,-0.10976592292106403,0.15077795857687046,0.05672422800376125,0.14691079768069926,0.05287481563743614,0.5436990899536195,0.25093127646485397,0.03444123978426698,0.03357735129738746,0.010860407689443114,-0.000477748455320714,0.36224699205447486,0.10966100385581252,0.02397360977212415,-0.03511572922190228,0.06229432333763101,,0.33515684202616525,0.11185355075002086,0.04269210983837738,0.00012310852132346348,0.03303355965345517,0.037688729876371285,-0.08207968258063306,0.02005117541672325,0.019484455311787174,0.041457393359188785,-0.10398689856996449,0.08729632067406969,-0.026064246007961395,0.010202614186376404,0.07848034569680656,-0.012166772575221477,0.12249424321095702,0.44413946494583023,0.7617739890656935,0.7619357544599908,0.14504322406996747,0.02769966921318862,0.13482042168407407,0.12109516572879243,0.22476379825610326,0.06187348770372567,0.1502282903732514,-0.0012241549784453973,,0.9138665796449758,-0.01306529006493135,0.8506015041454199,-0.010206281559977314,0.790515840626365,-0.006025510244805145,0.867399303069933,-0.007939652299007874,-0.031524583839047535
Visting Team Doubles,-0.05405344405557301,-0.0799423198201909,-0.07971011319315786,0.43446359117702116,0.05972799252890325,0.1269117287792753,0.016345935399589263,0.4337448250885656,0.5164380749707765,1.0,0.08090016425674872,0.043211369475541696,0.429311579204273,0.0615745704625202,0.12469650710765619,-0.011409888059293964,0.12043596758301892,0.20853651345408616,-0.06635370298815518,0.04530671173827515,-0.017900755686824938,0.0059534233916520365,0.0064323750126460775,0.2815713950269806,0.1227854087897349,0.06339278441567485,0.06354723405621376,0.0032570422456718027,-0.018583821502955553,0.17950707974836858,0.07721498241488715,0.03420170008980676,-0.0074953676249440385,0.02923760700419163,,0.2011153181167169,0.10080755633922579,0.060328112087734954,0.01692817073694998,0.020916491557001107,0.06166230525541649,-0.033205939403975135,0.021152434064844843,0.00011685872557941479,0.004670392325269033,-0.030590375301897555,0.037913826302484605,-0.016245756200485663,0.050831450115074804,0.032915295526456924,0.009715657911189932,0.05362812902572352,0.23754298910236696,0.4269061635037006,0.42705014772949557,0.11550271221494038,-0.0005954809737115114,0.048265358052171525,0.031074810313748175,0.11017110007385045,0.06608322519263764,0.016903888284547662,-0.00037729702544169174,,0.4784583413856225,0.027578678734819003,0.43418617022863093,0.018400181358129195,0.5011427506369225,0.026779837152796467,0.5103546495622958,0.025540652110196075,0.020124093108374954
