,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
Date,1.0,0.010252309876968131,0.009754945118775605,0.032588276308339194,0.043946896119632636,-0.00012446817670149065,-0.3194872032815419,-0.00023156163396188294,-0.02229161184766121,0.02187554339922469,-0.06379754503146368,0.10105571859101538,0.03144314114835275,-0.053616785264679404,-0.013444977999738678,0.04565234832579617,0.07406845884153782,-0.011147192855185433,0.24482509770305694,-0.06173186052313344,-0.022631908655765934,-0.05563367185359457,-0.010455118847615689,0.011749053908965476,0.13240164961455514,0.04663469182541158,0.04606052422015458,0.07589203017139011,0.020086101884374662,-0.002672805842647886,-0.23948502127442248,-0.02463426841039054,0.02336255745649418,-0.1111754933620756,0.03036056000434139,0.003866912593471063,-0.04100644993102511,-0.015407414888968896,-0.0061344451136736335,0.13303150403834219,0.0403913821519606,-0.06807211347016653,-0.01598766442314292,0.015481423391512048,0.06376024850269625,-0.014420070412141597,0.2582243379534982,-0.01518392868539082,-0.06687717790787866,-0.0901810463793238,-0.010148116668013085,-0.0075980372769793554,0.16240860126107193,0.038789310586055364,0.039421967956170666,0.007328509845686576,-0.00031865583594112805,0.0031594995773058777,-0.21674979297331903,-0.03359286598018469,0.0329161013834464,-0.08277211776058956,-0.02018938509319621,,-0.025762633482579934,-0.05777839628678181,0.015599666642078009,-0.024738443669389393,0.046290631777389395,0.04389264194451017,0.03753774224136919,0.021862226301743493,0.001623425772847369,0.00010913550474386138
Visiting Team Game Number,0.010252309876968131,1.0,0.9992424827449002,0.051036089377873246,0.012644203574623964,-0.011338739991146497,0.009036128502543237,0.029101639923476138,0.04901901862108343,0.0022214765124652027,0.06343744953961063,0.016777477135422905,0.05313200909872021,0.019891097687511013,0.04076371603561637,-0.00888570918470146,0.002577314906094443,0.013591584231233205,0.028440739183743867,0.03748154962033382,0.014968133099117606,-0.022596858211452343,-0.042706672208655705,0.011003956861487843,0.05214192188547332,0.004983201159773626,0.0030957316495593998,-0.009660139723975194,-0.021695541660794397,-0.00445823531872097,-0.0071424648006931475,0.009822602349876756,0.02582515163521567,-0.04145343658536367,-0.017954485770245894,0.022815050126165578,0.0016475709261611472,-0.03918038328041828,0.015713362148484802,0.02524117684056496,0.017946740110027466,-0.021333673239691396,-0.05261841091092379,0.030959197883227173,-0.05929589964254066,-0.0176556433882323,0.06849603244054848,0.004907484771068104,0.010197767597367381,-0.03801474373584906,0.00825969295120043,-0.02801716700135163,0.092804609400512,0.057080416252788216,0.05600505335765483,0.022164704025383206,-0.014396242861631457,-0.019074596466492125,-0.05368539943717489,0.030568961964517506,-0.02385569709826981,-0.02923096045151352,0.02254909203806089,,0.047741937822001326,-0.01012980727446041,0.03823402684614546,-0.03276504975355173,0.040995572720518667,-0.002084219303660623,0.042306637635169925,-0.01333448226916435,-0.018234092581680305,-0.016866069024764774
Home Team Game Number,0.009754945118775605,0.9992424827449002,1.0,0.048249418513227255,0.013561168900326076,-0.011826215433184753,0.009880757057610306,0.026293197174359236,0.044968404986102724,0.0009208337119896165,0.062121147735406605,0.014032154669873053,0.050304108653754814,0.01935262224767567,0.04016711456679572,-0.00938295076769842,0.0033797645510492244,0.012333895618276426,0.031772433794065164,0.036997922428524364,0.015853971321821,-0.024417550897552733,-0.04262956840913957,0.010109223325783382,0.052637313819348094,0.005836005477759276,0.0039492812998471825,-0.011473980616077987,-0.023222261845485807,-0.005324765977060365,-0.00547156532706846,0.009386451936269682,0.02657414048216882,-0.039548552135386404,-0.013971641076572729,0.022435341832647178,0.0027552163217903413,-0.040774858923983054,0.01671948801683759,0.027214384656145445,0.019017135284106552,-0.021768568107580023,-0.051245208861277536,0.03239867833009409,-0.059804527243932544,-0.017624876620375526,0.0668861099759,0.004211777017648867,0.011045241507163673,-0.03611972177033686,0.00830913176630531,-0.028698066773954665,0.09239345655453521,0.053693406406995874,0.05260069881197177,0.02462640817100541,-0.01423573229896841,-0.019028169975044276,-0.055007587346460704,0.0312930017769649,-0.022793135797801085,-0.031187232541061982,0.02255316826885544,,0.04381256396203641,-0.008630674488482136,0.03538452659960065,-0.03150586281052338,0.03730215274615782,-0.0002995550065806937,0.03871597270794833,-0.01162494335549446,-0.020263298528886375,-0.018071994340654263
Visiting Team Score,0.032588276308339194,0.051036089377873246,0.048249418513227255,1.0,0.01111067655564234,0.1859983489154085,-0.022981202300998704,0.6570340683197587,0.7987381602215513,0.468790663474572,0.23070732779490316,0.5521488323428929,0.986782188706634,0.07182162622798517,0.27937572783493714,0.1274358784977822,0.3525447587527802,0.22252376740404664,-0.1080603343094162,0.14430338340787385,0.005563928553398198,0.023502642096223648,-0.004740375786425775,0.21452081779082544,0.19103578998405327,0.01788949040139308,0.018556042347445872,-0.00395635577720266,-0.00462202132216347,0.31939107359315644,0.05024418265250804,-0.00710589324573924,0.06463726788129198,0.021585158960836515,-0.004740375786425732,0.2662298510409172,0.06808313296710555,0.03720620785794039,-0.03825935004131954,0.014250662969371292,0.017649003884143057,-0.09483736476966988,0.03258187122353834,-0.0008317850667560508,-0.016133227143306422,-0.10217354518605852,0.1635158371086252,-0.11817043847303504,-0.020161872995917884,0.02429366857740293,-0.005375144674798991,0.057620978784974325,0.4028862388919845,0.9666618680985735,0.9644087570545599,0.11913415450772369,0.08987535054633297,-0.003286057611552954,0.04028003258003427,0.23965547662416536,0.0787013001246115,0.03948632371702226,-0.029407259789362466,,0.7619189921714058,-0.02793468983222055,0.7635584504113648,-0.06036867104295245,0.796380146228608,-0.0351594084347764,0.8295775181892928,-0.04656334446638653,-0.0262940007231541,0.013861914129839548
Home Team Score,0.043946896119632636,0.012644203574623964,0.013561168900326076,0.01111067655564234,1.0,-0.21316813712533428,-0.0025338535720269783,0.026130078684559584,0.008163207714852344,-0.010391137416066724,-0.0009085151187520431,0.007380995253578274,0.014373488722079714,-0.10228253297928043,-0.01399501227698766,-0.013585742690808015,-0.02994111046716612,-0.10192213988632065,0.013384072221170624,-0.10437844444301798,-0.1054029342724753,-0.014096077175126561,-0.013749752723318878,0.010550243318191054,0.3080147023289151,0.9601254171348291,0.9578795931868588,0.13427069408998157,0.06735027921563091,-0.3346652220038025,-0.12377263342146848,0.24048249303758112,0.04481831823085064,-0.07638849517725031,-0.022149496839828576,0.40661908842885264,0.7438998688554224,0.42361535267866435,0.2606857158661012,0.5514754092702308,0.9883142073293795,0.014014601142813672,0.282598716749343,0.096067265382736,0.29983003020799326,0.13604424353953987,-0.10595163315309106,0.12520138350942672,-0.009933583730082908,-0.07597631869743628,-0.0065068520996982805,0.07561739722108088,0.03553109622362643,0.0017382561797792424,0.0020624043222358807,-0.011836035247864972,-0.03221136372415699,-0.03652528688534278,-0.033776405186917616,0.0026550459970262515,-0.016823252257810315,-0.020304719949209304,-0.005350008606809249,,-0.0031161350927054643,0.7443709682430664,-0.018984157317880432,0.7456705787224748,-0.0074608246243101405,0.8054803490959239,-0.012162700580086547,0.8358298268898355,-0.009681295564959995,0.0076623849767457715
Length of Game in Outs,-0.00012446817670149065,-0.011338739991146497,-0.011826215433184753,0.1859983489154085,-0.21316813712533428,1.0,-0.04094553472215081,0.6129762361227488,0.2367113544720636,0.11195054093532775,0.039087072617037116,0.12253554527350959,0.18810815342875825,0.20038671405432856,0.07709602043976015,0.021944180443727816,0.23181147812843872,0.24122911160153793,0.18455352614405637,0.11436536818590542,0.07071450492277385,0.03960997315101324,0.0030249716845106947,0.26392013521660584,0.38555074343925366,-0.2120731990608377,-0.21112704996868242,0.025518868435602367,-0.0008929913971689122,0.9671764202884986,0.2762295442478516,0.011660960585191664,0.048763258169960175,0.07674268018514024,0.0030249716845106274,0.5957701238696608,-0.0009327711426784692,-0.09219769956006198,-0.10526284041620608,-0.09772634926367693,-0.21300457828964117,0.12286665655643329,-0.00357423922969418,0.048078732176829675,0.039804163017928565,0.18685885216112383,0.2856197180958657,0.009870101990890454,0.03230107585104216,0.0597332987071906,-0.011662413998535504,0.26962638621953733,0.425698979059311,0.18505855369347846,0.18500069883793344,0.008920583838083045,0.03765544363112148,0.9452812718403226,0.2544814859295558,0.07505708525592432,0.05131085304727235,0.057385264168902925,-0.014675364638108016,,0.09899262341155969,-0.2212490621617128,0.13466842752016014,-0.2218878110061972,0.10170583813558029,-0.26196424870973134,0.11973484171733231,-0.2643624151989106,0.031469592699271055,-0.030487368399832168
Attendance,-0.3194872032815419,0.009036128502543237,0.009880757057610306,-0.022981202300998704,-0.0025338535720269783,-0.04094553472215081,1.0,-0.02462459753815535,-0.007322306947736205,-0.03796224166431715,0.03602081959522957,-0.047828855997156604,-0.020672570108381413,0.04323576120916349,0.013128772336741461,-0.03654363526004308,-0.08508072176691506,0.021766139075332428,-0.07265919382084103,0.021909810409260832,0.005189914734556237,0.01365652739803317,0.016211152260327183,-0.049307008039599275,-0.11164749646954228,0.0005683041523469794,-0.0008738860580400198,-0.013463202623158593,-0.024241359042210576,-0.04504287989477669,0.15004813333514513,0.014500445697302928,-0.002552749429697994,0.07516435642375106,0.013243694252153769,-0.032346011376000725,0.02776954014886565,-0.012699018990155759,0.04959181160695686,-0.036980795014335884,0.00030224129044380575,0.07616244126634376,0.02672787895289401,0.0020379460517835585,-0.017893746724048917,0.04471834157539778,-0.12816694304069076,-0.04497615669691629,-0.03850060038438028,0.06879131066659869,-0.019894851382817526,0.00303762489403147,-0.0766728846491029,-0.03699788602254009,-0.03724355678429145,-0.04693273028921872,0.01947819450947507,-0.03171871585493125,0.05357080857221514,0.024313900093429236,-0.02584998591112874,0.023087197598686642,-0.04672553176376639,,0.0005840636668476769,0.04405385808148945,-0.037429243567226024,0.028411608067985202,-0.030467600703817977,0.006970208985759263,-0.03478741486284228,0.015188567743731961,-0.03333589938040881,-0.003738778342971842
Visting Team At-Bats,-0.00023156163396188294,0.029101639923476138,0.026293197174359236,0.6570340683197587,0.026130078684559584,0.6129762361227488,-0.02462459753815535,1.0,0.8310388047130481,0.43418772411607504,0.17863826991732507,0.3450071031443151,0.652397276804695,0.033206252281624105,0.09217598701409821,0.027069920778142305,0.19490684304790606,0.2393101431216374,0.045450789480525604,0.17688915616511316,-0.017917656202673226,-0.06285108733912619,-0.05107386045103969,0.5866047958137997,0.3314692775060934,0.02608651924235441,0.027706229176746557,0.038917152245739516,0.03448372934246479,0.6358330972862127,0.1839148976518409,0.06137840766369064,0.05542789970108157,0.04515226020377058,-0.0017722523833528534,0.5201891082953696,0.14748437234823913,0.033567087748426636,-0.04544806080630393,0.014347972116300687,0.028535916836337015,0.011149542110713761,0.031010208808846876,0.037369385178999785,0.0533326516136243,0.06724926210531104,0.22304750684677438,-0.061459462563620997,0.027869713177885915,0.03837638279089535,-0.02205534135733642,0.1938667094506448,0.5367336782946854,0.6346336839500646,0.6329362957156625,0.09207833774804053,0.047727178069633586,0.5242551692874796,0.11152360626972596,0.2698590712376145,0.054210689136044245,-0.05518011419058119,-0.04491115944257956,,0.693441479388768,-0.02153592616016611,0.6123406100166962,-0.03871078984553325,0.5908799773463977,-0.05253736546660245,0.6325139319253668,-0.050920902490983105,-0.001604529618325874,-0.012049875107810018
Visting Team Hits,-0.02229161184766121,0.04901901862108343,0.044968404986102724,0.7987381602215513,0.008163207714852344,0.2367113544720636,-0.007322306947736205,0.8310388047130481,1.0,0.5147443162481504,0.2282093486437646,0.4053136619859909,0.7933642493883216,0.07421061497496594,0.22827770272975242,0.055618773215905463,0.1910853354814372,0.2366026247679453,-0.14499980309665433,0.18566354516452888,0.07559011921243616,0.10871678650324652,-0.03677458515073996,0.5187220278727529,0.1764353480436079,0.01652520916450315,0.017779768287053785,0.006802450362771004,0.009520404455244935,0.33643522049482927,0.10296845193667935,0.030272579414995726,0.04584896438143956,0.02806238845743723,-0.008110377278797869,0.2845836345742598,0.07937616494656771,0.02821552545323383,-0.02673351379412163,-0.0006851920456833561,0.013699646569921326,-0.0675955113281905,0.003651013210705251,-0.002644080308363647,-0.007191632417875632,-0.05591929062874707,0.14511905743569029,-0.09405895990280273,0.004857489669904433,0.03009534205498827,-0.02699766037511228,0.07694956468294559,0.43092823512843714,0.7943579897324918,0.7930346865578294,0.1252289781118668,0.0485237671497209,0.0857435525319367,0.12301676892136527,0.18395202475087893,0.03346144527817933,0.13352883901096724,-0.036774585150739926,,0.9691779013789737,-0.01888270574448484,0.8647350401836063,-0.048385733914692176,0.8133476158344709,-0.03982132444922726,0.8787650349483054,-0.04549590169610174,-0.003579969285502396,0.0002491050735989502
Visting Team Doubles,0.02187554339922469,0.0022214765124652027,0.0009208337119896165,0.468790663474572,-0.010391137416066724,0.11195054093532775,-0.03796224166431715,0.43418772411607504,0.5147443162481504,1.0,0.054041915651065156,0.06787597710179463,0.4625795345138352,0.03710266336485297,0.14767231203670045,0.025911938461331125,0.10540750829429554,0.17932217465603315,-0.05039747392849841,0.020319368250201232,-0.01215854343611228,-0.010389315413264549,-0.01585392735398416,0.23582064639916556,0.08280594415377626,-0.013317295268049286,-0.013243455192802208,-0.009737536905897157,-0.011780629433760667,0.1737316672986063,0.05420122254382779,0.03458804673618041,-0.011097754856871483,0.05831518698675061,-0.01585392735398402,0.138736655519191,0.032539387657303284,0.019917093267313477,-0.054822977499742236,0.015528556378705673,-0.005816740635634668,-0.05034182907382287,-0.011288511650569027,0.00876563176274876,-0.007442247817208882,-0.04057318242815356,0.07359201706842641,-0.0671734222886941,-0.01021239147242447,0.06352138605092365,0.05163565300506562,0.039756733334301936,0.20609657624494734,0.4582071049567324,0.45755760838790543,0.05525664708190734,0.00998510405667898,0.02178353205955216,0.03182429174995763,0.087824772251644,0.042998016053225695,0.003687505264319665,-0.03436287940106362,,0.4976237187089711,-0.02032596862378646,0.4440741328191167,-0.02999396034142383,0.5159719606676615,-0.021034217018499286,0.5186886723673751,-0.025638737553623787,0.006080886191967343,0.013355121723150822
