,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.00822199050498606,0.008217992505360167,-0.00966317651458465,-0.008949720195549694,0.004586880813718756,-0.1788121983082591,0.006153765127832401,-0.0415235853389358,-0.016953077268365254,-0.04137080064644938,0.03931619614822987,-0.014412924590001413,-0.08688301803813563,-0.01789623006774333,-0.013133738942012222,-0.040899728498158254,-0.1335641361225115,0.24873256947598285,-0.13435631812230173,-0.05817136060849289,-0.0713990144167579,0.052266469122083235,-0.033766447504886665,0.07341044747300195,-0.020442855966294585,-0.020928239841544634,0.05103135141789702,-0.02717244747543338,0.003750849573295571,-0.1267815606560591,0.0371516127765451,0.04375860887589515,-0.12070865003408078,-0.006142012687325515,0.002730103777805098,-0.06697852778129303,-0.010287319801360856,-0.022813274919984652,0.06041596053457061,-0.00960113070851542,-0.12091546631738055,-0.032319966466874094,-0.041473913200497516,-0.010242984605155764,-0.09570731281815688,0.21672380149626222,-0.10061565988012788,-0.0317091885086071,-0.10525270940726694,0.08647897909568543,-0.029152287080074096,0.10422644818461639,-0.02505966832579844,-0.025432866124887193,0.00848764128722562,0.011398870876851392,0.005308133116382435,-0.11103124596502903,0.046911632479267426,0.06507728618120869,-0.0723525125166375,-0.02876387107474326,,-0.0788279806059267,-0.10060391708266957,-0.06609729345449478,-0.07757854173465893,-0.0161591275306889,-0.009433405915529871,-0.035518545492941034,-0.03469489698848734,-0.00766035875351872
Visiting Team Game Number,0.00822199050498606,1.0,0.9994374443710816,-0.013293842639504526,0.01936788719703794,-0.005262272636252632,0.04944556563493079,-0.01181604311539049,-0.010305645235155234,-0.03133421404965621,-0.03355115184293626,0.034416668828100586,-0.007977417799443666,-0.034410627931422404,0.025236607387449022,0.01060806996028549,0.010456657119800261,0.04144263132379636,0.038244650446120146,-0.031274682197121956,0.007955145471776552,0.017070988267975856,0.019087957960604442,0.011553468759806167,0.14293200580497595,0.021521192511324328,0.020271169456319727,0.06335796998363429,-0.018362305578672532,-0.0055735695907281405,-0.020283206597113187,-0.011569688734511772,0.05877184268540809,-0.05844175633151714,-0.03717568774337207,-0.0003752406520212137,-0.010730827701600528,0.009671052220301317,-0.05875365786237133,0.008094746299212646,0.015236765403436573,0.0213704835134606,-0.029204612901906495,0.006877481745607936,0.03371471052668967,0.02534374976114429,0.011316925209869027,0.037871855846616925,-0.004577310346822786,-0.07928360937038843,-0.04342174446740132,0.007696699734922607,0.14440938233669626,0.00029407191561749976,0.00022658204540929253,-0.015999271865969684,-0.0450247218677909,-0.004544166242256851,-0.06306870786727255,-0.014073528210615338,0.023060586693641284,0.016224279181658245,0.00284957965413335,,-0.00834717429072124,-0.007447609558009811,-0.005867935703921032,0.0032722479197223836,-0.0019779311450811477,-0.0062407447469648505,-0.003537693346267323,-0.0032571940761002977,-0.023165494663778905
Home Team Game Number,0.008217992505360167,0.9994374443710816,1.0,-0.013031871920603445,0.017423852338278405,-0.0043764625771719875,0.04165856736102563,-0.011444977302278067,-0.010461647541831955,-0.03127545814798052,-0.032353545370582236,0.033564469951169594,-0.007877652030401396,-0.03404707743344826,0.02603144926926375,0.011757284374048417,0.012537429918426128,0.04159317325763328,0.03629893923424306,-0.030913169749933866,0.006406787494100857,0.018433353636571653,0.019225539389307565,0.013323879279705438,0.14252657530879864,0.019104647092835568,0.017855267330087438,0.06330009151880762,-0.017514460010268115,-0.004580420239235082,-0.018629942087926312,-0.010742221804232363,0.05855000810118539,-0.05875490729111049,-0.037268605315202485,0.00028505601524774827,-0.010681422245400113,0.012084302856552907,-0.058850414700965914,0.004143817421139076,0.013156284149889699,0.02169613687947795,-0.029533600713188668,0.006925458397310456,0.0311359549320473,0.026016377798326298,0.013126900289955517,0.03797252538221861,-0.0036798946391301875,-0.07960121009980162,-0.04468557416267049,0.007723446985386981,0.14519809136597853,0.0003854165631950712,0.0003792286033621063,-0.015858866785328798,-0.04719169718117475,-0.003846072236717025,-0.0621705432664611,-0.012870374664946718,0.022563290860312234,0.01735965188074703,0.0024159330193896395,,-0.007950650618019837,-0.008057414240502913,-0.004916187225304696,0.0019614747960036167,-0.0024814323247948056,-0.008256763061809043,-0.0035471309952052506,-0.005163617892370786,-0.02431835950864326
Visiting Team Score,-0.00966317651458465,-0.013293842639504526,-0.013031871920603445,1.0,0.03509339773440479,0.18567139250723566,-0.02954993239168437,0.5948729655085584,0.7781061846742195,0.4065678715156016,0.21402276016279295,0.5846248735275127,0.9888572533755557,0.06054350566872585,0.2890857179196273,0.20460164351537496,0.35590631873805123,0.12129595543891263,-0.09012766118107686,0.10510845599425958,-0.03034200218997627,0.012393545819139245,0.07688689644716534,0.1912553953609771,0.20518742373239396,0.03799374014724409,0.0381633077586999,0.0303666376500296,0.029888999113215922,0.3052720540411971,0.05078805483950939,-0.02162818614363788,-0.0006058099545010163,0.015408437605838295,0.004027676435698514,0.28669795109747154,0.06596088339729073,0.023067438353364327,-0.006534162855309564,0.026122802946985955,0.043507453859132905,-0.08517656732393128,-0.0009724289159624884,-0.001971820541862175,0.03919115520463366,-0.08762102877185879,0.12945841852756412,-0.07227029079321888,-0.08862638443289007,0.026419930854686875,0.01929326912140029,0.07831145072173819,0.35350967383517584,0.9700865216242219,0.9681953661163759,0.1518681383360827,-0.009662555219282361,0.02819446835632374,0.03417212656857343,0.20918259784516025,0.06389991562793845,0.012406753298995566,-0.022726305310759212,,0.7673048706333616,-0.05962828793050961,0.7471774280415622,-0.04966338471328862,0.7855423095227148,-0.041780453249713974,0.8280678492702419,-0.0476257112920513,0.018385639653271894
Home Team Score,-0.008949720195549694,0.01936788719703794,0.017423852338278405,0.03509339773440479,1.0,-0.1834319066186065,0.14209485519661752,0.025927594598052058,0.04371990413581544,0.0007111592340361922,-0.02753711448853208,0.014842598570854541,0.035845774583573506,-0.07392459439668832,0.0016728396274803793,0.02294014027173407,-0.029517766786431077,-0.093341321777513,0.002729887654295677,-0.059062598460477164,-0.07282458385006234,-0.0012370256267044486,-0.0022478137498684403,0.018461719920764827,0.2515555792085913,0.9672786246926021,0.9634728049024778,0.12953071318725135,0.03205818217911922,-0.28567219176817554,-0.07915445250160692,0.19993762588612446,0.05801078502198332,-0.022104572732458132,-0.018667029655846552,0.3370991902861388,0.7300372435942126,0.3903859851414876,0.17544691681186814,0.5677981502220897,0.9872928559730417,0.03710444289175475,0.21676117563639472,0.12139776912810726,0.34643905478455234,0.10782482899315338,-0.1939439383561561,0.1163807120110092,-0.04564846117629183,-0.027681051468905975,0.03298820888481525,0.08935702413480641,0.08064008396916339,0.042317821287130374,0.04256852257045235,-0.0501825549556745,0.03833507574197043,-0.04721943909229849,-0.020245995277336393,0.007968817270399258,-0.01954499537907222,-0.019658968780731062,0.005423098278502877,,0.02180123495775075,0.7588940023698231,0.01978860342419713,0.749338913257305,0.020331940486296458,0.7891529065443698,0.02159646386685114,0.8314811726222137,0.043683723274044
Length of Game in Outs,0.004586880813718756,-0.005262272636252632,-0.0043764625771719875,0.18567139250723566,-0.1834319066186065,1.0,-0.06630186225420155,0.7025295129503402,0.2484901745959088,0.08768144407021228,0.05314087047570792,0.11493909261017671,0.18689851047483044,0.2364860878265589,0.10671401016039829,0.10049496040610083,0.2427841853933594,0.315570154087289,0.23885137549202942,0.1383033462171262,0.05712946740689813,0.04768426255273248,0.02400931544045121,0.2967879184162844,0.42924101069071297,-0.17793806588613176,-0.1774007714438996,0.01469690614311948,-0.015042516776826515,0.9761601777837007,0.35883100191160777,-0.03857968584075413,-0.03935396204446524,0.0718327044588123,-0.012262567518713742,0.6848833704271902,0.01587544224542702,-0.04175593730199974,-0.03482556523243539,-0.10529766117403246,-0.17822492005413845,0.1764613696187265,-0.025203221202493593,0.05855257991400733,0.12010279496326584,0.2312917318955221,0.3593720938006389,0.05879032959619575,0.08619163827242733,0.05729043995159106,-0.02232803360242476,0.2880956814061865,0.4434224162553796,0.17612604065278983,0.17555949386400685,0.09481997815342294,-0.007995453946728917,0.9645070644039855,0.27169817339112007,0.12492079444378203,0.051600834817949554,0.05723593100545111,-0.016780722202170147,,0.10218528565491504,-0.20285765860381844,0.11204338522354111,-0.19132180951093178,0.06973897816732187,-0.24838747826605925,0.09017080571020514,-0.24564440103002208,-0.03753757630355674
Attendance,-0.1788121983082591,0.04944556563493079,0.04165856736102563,-0.02954993239168437,0.14209485519661752,-0.06630186225420155,1.0,-0.0420491940071167,-0.022787653737013826,0.041070309645198706,-0.0482567279340888,0.005999080816083814,-0.027247799670435308,0.040074248729823334,-0.029959911677580404,-0.0015454553306229767,-0.05616884791455429,0.004207240800141746,0.017287852604710784,0.038347300473496077,0.013909518531550175,-0.05897655347384339,-0.04862678135503738,-0.029666108253530547,0.01816031773825452,0.14167452358238797,0.14018188260109318,-0.04857150405484011,0.05627691767324193,-0.07283789969590898,0.0007129892000739295,0.03695863139112257,-0.03861311911250713,-0.012979519243839398,-0.030593730779630207,0.0033461815791241507,0.07411774811548358,-0.014015543905662595,-0.04181974961028477,0.11211255998109876,0.14613136612272448,0.06890012888457792,0.050230848811046946,0.05024113812794181,0.11629878282402253,0.05058652994211885,-0.1338850278018977,0.02804394996582418,-0.0771444802181365,0.00570083953254173,0.0015791983929000898,0.05250118281000664,-0.04958422239857765,-0.032667981419894625,-0.03289735047353923,-0.016984517623853404,-0.0028134378056984067,-0.05407717411744138,-0.0534401666815022,0.01200829962607532,-0.048211570572494054,-0.055120710471700154,-0.03552281958771899,,-0.017833166994458798,0.12226698803638203,-0.02866465886528631,0.1279578898702086,0.010972486564079852,0.102463503686483,-0.0026821579355975913,0.11902718311371188,0.04608005635871047
Visting Team At-Bats,0.006153765127832401,-0.01181604311539049,-0.011444977302278067,0.5948729655085584,0.025927594598052058,0.7025295129503402,-0.0420491940071167,1.0,0.7822115569800179,0.3670698251368694,0.14517071784157326,0.35615979313865537,0.5927818622160734,0.09292125378380446,0.08587683627206964,0.12510279156063775,0.18416365136092616,0.227775967842939,0.1559130315007389,0.15667675119140131,-0.05742922251381909,-0.06968651988375997,0.05535816856362823,0.5642657115365142,0.3802688276694806,0.02556564251723112,0.02614124678500529,0.03665300293654419,0.011737490499089382,0.7191793010496603,0.24398398128209609,-0.005932657551746843,-0.0399445867906386,0.05276350264351705,-0.005776884144154558,0.6040480057872253,0.1397996504129112,0.02363534321065229,0.005499202740027365,0.002963582720105382,0.029959818486791228,0.08058619750253908,0.046780108846279506,0.04849705841502251,0.13139177896856616,0.12431307375252196,0.23441028166952235,0.020088702543357727,-0.015321381134947703,0.040194825508493535,0.012880922111604085,0.22993876651817302,0.5105286640397809,0.5726657204380508,0.5718818900043444,0.11963522588205067,0.00895266521275036,0.6369638936180789,0.11287391508105751,0.2437818769720558,0.06464126357604368,-0.08276314672150546,-0.024426895892834755,,0.5635411578473819,-0.04897378672058589,0.5306604271841142,-0.04259373394982602,0.5238385172512249,-0.08063247495386619,0.5640049605958973,-0.0727022487227324,-0.01902274763840205
Visting Team Hits,-0.0415235853389358,-0.010305645235155234,-0.010461647541831955,0.7781061846742195,0.04371990413581544,0.2484901745959088,-0.022787653737013826,0.7822115569800179,1.0,0.46906102156747137,0.1994618535760409,0.4281122836066216,0.7771739089099937,0.08532310510751227,0.23798328519208617,0.135039338109836,0.1756178111459558,0.12357761086211326,-0.09233216409940097,0.13193401941868227,0.021157462301168245,0.08969674233339606,0.048385697524205476,0.5010362410290572,0.211051875404626,0.04377714616770858,0.043697888139984854,0.038584593461560054,0.032201983326856295,0.33290443439698464,0.09962437386981877,-0.006324437406087168,-0.02105680532432958,0.02473829817399659,0.0004863773315130931,0.3079861815278099,0.09053701153822218,0.026045188858833085,0.003485309306824085,0.01717715850011579,0.048187928464265214,-0.03595236400091854,0.034128459041682296,0.015084537857803188,0.04941675852971194,-0.013115691678902556,0.0977972981632262,-0.04844818006635603,-0.07546493485385196,0.018939028455417263,0.030804424221666033,0.0972067845082703,0.3888147236472089,0.7725312322292764,0.7720206137590758,0.10395763701831624,0.017899695034729775,0.1297682454059445,0.08842035378430362,0.1345607329222181,0.05244263826094117,0.10077183518957489,-0.006919666265311839,,0.9131992198489518,-0.02708498968511747,0.8438916038601085,-0.0250567200028978,0.79202714030777,-0.03286593483373617,0.8678979897792635,-0.03240974260691038,0.01510674934636296
Visting Team Doubles,-0.016953077268365254,-0.03133421404965621,-0.03127545814798052,0.4065678715156016,0.0007111592340361922,0.08768144407021228,0.041070309645198706,0.3670698251368694,0.46906102156747137,1.0,0.08019093922322408,0.09129743268164567,0.3978665546686271,0.06751695501753387,0.116515406916941,0.025835845087921396,0.07017871567160046,0.13082024788409036,-0.062243102071464766,0.005534894500762923,-0.043737335621790635,-0.0702861714369134,0.07772046758935817,0.2222103092979375,0.09433828463599667,0.008958591037760174,0.008907731702421913,0.014542862452318131,0.02945406646447106,0.14431991854666995,0.04705181387733626,0.017444937588182167,0.016195336941091598,0.04287091384746063,0.02217303968413022,0.13333609011438424,0.03663117200408735,0.019569578928699132,-0.008329942975037094,-0.02929853471283734,0.004872051736968274,-0.06552320833477163,0.047743568159446796,-0.0031311438532750013,0.02039386167158319,-0.08139614276033304,0.015615140293154119,-0.06648321036661223,-0.06220047779554409,0.031877346058111,0.04988504560946523,0.05942028106396994,0.14597859255047035,0.3853480217757873,0.38430895545029925,0.047418745713416637,-0.017857851111819797,0.013122011160952882,-0.004694840155671463,0.10572258468343754,0.05509299579325356,-0.05505652879887225,-0.00476791743541296,,0.4223688360971245,-0.024823823875466163,0.3811544133117802,-0.01648811121795812,0.4866021405079609,-0.0413426366232259,0.4831799586981475,-0.03534618737487327,0.046625223976561284
