,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
Date,1.0,0.006128927118269571,0.006810876420643112,0.09494352783490538,0.0545071738455805,0.0058331642472117685,-0.014267492027862082,0.054677358097140784,0.05275448980229382,0.05806590817829352,0.0013313475911145261,0.16505173246136554,0.10214229591392691,-0.13644738850536897,-0.02523080866395262,0.06072221525283008,0.00024025462297015866,-0.022988029947869148,0.13172759853680258,-0.14750917429512644,-0.02568241957710741,0.022690705648622512,-0.007710952586328402,-0.032398289258682975,0.19050243308797027,0.05589972692383113,0.05558503437767004,0.09887671376478485,-0.08126278084106897,0.011963418604951096,0.006885226922735026,-0.0208767003049037,0.024644779566951287,0.02373251206173496,-0.0408389090062257,0.02132439326221283,-0.009617540568819605,0.06015932804287368,-0.03460605337532581,0.12851312514801855,0.05639999414332157,-0.14640096517154363,-0.013931860424504894,0.03616103385127475,-0.026935315299598733,-0.05039886891773974,0.13229618533861418,-0.10939867594969865,-0.05716612715488719,0.026457108303929312,0.0481440346112455,-0.08246819615962403,0.19357620598494973,0.11009407636847794,0.1108117320773845,0.06462375286359022,-0.04333111085609189,-0.002005281567489872,-0.05601469983500197,-0.051075475513961584,0.046309871929240645,0.02336276716468512,-0.042855687262191584,,0.043268857242211314,-0.020109880319716746,0.0385033863037614,-0.024491385637208613,0.13058712170512896,0.07775621942083547,0.10462530363786424,0.0453697929558223,-0.005707502120127043,-0.003171168260082674
Visiting Team Game Number,0.006128927118269571,1.0,0.9995482437175698,0.0426096483620872,0.03480242046130363,-0.03763830527973494,0.039519425249366885,0.00789529366566626,0.02861666538238074,0.034456463446668674,-0.010158509962860735,0.0906266570252289,0.04760333988696076,-0.02049095535792397,0.012123976383113435,-0.05091995543350101,-0.039636319489026704,-0.023797389784926924,0.04969067029377357,-0.05538580271196124,-0.029848061610075024,-0.02387727480564588,-0.002895682187303252,-0.04931782478799758,0.08592945738658656,0.03365930241967507,0.032233689121694296,-0.038639717174356485,-0.0021209233259670474,-0.0380849999434796,-0.03482036218030232,-0.009674184778655483,0.014132130689669656,0.013173868925045833,-0.036968769366927286,-0.012635777061157457,0.014447306863795131,-0.02684392214033082,-0.0166182709385508,0.05265666244344789,0.03535383420533353,-0.007257235123809544,-0.03267602460871101,-0.0026439513304085684,0.016101119700538895,-0.014891207983415256,-0.006003914406666969,0.012662305006123892,-0.029411199109224153,-0.005294222468116583,-0.027227886358843243,-0.016260759089682966,0.08252712213502049,0.04759774251528648,0.04811189947705199,-0.0074885964577465405,-0.007760462676470193,-0.03426093594666347,-0.10692512917634618,-0.022351104600242432,-0.014675502535547887,-0.03178183227073399,0.027836091096539034,,0.028588276638857213,0.024217754030574936,-0.0006424517937780242,0.025454497550149804,0.07682325129391804,0.03523764288285661,0.05280270720388232,0.033887000886830054,0.021476453411126348,0.009598507726604349
Home Team Game Number,0.006810876420643112,0.9995482437175698,1.0,0.041716354160209385,0.03409167455619377,-0.037407717637213206,0.036287856354417926,0.007193175673859138,0.027858148314865824,0.034690058420462896,-0.01038354735321114,0.0885505618341758,0.04697191786312719,-0.020878359565626343,0.011930317265242189,-0.05061244636558541,-0.039544887925040316,-0.023318188700184712,0.049057698609495944,-0.05528758751187106,-0.029090001424976333,-0.022530099297053584,-0.004415975532329511,-0.049664516668272214,0.08497469943419908,0.03309022272081439,0.031652986236757066,-0.03934058572438251,-0.0005056039442152755,-0.03786847683919258,-0.03530464548213474,-0.010376112697446017,0.013622848022030207,0.013722776223415492,-0.03591604806573219,-0.012963483208820037,0.013804287874272026,-0.026546919540699203,-0.015473987356780862,0.050520388598461155,0.03447959721709735,-0.009206613064929025,-0.03273706743722655,-0.0034998465066309126,0.016078497975289457,-0.015273219888647695,-0.0073166020933567765,0.011903042902118141,-0.029098951872521702,-0.00499268720646041,-0.027171698785651965,-0.016734472121842744,0.08205049935809446,0.047029746767027626,0.0474792037617069,-0.007370192286803226,-0.00794007002221703,-0.03403076219513475,-0.10627754912952248,-0.022336727291594565,-0.013919297202022382,-0.030788478595353844,0.028647414336483486,,0.027787067143607107,0.02363628930094238,-0.0011524079284579883,0.02477160323059117,0.07521253094363019,0.0340120177966226,0.051499053818694046,0.03278216266908462,0.02313672554616358,0.010540623046374854
Visiting Team Score,0.09494352783490538,0.0426096483620872,0.041716354160209385,1.0,-0.002256991758826306,0.17390994950575542,0.005471954267387644,0.6133733740828818,0.7877328429074013,0.4858070083526279,0.177494254190345,0.5347567139164338,0.9870965381351514,0.07686195786551495,0.27345486249921547,0.14609416111875284,0.3509531742386442,0.16970780168625063,-0.06213288019916482,0.11364266300851679,0.01308395496944568,-0.009582641514222025,0.03479898383463696,0.22008293979683305,0.24396315778936753,0.005262302772643852,0.005374488755027191,0.01244715369778486,-0.053413553534591984,0.3032490402132232,0.045350866099651534,-0.05039940023717906,-0.023873682865068344,0.04017469540400052,-0.018572609454311696,0.26669869556540243,0.05580487049335979,0.03337975160318318,-0.0017790002267728286,0.03075906024888657,0.005732038427596713,-0.08788670976778695,-0.03957431636471379,0.037520678844688654,0.027181234201312004,-0.07285642292117293,0.1799007479343036,-0.0868094989577058,-0.08958869759239128,0.03763947236802957,-0.02456191994535085,0.10560667578728897,0.41390985979956724,0.9686892216738976,0.966271262967025,0.18199289180805595,0.05553284601315704,0.0046969001482948395,0.044651105362768916,0.25472750354146756,0.09204507153302655,-0.002051334354497387,-0.03834791195547944,,0.7529710138871025,-0.04633050558210428,0.7591597251251858,-0.0478185037815282,0.7872951158083051,-0.033618216954718574,0.828688035987216,-0.040909342540129345,-0.00035373658213606836,0.0172702720797248
Home Team Score,0.0545071738455805,0.03480242046130363,0.03409167455619377,-0.002256991758826306,1.0,-0.1344134157762294,0.03766371535456101,0.03924306958856202,0.014075206132160858,0.025576212242907168,-0.01088207402879096,0.03837666384439075,0.007259852621961133,-0.05319368357351484,-0.009300399143826804,-0.010489925363664675,-0.026726805816113208,-0.09121726199258376,0.12353177607830347,-0.10578702892886814,-0.05290978516878203,-0.04360548513917682,0.006850845883953647,0.0183200642505916,0.3570246183332214,0.9682629824357409,0.9663530516343719,0.20298417207254874,0.018524714112983037,-0.253338385834979,-0.07693765360134115,0.18768847740878883,0.10023033665236912,-0.06650714833998211,-0.0035261281791445906,0.41103734778223716,0.7625933976375066,0.4420445785397401,0.17164695796281967,0.5677526375230112,0.9865339707391602,0.011524425152643434,0.2529919232534559,0.1285610750538241,0.35180940681013495,0.1285536005851376,-0.08325869744187372,0.1491833385517062,0.004906667983817215,-0.07803051922116634,0.03913533939733485,0.1330268011114599,0.10077799948583752,0.012215876507895681,0.011036501800566915,-0.0007923411208685721,-0.04469372020272571,0.019252499208836097,-0.06470427558335418,-0.06797669357273715,0.01891902010754033,-0.04093685715680098,-0.01103924445610381,,-0.004937839454338452,0.7580520113398709,-0.020235209610467424,0.7686808271530697,0.016603866230223547,0.8049301426055727,0.0038655298170295308,0.8423343453645875,-0.018751598927556627,0.02707911534388677
Length of Game in Outs,0.0058331642472117685,-0.03763830527973494,-0.037407717637213206,0.17390994950575542,-0.1344134157762294,1.0,-0.03865650002132125,0.6770049886303394,0.24490121797332343,0.10154394395975536,0.060558699579974555,0.11434148021894454,0.17288133312408216,0.1858061017544405,0.05994053159720932,0.0871866527312484,0.16352878079695174,0.33819062276153017,0.22313198794106048,0.13916559593795433,0.0389708637504303,0.012353756406659512,0.0479794847372294,0.2489552408719088,0.40120847427559647,-0.12772215668784812,-0.12729324936805134,0.03615285315903501,0.031037139124523928,0.971791639783241,0.30714555838168495,-0.019882263445589587,0.00048107062083841963,0.05250615785923947,-0.013613715673582293,0.6656649919484041,0.0450321013354186,-0.0486198327015308,-0.0073240409428599,-0.05353529148582151,-0.1333875447086201,0.13234239511856918,-0.037607082275742866,0.022856723224803522,0.09698986663744025,0.19549801998340186,0.3571854302860798,0.05296237745206597,0.1046533357435197,0.05080325154901741,-0.023217191488225628,0.2607018318177278,0.395344166501229,0.17135815793204015,0.1707270940605307,0.0073603415645336345,-0.0050303354663944685,0.9586358335884078,0.2336543854018692,0.06927583942714487,0.003358410242763824,0.011043154532715673,-0.01925931170962525,,0.08162409106467292,-0.18580216394530344,0.09163751498688487,-0.17268746268407123,0.08007347866958267,-0.2008549091187854,0.08970065971512554,-0.20321708449595988,0.010601824342012362,0.02282520307496879
Attendance,-0.014267492027862082,0.039519425249366885,0.036287856354417926,0.005471954267387644,0.03766371535456101,-0.03865650002132125,1.0,-0.019318103472016936,0.000831100106935729,0.03217775415756478,0.0038415784733450936,0.028574699467763618,0.00031513213191309566,0.01596843948879087,0.007346946597772328,0.0020856398562227076,0.03459411051874494,0.002294455629047642,0.025931543612611605,-0.04376708008705803,-0.017964132383183982,0.01810879948647063,0.023009124663256636,0.02342571132082462,0.005484633680256262,0.028951577881263662,0.028414934330145487,-0.021512781576980434,-0.0371013120986216,-0.040864062231968194,0.06043617395890047,0.03721905350108566,0.016258786736974618,-0.0012693164851406175,-0.0071779850460605395,0.012971437244764747,0.06253442013037817,0.008242063378622018,-0.07026472049535684,0.04948586234016556,0.03415349497649516,0.07932009760872759,0.018308699055299884,0.018619306299674565,-0.0306169365763896,0.04630176570490698,-0.07086790058088252,-0.008287168294536712,0.009246325178284233,0.013993462615626924,0.07191110166957251,0.021569326116869392,0.01979394871025285,0.005952986734224943,0.006665728505351111,0.026693071134633234,0.04755097339311612,-0.0330771673788082,-0.060334097011027876,-0.016851381044264424,-0.007989819145959311,0.010063320829289337,-0.02977633857420554,,0.00849586484674445,0.06900883937074212,0.025293378156821787,0.04404188854696731,0.03286658761863961,0.051105281354243304,0.03219170339462532,0.05174404267702233,-0.047511360352849426,-0.004188818482348509
Visting Team At-Bats,0.054677358097140784,0.00789529366566626,0.007193175673859138,0.6133733740828818,0.03924306958856202,0.6770049886303394,-0.019318103472016936,1.0,0.8029169522189468,0.4331377470606354,0.16474575370915873,0.32057407555631917,0.6104643809980196,0.07074016555695385,0.05570424603449988,0.08116702125841863,0.1298977094190572,0.2827039630348816,0.16080422102582034,0.11967543856349183,-0.054392216408521904,-0.0998777344738695,0.02897632851824273,0.5570985599789454,0.3907290075479903,0.04433146452873625,0.04469266768103722,0.044654742046307386,-0.007503878327055363,0.6952903849976243,0.18435074252118036,-0.002214780285642644,-0.007075080072643908,0.0220272610181739,-0.01643434880084482,0.5718715939935032,0.14134551331240594,0.04382260027436087,0.006357540112427099,0.05700645633901581,0.04463509569312328,0.05457470354689002,-0.0016354355681032855,0.05138990835342046,0.11388999008527458,0.10886613742192952,0.27789741043262944,0.0009229314559423143,0.020063368872900098,0.026499945850219513,-0.02018686442153395,0.22326887534120057,0.4982841357511357,0.5942598849785146,0.592342290650252,0.1378619137266623,0.004086658534352387,0.6038843652821304,0.1093416790961153,0.22659015669823715,0.056121739573019226,-0.11298240045362307,-0.0444200328662773,,0.6489120001345109,-0.04420874607805479,0.5439421909764842,-0.03634793467025364,0.5543878235475136,-0.03554440919228079,0.587052735389911,-0.03807262741349665,-0.0038218379075579774,0.025061601532792927
Visting Team Hits,0.05275448980229382,0.02861666538238074,0.027858148314865824,0.7877328429074013,0.014075206132160858,0.24490121797332343,0.000831100106935729,0.8029169522189468,1.0,0.5361436841940443,0.17701891532134723,0.3838043816022333,0.7811660465456486,0.10211516574627845,0.19832349210027606,0.08585278408779552,0.15181494476235727,0.1819902797449735,-0.05719510736312056,0.11361344797106214,0.03048671543598725,0.062295477474873386,0.002883571875539848,0.5137921428079021,0.23931489053042804,0.023110132082121683,0.024234394310321938,0.02272317049257882,-0.04123267766397313,0.3349641370263486,0.07041877382769368,-0.03325714300101941,-0.01646943392056394,0.03236792960623113,-0.01077068039201724,0.28414937137838076,0.06229517401781931,0.029725432940419693,-0.005807747000175572,0.04107925816153829,0.02527804713601822,-0.027967394167285782,-0.032783689712627406,0.04930174639510193,0.020103114232282723,-0.015628753233343937,0.14647417547422012,-0.05612915628908896,-0.04789399132180227,0.03277423056117756,-0.02269275099617474,0.08828153081033957,0.4080195303039759,0.7777129347806346,0.7761920578935763,0.1617887664069259,0.02676879026877,0.11773703183535845,0.11925748603028204,0.17165565731360105,0.07831013844461959,0.07405563187292175,-0.03125068603140438,,0.9663569931952688,-0.0410956115563345,0.8435921876449562,-0.04761102530417903,0.8045894395711342,-0.024482291579445797,0.8723360190283406,-0.034453919189798315,-0.03242681208632647,0.0216314669103062
Visting Team Doubles,0.05806590817829352,0.034456463446668674,0.034690058420462896,0.4858070083526279,0.025576212242907168,0.10154394395975536,0.03217775415756478,0.4331377470606354,0.5361436841940443,1.0,0.03006131376635627,0.06584713531023849,0.48784268383055174,0.073150646030119,0.11046909537335989,0.10029338206453745,0.16130305125253339,0.15626427802494786,-0.008545034529200373,0.0323676838129578,-0.014312104951965022,-0.0518790173763347,0.018365319899047702,0.31178769869923834,0.14381835531268772,0.03323747096957831,0.033289761767771625,0.004504281744798611,0.00440294877329721,0.15277201643319954,0.012453471370339284,-0.03894935067230912,-0.02352209368862374,0.013133536493405066,-0.01227392813433805,0.14050351472015973,0.040771565782528184,0.05660144575668248,0.012844804864942147,0.03739166313196428,0.03015502289908004,-0.05538730020253012,-0.03892369257793364,0.020361257910764284,0.06032872109901776,0.011924509866908484,0.11789768058134947,-0.04162333971491362,-0.029047413578331363,0.008972360581981916,0.019520201231315766,0.06456724529957475,0.23485023802209876,0.4703111078514202,0.4699774749676838,0.08112331524363356,0.040921820295248545,0.03205973299362058,0.01583226262156247,0.13008364970592567,0.018271631234949976,-0.045847040584357124,-0.017363915444441404,,0.509033348538169,-0.00951595433935934,0.48377822910943286,0.008779126355213399,0.5160997936228686,0.015239091369615425,0.5380227968049401,0.013842329772737012,-0.023438997295038042,0.012949865289200294
