,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.006745915517673132,0.006984390616457012,0.016919932385657234,0.05404316803965904,-0.025252386789244654,-0.4700660217917505,-0.010213909197375087,-0.00813216248087434,-0.002334131143686476,0.02548524271726349,0.08046645213551075,0.0156679231447047,-0.11064696570005175,0.014145797529859245,-0.008381498999658175,0.05286245748921997,-0.09821281662732004,0.24179012771456423,-0.08429904654478036,0.026997513998925887,-0.029208137235964833,0.04953917897101997,-0.0014394446453016884,0.13367302975158085,0.058164460923403646,0.06032971207501596,0.1053002166648401,-0.014240254559832197,-0.030980612032500236,-0.09576395068061423,0.04444997080603148,0.03477635964739049,0.02279429641141442,0.020424618334349165,-0.03264804737605623,-0.024446684257131257,0.011919272462925389,0.0025984322005914574,0.057804695487020684,0.047996277702774245,-0.12913890559887573,0.02649348369896384,0.026776794765962623,0.03677571813539123,-0.050760267748638704,0.1773206560621263,-0.02889810821027385,-0.004219315357891201,0.013985119459542129,0.01792511961613154,-0.07105809385009412,0.14199266681905953,0.013887303679458231,0.014493994752225119,0.10089543359899271,0.009226870472985075,-0.016649234292688046,-0.14346795893161104,-0.010766010484849377,0.03294713247559197,-0.01396187798080184,0.03059220558995689,,-0.01195886075919717,-0.013316646280619179,0.02014348205102466,0.0070738004073263895,0.04488547624523044,0.032362908403166565,0.03867502068915038,0.025034312424184503,-0.10974805768111934
Visiting Team Game Number,0.006745915517673132,1.0,0.9994208254245524,0.01649404496644473,0.025331415378368256,0.010460887042501343,-0.07775527467590117,0.02092261325586817,0.015415416595142,-0.029465885713136502,-0.014383928528896296,0.035442733794489006,0.020042690368096316,0.004844145952262891,-0.05701990851389879,0.02711637507539195,0.010939742858283152,-0.004510067629596331,0.03797153644769656,-0.05386960352092957,-0.004152764481440434,0.004035920553939131,-0.06674388534661543,0.0028674384576936264,0.11700399051937958,0.016181101748358455,0.013962707845099124,0.03685061410112086,0.002476975750839271,0.004649667691266983,-0.06695462147986257,0.014937453634894418,0.03353945999591593,-0.03445778343547341,0.017647060900422,0.01883020905834536,-0.0018186573003906553,0.010794411705939757,0.0003947193594593387,-0.004158555802107685,0.013744337201879852,-0.027274132825063385,-0.019892842479824195,0.09186987990241975,0.022741693340978895,0.019190471143742654,0.09815702578149318,0.06153508553130555,-0.04497338912423237,-0.018753771485972806,-0.005035041114635889,0.02284258626670323,0.12516234520627767,0.019051070399688882,0.01674382654615905,0.001337448332815038,-0.007517116813138376,0.016773965509831876,0.019269821019030933,-0.04384709852267718,0.035926420106632856,0.004253489785658809,0.026626985018789132,,0.006942971063880151,0.00502930841686916,0.013841734941239735,0.008075128876555033,0.01273086951428529,-0.006672810149555102,0.014011099369330956,-0.0017101366275513426,0.006927471316922832
Home Team Game Number,0.006984390616457012,0.9994208254245524,1.0,0.01702533806854273,0.023753958651718587,0.010641753289566068,-0.07795856323972544,0.02087477016634937,0.014755307783317505,-0.0286980286079249,-0.013978981876071214,0.03699107453509391,0.020801334323724354,0.0038560654812572837,-0.0570951556958525,0.025961270691015368,0.012492095098635681,-0.0038710574959657834,0.03818427625684207,-0.055052723670023646,-0.00420415540808197,0.002872147661771551,-0.06609030983670403,0.0029369745867284824,0.11698657500182823,0.014467005347188502,0.012333801327194777,0.03670199888603581,0.0014379916904444178,0.0050003563991443106,-0.06564908142684156,0.016051465507094628,0.035873163913763904,-0.03383885888981656,0.016496946486596095,0.018573776803176272,-0.0023236196856136876,0.01094533297967012,-0.0011263075847242332,-0.005217926211615668,0.011908095274261461,-0.025474328925414666,-0.019901238144687812,0.09255833722457578,0.02227691632331785,0.02070285695219204,0.09855098931442671,0.06353551341839105,-0.04593585943137155,-0.01736506847253082,-0.0066259458033369155,0.024039016922417798,0.12510225872994482,0.019608737254040692,0.017344216608135923,0.0019092819384762996,-0.007883582508117923,0.0167377781875263,0.018754743233245216,-0.044333389675531264,0.03549615856870345,0.0030561687569405378,0.026585530340098876,,0.0064665443796599505,0.00497546843411573,0.01385025409517936,0.007694094461775168,0.01362525968621482,-0.007633170988260273,0.014634729241084837,-0.0025149768977335116,0.007144164703193324
Visiting Team Score,0.016919932385657234,0.01649404496644473,0.01702533806854273,1.0,-0.011478332748734697,0.1750651828419627,-0.04117163767518324,0.5934067404786658,0.7584494062453091,0.4357543424940598,0.21339587144485864,0.5636889811263842,0.9881994443447051,0.11704797849236165,0.20151310316016627,0.1634086328596361,0.37823178769658194,0.18732478055344323,-0.05502370928684527,0.12783796821425958,0.021252146599633998,-0.018519832463847256,0.05667215493839777,0.20862883975337815,0.1851265391199556,-0.010173156092300163,-0.009436992164910401,-0.024442681755779717,-0.04182124888163343,0.29071910989375027,0.0708693990298145,-0.01207434197065547,-0.00609079375376865,0.05715361068414427,0.01630799866856821,0.25542067553004616,0.05160972962774469,0.03322009647081094,-0.008008717354048596,0.06698791748753992,-0.005663263126138961,-0.12783358828024208,0.010510989765092151,0.002458203617259931,-0.04227064540988712,-0.11046152526024047,0.1115697517957044,-0.09769782765938705,-0.05790759199698469,0.060006431373676325,0.003736767473421754,0.039993275848529984,0.40799046444039555,0.9660444137387859,0.9630601902321662,0.1489353642453001,0.08309180835388776,0.023772600893563964,0.013431035038837231,0.26349504668974927,0.04275131107232313,-0.019971837320398932,-0.009879459884081225,,0.7472969131306202,-0.07382666320726126,0.7371324473486596,-0.07671227835253298,0.7833947300372762,-0.008050161651049258,0.8192825811164007,-0.03336345184446277,-0.022887818485795013
Home Team Score,0.05404316803965904,0.025331415378368256,0.023753958651718587,-0.011478332748734697,1.0,-0.17579131505640133,0.05454665152397872,0.008269183177367254,0.0018952171291695362,-0.01063177599624735,-0.020194856477751637,-0.00657159140034474,-0.013768033496327017,-0.07786545722492251,-0.04309035113493849,7.561039674927e-05,-0.050711239824055704,-0.12196940835126134,-0.008861918147366988,-0.04936594893119743,-0.07594157510243775,0.045455905810939945,0.011730734961317222,-0.010905546241816225,0.28753495326037937,0.9667711138970734,0.9614329553077333,0.15230648258349014,0.04548384551158513,-0.29005615440766586,-0.0876675478160015,0.23345521340571332,0.06971185333480973,-0.030256009632061858,0.005281871340179476,0.38050578503069876,0.750082458409012,0.4178374719226084,0.21685693586538704,0.579822217038798,0.987839222025145,0.05400268746579366,0.27155912269931043,0.10404738354449458,0.3536705522152409,0.1200685077250649,-0.12719069603692218,0.13786858320111198,-0.009530017938115018,-0.013575397813432111,0.05034892612455385,0.1240882767288063,0.05617301759609155,-0.004985776585214562,-0.006316380665460249,0.018287814588379338,-0.017788790917074224,-0.026126540224909612,-0.06302499210535639,0.005272035019315235,0.012353453381890622,0.03330622152180195,0.013785392381772303,,-0.035176557297118036,0.7715890256052429,-0.03156796112992723,0.7692960246451084,-0.019748190165078956,0.8102776949329511,-0.025512283282840807,0.8411885342927857,-0.04254511619061333
Length of Game in Outs,-0.025252386789244654,0.010460887042501343,0.010641753289566068,0.1750651828419627,-0.17579131505640133,1.0,0.0008639848301293066,0.6908721890513865,0.2675097165299539,0.13732339225620227,0.01281981004280406,0.08230803491398084,0.16846272040879687,0.23611392220861008,0.05603973294754643,0.06396440138985925,0.29416165997175076,0.38369123986300957,0.18855194610782902,0.13241228734886032,0.08335530299545182,0.07896616574824918,0.022440103200690308,0.32564597928095196,0.4079516239451119,-0.16825264348064561,-0.1667536108844503,-0.008901640578545903,0.031887872304991426,0.9749513969464819,0.3457886570596561,0.018570326795767554,-0.011202593116459015,0.037322811546096776,0.0011963207168702874,0.6640383732362288,0.0007556964530552495,-0.040099450661202324,-0.04534511284985561,-0.0543004287196318,-0.17104148557896104,0.09489767182881156,-0.043413833289124376,0.050527249707123335,0.1718410869986847,0.29577025861269407,0.31045335479030534,-0.02711375118333218,0.04513167332570348,0.03654350319168064,-0.018256900117278325,0.3145630325095712,0.46548505635046367,0.1699985550786503,0.17078666565480055,0.07659069062621653,-0.010676506341142878,0.9633011806584239,0.35352265112634357,0.07992441983998765,0.027750281314509743,0.09770207165519837,-0.013492212579309536,,0.13051354885851402,-0.20297691589075362,0.13757726457419164,-0.19020896787097138,0.0667899304299285,-0.2290633399818219,0.09781452589304789,-0.22792915814750106,0.00500384276439539
Attendance,-0.4700660217917505,-0.07775527467590117,-0.07795856323972544,-0.04117163767518324,0.05454665152397872,0.0008639848301293066,1.0,-0.023632851729732028,-0.05041114648859581,0.0009439071671060072,-0.009604909554568162,-0.04269504158217679,-0.030841362992821746,0.028008953376571846,-0.030228194866286088,0.002029816516077418,-0.0693484579905829,0.022941676665209045,-0.024954037747545916,0.04057274500274769,0.008354873003564797,0.0004991073303109982,-0.00973321454264174,-0.05812104468087145,-0.012104153006332366,0.05695358611129225,0.055134557489624765,-0.02860017361371597,0.05766115829963613,-0.012168046915824814,0.012688284683694864,-0.022122990542742936,0.008128202365988607,-0.048822996329027375,0.0015304360361073906,0.04643930042459891,0.07247556208441096,0.07637877190306823,-0.01752206978924979,-0.002021682986077125,0.0635620384186016,0.09613428716600206,0.006810352749188482,-0.001184631782967032,0.045779949705906806,0.04542581497144133,-0.18111142777372513,-0.009430983635015374,-0.042687000024438426,-0.0341844627574761,0.03696098910710995,0.08139161011918478,-0.12773547294622406,-0.029389514845303284,-0.03035538549709668,-0.06917000247971175,-0.02086387137078476,0.016533731505987595,0.04017989579320292,-0.00788580186792555,-0.03358594618162058,-0.009249270677994616,-0.008833373043320433,,-0.05600665171556533,0.07748679423592468,-0.07492487985196096,0.07993350838628721,-0.04404443829558421,0.04637184026754127,-0.05859105814962022,0.061140817556362054,0.047044020249054144
Visting Team At-Bats,-0.010213909197375087,0.02092261325586817,0.02087477016634937,0.5934067404786658,0.008269183177367254,0.6908721890513865,-0.023632851729732028,1.0,0.8038754859012637,0.39873305117890423,0.10979890379524664,0.3037057852783581,0.5761265390728552,0.09631513453874442,0.03995486123737855,0.0772309790764187,0.2567981513712319,0.3244550478160522,0.10803346420471596,0.16048350909139014,-0.0070830767421934185,-0.04515063557457425,0.042286455714745715,0.6085316452445617,0.3548159979576939,0.013878220441432484,0.012771505527994748,-0.0012342039830929052,0.016834846174670463,0.7012177445038084,0.24710495691930076,0.03040480736479492,-0.0038231019488447924,0.030217465615570382,0.029971228492967437,0.5756058671064678,0.11458445863328215,0.04529334072956176,0.010981639112159852,0.07996343250763896,0.01694199976156976,0.007123958946669197,0.02382520392167288,0.04364312267655903,0.12856194227716156,0.16103878381238704,0.21251334641385644,-0.04463843296830154,0.006455346156007365,0.026168397732255315,-0.012428155255369033,0.2304907764324164,0.538852971454232,0.5662959278244503,0.5668156844330303,0.1348499224874569,0.02090105319725352,0.63214774789026,0.17640385845176784,0.2600461260646546,0.04097520669943042,-0.03764596973954045,-0.011822121165191676,,0.6018687132749889,-0.06553546144576423,0.5681356857664691,-0.05843696537414735,0.518479269353544,-0.03345613390202738,0.5722702690583104,-0.04438924450257538,-0.0037381509543558756
Visting Team Hits,-0.00813216248087434,0.015415416595142,0.014755307783317505,0.7584494062453091,0.0018952171291695362,0.2675097165299539,-0.05041114648859581,0.8038754859012637,1.0,0.4875499569528521,0.16621846949374414,0.37192842419070066,0.7470235740433402,0.14297915554983995,0.1717697504522064,0.0978225248060384,0.22289820188574355,0.21597190170238684,-0.06970469628501208,0.13079095027377197,0.06365363803640689,0.09189674711039907,0.04503900805147569,0.5567722690277986,0.18750716713296192,0.006915271536125796,0.005132319157261529,-0.005023924693180786,-0.019732392895241996,0.3418537946118004,0.11955286730967177,-0.0008587995704969323,-0.01772110207803267,0.03349720627339613,0.041027308480673846,0.3063828162059268,0.07389543215805765,0.04037762666160864,0.012852079410394145,0.07034258343291376,0.010085179899406646,-0.07277015907886916,0.024875523934927844,-0.001793200777073824,-0.016866706538692492,-0.04261453053419901,0.09207646597337502,-0.07460846893481048,-0.04056334516043706,0.03401343762071389,-0.011637832560537631,0.0802648699350324,0.4177906543906285,0.7466778960378812,0.7474488720586767,0.13858715221938814,0.04257774524521994,0.15988432503727712,0.09675275899408448,0.2016783166184413,0.02964072558670923,0.10892360130288825,-0.013230668593287694,,0.9198489081079013,-0.05466567292335245,0.8532107460832902,-0.06116559219069748,0.7745040572424995,0.003590522534673296,0.856552157512425,-0.019651389174451174,-0.012223744361334036
Visting Team Doubles,-0.002334131143686476,-0.029465885713136502,-0.0286980286079249,0.4357543424940598,-0.01063177599624735,0.13732339225620227,0.0009439071671060072,0.39873305117890423,0.4875499569528521,1.0,0.023168505416991093,0.08361827320603851,0.4237379073099247,0.0642482546760553,0.10793432075815951,0.07771923307560671,0.13834175992147954,0.23105031015057423,-0.030633727609466345,0.02859025206106421,0.013464646936435953,-0.016998191025323944,0.022362427803601283,0.249098791610345,0.1090797407413475,-0.009287927396043134,-0.010024594460607035,-0.00011450654193939788,-0.02292312807891941,0.18573364816175908,0.0838713134395447,-0.0007016928611243339,0.025422341558410333,0.023531884924151352,0.005746127584493014,0.1719217123434442,0.038356594615766,0.033975077901663944,0.013096376683829613,0.026317648754041262,-0.005007661610757199,-0.04293329631526839,-0.028224083902443,-0.028516975791989783,-0.015797622295522635,-0.027865990437250677,0.04521212739451117,-0.031162740052142642,-0.021878356938899106,0.0225336346922368,-0.0017749607569917092,0.0463900658558299,0.20237176087219286,0.42959034582555783,0.42928394578513684,0.06325326652249019,0.017539168764850538,0.06970913496899975,0.053499516976066655,0.11144342323960985,0.03836152261267583,-0.012328673940553585,-0.03374494737119724,,0.4602114019601078,-0.04545161636062769,0.43123322712153955,-0.042061432055407855,0.495015785490988,-0.007790325272647981,0.504763984405453,-0.02063784984256923,-0.02643498990103035
