,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.002963438865409845,0.0024827362056356016,0.03930344981558188,-0.004072190577726985,0.02626489894339729,0.014629700352924371,0.03552111329734552,0.016358250405072463,0.03976406172288158,-0.018840808511359865,0.080736156879016,0.03094883191326438,-0.08788665682402712,-0.04957558713489465,0.09051412048608341,0.010736566277836838,-0.029210730689300433,0.06751652827569395,-0.059374465466831075,-0.03342804162513053,0.02295089462602834,0.03375384774107997,-0.000614772971736876,0.06653225304805953,-0.0007860534482116316,7.489661920822019e-05,0.07359881198349172,-2.7544918613297894e-06,0.030133089452119812,-0.020930940376586254,-0.02689374030010225,0.02749356035768522,0.03242239644477112,,0.02733396337770693,-0.0007558135874575571,-0.021820576183250475,0.04268717952482554,0.022103303294249015,-0.007505136179653081,-0.11185339758667481,-0.03782427796430315,0.06323811514204343,0.012262681732457764,0.033281263843589384,0.11191841715804778,-0.06189631332860759,0.0060787978462444,0.02818858351226203,0.008477738730018228,0.007523213034576764,0.037894245641798066,0.038612934924596214,0.03848639246770034,0.04094531038645549,-0.0033761828686817365,0.020177992080263496,-0.014201463062466071,-0.00047558602120540235,0.005624468861109914,0.03829575035087935,0.00727926386605633,,-0.00013782917264246576,-0.013436083206328227,0.011566648121099476,0.0037066987713218792,0.05060561898024854,0.004959464346918952,0.039109571561471414,0.0048169778644827,0.05996120293469014
Visiting Team Game Number,0.002963438865409845,1.0,0.9996195761012399,0.026384996729702143,0.002654366704153471,-0.026217227621334604,0.14209561090745704,0.02051414160136381,0.04228422259111101,0.029963612170778527,0.021582213420510137,-0.008761133199103118,0.02300725649508302,-0.01842917657473395,-0.006138261500650231,-0.01699224123723992,0.029199725531592446,0.015531648637385244,0.02378719505757882,-0.04311695538839272,-0.01725799604212951,0.04335837681187009,-0.04041508774481327,0.044114052310478345,0.09037192878125715,0.0026138308004275794,0.003420986642529186,0.03200254810111674,-0.026568903830899118,-0.02270398911552675,-0.06140053274248953,-0.012877134512386207,-0.052852296674746356,-0.04561417637378253,,-0.021534649703258885,0.001932196634253065,-0.0013372138249866617,-0.001824191061440376,-0.0006442112193457265,0.00908427115959442,0.004942048534735418,0.05699855384886994,0.010582314075743737,-0.07576518569140467,-0.01086275910381891,0.08303063713952345,-0.0369654545693357,0.00664798889504313,-0.03855207865502504,0.013037170891410103,-0.05350790348633286,0.11187798325539727,0.020811495666731825,0.019893274495295724,0.02861742198816997,0.008645275386540918,-0.02876055270472089,-0.03222937976696092,0.04342076306720891,0.03975408948683964,0.03470882137379153,0.006327096579611543,,0.04291841243762377,0.0024768075077775645,0.051220740389882856,-0.02618858243936812,0.027781654717894427,0.008885091346446322,0.03832715639864119,-0.0036561792799324985,-0.022686749186794284
Home Team Game Number,0.0024827362056356016,0.9996195761012399,1.0,0.027107937603627612,0.0019678890033626374,-0.024975667240850905,0.141678951609773,0.021727895677377724,0.04272934449185116,0.03146030642986934,0.022153752519493537,-0.008305509755256742,0.02350178773994104,-0.01810797546167747,-0.006982097389422495,-0.017691490469325916,0.03121423425301167,0.015851468799026477,0.025143154201773356,-0.04323076779802697,-0.01541440038261023,0.04144379205457991,-0.04133626881082035,0.04537367436347761,0.0912811622687101,0.0015964172542482745,0.002419497014284971,0.03188232528459274,-0.0251739820314637,-0.021438693775273097,-0.06019054502364339,-0.011887836134360388,-0.05243160443888783,-0.04625486924976023,,-0.02020209914745996,0.0018069148085275506,-0.0004159264464464457,-0.0016514644565465964,-0.001372990056768461,0.00829502566862647,0.005543172179079525,0.05617131486134361,0.009916662501551286,-0.07537825048765999,-0.010913019791580785,0.08390595205073659,-0.034469334882117786,0.005111375697934261,-0.039212418648860305,0.013914150604056503,-0.051931672458068255,0.11255557985139648,0.021595662267099358,0.02068118603082735,0.02865299393831119,0.008578489722138706,-0.027620749125467255,-0.03368213629114419,0.043799346278622364,0.03882856433147368,0.03294818867088203,0.006305936986995602,,0.043353206358615545,0.0017304117017508218,0.05205503515417133,-0.02672725478401234,0.02855706703517016,0.008288749388533932,0.03917325785866578,-0.004270180060972697,-0.022863677422784997
Visiting Team Score,0.03930344981558188,0.026384996729702143,0.027107937603627612,1.0,0.02541127062811769,0.16196719182518277,-0.04100401251674952,0.5864744655267172,0.7778995179278957,0.46938510049721865,0.2170203251567464,0.5212869693159815,0.9873344987545264,0.09209465357882997,0.25656735908085593,0.10884023871602223,0.3461025296169598,0.14097910047334467,-0.07584703537764692,0.12556032695288072,-0.030048266920983904,0.007620829820684056,0.038357732816701066,0.2265969491680642,0.20506535207603396,0.015682544469513622,0.015452121174998995,0.006433613852565067,-0.04091118861803455,0.2804341005648493,0.0852196738455066,-0.02062897884385031,0.009843501850910567,0.08473275970544875,,0.27442654353417445,0.07132393233911216,0.02114432902517451,0.04380845485982239,0.03263461984271771,0.0322010255291431,-0.11124115767298895,-0.03083926691378928,0.012350297050464212,0.03983651335074371,-0.08995080160287747,0.08626706541843099,-0.058162189289179086,-0.14200398458795105,0.11110088725188179,0.022996031473183104,0.09932587832174943,0.3710166407723303,0.9633491327255204,0.9596192381718336,0.15657658339966668,0.011154630748898544,0.013847804621600481,-0.0014838894313123272,0.253542406923447,0.08178586728083036,-0.020131930574409627,-0.0010812902879224942,,0.7597292107313752,-0.049949931146387926,0.7400679202184536,-0.041948528885856116,0.7847328001414956,-0.026018276552643424,0.8171060830853001,-0.033692076242733994,-0.0020166132246514324
Home Team Score,-0.004072190577726985,0.002654366704153471,0.0019678890033626374,0.02541127062811769,1.0,-0.12545045621279732,0.0682025481359753,0.06260865808344136,0.04683371329557043,0.06291870297108144,-0.054392944755156665,0.03144308436689824,0.02415748783919518,-0.11332159996692912,-0.04260734038385573,-0.008513566911060763,-0.010635560787678498,-0.10392256228521914,0.06109887084868483,-0.08204856798710389,-0.07138680958708638,0.028077655499517417,0.07363844845100277,0.03018617838293939,0.27537698669885213,0.9664042313467187,0.9643734530452595,0.20055770474347173,0.0448694184445563,-0.2332470301733519,-0.11013038568271345,0.230854681550277,0.07044518223889007,-0.0692157457748621,,0.3948160614025122,0.7494271424126178,0.3819267934129927,0.2280065932723632,0.5073603719524443,0.9853539972802591,0.05166567661077983,0.21946105996652632,0.14574014868118298,0.3168997711947179,0.12305124051326502,-0.06924683822125235,0.16712382306033152,-0.054128175405712846,-0.06404457881796768,-0.0170214577021822,0.16777094570919135,0.12782074765641332,0.029605682127825356,0.031205058312129802,-0.019851412126499265,-0.020419880246665068,0.008020538321222464,-0.03953650084705119,-0.0020773888930957865,0.0062615932102138006,0.037788158507666036,0.03462977835266272,,0.009194189240292205,0.7546550348123674,0.014721454651163313,0.74424791598188,0.03507737414481791,0.7666568796962975,0.02962736697466889,0.8087188304879696,-0.03045264693071641
Length of Game in Outs,0.02626489894339729,-0.026217227621334604,-0.024975667240850905,0.16196719182518277,-0.12545045621279732,1.0,0.013800421942360683,0.7099881267637954,0.2701740556125628,0.1377454480401201,0.08974502064593014,0.09441873423730142,0.15474520761293958,0.19283006695333257,0.06996760341382223,0.09226434922983544,0.23278708280744465,0.3183767632060889,0.27680918565531537,0.13103779508062413,0.16428859003656773,0.059951222103150084,0.03614237436341812,0.31448900023618953,0.431945554199162,-0.12484632552773595,-0.12427585238451011,0.04281320790712666,-0.015533419908998142,0.976538297795242,0.3603909101369187,0.03817285586804341,-0.025119819834012635,0.1530533608643887,,0.6941320714439719,0.04224200479179635,-0.057449124287729476,-0.04276397595301931,-0.05377631840753885,-0.1223127898200833,0.06737417894379802,-0.026537595728762593,0.07161889861083447,0.1918851609208079,0.2330908069549733,0.3538838273012761,-0.0020716225260876487,0.01616992555505553,0.14341774417286177,0.04067871466017686,0.30163462751117676,0.42307088016176564,0.15952190898921578,0.1597852488755521,0.08744611076941351,-0.02237378663754302,0.9678070926928111,0.3166405721877352,0.1089988008527213,0.054040218774075596,0.0742886161311143,-0.017440363757598328,,0.09907686800786113,-0.1834325316940812,0.10082866431398466,-0.1558835436372101,0.07387499041262267,-0.21642097775035646,0.08862792248454188,-0.20800664219938,0.01687976497401019
Attendance,0.014629700352924371,0.14209561090745704,0.141678951609773,-0.04100401251674952,0.0682025481359753,0.013800421942360683,1.0,0.0038232580469738362,-0.034765763978705025,-0.058066001499880074,0.01756522776670899,0.009665469577815743,-0.03929155636836301,-0.03440652565715874,-0.04740705434073876,-0.005559930047144963,-0.0310027676899031,-0.010487223592778238,0.10299751310980805,-0.0212529637931459,-0.016412656571836163,0.04365728683340488,-0.011162766491355646,-0.02083418773848468,0.0061723513114761855,0.0653354586930213,0.06470698406273573,0.06405176194352316,0.048540312337468985,-0.00312105680334546,0.0031568425825991243,0.0016484126237226143,0.023822908439011713,-0.002189464302673025,,0.045270421036657835,0.05990183507603346,0.012736965666450849,-0.017747623266520234,0.06057200083829264,0.06404319953194935,-0.006661636827745677,-0.004894259850285946,0.03477214972652215,0.0661216948246717,0.026299499339462205,-0.02262934572060337,0.03945495474380726,0.0052876532861038895,0.007086747505299055,0.00240626539245754,0.059819856195412385,0.013995316874060365,-0.04340573959957179,-0.04448498123005889,-0.046025856557864044,-0.03147508854842192,0.03275548048014491,0.009930126108033364,0.019618128202746443,0.0019968126769564663,0.03573634942808584,0.03522623414376902,,-0.052833259638626305,0.06797454159368001,-0.0505892026793047,0.07817920826768424,-0.030159432956189187,0.06273138810257918,-0.03972335854397685,0.07264047267200688,-0.008746147486035917
Visting Team At-Bats,0.03552111329734552,0.02051414160136381,0.021727895677377724,0.5864744655267172,0.06260865808344136,0.7099881267637954,0.0038232580469738362,1.0,0.7923893270779148,0.416254012013522,0.18516111416720507,0.3247759325671382,0.5798645891361898,0.06694355443078812,0.05622653580872735,0.05838936022379447,0.2158772235491472,0.29173926352136914,0.1919805443913037,0.15817210519391503,0.009447189314439731,-0.03481064336336638,0.01948209534989082,0.5991875023890149,0.3941097941473385,0.05237121521803615,0.054428260824156395,0.04561508990315964,-0.00824419022470687,0.719959676551204,0.2600287096264132,0.04441957263335924,0.012750421630704684,0.12116720587314915,,0.6210128151053711,0.1621201787951791,0.00839749969448576,0.021649693358582297,0.05882179133440468,0.06489717710063142,-0.0013270461902815053,0.010752714177005789,0.09531991821863926,0.18816302056904627,0.14413768849889594,0.26089225451346937,-0.0003703505522396781,-0.05055638963277649,0.1291691603315228,0.033430616252026646,0.27496172698104554,0.5503177170276777,0.573594724328597,0.5719536861683252,0.11988796315170679,0.004597788671493033,0.6560075636775768,0.17347861979565685,0.23619321506603347,0.0802041029826309,-0.043835587063835176,-0.03744497673861039,,0.566513118543142,-0.02970090975087757,0.5345951333479818,-0.009199012146206404,0.5428077516487643,-0.03957173522613432,0.5737218412041297,-0.030809014200033503,0.01928124903246055
Visting Team Hits,0.016358250405072463,0.04228422259111101,0.04272934449185116,0.7778995179278957,0.04683371329557043,0.2701740556125628,-0.034765763978705025,0.7923893270779148,1.0,0.5098634017016016,0.21495803415281903,0.38105193454118186,0.775696562923339,0.1431042740701183,0.20568354921487597,0.048097281163636825,0.2065198735798884,0.20838954816985372,-0.05347648481443209,0.14974795473810534,0.029768820145843474,0.09779715376482077,0.006255997230490114,0.557571050872685,0.21406015616559346,0.035206914574886276,0.03587958348919255,-0.002316826242289257,-0.015219083759303165,0.346259773701791,0.11820260712978149,0.022639579143937518,0.003409950610092619,0.08952731079688118,,0.3319761898654554,0.10730899135478383,0.016119656097513316,0.02007602543268938,0.054650104058335605,0.04970652638374935,-0.05574358468927293,0.0065818118364898235,0.03930461861144811,0.05258612546794757,-0.015084931062850566,0.11542308660768164,-0.03465916373859896,-0.10316524862955342,0.11048880668552603,0.031238035121762733,0.12844283614759966,0.44264519468399954,0.7759101066709526,0.7750413129303466,0.11582119477238348,0.03634155779275812,0.16513892717307216,0.11223622068481554,0.16864788691677993,0.07355842746692048,0.09342053871473224,-0.016762907126514945,,0.9135969500645124,-0.016624563581439135,0.849935986403349,-0.015494294204035865,0.8080411124665983,-0.0038658549457943857,0.8743922665548052,-0.008472054603127695,0.010994384622728792
Visting Team Doubles,0.03976406172288158,0.029963612170778527,0.03146030642986934,0.46938510049721865,0.06291870297108144,0.1377454480401201,-0.058066001499880074,0.416254012013522,0.5098634017016016,1.0,0.05759899128551463,0.07246035374569582,0.46595846958451126,0.06205369158685182,0.1759760520955548,0.004932187194565288,0.16545267505190694,0.22873253409824357,-0.019565337358268924,-0.0018433430481177863,-0.05082367155395074,-0.02724113853979346,0.0462742537184976,0.2815880029031422,0.1471969694488904,0.052483714837854106,0.054107558240798284,0.035908705467363,0.003911353783084999,0.18221641921367746,0.0637074032594991,0.01712871919326303,-0.01820620461252613,0.021877464753884975,,0.19575713104928333,0.07266453922792937,0.02177532405157337,0.004895725595177879,0.06220082835816572,0.06123057736619563,-0.05494523564045157,0.0019668611882841507,0.003516288698537802,0.040685547708492274,-0.011752738124053062,0.08775983448868427,-0.026232353654214672,-0.06270628637628466,0.03852529892304623,0.01219847383233079,0.060876119839302745,0.255464558835402,0.4650239060631737,0.46443297043848636,0.0867805257512023,0.015032994502205495,0.07755624607209173,0.01573714243855951,0.09468794408338065,0.04913550564588183,-0.03324907409220729,0.0335438371491211,,0.486335680695791,0.003551697312027967,0.45006199852501216,0.010701320131818905,0.5319159540550892,0.02396256764054619,0.5344829595132885,0.02057649886061892,-0.03509045661447485
