,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
Date,1.0,0.000290431054947086,0.0019428287489750323,0.05078062709699432,0.07808480298804858,-0.004310898483822237,0.021145336889584358,0.03348430276635195,0.018865452912926444,0.021705151724425328,-0.02057665034544815,0.1337507304279636,0.05103942755035772,-0.11531894860192089,-0.0375111172569797,0.058016354884493276,-0.05499175928556214,-0.1382040861133149,0.17489073337436709,-0.13278870020229225,-0.06299480038626531,0.03076724964739638,-0.039867193954712075,-0.061963697823688164,0.08373567011643691,0.07672091488313391,0.0753132525798196,0.07002347702022033,-0.008625935286067608,-0.006320821713186658,-0.09795304306578322,0.0001660370134640107,0.009548034024570697,0.041894542203152405,-0.014335502608945564,0.019798831653917576,0.01664590121531628,0.018557456858972244,0.021697932264936323,0.13939553760739593,0.07253987989776943,-0.1133406216606033,0.04904634488942325,0.05338919480247518,-0.004744468256879232,-0.08499762062869914,0.15904927877650982,-0.058926241623038327,-0.0608362199360676,0.06507269274855282,0.0174855830435167,-0.06100920104611911,0.06663727554839734,0.05013759912640976,0.05078118113051599,0.032345134804020986,-0.012818623672216112,-0.0014846322645594714,-0.106265018193539,0.0026001643144524674,-0.016754342722304704,0.011389348655048122,-0.014683070163290915,,0.01219820291408756,0.01627350026427579,-0.009462581795051014,0.015147884286110514,0.0869408849272518,0.09822690299194285,0.056108353399404114,0.07450243525082126,-0.061413699592770564,-0.06348211209821303
Visiting Team Game Number,0.000290431054947086,1.0,0.999491722537563,-0.051300245610933874,0.06581164359812884,-0.05863338158362431,0.09278650015703849,-0.036638773543945805,-0.028339960783996244,-0.05144482216547226,0.012766927048323485,0.006306375075050282,-0.056437163948830533,-0.018278026850827103,0.0004388487899059031,-0.010530097139269947,-0.042337034381317064,0.013199652364995209,-0.005146450699484447,-0.047517872060141436,-0.056868685031452974,-0.03408941153621225,-0.03555519805672144,0.0017780273440620767,0.13843445024328038,0.07151375752176002,0.07240262440338352,0.00202537354153981,-0.03150570859204145,-0.06360089625374037,-0.043240907632772566,-0.03428285905171389,-0.03361630706060369,-0.002420655211652352,0.004140018219201427,-0.008893696669846143,0.05284138499715733,0.008874748892647319,-0.01529000022001263,0.04430212871756325,0.0701214970881372,-0.03566918664544316,0.008490877088640004,0.032774627607644,0.007553783011287008,0.0036645203451512965,0.005324689492723865,-0.0056685100409064855,0.0016385757144976726,-0.006630576286002377,-0.0428324698408093,-0.015392128927833319,0.09940671606688681,-0.04127989334660997,-0.04101502656116567,-0.008529827165708544,0.004340302575856213,-0.04796368172432636,-0.08034180992332518,-0.015934533189608326,0.00515660627746376,-0.038818354641179074,-0.04259209210542816,,-0.01446368991487794,0.06482958437985248,-0.029499677589603205,0.06544360678150092,-0.0074834568177285475,0.05750335303733321,-0.016355833514826508,0.06439582041908058,0.021075133027017082,0.02768896560993065
Home Team Game Number,0.0019428287489750323,0.999491722537563,1.0,-0.04948655789227495,0.06516985698264725,-0.0579486209085413,0.09047770024232413,-0.035729679293187606,-0.027119016800402317,-0.05056721586429645,0.013826379196128755,0.007487710957458758,-0.054644024696165416,-0.018709015373728044,0.0016524676989684893,-0.007547334602738777,-0.041297300682121216,0.014301769349500885,-0.0054093007948259695,-0.047590558477257475,-0.05793828342000027,-0.03334949755032314,-0.035807460491595895,0.002448977948334574,0.1389813728315119,0.07089755025924349,0.07187323540326222,0.001172360421614224,-0.03239112047607823,-0.06269563557503255,-0.043880710456742675,-0.03492111889418813,-0.03328932532080567,-0.002433135715177226,0.003324576325697958,-0.00815568410555672,0.05287931465239496,0.009399966937103451,-0.014898184218917455,0.04341465338349985,0.06954378373461088,-0.03639764925877271,0.00899339570965348,0.031633757686364644,0.006654390565953152,0.0027178998869982905,0.008572008407850044,-0.005306323159120825,0.00047786695896401786,-0.007216199806645775,-0.044444865343232734,-0.015569542185908013,0.1000375612452833,-0.03945916564328048,-0.039190540593218165,-0.007031080512858572,0.005456937088500048,-0.047605246267308256,-0.08038324788348675,-0.015432335852645387,0.005528548468598287,-0.038293888512067886,-0.0426230313248761,,-0.013290733000736703,0.06444774309424053,-0.027719372884005295,0.0646163109773004,-0.005835529960325114,0.056877125451664366,-0.014547205067969783,0.06365243899713043,0.021308057556178178,0.027599639085296435
Visiting Team Score,0.05078062709699432,-0.051300245610933874,-0.04948655789227495,1.0,0.014042917875643738,0.19395806145437805,0.007978898772033895,0.6039939997529763,0.7566407911837661,0.42972697726562337,0.20535082648372127,0.554474973126453,0.9861833794552292,0.09844345654766477,0.22956992120078218,0.1358991331909539,0.3389663605246842,0.17325623774244428,-0.05930647368630242,0.1862857669515544,-0.0210333656278508,0.01096129439677869,-0.014435361288998406,0.1800490759949247,0.21734319829052165,0.023399095385254674,0.023466884404153197,0.04017369946906069,0.014022711542884326,0.3198468608386378,0.03323970926440476,-0.019054113603239047,-0.03662868861794585,0.022818585185548565,-0.011906707925520671,0.2751525525010907,0.03376503760804149,0.026701502104647525,-0.010179037497732477,0.024049883312078333,0.012085060959109498,-0.10691890523897755,-0.019381113116961515,0.010516258305029256,0.0498279092351127,-0.13198272326406366,0.15899973794614986,-0.07145044319719761,-0.08467354443649236,0.031505836700570465,0.001582302198986216,0.07737975386624105,0.40572170933320106,0.9658452129050774,0.9646269848800701,0.2229640806443715,0.04043245904405859,0.0227790074336066,0.03636124918702235,0.26110963075173305,0.0804769416909312,-0.007713374009497173,0.013180889250883331,,0.7212843780943241,-0.0625002892450958,0.7269617813551005,-0.058396224236589,0.7905088491488547,-0.03994397450479046,0.8192898206195809,-0.0494835523806348,-0.01631961418727082,-0.012357808121797181
Home Team Score,0.07808480298804858,0.06581164359812884,0.06516985698264725,0.014042917875643738,1.0,-0.18477730073410417,0.030796248281815722,0.029608752903114457,0.014183022246702745,0.01997417324242475,-0.029559560752232882,0.0984850805777135,0.022864324139916518,-0.11679268829628715,-0.08814117524355321,-0.017423563108482594,-0.09184769762479951,-0.16314319658908535,0.03351561820421665,-0.1465184238805892,-0.10249862546609714,0.003246812299704434,0.00427818636813208,-0.04814348686708597,0.23539188100354724,0.9658146423489801,0.9643090449850479,0.15947087541329816,0.04438859167287004,-0.29273985395811725,-0.08647020615358043,0.20874521191247758,0.06441950438755902,-0.03902766463029472,-0.0024867572824019946,0.37535458072088435,0.7448124737039843,0.41278537847856417,0.20453022853810754,0.5379155689279133,0.9871730881760163,0.06992562827083759,0.23134904911706186,0.14367456883999033,0.31713011804530356,0.07437796604672027,-0.1575721390895015,0.12273391143330638,-0.005713390920101486,-0.03906476939211535,0.01131403635277985,0.09202318788603317,0.06694219085224923,0.029126913739099317,0.030585391742660676,-0.026436790021012423,0.01571455644696777,-0.03655771648454642,-0.08576271859252323,-0.044699812885868315,-0.008378516247002662,-0.029615716931500134,0.028322812109263185,,0.001575809584909956,0.7382155198573367,-0.03598648711784283,0.741207237862004,0.05705063467877956,0.7747972748646013,0.025496219363859235,0.8160302841109366,-0.019683032719535958,-0.03891933708393961
Length of Game in Outs,-0.004310898483822237,-0.05863338158362431,-0.0579486209085413,0.19395806145437805,-0.18477730073410417,1.0,0.028419977498360234,0.6838606276541315,0.2629310426163237,0.13079108803004943,0.04731866982668248,0.09051116023401674,0.18261585470772954,0.14145062034789652,0.050627785776046305,0.0590654871831062,0.22397700089814315,0.2504199759347908,0.1874472384974166,0.19643015548686588,0.04720555203305129,0.030029681275614537,7.777977787662667e-05,0.26938146215044984,0.47247724960854365,-0.1794467860002963,-0.17874918406511717,0.02867673081957147,0.031172228703797916,0.9725198008150896,0.34840891476435515,0.05787122943775874,0.009411026018016851,0.07231879378728344,-0.00830398639697316,0.6546836375179617,-0.023477468162113754,-0.016545675454918873,-0.024246367498542098,-0.12537650341750592,-0.18678324921511388,0.056133613110224904,-0.061627736390448835,0.04468514891469379,0.07635561127789095,0.11136703589086462,0.3426020762316914,0.03515987835750785,0.021989464009979084,0.0744963683859213,0.059626657639935556,0.24351585666033268,0.4517639466098235,0.18785288046516377,0.1879907211401904,0.07433507511015656,0.020487445766725405,0.9573190955295018,0.2861970898669185,0.07387472650519944,0.028200185821537785,0.056854588467096526,0.017651378991544692,,0.10077535336506216,-0.23629859313958956,0.1277084265003167,-0.2188739853089578,0.09152323718591261,-0.2525185854024708,0.11141151017128485,-0.25762011631187626,0.018010200383206883,0.004077560865741297
Attendance,0.021145336889584358,0.09278650015703849,0.09047770024232413,0.007978898772033895,0.030796248281815722,0.028419977498360234,1.0,0.02492560182183826,0.00485396099062354,0.025652279262506204,-0.02974543835050717,0.010476874704802677,0.006174181821242966,0.011225803052519726,-0.015070387579407192,0.024300565970740866,0.013461776590752655,0.046109319315998834,0.03328140733962824,0.014365080218285867,-0.013576334101524623,0.012585596854394265,-0.0057362936288033696,0.011237802364604536,0.06124489459198986,0.031690124291146066,0.03204277986085905,-0.0033724054316520737,-0.016711597843969396,0.01744592933255605,-0.013882001484199267,0.02117411889908117,-0.00020514325280726183,-0.004938308236533353,0.0030652223910717807,0.051773943108239184,0.06000723534651896,0.06860658330986565,-0.01092024864829762,0.002178291394671486,0.03463278570952779,0.04805457634956246,0.0011463423296939866,-0.015177301291091409,-0.029130438460343088,0.044314211420449036,-0.01851511988818348,-0.031124410085465116,-0.006916817859759506,0.0075176189719049465,-0.011166418484316003,0.01086263959708483,0.058281697805998976,0.022976378830512813,0.023150738300356154,0.037890356536143546,-0.003327398967347329,0.039861098315814775,-0.0029498253086223973,0.021580590030716915,-0.03134990300471604,-0.002402066697910094,0.04609793898855123,,-0.008961923180344531,0.05323182130342916,-0.008267163947465909,0.02646758371184922,-0.002578555317136099,0.03820087012059957,-0.0049142185845739384,0.03653235837548365,-0.06451883295232529,-0.04798837437838438
Visting Team At-Bats,0.03348430276635195,-0.036638773543945805,-0.035729679293187606,0.6039939997529763,0.029608752903114457,0.6838606276541315,0.02492560182183826,1.0,0.7990025652805492,0.43415979882019495,0.12323711512467854,0.3032862822313883,0.5940981338849789,0.031438915331038986,0.03297271733901775,0.046770599791596174,0.17433325438264058,0.2273731782449554,0.14076062939678896,0.23663408481702072,-0.07811332887466615,-0.042030656208165436,-0.020683743780617717,0.552469134596726,0.41926893868366205,0.026842559956094848,0.027697900805167767,0.06692970132741671,0.041234830105719225,0.6927707195211437,0.2019953542126238,0.06687995042604714,0.011060586069570527,0.03899099827132018,-0.0037931033270762757,0.5734344056990471,0.10927156808899556,0.07189903571696624,0.01009403527897789,0.016230024922301516,0.023405859776692198,0.02508752957319591,-0.010908941289740463,0.05521072307676933,0.10262749287212668,0.014565900409177848,0.2654330310284941,0.00423915121586801,-0.010176940006694347,0.03404830221332135,0.036898598492306346,0.2003077242783628,0.570517984108137,0.5858941216709483,0.5856415749273859,0.18242977732913998,0.029557351066212916,0.6202814749484873,0.12740484522464665,0.1905691756660513,0.06622074241011816,-0.05236305575819292,0.013613358240011886,,0.6452371807466283,-0.05925025949235737,0.5519733590962675,-0.05091343491215312,0.5540035215496394,-0.04922540309577678,0.5903352891023226,-0.053248987599497755,0.008222357896030671,0.012858267918149016
Visting Team Hits,0.018865452912926444,-0.028339960783996244,-0.027119016800402317,0.7566407911837661,0.014183022246702745,0.2629310426163237,0.00485396099062354,0.7990025652805492,1.0,0.5195537247987647,0.16855164641409032,0.35382638898128765,0.7529461206712283,0.13254781948026098,0.17873648150699883,0.04479375526264173,0.17959412069935823,0.19188776155368084,-0.06020030428193592,0.21923906323667597,0.02924092409641354,0.1349061049710684,-0.027284684406797922,0.5258163141471117,0.24094341909224012,0.01559397957147625,0.016074602516931286,0.045069925908719985,0.02913871710854261,0.34458048669901625,0.051887653975716,0.005529416970209871,-0.008074367157575008,0.022554915374540907,-0.00817672107129717,0.300571960583111,0.05862484018243334,0.04611840499297315,-0.007213886939316149,0.02119520397891428,0.009323988173674545,-0.0399844948529733,-0.021260676388314796,0.009571752929801058,0.03405724828085175,-0.10500912801822378,0.16051117565349288,-0.06518911415651592,-0.02799785112677466,0.009992106474062038,0.0009136419833189954,0.09191151754669956,0.45198812792885373,0.7541832027693242,0.7543811661352317,0.2038776872728362,0.031789577714642275,0.14137580323718302,0.13106721990218484,0.13250486780035675,0.05867981039009221,0.12519966836152288,0.0244480601269158,,0.9677646729383019,-0.03547500097557952,0.8485048738589986,-0.04226782965164622,0.7976624890997497,-0.0227799771863388,0.8704166288021398,-0.03151319183768064,0.012720440271539912,0.0017170631280710707
Visting Team Doubles,0.021705151724425328,-0.05144482216547226,-0.05056721586429645,0.42972697726562337,0.01997417324242475,0.13079108803004943,0.025652279262506204,0.43415979882019495,0.5195537247987647,1.0,0.056443098389462126,0.01793782211805539,0.42578094037570063,0.05987942417839421,0.13085008818699453,0.04322410680663901,0.08903606550584298,0.15015121610864143,-0.011770965854220052,0.09765764065102914,-0.05510323529207036,-0.021371257504421693,-0.019607898797464253,0.2759663596745818,0.12816294225419947,0.02280090676786421,0.02429776074912649,0.03813329149454807,-0.027029884511086597,0.1754255012190059,0.02352563160953992,0.022932657513173554,0.03307041513955648,0.020792886559288404,-0.0026811374205854034,0.15581790255538797,0.03911681202092625,0.04418466693604299,-0.0070375002084809716,0.011460241371917469,0.019109407040332604,-0.021593588611945443,-0.01265266646557292,-0.004554020050563983,0.011771295215095436,-0.05290616716456635,0.07460453022332433,-0.041136272901656355,-0.007337682943616087,0.026491338909228914,0.03870160620468437,0.030711904490512653,0.22896458729787866,0.43156483724018485,0.431460687714001,0.157535091632605,0.022117630946972906,0.06533574537700335,0.04016475428068159,0.08404775325564527,0.0190766469047033,-0.011267381530694275,0.03993432318079403,,0.4961768954685726,-0.006186208916197295,0.4313215802497821,-0.015832299043015998,0.4903190142056376,-0.0012638862471310128,0.5007250452177803,-0.006702454857612466,-0.01966720012110566,0.004377178564689772
