,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.00671191140113125,0.006604518418852205,0.10244580893382148,0.07577285893245352,-0.0011744147125521908,0.06666207358011059,0.047439925183554,0.06542895695014164,0.03521038442506126,-0.002922606874458815,0.15882610430151067,0.10313860436892013,-0.06334330951304348,0.0035246315314032624,0.12376240902986897,0.025053244847871973,0.002275071695082452,0.11464084816758058,-0.09229155683506465,-0.055632211872731256,0.06817199975832364,0.06813822200953439,0.0067849662254244915,0.23217521938437063,0.09168674312919563,0.09144764831242333,0.01824822355026459,-0.032084998658025096,0.003794864855410401,-0.014978097509381944,-0.04930615082842865,0.005940657665090459,0.02907821405064832,,0.038655487268586655,0.055315239252047836,0.01815015776137464,-0.005427889065029414,0.15241843478341716,0.0757347334030701,-0.10173000881579526,-0.004627164160167737,0.11094814542247644,-0.016997408943324913,-0.06581964729986126,0.09364664430627408,-0.12195658036106036,0.001707745239444857,0.034554235753360425,0.002381792659934988,-0.03456048743363864,0.22625118766674196,0.10206336392835594,0.1036303179292386,-0.0012904057719069764,0.012982152541194248,-0.007115416241619291,-0.05906308956655206,0.008192410378701902,0.005691967830435249,0.06782332389482967,-0.02139247883448053,,0.06886558893483562,0.03584791196132305,0.07181620986594325,0.04917614682609637,0.13145593175095519,0.11044607797489053,0.11756444467672993,0.0948246146484997,0.09132691739389709
Visiting Team Game Number,0.00671191140113125,1.0,0.9995262652522622,0.031194972948779116,0.0027450757392255176,0.001535723879152014,0.0334785882540227,0.04963182393460789,0.04974739520429774,0.033069478916508195,-0.011374703179537071,0.059945355371742275,0.03269141643509004,-0.02507321647823916,-0.02945166003390988,0.010908678631764451,-0.04569007086878211,-0.008001920421439051,0.022806347771728408,-0.025280359646828912,-0.06400266810543404,-0.0014853743715944937,-0.02360041627028443,0.006590689568375395,0.08326362199550416,-0.00865227261627452,-0.00779789667071584,-0.011586897873013802,-0.001494522676620516,0.0034419781679280123,-0.009531153423989738,0.04536579689145995,-0.0007852729015258728,0.007423492498067181,,0.025455562707067697,0.02516961226276679,-0.022010266197402952,0.005210721685234861,-6.64537268813724e-05,-0.004571605661973495,-0.005078157366914506,0.009892749965411715,-0.01261164465907969,-0.015060883403346829,-0.016232724153656806,0.020879085267497714,0.025637863958561494,-0.008106187704895343,0.017941142276148896,-0.02404248821200329,0.019822010013015645,0.0850711803862233,0.036230058051919256,0.0358679714507008,-0.007530090694178274,0.04408060135040645,-0.0008915704944046343,0.006518118270852313,-0.0029149917791704266,-0.013479730848840256,-0.0035725819370788,0.01914680015318617,,0.029675257833529478,0.011918727897359864,0.017234701123064723,0.010376736702668527,0.061534882265256136,0.005961673522460099,0.04895142857322341,0.007909460396495564,-0.025590586790238252
Home Team Game Number,0.006604518418852205,0.9995262652522622,1.0,0.029623247654925827,0.0001021670258546239,0.002175201362327071,0.032780457911095094,0.047940996580802614,0.04788381495489877,0.03129322107435541,-0.011955713386866821,0.05849831436748343,0.031127880300951365,-0.025461281089128995,-0.02988778309344133,0.01061522344642859,-0.04655255305219274,-0.008386434478378856,0.02289411257520366,-0.024911887580057402,-0.06375385807060709,0.0005011895647811316,-0.02295976987419489,0.004034104954151678,0.08292802511879414,-0.010874847170001138,-0.01002289590589318,-0.011445926336616319,-0.0019072063976617664,0.003999854120673882,-0.009760388363645161,0.04336142201654518,-0.0018426452375553608,0.007585619094406331,,0.022966238868179834,0.021847440152702007,-0.02379884378067096,0.0029198436938957986,-0.0022750649882497427,-0.007132695489942966,-0.004080998752715442,0.009962803685741716,-0.013049135443595433,-0.01462835815893835,-0.016729446354758926,0.022018746464605457,0.024262833001272497,-0.007692577302042301,0.01764209602146395,-0.025115332842678455,0.018604668653703093,0.08385032420841497,0.034839309044813714,0.03446049036693206,-0.00758822124980837,0.043318772807490954,-0.00020083426038493025,0.008074071482368519,-0.003584194653728812,-0.013063248998088898,-0.0014817898176446196,0.019537531888423967,,0.027728594559515457,0.009489327417322195,0.01550697639888335,0.008156688676575994,0.05941323307868627,0.0029202203059616612,0.04684291933783467,0.004985256352921474,-0.02435154460059913
Visiting Team Score,0.10244580893382148,0.031194972948779116,0.029623247654925827,1.0,0.048845894875945685,0.1693526919009353,-0.015813783686197982,0.5896711882822812,0.7763464178379788,0.4627481972517545,0.14434725173801044,0.5638526616058059,0.9872960642661314,0.02827001894183356,0.28009889190819187,0.09537975073348842,0.3827051649288584,0.17938721024439105,-0.11129539310891837,0.13746973699587586,0.019256629249180687,0.01795375334872491,0.04738543481224627,0.20059209383730242,0.25578171780258613,0.05323778168204919,0.053757133257628584,0.022750813277022833,-0.004660563960922706,0.29220594959910806,0.05316338720028529,0.019402540441766262,-0.025293636059548274,0.0343433409612137,,0.2979727459006385,0.0977721294830223,0.061876326295593934,-0.0441404712097121,0.05080551602179348,0.050463808681594204,-0.10978576470166136,-0.014929934353190113,0.01512906923150233,0.035540967571309236,-0.06779990913626106,0.15971685174484643,-0.057820493153365723,-0.08895817629624338,0.04638899219210731,-0.04349935577626628,0.10805446601143566,0.4002721815189051,0.9722423990879476,0.9700662443999989,0.13897536712940725,0.01887824995896295,0.007665657533798831,0.030996833817278854,0.22160945751880498,0.04614720583380835,0.02554787560707067,-0.013935437517030679,,0.7781166950604742,-0.02429811091138967,0.763921774400268,-0.012439877876447162,0.7961117444211112,-0.004872468789738289,0.8340975091809628,-0.007895253898874634,0.0011081780321476466
Home Team Score,0.07577285893245352,0.0027450757392255176,0.0001021670258546239,0.048845894875945685,1.0,-0.16554133909280988,0.012118425791938104,0.06263732576670022,0.0716244119311445,0.03971561044902819,-0.03244227727255077,0.06516803147265997,0.05663936779152876,-0.13492272250485932,-0.009063858549118833,-0.039184706315787486,-0.02609971047701026,-0.08937887031564597,0.026252932562999046,-0.10822733744012139,-0.10016936217423522,0.0145916068034635,0.033430213978348666,0.011504847923978224,0.23369513547701024,0.9665700016942448,0.9639409187494642,0.14736212341790975,0.028317401041613923,-0.27972115402638914,-0.09041559870372673,0.22197420157711378,0.06626066168878333,-0.08664145778945119,,0.42423925195791207,0.762520436074093,0.43076025255681777,0.17592459008269123,0.5985298626216867,0.9876641216822153,0.04526613980111953,0.2603251646691902,0.13467195159763293,0.30118859916616986,0.14703741086408254,-0.19071754337096866,0.11884683119251718,-0.027748108418751357,-0.08667243305950868,0.023907781416869,0.15836440121695095,0.07219155406467542,0.05983949873567961,0.05956974287652821,-0.010500881765238496,-0.029974754804189957,-0.014661362551096966,-0.05786297831296403,-0.023016110628823805,0.03977938353402403,0.01058410750001281,0.004335270586329036,,0.035227421949664044,0.7784001894676683,0.028487209338172812,0.7550949591167336,0.0624966605939408,0.8055780117783146,0.053793177828497726,0.8349087359753928,-0.037839557005673256
Length of Game in Outs,-0.0011744147125521908,0.001535723879152014,0.002175201362327071,0.1693526919009353,-0.16554133909280988,1.0,-0.039262819763081554,0.6928472224591651,0.26605828817953275,0.09942649623758583,0.02637253340881999,0.11437192538102149,0.1672378905385991,0.2122380737049953,0.03368934508974298,0.03387350731650811,0.1882789681288957,0.2576373739448471,0.23121490321879865,0.08978593439210274,0.09028516369986432,0.03319914701983598,-0.014931245883441706,0.27231893515131744,0.43728866058129207,-0.15512887987887833,-0.15406872201699967,0.057836796172410714,0.009656582051960594,0.9722996637800897,0.3043732043776207,-0.006539589850337018,-0.03235642622591038,0.14557031718163543,,0.644912046466615,0.027003983171252435,0.005860590086615292,-0.013724735436440476,-0.10342187744913399,-0.16596456773553694,0.15905238340712105,-0.053368839214518876,0.00559622115327564,0.16398666763228928,0.19721003736448242,0.368047130823645,0.05464046018963037,0.048285517977182286,0.12309756533366191,-0.04105314783536973,0.29375691995749476,0.42735550468706246,0.1699085460397289,0.17050266226662153,0.0554581577665277,0.08135494627550417,0.9589520814332152,0.28940082710968673,0.09893203093266885,0.020932702316494516,0.05850027158270095,0.005260740337167654,,0.1111664122150627,-0.17576354420634746,0.11209163160450585,-0.15478475807670583,0.08727745323314205,-0.21675728395675825,0.10196204664830422,-0.2071604880467399,-0.03937202168551544
Attendance,0.06666207358011059,0.0334785882540227,0.032780457911095094,-0.015813783686197982,0.012118425791938104,-0.039262819763081554,1.0,-0.022778401764174394,0.00369504040016021,-0.0253014537004291,0.004981373043041863,0.0165450487710707,-0.014897297109195714,0.026339271953437136,0.01702232759272288,-0.00018395349517287391,-0.035124320741979256,-0.04576505145475728,-0.017955140145494083,-0.002440468181740093,-0.0011214874485263042,0.02866846129800615,0.025560827546035725,-0.012176846019999958,-0.014992487039043913,0.013772738661481829,0.012767056358594904,0.020596044125791677,0.03075105982619585,-0.04643337206601347,0.039016519312572225,0.04827848081154233,0.014734313763736323,-0.00241126469338569,,-0.03449955666759544,-0.008822805174345309,0.011326978122449441,-0.007444507760679876,-0.010231246737492348,0.007754593429625433,-0.007874602790255009,0.01069527159291378,0.01511735856039419,-0.0012943002345648473,0.03512318918113808,-0.0625707035440307,-0.0350267625902426,-0.028064648377970448,-0.0009627798117571479,0.05872356214842493,-0.012548637538212134,-0.022587453739823966,-0.017130862520953118,-0.016814752609796254,-0.0077361793489876636,-0.01422285708545345,-0.027632470351810816,0.019388276944880895,0.0033479352946479625,0.004849449204848136,0.031375893215107205,0.003621660890946965,,0.005988858238590425,0.00471699895799111,-0.005172290985144917,0.0077495568785273285,0.012533010931193208,0.0005873191266859333,0.006747369414034689,0.003210591338890357,-0.03911081542131214
Visting Team At-Bats,0.047439925183554,0.04963182393460789,0.047940996580802614,0.5896711882822812,0.06263732576670022,0.6928472224591651,-0.022778401764174394,1.0,0.7952568168735363,0.3994667617884906,0.12413269221556777,0.3281210183237518,0.5852065702980638,0.054501498882210335,0.02828906573819989,0.00705831448790858,0.1728101521400021,0.2501100001221924,0.1419861100189965,0.13040309205629885,-0.01557508476778974,-0.047247879942779236,-0.0034419238677193746,0.5738596074595897,0.42921512728090505,0.061361497485675334,0.06145534883776788,0.06733242855220821,0.013604891964913273,0.7041678901823706,0.16772513819693793,0.06750507089725562,-0.02246857445875258,0.06937414811295561,,0.6117325779359007,0.17312233185580894,0.1057020437464334,-0.0017926273493001554,0.049089185966535526,0.060411323239314266,0.05010285887136125,0.009849551453857174,0.00035676931335145557,0.1658938368650012,0.1393695209471443,0.259809901410388,0.02919788378382623,-0.03606520870370913,0.06032778292577745,-0.03585896970139276,0.26906713591651854,0.5201601112416916,0.5758452452689778,0.5758536312459653,0.1252971923740376,0.058404840182571305,0.6273895271318572,0.1436924019051115,0.24582645214946997,0.02054455710758615,-0.04658307801989754,-0.01566421327808035,,0.5929022226285697,-0.007365983595670147,0.5480091214593686,0.0029121466945114974,0.5391385606144794,-0.015046990244315042,0.5762469992309249,-0.009444829506878114,-0.041138720883502025
Visting Team Hits,0.06542895695014164,0.04974739520429774,0.04788381495489877,0.7763464178379788,0.0716244119311445,0.26605828817953275,0.00369504040016021,0.7952568168735363,1.0,0.5094127631142908,0.170534854470512,0.3905251769128413,0.7705547694611915,0.06669426082476511,0.19706228628936845,0.016018347211307675,0.19796408917931688,0.19845924509815313,-0.09718364412672986,0.1415422438082343,0.06513354373116934,0.15760928379966238,0.002784014037142643,0.5175185528641496,0.29048372643161313,0.06881737379928134,0.06877171490717424,0.039953525004113616,-0.005565946266108298,0.3497432065915601,0.054281156496060336,0.05886423447427563,-0.010544016841443222,0.014421683041391364,,0.351923141215423,0.12179731316942483,0.07439497250066765,-0.02608108054643777,0.047412561752515604,0.06898825739003324,-0.06067633713098692,0.017973171004107433,0.0016087708848493997,0.07536683303917248,-0.0002135654287758139,0.13249638729447952,-0.0337078718464621,-0.07918706596745567,0.01884731697511115,-0.026771682146356057,0.14740128555471552,0.4210833331010708,0.7709456974025265,0.7705864645597466,0.1336785436350878,0.0188764890606291,0.1446704295795854,0.13079333699169104,0.15348608099688174,0.027452241541240714,0.16424045623367686,-0.005371078236546828,,0.9283373758886083,0.0011365795549963817,0.8573400097601821,0.007435113251934611,0.7971142314139217,0.0033235787535317593,0.8694651502389221,0.00500586145803329,-0.03192552956530138
Visting Team Doubles,0.03521038442506126,0.033069478916508195,0.03129322107435541,0.4627481972517545,0.03971561044902819,0.09942649623758583,-0.0253014537004291,0.3994667617884906,0.5094127631142908,1.0,0.030434967460501963,0.0745082844833478,0.45412132779177994,0.03543105351458969,0.1457702420066775,0.04300274871570285,0.14292531892004676,0.21236779937123168,-0.027131093317388343,0.019288149769949386,0.0042903855770125895,-0.04542890808229035,0.0692097186705686,0.2750848464775885,0.18488449442448843,0.032094533932093716,0.03162102613994109,0.012983404745301486,0.002214561151055362,0.15740305573476393,0.045810767020747316,0.059664198449956865,-0.01666555328004386,0.028213463490843003,,0.15893097848908075,0.059494558819333014,0.03438911237195494,-0.00858983563951218,0.02197669028392809,0.03720137386664767,-0.002954719959842154,-0.00115763865599525,0.00637485521846231,0.041283681274903096,-0.03461921579069835,0.06293388981970023,-0.047145577009488855,-0.04412546223087864,0.033255840757137375,-0.01882372024087117,0.06785757553627257,0.2524358490838029,0.46348488950396804,0.463243746269507,0.06526748443934377,-0.016836971004849266,0.0216674128665828,0.007963023860777926,0.08063654874751873,0.014051545636152542,-0.04050226318413248,-0.0036155735259549124,,0.49537982454079876,0.0031091314569437296,0.4598945008785998,0.01288006210319956,0.5109825244361839,0.003002176546661754,0.5240699192650778,0.00674956026744411,-0.02768085692382424
