,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.002303028751952676,0.002081754698382232,0.007316551058799478,0.06940823809285644,0.01235512752831615,0.012963204313167049,0.05077280743582544,0.036316027378836234,0.011940051397992759,0.03335221781564092,0.02154428500399754,0.016540953380276828,-0.11817572903868168,-0.030567832788845173,-0.037091031996440246,-0.0450155949310857,-0.059578047324709796,0.05463219244364449,-0.08796307667754977,-0.08121226603796068,0.03520678826325637,-0.025071181446337965,-0.012979546480184598,0.09841292084002255,0.07360669503459509,0.07342439446740444,-0.021267259505606307,0.01854454905261723,0.005477818682999242,-0.048048907550030454,-0.027889721583232996,0.026928170411228417,0.010312616073176564,0.020355478454071093,0.0382192010057407,0.02804151332246751,-0.00083195533496092,0.0379000020833748,0.08114450165076098,0.07454622120324948,-0.13510666819459569,0.05517684016639613,0.012758073256315493,-0.026191334629400747,-0.05869856179901084,0.07535397826129263,-0.02416095556422426,-0.04067896244032034,0.02066438613915883,-0.007553801378053246,-0.05384848023343719,0.120351030968413,0.01350285742315694,0.012710102621026483,-0.04853218149346491,0.01457818864243893,0.01981780087856743,0.0025847426265751213,-0.04558397040949448,-0.014440814190401897,0.020755962694026683,,,-0.0018734379349755385,-0.0032592094837176687,-0.0028123373457531573,-0.0008613330360596382,0.03402602132356419,0.056540564017109086,0.021986398233783254,0.03853915049747155,-0.07887449006339874
Visiting Team Game Number,0.002303028751952676,1.0,0.9995408941685237,-0.0042218312397193135,-0.010997953107971888,-0.02863241691940305,0.03722850906286494,-0.007580720522762647,0.0009928913225055035,0.005962638636810129,0.06572772787663826,0.03270455921746228,-0.0017111171316456402,-0.06249190073609015,-0.019752908626510968,-0.00788823887150933,-0.05362789448763937,0.0238922250060803,0.013714739236399156,-0.03450186114428484,0.013465486887559748,-0.012671690607996427,0.01587929594435444,-0.03421748334095809,0.11242934745674385,-0.004481377919632496,-0.004910572964909178,0.002410985297898706,-0.03781491250970157,-0.023392349531119072,-0.0486574568474036,-0.01579305466717639,-0.025384764611642935,-0.03601445221123311,0.012187311528463158,-0.02781180289516566,-0.01688781563237121,-0.037365910944864404,0.014950106984229626,-0.002840928133039395,-0.004213610705208955,-0.023604360813714313,-0.01871480151454183,0.0017080435845623838,-0.014651186299953663,0.011810622068152457,0.02398880510489568,-0.010688994899906183,-0.002585276263055413,-0.05174396351816263,0.021271043381283793,-0.025475160794399,0.05969830363554882,-0.002161949652101014,-0.0013794168271949853,-0.004640844822108005,-0.04089637241817273,-0.03299153409859814,-0.023216583418113293,-0.012913138656312526,-0.010805937906996904,-0.013776775014277426,,,-0.01614335125590597,-0.015162193213830197,-0.022747420898894304,-0.014272973495380354,0.027280546765527235,-0.011942002354776464,0.009776719910294152,-0.013634274676056157,-0.026598189487558033
Home Team Game Number,0.002081754698382232,0.9995408941685237,1.0,-0.004687275968035797,-0.012654879817882849,-0.02762629342757513,0.041805264118590195,-0.006691325690463372,0.0012535862812323927,0.006179760583447506,0.06741071851446201,0.032033876409708256,-0.0020833469294789762,-0.062055078653733727,-0.020499011795811973,-0.0073155012444545975,-0.053646003944552344,0.024495244876524814,0.013377565518132198,-0.03448617800378584,0.013910470012680169,-0.013785917304501934,0.015044892739621145,-0.032851710668016246,0.11190140635466286,-0.006186218527239503,-0.0066156800288685,0.003402252667984374,-0.0372754641537875,-0.022199104421223526,-0.047604817239966596,-0.01659843049098647,-0.024142885332473947,-0.03593561618044406,0.012180083941962235,-0.02787940058146909,-0.018017481791786097,-0.037076301339024495,0.014503416027974876,-0.006689352747426934,-0.005891352527779972,-0.024083083126782104,-0.019137338016576827,0.0014297784941111288,-0.013269907979835485,0.012963477177673287,0.02454397372006332,-0.01078387755278983,-0.0020655896091035884,-0.05198683489215505,0.02102845102229044,-0.02433426415272796,0.05973002456336186,-0.0023914500296297334,-0.0016834800201703305,-0.005570328762156139,-0.04090222170807848,-0.03228113829162014,-0.02305896230210382,-0.012837060367493413,-0.011122230361026851,-0.015363824488753043,,,-0.016219448777366814,-0.01621305899188393,-0.022614329912663947,-0.014976358116518805,0.027139555231875116,-0.014933330224225112,0.009732140616970388,-0.015957903012152077,-0.025786819502615497
Visiting Team Score,0.007316551058799478,-0.0042218312397193135,-0.004687275968035797,1.0,0.06014283797691839,0.2033736914239179,-0.08433843095435278,0.6391850899960074,0.7924101126121267,0.46343700041763375,0.22394036426699698,0.5500799387368381,0.9882985910071709,0.09592142828500362,0.24878985116857888,0.13098301570796436,0.3322097116040989,0.1643815565469442,-0.06038773376784613,0.1237752742765356,-0.040312702825432985,0.03041687286113986,0.007271039788871189,0.22959068742664693,0.21912284051467826,0.06431632733710618,0.06447759509785006,0.04077768361312396,-0.03783538628483548,0.3162828458953062,0.0710418379472301,-0.017317407146656544,0.056192801051040527,0.024018957056076293,0.00039362238816991396,0.32171711259407076,0.11798256516058936,0.07256490286919184,-0.0003875471869737686,0.034316727128103845,0.06106181625743067,-0.0725769351697245,-0.005045344251393752,0.015071914073630658,0.007152254096896012,-0.1276896893863988,0.1471534394380875,-0.04368889737995013,-0.11063405638675053,0.028915704317481018,-0.00882300203261073,0.09622825232988151,0.41251200639873464,0.9736244110132343,0.9684101016475681,0.20979439636832548,0.0026530410464419433,0.05280682334880659,0.04555060332762025,0.22753909773814973,0.09571968371369186,0.026775232339635014,,,0.7622487975017618,-0.0229208618289287,0.7388362813025938,-0.02465792462686528,0.7936713567031878,-0.001744646983434289,0.8210319216164553,-0.01057187893292696,0.02169827966826475
Home Team Score,0.06940823809285644,-0.010997953107971888,-0.012654879817882849,0.06014283797691839,1.0,-0.13961327468666224,-0.05477766726020955,0.06580723406781758,0.05431315526117466,0.044291850776000646,-0.029273949333582325,0.09080271224580035,0.06584668865380888,-0.10421156963120015,0.04220494387352196,-0.008862120198879128,-0.03683820874584479,-0.10994902456096456,0.029152710733558282,-0.07110505647348575,-0.12054887669176591,0.025517786756519455,0.012546762365777273,-0.003942175205129656,0.31295778246767614,0.96754242318727,0.9671804469583238,0.18105458757874027,0.042668550329485175,-0.25108105759504523,-0.09067335249847464,0.21505853877639108,0.08315757138748114,-0.028567341935623637,-0.02796940497445555,0.40865842737855396,0.7656965393916709,0.44236610331418946,0.30671473710010927,0.4910233607909406,0.9873765074996778,0.08766808418102236,0.21571947605948735,0.10795104336797309,0.3095436429639507,0.10815425140317707,-0.09299707333103312,0.1973460333592846,-0.025959171058815074,-0.02175010895437128,0.02400172982907858,0.16489821199270177,0.10120168439908551,0.06761964278737521,0.06605650109809139,0.03734478709564805,0.006584764825316067,0.004808372708203047,-0.08112639305264566,-0.019127496094570342,0.012400074268546068,0.00883182764854993,,,0.012551927463193373,0.7707256765794164,0.00676820049853801,0.7534891086556887,0.06624765270501605,0.803719038128648,0.04749760348089403,0.838889171979024,0.005410636205734224
Length of Game in Outs,0.01235512752831615,-0.02863241691940305,-0.02762629342757513,0.2033736914239179,-0.13961327468666224,1.0,-0.022548789074151487,0.6814669531834558,0.26952731902326277,0.13527160106325942,0.08511749749835415,0.10229227212090573,0.19541709293846857,0.20979965507659531,0.07583550778373303,0.11187504805933367,0.2701438698020013,0.2943982397916746,0.23400666865392153,0.1738145801871339,0.09232562142257962,0.05425968179717713,0.00016423574420312717,0.3001351898071105,0.43155998133984613,-0.13071620345797053,-0.1304681495036834,0.021067207660914716,-0.04875031642131378,0.9742391908720082,0.36708961304798243,-0.002613032580869934,-0.03005774036072486,0.1306033267095963,0.0006780779601571446,0.6726765599904991,0.0707367837473966,-0.024871021649890506,-0.05787320646196821,-0.056513092272134864,-0.1380383772655658,0.13121304918440416,-0.012841495019168798,0.021584770092710762,0.085361280501454,0.18300643229319918,0.34913598634740384,0.011176184998912285,0.07467775932822458,0.11037462479423257,-0.026387875905527904,0.25278625793774556,0.4546081565063594,0.1976738514242559,0.1975993408746978,0.09675701508409422,-0.035411014196737624,0.9621032258464853,0.29720569154813425,0.1118118528627548,0.05032519882743782,0.07996190064459616,,,0.1405604352311068,-0.15218815623981272,0.14931454286382925,-0.16220976703246873,0.09847252012840489,-0.20412330016316735,0.12395197570174617,-0.2019730735302316,0.05162385637561373
Attendance,0.012963204313167049,0.03722850906286494,0.041805264118590195,-0.08433843095435278,-0.05477766726020955,-0.022548789074151487,1.0,-0.05094669796309364,-0.0808288523254168,-0.04436811299167157,-0.005053025576707483,-0.06106437175173255,-0.07632635304884137,-0.028544413911240355,-0.09517699477681202,-0.0475945946696877,-0.03654638930153338,-0.004352084985902925,0.10745669978154677,-0.002934934313388852,0.034255639445749796,-0.03702598579405602,0.033855125515486,-0.03838355928272171,-0.043370052603965266,-0.05122055616164634,-0.05150670339172703,0.014137491386662553,0.02288139291546012,-0.029971827054315302,0.04496272372198001,-0.010255239347815623,0.009079039561424892,-0.005919403116949742,0.016013868452224633,-0.03256713876637732,-0.007676765873945423,-0.018554204320320015,-0.015144820520637228,-0.1255632859755467,-0.05319787140644519,0.03880933034761214,0.009512847980155295,-0.011371416603980446,-0.023169508242906107,-0.0008219339395029819,-0.1130058358036628,-0.062381124976526856,-0.02055911507398483,0.0043574239309380975,-0.019515817967070286,0.029193222220099495,-0.00399911391961273,-0.06500412069863527,-0.06651309127200974,-0.031791262938277776,-0.039695879198749076,-0.012016281501206842,0.005882052596546807,-0.01734072719146101,-0.0014882678984333058,-0.04260021655420103,,,-0.08654642584370643,0.005507522538994524,-0.08768564046990163,-0.00983745668785291,-0.08434014601513211,-0.06881261662992857,-0.09076178049525714,-0.05104174122555857,0.004916189937190244
Visting Team At-Bats,0.05077280743582544,-0.007580720522762647,-0.006691325690463372,0.6391850899960074,0.06580723406781758,0.6814669531834558,-0.05094669796309364,1.0,0.8092176375944732,0.4366359218044783,0.189332028778104,0.3239360816333352,0.63171095040422,0.0553674284476184,0.08496395929378298,0.09032304503153366,0.23627939837848275,0.2501148700162097,0.14591545094925107,0.19530771783907727,-0.0679781545119248,-0.023348556844795323,0.024665435105398405,0.5934812711707833,0.4077120433115655,0.0661392532595179,0.0660127687101679,0.06899352349769626,-0.032092990226785426,0.6927915954962108,0.2480829009753608,0.03920671743658194,0.03067574832711758,0.08967295378888684,-0.01610819099064984,0.607380947897613,0.20090078305660858,0.07904406183154832,0.0009980023195183146,0.02805086178852416,0.06454254830057558,0.05423620473735535,0.02323019357157677,0.03336651634159271,0.09942530081186643,0.06445057909066029,0.24625140202184514,0.005016218689615518,-0.01958593191804791,0.07624810288824561,-0.007333853875451475,0.23924475806286535,0.5573131850786668,0.6249002317790616,0.6225211037817946,0.16501643917430686,-0.009358655938748855,0.6207213854932441,0.14567605862125166,0.23236135896067797,0.07898444786696147,-0.018578497877228973,,,0.6168057170748721,0.0063147602703097815,0.5841857673743615,-0.0029594935143227733,0.5708540450767432,-0.021926746336099482,0.6107510921039329,-0.016197581120089653,0.015480699068899265
Visting Team Hits,0.036316027378836234,0.0009928913225055035,0.0012535862812323927,0.7924101126121267,0.05431315526117466,0.26952731902326277,-0.0808288523254168,0.8092176375944732,1.0,0.5301580042389701,0.22097749675737202,0.38034945129464653,0.7881951364120598,0.11892811690017965,0.20960061550784612,0.06871558537982868,0.21804052190202605,0.2038501888190778,-0.06139996820819382,0.16584555032477952,0.004181225827821174,0.1444230914548403,0.05120598662469507,0.5506802428598813,0.2428791241226471,0.05600757666126347,0.055543338079859526,0.03554339930426159,-0.022537055444461638,0.3483375426292083,0.1163361302691541,0.00724209179382852,0.055579437717263425,0.0570728354830493,-0.003932313972221724,0.3432225755847696,0.13745204420680882,0.06930489244877452,0.007340910884582072,0.011808975264034937,0.05160144799159131,-0.032754696984137924,0.007757422844865202,0.024922338488832716,0.013304973268850594,-0.09390359777031737,0.11314439394437702,-0.030532679098130924,-0.06936121115408714,0.04081582018446454,0.0006807907598291325,0.11927148708383453,0.45808995759305643,0.7912179913648179,0.7889381973823477,0.170108282450975,0.013239487122580273,0.15562376719912854,0.1256536665228649,0.1503711973902558,0.06110775618178284,0.1531018406823357,,,0.9272855093060993,0.0033578655940061522,0.8632297831801313,-0.003413313866420665,0.8194255691254206,0.00044006239244948064,0.8861456974197208,-0.000994913115397206,-0.0013623591170624657
Visting Team Doubles,0.011940051397992759,0.005962638636810129,0.006179760583447506,0.46343700041763375,0.044291850776000646,0.13527160106325942,-0.04436811299167157,0.4366359218044783,0.5301580042389701,1.0,0.041492992713652005,0.10737919860787207,0.46197947462094263,0.03287038852772823,0.1937779937009335,0.028879980944475876,0.16418739541892352,0.2401562681756855,-0.024193129444479284,0.06127456796474296,-0.021934378698547904,-0.027021147591399928,0.0647030595415923,0.31377586504626453,0.1264742718518842,0.04765912487497838,0.0473752732384937,0.07442757818978435,-0.0173287433032596,0.1834747187761989,0.05209583949222736,0.017959124547208882,0.006794724464395856,0.026875457709133466,0.025224480869278396,0.19703792720298793,0.08479959142709037,0.06547334533411417,0.009936673632279798,0.032673495036251575,0.04383260197266799,-0.04731006663221773,-0.010334473444196754,-0.016708574983136604,-0.028584037318658377,-0.0649961810542021,0.06666732863375568,-0.03129866100769015,-0.05266387174601241,0.006712993361485174,-0.020517895318662927,0.03037426521291108,0.22829057230891983,0.46754480094574247,0.46413616457198165,0.08225204932702505,-0.013119730354767756,0.06764659046641745,0.05425465412247038,0.05577546981509276,0.014966747114814525,-0.01318965233767437,,,0.5066168600336329,0.0003684557311702383,0.46496612858728786,-0.012972877342532777,0.5534951244203854,0.026249441737251664,0.5533100689784323,0.013113077156797107,0.011767418699792503
