,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
Date,1.0,0.007973265607767815,0.008652394271932904,0.05137009428419493,-0.0303702885590056,-0.011983383281996267,0.04657214770130083,-0.007308048214691191,-0.013303089565933927,-0.011217176845373131,0.010562467090132713,0.11879675523576844,0.0530218921397774,-0.06035642863391412,0.012155857715251912,0.07895280629225998,0.06536692628872433,-0.04639272144413099,0.21276579528074444,-0.0037848013440170197,-0.05515288263152264,-0.06702743090557431,0.05421988892536683,0.014575768155574442,0.1040667048717442,-0.03636224780515517,-0.035533224926099206,0.00868612593347833,-0.025758386989003627,0.0027202540432390487,-0.18685475792723796,0.002764665809822032,0.0009831115986956916,-0.03941622284010105,-5.9937689702640186e-05,-0.047501696218420306,-0.10437505303022995,-0.0748449314857946,-0.042608897845065365,0.06544456927776839,-0.02549595176164512,-0.13971042286897256,0.03824390241994881,0.06405770915987102,0.04089975101266562,-0.028983181829985445,0.2378727039435211,-0.021214613356235385,-0.05355830847432526,-0.0395255215230609,-0.04083975012343621,-0.026696942587557115,0.12466032795962567,0.051902787816305536,0.05196496733737936,0.022525948951784017,0.007423584157984675,-0.028725196380722285,-0.16143971591799222,0.014078920132292175,0.014653568001821903,-0.07756959534900515,0.028705528932250767,,-0.009983286036713326,-0.10998691051621598,0.03244159493295807,-0.0669550306400849,0.06543190552842512,-0.039727663783048095,0.057331513230194454,-0.05265032121755436,-0.007149367125617099,-0.005174341531506418
Visiting Team Game Number,0.007973265607767815,1.0,0.9996003373787805,-0.0053685727260993025,0.041527567470121936,-0.028124544554549605,0.005038572167434474,-0.006490126755447583,0.007456263095463909,0.030290748900529133,0.003078333352007395,0.013619573980273024,-0.0063041948319109515,-0.016473629740237583,-0.01894165168473779,-0.0016510752767285358,0.002119959873480577,0.024237444444760545,0.026741897734436526,-0.010473265670719368,-0.00765273391259507,0.041024166182301855,0.045064191861670655,0.010147993715136082,0.08859475804902656,0.04463630350671531,0.04246858387198404,0.02928598723250134,-0.004839045515657519,-0.034042600338936635,-0.0355452010316901,-0.019412608440260885,-0.02518418299304498,-0.02109007264621961,-0.010925841486373543,-0.01390180524693549,0.01014903677211513,-0.039676095499503884,0.010432367268208361,0.021575996583500574,0.03850330086761304,-0.008967608276518468,0.008826697699947495,-0.00864466362230637,-0.00476494672017567,-0.03213688752338028,-0.014873497366605782,-0.025204675017579756,0.0015669924187645535,-0.02987056971087697,-0.039496593996507456,-0.032736135807402,0.10898763963509689,-0.001557073560030494,-0.0016321763412370269,0.012170155943370418,0.013103680243571997,-0.019404650636621192,-0.043090820463106354,-0.0005705947694795908,0.019180112098143645,0.027714498168467817,-0.0055501575163090415,,0.011527539671042959,0.01875041460470053,0.011699937472011547,0.016507579284392906,0.023319696561024197,0.01609815656859722,0.020484361931691706,0.017318493657323037,0.004678920348447004,-0.0019265573460050074
Home Team Game Number,0.008652394271932904,0.9996003373787805,1.0,-0.0054963054893492755,0.042371939731079986,-0.027745629300317546,0.00362898836457331,-0.0060935373634810365,0.0068630259918108965,0.02918356929392673,0.0034585318493926373,0.013901730376910464,-0.006408893481819858,-0.016646395716862755,-0.018909126666008906,-0.001959668712667307,0.001074833325776483,0.02395445747346661,0.027117375387105368,-0.010244624275701705,-0.007729256905954447,0.03995204573547259,0.045812667021247484,0.009283607965851254,0.08880704260545098,0.04537786945127751,0.04323472990437661,0.030517394439871108,-0.0054482153304477934,-0.034039228496925575,-0.034779605122201414,-0.01954727120959561,-0.023494883239530553,-0.020513187046753957,-0.010916242040692694,-0.013873715464778454,0.010361917749251553,-0.03984767359369148,0.010514513332274027,0.021676916989647604,0.03920528826192219,-0.008561528918929522,0.008343837241226377,-0.008841367797290502,-0.0036247642214683354,-0.03217549580558179,-0.014409334611061836,-0.025239011315773167,0.0017802964263807892,-0.028704165170723828,-0.03945988330037879,-0.03277083057972276,0.10918220673064408,-0.0015055960658310855,-0.0015853820509817791,0.011565708202658502,0.012686818474822788,-0.018602516431577686,-0.043697127922945375,-6.398557705442945e-05,0.018664857324556236,0.026958875937430266,-0.005545977742387319,,0.010494851904844796,0.019050884283991883,0.010355486813910863,0.01736291570498625,0.022661985560651594,0.01624949716427681,0.019526819189061642,0.017745990153523548,0.004228894721773101,-0.0010714916795846968
Visiting Team Score,0.05137009428419493,-0.0053685727260993025,-0.0054963054893492755,1.0,-0.01683655786159894,0.17179375976982025,-0.10569701433487255,0.5822715742198247,0.7701998262517196,0.46092120894003635,0.2144864714162139,0.5742031960368358,0.989649794783754,0.14385421846190283,0.2331204555389556,0.2042723455104914,0.3970731448642316,0.19383230694157663,-0.08543603971176397,0.13307783489269887,0.007072205241993223,-0.0366321410275535,-0.011307667559246937,0.20293221626396382,0.1996384246728144,-0.026244248570609002,-0.026205444267356888,-0.0007782057121803653,-0.05159521648998754,0.29755604362991117,0.043114027181924114,-0.0034467474360317064,-0.00021171367454175983,0.05341428494488599,-0.026939610621220234,0.26756187334086823,0.036602281644030524,-0.03128965312620297,-0.009255267088968027,0.026356884288949802,-0.021798662738638674,-0.13567626032519384,-0.02346960003460327,-0.019578360639752525,-0.02000760442926423,-0.11211593541028184,0.14390880504014172,-0.10897252127524153,-0.09636154983880736,0.0894548350756524,-0.018593658532103763,0.04584928533712726,0.4035374365531216,0.9681273377515334,0.9662170549031862,0.18569461775742022,0.021934956258449604,0.012102761103938398,0.04320883140631545,0.23432303849845793,0.09622171504987817,-0.03763200859286736,0.0032130961060396284,,0.7384129983236093,-0.07812995425424887,0.7606790054336751,-0.10496262503745511,0.8033391492435591,-0.07402063799601959,0.8395553746576299,-0.09061746865690033,0.038209541360561,-0.05127458321829154
Home Team Score,-0.0303702885590056,0.041527567470121936,0.042371939731079986,-0.01683655786159894,1.0,-0.16188991619861032,0.029265062374230665,0.003458369836115292,-0.008739147191380718,-0.03621336011378228,0.02421021070698282,0.003309499327549712,-0.017816476507940618,-0.049226151048826265,-0.026499284499353366,-0.0002100737420013146,-0.06122371422656904,-0.06744047435902484,-0.038152248557442,-0.06531624865733764,-0.05339199914441099,-0.02571175120948364,-0.014248069705389383,-0.006776666421764122,0.2565108148273087,0.9632420647547836,0.9607222852134842,0.17265065218964432,0.07169164692520502,-0.26480563248422206,-0.05924576570953189,0.2126068966568061,0.11669182698898624,-0.03658805557884999,-0.011939309750223191,0.32929611962880057,0.7302613397019009,0.42373278570718037,0.2087386575512102,0.489481407647872,0.984526946094466,0.1332260944151418,0.2339375553292806,0.11447795008150326,0.3240899421505418,0.18027877427739725,-0.1496060513509235,0.09658321003618268,-0.02797265302340426,-0.03281287576626789,-0.030376590413790656,0.13442946322978921,0.021254848144112593,-0.017272071034167096,-0.01697566257324583,-0.0537529449290984,-0.010615120404411413,-0.02992783947009679,0.013047151440196744,0.025421951840583636,-0.021395281988727033,-0.03905268429907827,0.05483829530379925,,-0.015787637200410883,0.7408147104290261,-0.04278101701988387,0.7469826681565517,-0.013598025030352819,0.7814914004620834,-0.025407057403917323,0.820173709712231,-0.009939859031804214,0.03765895406987252
Length of Game in Outs,-0.011983383281996267,-0.028124544554549605,-0.027745629300317546,0.17179375976982025,-0.16188991619861032,1.0,-0.00022161739429523843,0.7085957371312986,0.261137505416622,0.1325103286754018,0.03389213081770471,0.10948976867488705,0.16771892612999076,0.2456437038160908,0.13866897917063598,0.08377937925110801,0.25668069207128247,0.2945783618178473,0.2371181950898596,0.1222887284939085,0.12152217405483952,0.041047246661826076,-0.0164724049524092,0.3029634542723651,0.4671751002285949,-0.15544980605248246,-0.1547624936220606,0.028611882617876807,-0.024730850022454072,0.9769134888907518,0.3397178853105076,-0.009850444622487027,0.013415118006718737,0.10515645397779153,-0.012731332453943494,0.7051537304782476,0.045806437336283964,-0.06350419951693154,0.006923784757415774,-0.03813691860624767,-0.16048556362320945,0.08180204444780492,-0.029944361792739835,0.059847589900608435,0.13195161230878608,0.15746943856185594,0.359540597287949,0.03743865677016908,0.09696520207399806,0.10279317598394297,0.3056564898327075,0.29176898279153113,0.4513292868071527,0.168849617162643,0.16904258119291263,0.07552406504803107,-0.006836172397354671,0.9672777176412792,0.28952492817416914,0.0764220560334311,0.015535309312536013,0.04392059185588163,-0.018011009185122006,,0.08175696765303127,-0.20800610313476378,0.11882246353029988,-0.17916149112244578,0.08577458742639575,-0.21482905421698267,0.10371939673382004,-0.2155651237117867,-0.06159953790481878,0.036921296292488304
Attendance,0.04657214770130083,0.005038572167434474,0.00362898836457331,-0.10569701433487255,0.029265062374230665,-0.00022161739429523843,1.0,-0.04340974105631717,-0.07303132316871529,-0.049215528290744236,-0.030217154135233706,-0.09765699733425459,-0.10095681047565305,0.020301145616624126,0.03187474252252186,-0.028583863969913158,-0.05809348812067147,-0.006198534264174442,0.019026522262414927,-0.01429906489201476,-0.035883767580338094,0.009488875783990413,-0.04808306666795906,-0.014127736282910303,0.013631412088858597,0.019498597741563487,0.018604853730892136,0.019915645256104713,0.004352525671841549,-0.0214702275909847,-0.0048288671524824535,-0.01359704585890064,0.055961260379791336,0.02154835694959931,-0.008327440991373029,-0.01928943194817522,0.013851175106879504,0.019170055373877736,-0.032245439537551886,-0.0029583831896417933,0.02479645194579091,0.013828136503630451,0.019721469036664628,0.03896823227205983,0.025714441240917672,0.0423247054377928,-0.08909646915202711,0.025513688224271483,0.06022797584696754,0.00022088216893795013,0.02189977485398429,-0.0013407035107277751,-0.022189862854814908,-0.10533771007003935,-0.10391379085786402,-0.023182390719486672,-0.02120190923557569,0.025027225930675592,0.004710816708509529,-0.04359373641638739,-0.004146204367414856,-0.011577542066343914,0.005769787309097232,,-0.07103824341331144,0.02973252850144165,-0.08605965853367727,0.04476095930645708,-0.1030917039825055,0.018138396894376824,-0.10341234207136445,0.029403391064399195,0.004079978717676177,-0.003657977530208007
Visting Team At-Bats,-0.007308048214691191,-0.006490126755447583,-0.0060935373634810365,0.5822715742198247,0.003458369836115292,0.7085957371312986,-0.04340974105631717,1.0,0.7843147821911106,0.40357456902933503,0.13279395341816,0.31890693779124474,0.5776445279053622,0.1318160822408666,0.09045118661243505,0.08641927463981827,0.24966091465571325,0.2673635846833215,0.14858763108049927,0.14408766810136958,0.026037361718345486,-0.07759863066059422,-0.03573554064362857,0.5906818503854251,0.42607066585411485,0.0012698101798672274,0.0006477742271343465,0.034484782332429784,-0.02938788007565012,0.7282440476096195,0.2157668080122966,0.0028341690940774937,0.03477525146873776,0.06482810475270555,-0.011127922768146963,0.6146245489995458,0.13319672344132866,-0.020765810455881318,0.022080006164718377,0.03616136352935833,0.0031180163999240808,-0.0006145931357496178,0.0014836184188102897,0.02819790266147876,0.0989490808924658,0.07021379355088317,0.28449663629516475,-0.011693351193272578,0.02392218744088305,0.07457436042698369,0.1541942685098305,0.21701179588029232,0.5626978329550142,0.5681111125420881,0.5672107998676689,0.1382474863656616,-0.008767671070394762,0.6426454534151286,0.17376318696429785,0.21740112781967208,0.04877173985832691,-0.08651550557549467,-0.011566216092085777,,0.6148766793433238,-0.07822466952570659,0.5483581432168306,-0.0786363419090648,0.5274627995526739,-0.08654421387284596,0.5695513910758807,-0.08928320318599145,0.0009852440455197541,0.023315318274128794
Visting Team Hits,-0.013303089565933927,0.007456263095463909,0.0068630259918108965,0.7701998262517196,-0.008739147191380718,0.261137505416622,-0.07303132316871529,0.7843147821911106,1.0,0.49474158999715645,0.19279438560915138,0.3837438178609069,0.7648774767534223,0.17111734295447595,0.18519015841810796,0.09588604516869616,0.2343624410036836,0.20274593143568706,-0.09013529553723078,0.15440741085480683,0.06707344744886667,0.09380287640170804,-0.026812888701669098,0.5285910923632839,0.22598118714200208,-0.01013130698598411,-0.01081069514151105,0.004377628829705675,-0.04836299038221219,0.34776500116362474,0.07650582552825673,-0.00742048530815184,0.020038908683053323,0.031083395071509822,-0.013268537630207317,0.32125721394651774,0.07070134899615234,-0.025273752382000768,-0.010451578015277565,0.0027174582226220816,-0.010629305668705093,-0.094694795776682,-0.016240119964892965,-0.030400639626683813,-0.02095366507735393,-0.06250868432813786,0.1334346552648025,-0.05614483116937379,-0.05774033013073829,0.05111854038569066,0.0019777236688558407,0.07265960260419294,0.449721235631,0.7617646770995711,0.7610736131641087,0.14279885318457292,0.009946559531699905,0.142551025443857,0.15657451950272785,0.16340694428724215,0.06198350748919639,0.10434887539738744,0.013582323448001343,,0.9646344283992517,-0.052179161915005594,0.8600097324632368,-0.08710768439179054,0.7924457615977174,-0.07551441201884537,0.8692205194394129,-0.08489553288756671,0.051265199601751334,0.004596281027233154
Visting Team Doubles,-0.011217176845373131,0.030290748900529133,0.02918356929392673,0.46092120894003635,-0.03621336011378228,0.1325103286754018,-0.049215528290744236,0.40357456902933503,0.49474158999715645,1.0,0.00606627629721689,0.1274734260017778,0.4570444880162542,0.0791792143677089,0.11633919917867033,0.04201896832972868,0.14472278209965495,0.2042348893801883,-0.05256846338707707,0.046285715296244596,0.011252631395355227,-0.07074851930585198,-0.03683128947637719,0.228517850961505,0.06068744652138919,-0.04334832519645609,-0.04294095773493738,0.005356208400452216,-0.03856234448794262,0.18833718643753977,0.031279289871429555,0.011239334955687623,-0.007646987081789113,0.007168667210614538,-0.012990487091013206,0.15141189566023067,-0.0012315204269775545,-0.01956488339012807,-0.006441487658327869,-0.004253535604531501,-0.039668921414146276,-0.021620021995414573,-0.051809027925359484,-0.024039872100017335,-0.036863477256322046,-0.024682846983317665,0.11680422819637545,-0.05115728687557006,-0.0458090749498477,0.031051461302867286,-0.03201273803735165,0.013054333517530802,0.21643401655624298,0.45338860343878157,0.4524287806312396,0.09935730639215971,0.0004992457706412705,0.05823935994262459,0.04892447847344842,0.06941993032918328,0.09162942865209818,-0.06353424988671905,0.035443901284437015,,0.46636062326887845,-0.06523785878726902,0.4222809936671472,-0.08256368374466898,0.5286283197118107,-0.06296796555054698,0.5231549413455054,-0.07454386320149613,0.02727228496239063,0.005292036336023074
Visting Team Triples,0.010562467090132713,0.003078333352007395,0.0034585318493926373,0.2144864714162139,0.02421021070698282,0.03389213081770471,-0.030217154135233706,0.13279395341816,0.19279438560915138,0.00606627629721689,1.0,0.057264566023000334,0.2104977848005554,0.0009007345665934808,0.0802890511846243,0.05054382196575007,0.034620885936126604,0.04940035974930555,-0.006222163078330978,0.01601026056554132,0.014430206619141968,0.03873208599397289,0.039830287942336486,0.02066624563271485,0.08844318714382872,0.02499353914139812,0.025172448369378764,0.000515193371095106,-0.009651335636470358,0.0586086071428653,0.053776063040829915,0.007531196220343365,0.0179854616871673,0.05436286609440717,-0.009984973060985638,0.07857891979210968,0.05498322639697519,0.028530094075828506,0.013623253682567801,0.005677999732125283,0.021936965315074535,-0.023889624856652806,-0.02618625863171528,0.006604630382722397,-0.004543605411403793,-0.0431763555499979,-0.009265210723521941,0.005692062287006206,-0.0130204462974916,0.04865241059025052,-0.009984973060985303,0.02033405637475955,0.11521361493767622,0.22536789136196528,0.22651867436542236,0.02869097401360499,0.00016505876875639341,0.0024997779713612058,0.01794732943336965,0.014476285530796053,0.0015746195518587928,0.04900238584784837,-0.014125736026861355,,0.1923223848517711,0.03341138957599422,0.17047720133792738,0.02199820121348379,0.2716697085129814,0.020993055267622903,0.25143334774804305,0.02276259950120139,0.03753194013072007,0.04063638179316408
