,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
Date,1.0,0.004285382818511938,0.0028507533778046054,0.041937186706658594,0.026133977358757603,-0.023922146255790467,-0.14342299212077542,-0.02704810153792823,-0.03488926825596478,0.020279515824667988,0.02569941371308922,0.10570870091629223,0.04649340409237602,-0.0733221425915625,-0.03325601404628793,0.10959646825271582,0.022472176753019116,-0.037737119973144266,0.1406235891884947,-0.0924220038266876,-0.05949047812855834,-0.02340221902733188,-0.003212990146743454,-0.04852631923565864,0.13047282638255234,0.031383917114939576,0.029199464034501476,0.005186677034346891,-0.011029933297150284,-0.014796076139035564,-0.06935648325200366,-0.023343769581852195,0.02585021229430609,0.04876923949277586,,-0.03249529931480806,-0.02492898709624225,-0.009503294532432413,-0.012940678293320983,0.05220976062802368,0.029771005177929268,-0.1017771142041855,-0.001913864470680386,0.09416928323476126,0.059149658406137964,-0.06645709937655618,0.14542056539603773,-0.05400512045890254,-0.0481141830987174,0.04122101907336039,-0.03394859377496977,-0.021843321134842195,0.11846374080719808,0.05231269658208449,0.05226345636398455,0.01122464224081276,0.012483007492711681,-0.033120805144514966,-0.08364843010695021,-0.02568400472207361,0.07434355316952691,-0.018989599862731448,0.042999857122998995,,-0.034292939352812496,-0.01855563369966506,-0.0021870586302008264,0.023913689163609284,0.05958263182716343,0.02445401189093196,0.04114767437261925,0.025786959092478,-0.07686723396188687,-0.07693862996865042
Visiting Team Game Number,0.004285382818511938,1.0,0.9995697750083152,0.001973232838653373,0.016447485189522243,-0.04503738111959356,-0.019709556035083807,-0.000502593934366232,0.010752923525759663,-0.0006754510148970522,0.014943779951609788,0.0173675659377423,0.002545144450533848,-0.018243297894724387,-0.019611335311340967,-0.00781635137158237,-0.050466765704037894,0.010105333226528328,0.0033232920908854375,-0.05324666163371467,-0.020352746326213225,-0.018758216833534926,-0.005211647323657087,-0.017795494364709914,0.10485474953897672,0.005463639055714119,0.005839070552785463,-0.020406774586411543,-0.002358520428196876,-0.043030069592828186,-0.05820844576094458,0.005147418476211635,-0.044125281056260526,-0.016765782968934405,,-0.022012737474121434,-0.0013797532317192428,-0.011057459041048314,-0.00744262839784949,-0.0032687743065440765,0.014644908897149126,0.011848036076636148,-0.008808631083998934,-0.06377509010577254,-0.015973146027064202,-0.010819086917442886,-0.016572947999061963,0.05205125324653297,-0.012823632901593825,-0.018061187581820022,-0.011774249455676419,-0.04142098451305573,0.07510121789960367,0.00866118025299009,0.008487494991212156,0.024349400383326333,0.01565285448940917,-0.04269948880135642,-0.021181619399684805,-0.011876259007994867,-0.009583703596595822,-0.03848054661453364,-0.009040271781111496,,0.010191215117163031,0.006026404027029536,-0.014119136934393515,-0.010779513764521319,0.01778677006720451,-0.002084682348897047,0.007477032909364514,-0.0053243422149783165,-0.004122113163181023,0.007898393809520171
Home Team Game Number,0.0028507533778046054,0.9995697750083152,1.0,0.0026468979399016253,0.01817018839422981,-0.045666426465846253,-0.018974081585470547,0.0003653499810917204,0.012304172220127387,-0.00028340979205827236,0.01584626806825817,0.01866421854317646,0.0033609893425686197,-0.018722845484176763,-0.0193084171984662,-0.008526632686197258,-0.05148727122757381,0.008524723971689066,0.0011496096987488797,-0.053646483666612226,-0.020784108160050333,-0.0172304857865045,-0.0044328005152368555,-0.017877619536487966,0.10644744504970699,0.007164800034658712,0.007542862228481236,-0.019640763561553858,-0.003250137951002974,-0.04377861645688999,-0.05714563459352772,0.0057955602332024365,-0.04387313660417373,-0.015047451405985051,,-0.021971473341794154,-0.0005001012259711029,-0.011334605801170749,-0.006024891900950843,-0.002970355415190385,0.01645376023625697,0.011706628330730698,-0.00845466208635594,-0.06360253049282828,-0.014061306227704818,-0.01029375981057634,-0.01649616259163327,0.053226000213872415,-0.012825323078263597,-0.016670882623438566,-0.012146906999838326,-0.04132404567343639,0.07464663629213995,0.009428493199445737,0.00928613404565456,0.02362104304664481,0.015140991764495116,-0.043104764905702996,-0.021053494831909013,-0.012674905010020313,-0.01043835367583789,-0.03708435904974886,-0.008992212379390211,,0.011806122588315832,0.007034395066132051,-0.013230420956410242,-0.009086013205431351,0.019502167604496638,-0.0013158045055742253,0.009001365846816762,-0.0041768033066895685,-0.004684080496404847,0.006557954043525729
Visiting Team Score,0.041937186706658594,0.001973232838653373,0.0026468979399016253,1.0,0.05592341228187884,0.20115438117407425,-0.020032008575571542,0.6782487685847899,0.7906615487078346,0.4868837728747885,0.19179885748220155,0.5940699144256562,0.9880939567168444,0.08570312581899722,0.307791436010961,0.13117102206603617,0.34721631697183336,0.154361557786864,-0.0857927834840378,0.11591434621821614,-0.037768785230965614,-0.05434777270958144,0.10828848847773073,0.1803232094520908,0.24349022871596132,0.06612684505616058,0.06742609460860642,-0.01440456921652236,-0.0004996208817130852,0.33158840170510767,0.0037843820756143054,-0.04453800873108465,0.025230746543601926,-0.01596318200153401,,0.282747938342943,0.06572234133664348,0.06257611185647594,-0.011307542632919382,0.04062569657997395,0.0621853496064146,-0.08216005993592228,0.03316431970070748,-0.026580505071178113,0.0646357979877033,-0.09542308320697727,0.18901431183035214,-0.052757538368983156,-0.06343437798522192,0.004440046896601603,0.015338792246567238,0.08085652498102555,0.3452267916819623,0.9704417793900437,0.9685272456670141,0.16482154926437417,0.038276028057891896,0.010139370138417482,-0.0225012816793117,0.2450925363180771,0.017109358885147686,-0.053538605993023805,-0.017710107614406386,,0.7466311776956311,-0.03067345059632345,0.7475877010940976,-0.03213835422743643,0.8019712594458283,-0.012764528457252662,0.8311822304303778,-0.020489876714690086,-0.021815325989627907,0.000800913625040494
Home Team Score,0.026133977358757603,0.016447485189522243,0.01817018839422981,0.05592341228187884,1.0,-0.2207204314334729,0.02141881370213346,0.03542186938153954,0.02566137219311184,0.05054845758803297,-0.05096576210548896,0.06112336337475336,0.06321778664374136,-0.08521024158510664,0.005962497779493172,-0.018418438195485196,-0.02762907976814076,-0.12445096635359858,0.01189899626963913,-0.08399743018490449,-0.11238214162970682,0.0003711866304380896,0.02139741679400363,-0.028765390431350055,0.2763285362067957,0.9634175328189631,0.9591987621601303,0.18820087615472328,0.03345611595294117,-0.34770615294000723,-0.04751377968622086,0.24195910349564728,0.09271820955005364,-0.0727416250144543,,0.46950830687414336,0.7693456721574683,0.4690942796826967,0.1952928534682946,0.5728885548859883,0.987011656936868,0.043848245061495136,0.2568992597642853,0.1074068552067575,0.3317814806449144,0.14790020939306675,-0.15512463291447043,0.12503636390909895,-0.0038772622061920203,-0.08158134798787378,0.02304253260586296,0.1294484014818753,-0.0045433658118697005,0.054196077289463775,0.05380901554578782,0.001870751363831682,-0.027402437066677585,-0.03202691813750041,-0.04897486987871774,-0.01944885310476814,-0.03679077212596395,-0.005381758947216163,0.020450597978368932,,0.01747753569317299,0.7582955527902676,-0.0033713836562075045,0.7610894855995982,0.04500534713025532,0.802737410517485,0.03046692046264703,0.8379419063419814,0.01754413357054109,0.006268660544599701
Length of Game in Outs,-0.023922146255790467,-0.04503738111959356,-0.045666426465846253,0.20115438117407425,-0.2207204314334729,1.0,0.014557810501550713,0.5906699060005722,0.2295743672113262,0.0921921736852249,0.058195957094101934,0.1402825834179725,0.19678083514722491,0.1926487194168205,0.09104810891572127,0.08775468682373719,0.18574324403736875,0.22998496605239938,0.1059543516969542,0.1101051536397085,0.0688128059405435,0.046072473784118426,-0.006739681811424194,0.20308415422271023,0.3213320665668556,-0.21789708527213875,-0.21694773858657546,0.005667401437785819,-0.010562741172654539,0.9633973003979905,0.2644141976449517,-0.02828128384550211,0.012473853127977616,0.06760450995506677,,0.5359964358154241,-0.04295588910709065,-0.07345332818514576,-0.030830902421423834,-0.11105473148337137,-0.21589890454515265,0.1121316356672731,-0.05395074871457561,0.03363463247283681,0.08423424293062826,0.10007103827212192,0.2495936555136141,-0.016484922734823527,0.021719911533964017,0.06173049731753453,-0.0022746770395033057,0.2610155871432286,0.40359794017752054,0.18781522293932526,0.18786394606579612,0.07845072125864025,0.06017456593726498,0.9377695325874673,0.26080571472922925,0.1263087839857623,0.06701633839178693,0.0672202045613161,-0.02032381408180919,,0.09863716452487596,-0.23468752846481503,0.12452264047689807,-0.21347808168713203,0.11371309056206072,-0.253366451750118,0.12446553118302955,-0.25491377169160234,-0.009221033872079568,0.01935720031614096
Attendance,-0.14342299212077542,-0.019709556035083807,-0.018974081585470547,-0.020032008575571542,0.02141881370213346,0.014557810501550713,1.0,0.021674080982576577,0.007349603815395024,-0.0034503672471521193,0.01192725417833573,-0.004955435415732632,-0.01898555917547581,-0.001812444367117469,0.007188373537828819,-0.019316639213037595,0.01505454203559515,0.015933178577104176,0.057944142473076325,0.012491250298256824,-0.001198060767984304,-0.014329672467189957,-0.005321913772683096,0.04880055920334213,-0.015778771400336598,0.02250303382829842,0.02259173264772025,0.008125890397323896,0.004288933325917951,0.004898201416013906,0.10042326136175973,0.028534659879006073,0.04815682138098694,-0.03157570914425565,,0.030626968726335645,0.032834679631937785,-0.014353862198142992,0.038498936086748134,0.004562496327043626,0.023635618441250242,0.03816686328878274,-0.006197697706751717,0.008255864339576976,-0.01354025857928286,0.05953399196490658,-0.10661314044232087,0.06964001401564471,0.03547880079441685,-0.0382440698228871,0.008908418830965782,0.013601457153797215,0.0124470594103675,-0.020863015514343938,-0.020837302147457708,-0.014014141991436697,-0.008593620598344075,0.025474342782000458,-0.01993204575659096,0.004688945015275158,-0.013454990584368241,-0.010252075828570217,-0.05011423019233977,,0.004124176575859583,0.027821693536668773,0.003725820920279876,0.017117916618985228,0.0006664746743330326,0.014074403662102919,0.0017988484496794907,0.016041251592521143,0.03116183456363533,-0.0031910413372374605
Visting Team At-Bats,-0.02704810153792823,-0.000502593934366232,0.0003653499810917204,0.6782487685847899,0.03542186938153954,0.5906699060005722,0.021674080982576577,1.0,0.8390864273133352,0.44541685839320344,0.13404547182466495,0.4079113738717541,0.6724773240479843,0.05213995702137309,0.1025760079289948,0.056007161013975126,0.15649917895457044,0.21835376634038292,0.020960503368916042,0.13064155881294914,-0.052282171675791404,-0.08604204688722761,0.0551851993448577,0.5371558822668512,0.3413185732660853,0.03592360200041713,0.03619585593594101,0.004794541359136166,-0.019830873076149412,0.6131649707708786,0.13841428679111017,0.005197869956910462,-0.0010003545288779197,0.021450423343558296,,0.4831080796601952,0.11927238186103596,0.052839126976899804,-0.01876402193286513,0.039605099950745876,0.04304128494887114,0.05502968846207895,-0.004100215410378426,-0.009685216176824784,0.1225817308827971,0.02680756795363497,0.20036089918606748,-0.030945951020244014,-0.04259337953274726,0.03211069846844732,0.018578258612863545,0.21035449536477993,0.464269513140846,0.6438857532577235,0.6423506176515787,0.13967128132363435,0.04934119576230034,0.49676701304817406,0.07103551760101617,0.303767556800627,0.028417965597513504,-0.08958339359746516,-0.026622279436653535,,0.7094482286793142,-0.03021842899601728,0.6136681560824508,-0.021145109997517165,0.6246275549586892,-0.030727454058487532,0.6585858178181472,-0.029218208725535794,0.011705906029387824,0.0013702410838207395
Visting Team Hits,-0.03488926825596478,0.010752923525759663,0.012304172220127387,0.7906615487078346,0.02566137219311184,0.2295743672113262,0.007349603815395024,0.8390864273133352,1.0,0.5316107325853027,0.1693921571348995,0.4377185931382488,0.784204640378835,0.100176765784467,0.2163428813009119,0.03885407296147985,0.18017703970851373,0.19082926225516544,-0.1387614181236776,0.11210548634300387,0.033416306955616606,0.07178324892372333,0.07096004031747753,0.4956744702665475,0.24489196452483564,0.03094231508868782,0.031337103533192356,0.000950615408092461,-0.018001385823968385,0.3280821999434595,0.035662914803380096,-0.014810372092148095,0.019169267191727353,-0.010667020499143998,,0.281325338995669,0.07083604907385764,0.05409297743315087,-0.015753350212214943,0.008432359184586206,0.03124318274616207,-0.01961982033583092,-0.014127363415428104,-0.041919173701885075,0.05323117041431052,-0.06665179030188836,0.17344448289867515,-0.04783084828999719,-0.06191442481865639,0.006329035186921745,0.031769763953794,0.11044765854300877,0.3532532405298149,0.7758092951452801,0.7744244313825559,0.12269316102760629,0.021280338777422757,0.07679931212401177,0.08322979631534677,0.21476687334340863,0.014314986020645471,0.07973041366847457,-0.009990995261504822,,0.9711674673778704,-0.02385654682899232,0.8618701989632988,-0.030662561115974707,0.8127094817958492,-0.030516625903581097,0.8795293536843825,-0.03247337126755376,0.011616631446296826,-0.008694495470759489
Visting Team Doubles,0.020279515824667988,-0.0006754510148970522,-0.00028340979205827236,0.4868837728747885,0.05054845758803297,0.0921921736852249,-0.0034503672471521193,0.44541685839320344,0.5316107325853027,1.0,0.039838226316688895,0.10901961340916005,0.4816257993121637,0.08061247137828007,0.13332346352031393,0.05073859998504861,0.12780441037077114,0.15963750666431775,-0.021028415161385577,0.0017827708458687099,-0.0014560109412997406,-0.056763278650596015,0.03630730473643081,0.24576857895359439,0.1414832218850991,0.05077432843767058,0.05045595045919301,-0.009448283714981645,-0.03342897643323886,0.15345562208651728,0.02796730287898691,0.01338653318845066,-0.016000466201893097,0.0012285517323020793,,0.14861934832772836,0.0477381314490321,0.06332831447076807,0.004858080162357932,0.030063480310227143,0.04711165816752951,-0.002360065576553197,-0.008374502883076196,-0.014665071099331349,0.02249761137428878,-0.03382804056267621,0.09164084213556424,-0.03600290840592238,-0.0731671762065387,0.01658942443788936,0.02540735279725333,0.02986365255494135,0.20231294073669026,0.4824083240114435,0.48294778777332636,0.08938740299310301,0.010557700741236256,0.0027253405540776728,0.010345124536769959,0.10826498892241748,0.007033972713689589,-0.05132750270095226,-0.006504483023751897,,0.5172476375696113,0.0003178967789833546,0.4716509381782102,-0.006175493663005429,0.5266884720522153,0.021505119202959853,0.5389761490600522,0.012947775848570427,-0.013263844626852029,0.0022169550016917384
