,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.005878994789149219,0.006501661554822555,-0.0046562960109822115,0.012891753134118545,0.006349195154303704,0.2246514789184365,-0.011034275058191257,-0.031473345012409844,-0.03668356342789995,-0.043458868658309634,0.0466720470351343,-0.0052073037617468045,-0.08545461193493079,-0.01597548883585206,-0.024324344960640915,0.05409667452731608,-0.12529079028435516,0.14042286291801823,-0.022848861732041866,-0.02458760776420001,0.0029056142904886543,0.030735039893178055,-0.0015616377677687325,0.13281312240447393,0.012843279536546551,0.012225471161473184,0.0031955759900147954,0.0448870466291861,0.003730504244444965,-0.05427023999784176,-0.041585171676831297,-0.006788247421081467,0.024717708814421396,0.005817898978408193,0.018762579977870984,0.022610111474946102,0.028200472837313025,-0.0364106576933524,0.017572064002859974,0.016119832673657027,-0.03975898372525585,0.02317932370044496,0.016258278118529795,-0.017068662374322457,-0.05699202239549718,0.12607095565061555,-0.03169430729645075,-0.07070030662553936,0.02879015557148599,0.04288260105946284,0.0012018816075591917,0.16624602687701723,-0.0063899676486960195,-0.006224104384448703,0.0021575353725147026,-0.009315583556091838,0.008976891980438611,-0.0624902175119318,-0.020323931640754515,0.01876149110505896,0.0059114430287592725,0.010203715291069592,,-0.03018802682092681,0.012585209868173583,-0.003757266171745977,0.010339057432140804,0.0028444858877157476,0.021779120982833782,0.0006993635870411303,0.019092830483048988,-0.00636227664509851
Visiting Team Game Number,0.005878994789149219,1.0,0.999469074810324,-0.014866403895009766,-0.012263812867062168,-0.02800558414657475,0.09364895353299253,0.008910896012948432,0.02539518413449828,-0.0033752543229384267,0.002891970712934773,-0.0068966267038157265,-0.009564622595294503,0.030107555743420115,0.007675670427949177,-0.017768761602279946,-0.05065862688898224,-0.003889798768235408,-0.00272996879671302,-0.035831883318723286,-0.012917534868952519,-0.040553365915024904,0.04478038702925747,0.013212550423875357,0.11614432009490556,-0.01733513860703451,-0.01826347218100687,0.03502221968007242,0.01059369273785339,-0.03634675779190219,-0.03964959167971403,0.030734335050437354,-0.020914551576600226,-0.015548797749291939,-0.009273660826333938,-0.02492890758467358,-0.008874213643204567,-0.061242981730633694,-0.0008671871472175897,0.016484848314962223,-0.012928287570321327,0.013795288976591378,-2.2720952365202175e-05,-0.007388853922357305,-0.0822163466382796,-0.0055012253873155436,-0.00766500529702676,0.020073920072099273,-0.0101840006522232,-0.028325332373570933,-0.0170174585956536,-0.04826530491411059,0.09057305424256104,-0.006004437268344589,-0.0062529360985483125,-0.008179625465618902,-0.00541924642189996,-0.016329755195511785,-0.02574555320394012,-0.019108513799513057,-0.031012284746790734,-0.038335867665352,0.010488156998199856,,0.015584193287082134,-0.02284442680709241,-0.007835980947833722,-0.03610736934394281,0.0024131412440850453,-0.004588781667913481,-0.0010503339287077072,-0.01618528801085725,0.00011637766598970139
Home Team Game Number,0.006501661554822555,0.999469074810324,1.0,-0.0149718370638527,-0.010843621467837631,-0.027194856444789077,0.09523367142536314,0.010000005685535693,0.025901222632420298,-0.002433818692800253,0.0042138027995413125,-0.007688511298962469,-0.00964636961312337,0.02777882728023998,0.009216373061191926,-0.017750974083215743,-0.05173793292887737,-0.004560956591554642,-0.0012965134720650852,-0.03603851347688657,-0.013168967705925596,-0.041290671105492074,0.04477454268616951,0.013315744691193772,0.11781773557892847,-0.015795909137598867,-0.016716430892822202,0.0356646692862762,0.010219949546946706,-0.035797235407147444,-0.04000077477687292,0.02980537568864945,-0.022220900585645957,-0.014573679504566157,-0.008903769629716517,-0.02349450648978272,-0.007424732884269555,-0.060298984074848586,-0.0017154507526778765,0.018122990633614448,-0.011255002478596158,0.013066412892103241,5.9876910154292876e-05,-0.006992965015090243,-0.0804569134620631,-0.004583450378774458,-0.005599458811385813,0.02137137478965313,-0.011295179568634482,-0.02761518068671739,-0.017434376579075997,-0.04689249389223088,0.09055979932770088,-0.006040903530194668,-0.006248040669141242,-0.008603228591986286,-0.005026742177163235,-0.01526908528437606,-0.02697900383801654,-0.019532291338672517,-0.030645349948209093,-0.03918364912500831,0.009939777213442318,,0.015262369568492504,-0.021521229653183663,-0.008368678575491827,-0.03457826172477877,0.0023140732256419043,-0.0030347992829867906,-0.001309316762147476,-0.014539286406473973,0.0006110541145776656
Visiting Team Score,-0.0046562960109822115,-0.014866403895009766,-0.0149718370638527,1.0,0.0066082182740908576,0.14688607829271935,0.005931183426818859,0.5925481453282989,0.7869435030748374,0.492622930778463,0.13494464138386209,0.6014106668120511,0.9874991320957465,0.05333518764364242,0.26935687974079336,0.13936101413720725,0.3322848038551954,0.12305965552234753,-0.09164949544977274,0.12017428638856405,-0.0037715113947249714,0.008605056404634914,0.045136695447116744,0.1717230983813801,0.1980666410280368,0.01596378955602021,0.015482666523007046,-0.020315243741004088,-0.02695421677642756,0.27509529639864394,0.061870997637590325,-0.010042642883734628,-0.008206412351868706,0.00476410316660813,-0.016758768386563216,0.2708291099735878,0.06418153281433558,0.013107347208489986,0.006964903578086826,0.04653350285881352,0.01219763825250637,-0.083190731950652,-0.051221823678164344,-0.026744555377135503,-0.030828026969073254,-0.0948792092315556,0.08899132941186862,-0.12355182507776984,-0.09883479787978272,0.02503980083439508,0.023396216860283217,0.06134035856936019,0.38224367855316566,0.9690847106140086,0.9661929163433398,0.20898953166000045,0.030934191357253255,-0.013140573151920588,0.008593220552798058,0.2885523250370119,0.09309051615473546,-0.003581808553578094,0.00403910736070437,,0.7858307472290288,-0.07069617038172255,0.7590003269247033,-0.07766361544283477,0.8066118037207197,-0.02655076030454418,0.8434218955983233,-0.046597712598625496,-0.003437594212710815
Home Team Score,0.012891753134118545,-0.012263812867062168,-0.010843621467837631,0.0066082182740908576,1.0,-0.1788059585177662,0.022741771427300436,0.003952144755970491,0.007669636692711656,0.013608738690912978,-0.022924273010867167,0.014963845534727878,0.009438996790581394,-0.0830188979039473,0.010150535048195738,0.014167550610824902,-0.051476426187552174,-0.09245640497591022,0.03657552566679786,-0.07657666414343513,-0.0282200844352385,-0.02792232712616999,-0.02429061494479591,-0.013973459891448492,0.25342990220992356,0.9657625046247345,0.9644700873740778,0.17130525628798854,0.07488523792351356,-0.29081902828495915,-0.09728634329232164,0.2298205794627436,0.07289654568727816,-0.04837006327186809,-0.019786037895658703,0.363383406551162,0.744748465998098,0.46155509371843345,0.14641773058172364,0.5691306447199348,0.9859638698143676,0.05648887553429848,0.2770689249350315,0.15962873874553013,0.3194549230893799,0.1032305409869641,-0.16003662695129503,0.11609694775569053,0.0025303590623638626,-0.06164181564260379,0.017554810502469164,0.10370931709123789,0.042231696402704806,0.015362260310845423,0.015373181742576672,-0.048028779205590094,-0.021530322592268874,-0.03553489185346832,-0.05057640365705323,-0.03352250570002555,0.05915198681636622,-0.02714959576917487,0.011533683233916486,,-0.0051923379544533245,0.7746102291528753,-0.019393199384475066,0.7509275871904039,0.01634493528797302,0.802849325334013,0.004795410694392064,0.8363845677106594,0.048359742070704016
Length of Game in Outs,0.006349195154303704,-0.02800558414657475,-0.027194856444789077,0.14688607829271935,-0.1788059585177662,1.0,0.029053127171544478,0.7008494837794397,0.24745247135077697,0.10812599915672026,0.025904964271405907,0.09557658112848391,0.1424693255869178,0.12523662383979953,0.05792336007468946,0.11666853721205561,0.18884486885470025,0.20473209460813632,0.21621744831372136,0.11123015560440692,0.1041613028358007,0.05811160211956257,0.018189357772416048,0.29564531748799733,0.37190906028418014,-0.17250881226147827,-0.17215174404738626,0.005844498810549212,-0.033716905383175656,0.9730631528712659,0.33132049241849315,0.017109222044138513,0.022878990250830823,0.11815190607779551,-0.005386226992590564,0.6614503598001331,0.0018923853103816775,-0.06507782017099753,-0.035305481525170115,-0.09381624566218902,-0.1748735459690695,0.1024618900140389,-0.05264806959809211,0.03250886096268897,0.12217399012832185,0.17730319716837697,0.328342230881005,0.06226126696543983,0.037737002024836576,0.10588325747341476,-0.019195871912414574,0.2672284439924703,0.42902703973756073,0.13631167543052455,0.13678454260249256,0.13012391260445358,0.0413210811269568,0.9629594340392287,0.3261856641506885,0.11566741761196567,-0.0227193980199149,0.09347068694503896,0.021278226475148238,,0.08437530152957248,-0.2156769566000975,0.09252081264595599,-0.1992258103692059,0.06317869483059159,-0.2446035226606909,0.0777555042969311,-0.24422477069919987,-0.012570799823967093
Attendance,0.2246514789184365,0.09364895353299253,0.09523367142536314,0.005931183426818859,0.022741771427300436,0.029053127171544478,1.0,0.029205847292064675,0.0040377027786081396,0.003047780750296144,0.009316945615102481,-0.008307099995304214,0.00470868587606252,-0.01090751167176099,-0.0066421588416713155,-0.007867103828477696,-0.013987512617087968,0.012560498102727647,0.043583399721641734,0.011078456930581022,0.00916850425574869,-0.018473630613387883,0.03725389138208844,-0.0036673761487881103,0.030919053818886925,0.024756363570401584,0.0240649901477078,0.0037606837547341974,0.027817367313001246,0.02425737021480019,0.02406783392975762,-0.004590532057435411,0.014867004197331554,0.05131131869489906,0.0008498309871760834,0.017007928761434515,0.007705466239474029,0.012566653329363863,-0.05398171988320021,-0.0015045624967622085,0.025238631178686546,0.031012061564549553,0.02713017217032299,-0.016962736069866178,0.04963810422564175,-0.0160761762754506,0.05686701265031947,-0.02161587717883048,-0.04894894224200514,0.03373025473205826,0.012971390266697623,0.01873026535859747,0.06430738272465787,0.0038726683018512464,0.0024786907156531656,-0.03728914816345148,0.01995927433153699,0.032670914742198263,-0.03761781005101623,0.03488177166788377,0.06837836374829993,-0.016683601694919878,0.013556508447753482,,-0.013271620597131427,0.025923101307145067,-0.013948359204738246,0.022400163788104967,-0.006695930562671424,0.00214056657628647,-0.009705623909060566,0.0095420496081773,-0.0009991661891289765
Visting Team At-Bats,-0.011034275058191257,0.008910896012948432,0.010000005685535693,0.5925481453282989,0.003952144755970491,0.7008494837794397,0.029205847292064675,1.0,0.7954649467607113,0.4372688011864905,0.09279299775348795,0.348367359278929,0.5837676428803733,0.03513114875437631,0.0747957605268469,0.11122580746171262,0.1470976273826639,0.1769177272089292,0.13469405377792454,0.15123151123907488,0.0007674282977328875,-0.052091588779457736,0.04412778766278876,0.5518194986104521,0.334821813342215,0.00631799298446325,0.006679367645388688,0.00727562047124114,-0.04293740564746657,0.7191589853000041,0.24846634126050726,0.05031851328201714,0.020592050874208616,0.08731046804157332,-0.02633999437343183,0.5888815635106807,0.11638901638805435,0.03502347156116567,0.007134228663024953,0.026015267378203113,0.009659340272476969,0.028925204571654282,-0.010448505075499966,0.05110890117500803,0.09409631007585276,0.09241310478845366,0.21255407259922457,-0.0057817076460849395,-0.010068602714888159,0.08753814426940879,0.013217950261916973,0.20861400183902973,0.5357157992728189,0.5650335325565663,0.5642792851273915,0.17511770453941464,0.025614886005094584,0.6313930049102239,0.16047869621328512,0.28460164433129576,0.04440266603218032,-0.04802587085185241,0.0002786242338137762,,0.5867368241573703,-0.07998937258996704,0.5402584080018143,-0.07947777510260179,0.5366762173765877,-0.06774923451580091,0.5736352946396979,-0.0763540846051971,-0.031327386207090004
Visting Team Hits,-0.031473345012409844,0.02539518413449828,0.025901222632420298,0.7869435030748374,0.007669636692711656,0.24745247135077697,0.0040377027786081396,0.7954649467607113,1.0,0.5480247635765477,0.12930329286226727,0.43196222224257735,0.7826316244166804,0.07574636984699014,0.2202969182655373,0.07601289358550316,0.1425606006838945,0.1275356552956168,-0.08596307740667637,0.13801254471743007,0.07009963335821427,0.09503808206097944,0.04600243123575525,0.47871554569724534,0.19060636661071398,0.009353088432216656,0.009312290192875713,-0.014754267678687039,-0.03862173354366418,0.33615965572692447,0.12098010895853813,0.021854556285227318,-0.0026727482293369123,0.042603503451732555,-0.021939520748248422,0.29468502201198354,0.05808672379927974,0.017317281921802923,0.007673077062386429,0.03141232387046519,0.01305604091925906,-0.05532810774112573,-0.0052220821926451146,0.016773794302028168,-0.013412728483322638,-0.04426719639299313,0.066792795848141,-0.08106190495600701,-0.060265778677271585,0.05188701070119663,0.04412588511151909,0.06633439594647929,0.42185815887361683,0.7739148426069745,0.7723939997733014,0.1676030933499441,0.03493382422781467,0.1267352959186487,0.08902472616828645,0.23942822987389353,0.06429031786239797,0.09349963868025721,0.00234637793254532,,0.920439489226084,-0.07059728102680284,0.8393629784310093,-0.0821096250866733,0.7953389145573311,-0.03619623353572283,0.8638004969244079,-0.05500584097098266,-0.03245702463067909
Visting Team Doubles,-0.03668356342789995,-0.0033752543229384267,-0.002433818692800253,0.492622930778463,0.013608738690912978,0.10812599915672026,0.003047780750296144,0.4372688011864905,0.5480247635765477,1.0,0.04455757517716238,0.12007543495012765,0.4930174761341226,0.018768502531242796,0.15438018936800588,0.06605719810882774,0.13283032446114182,0.17221445673548239,-0.04908738610213132,0.06671210459960497,-0.004909269901013332,-0.06560593752936916,0.014477450775073559,0.2776252955107342,0.08640010384286204,0.020787971149331886,0.02067905329594658,0.026247511944867127,-0.02212914633680019,0.1667286897840905,0.012995603076527884,0.013089055540890413,-0.01281267786304172,-0.012896859257230333,-0.02608415301614669,0.16241373290459565,0.028340300363255622,-0.01499774991741637,-0.01489461854847805,0.051973685926230695,0.014575357197093974,-0.0917312119766219,-0.025902738328609367,0.011303889105116212,-0.04172508487129381,-0.08103810588893777,0.10417609937224366,-0.04468171155326715,-0.031882738656177856,-0.007813518715104651,0.041592823890733044,0.007099647806348216,0.23866216293661616,0.48507760364189445,0.48363648941203025,0.09829617314158622,0.0006194511153310847,0.032170505252974595,0.03483221362004599,0.13421038807175684,0.026996555293191147,-0.06470954805754965,-0.015049353119358296,,0.5160131031021369,-0.057887006498223974,0.47495063295931167,-0.06671551247242193,0.5366909526163338,-0.011154347422085606,0.5505537659587258,-0.03179583724766511,-0.043689057985221914
