,Date,Visiting Team Game Number,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
Date,1.0,0.009140078490840683,0.008456978229546438,0.05782953740532434,0.03322546818161776,-0.019079417112661038,0.10641782516138015,-0.012583486807445213,-0.01812969619318185,0.0001879213829735255,-0.001987998095460857,0.12087979166473697,0.06350216749481345,-0.12074048791596462,-0.01250569492634732,0.03174674065442808,0.07208083804476559,0.03457402698738776,0.1375271877634827,-0.02511188776753523,-0.005844741634869118,-0.038709400082610236,-0.03184931448741898,-0.028516636104137162,0.07976792206575029,0.05522922079515732,0.05648768540028202,-0.015104900389527401,-0.05338309481566225,-0.007744422681457373,-0.16520667326647007,-0.06688437765721968,0.02479004665377615,-0.02164816629446786,-0.014423286911737767,-0.0033707339131177697,-0.018729264627350493,0.01077977071522233,-0.0201018420913139,0.07500836884395408,0.040006945725565846,-0.16036670324788882,0.002299347848380628,0.018383900401191495,0.030906888362209308,0.012766629933805486,0.15187060243038172,0.0030857957063004262,-0.011078805396012218,-0.013106433619505397,0.035094540802473304,-0.04522660206108932,0.07383206589580077,0.06686264538810421,0.06625442066698875,0.02780270614711658,0.012694100231897418,-0.03166077736004903,-0.1467320009175175,-0.08570580291018011,0.05266200328481748,-0.06487717038993929,,,-0.011083929496594442,-0.020192985273066327,0.016000908321148564,-0.010586090507810163,0.06154417091030338,0.030853516068817147,0.048771838681946594,0.017476552074861935,0.048206588600970164
Visiting Team Game Number,0.009140078490840683,1.0,0.9996189967199282,0.016007642379429105,0.006152181689399075,-0.01932648086360416,0.010590083281016878,0.014215549983558076,0.033927868453472454,-0.016992244069421313,-0.03172924933039145,0.05502313114933009,0.014661886995539258,-0.008579652350459125,-0.011226543167057604,0.025739395358747252,-0.04931142082082039,-0.04332228618432768,0.03298560186007444,0.01976465998195858,-0.021673067962983572,0.024350227087350827,-0.001717544696018452,-0.010089295339768855,0.1310912307922839,0.0096971211204464,0.008758640617879433,0.05150748291601002,-0.002040263259329323,-0.015406191732918656,-0.01943813043397039,-0.03668241634514209,-0.026065763397434123,0.020004583386072756,-0.007581339638590049,-0.019036157239249403,-0.00891953271812791,-0.03157838879620324,-0.05117028065265146,-0.001161712402015534,-0.00494599914373341,0.001292943846181076,-0.000999845953167545,0.026317886057894705,-0.008050692907653671,-0.016314219749381735,-0.0029772113519601177,0.012120943248810778,-0.0389682032577093,0.008855036315203875,-0.019317931775457663,-0.021451073309203292,0.13589081707735665,0.021026634363146234,0.021257133008889807,-0.015036838686502184,0.00820713397130694,-0.022724162328286474,-0.06221450171719143,-0.02196880757125499,0.035084238918117884,0.013849952482336711,,,0.02263293430001139,-0.002167648897849479,0.01223464390561765,-0.005421501470914197,0.04331051215340694,-0.01844732081132792,0.03468852880088067,-0.014814431431786167,0.009400567089955594
Home Team Game Number,0.008456978229546438,0.9996189967199282,1.0,0.016224799409136792,0.0046694470108379245,-0.017901498463390196,0.011608108695858023,0.01540671599438693,0.034246894260201326,-0.016283550237525767,-0.030855749843665133,0.055396546116307205,0.014885698361049983,-0.009362173723292282,-0.012107940572743779,0.025685700981571448,-0.049172212719175046,-0.04281384033931273,0.03371898537356013,0.020011243027794473,-0.02239433323121889,0.024731626163079373,-0.0034937311815540217,-0.009537790652579809,0.1317863003290766,0.008375835148318033,0.007448641796029355,0.05035519168491332,-0.003000479933119154,-0.013689067980519453,-0.017653676549005532,-0.03695801734944554,-0.02707177044771199,0.02123971736405991,-0.007591838081414853,-0.018658035267884086,-0.009601845009991105,-0.03155773512443741,-0.050445529283189725,-0.002519516765189413,-0.006423011569157559,0.0009008630193982936,-0.001440836600252912,0.02683036358072205,-0.008790364653321236,-0.016350544112610506,-0.0030865347735423375,0.011604197949719779,-0.03860815440801492,0.00992716989936499,-0.01867920913634764,-0.021616119289766943,0.13597932353473546,0.021217596788601894,0.02144837717008749,-0.015087463809929981,0.007900018708320976,-0.02176706201408061,-0.06208437971686725,-0.020762919971573313,0.03460989459465816,0.013800789868661048,,,0.022404490162293914,-0.0033069295376842297,0.012277944803297209,-0.006493885657990194,0.04369945997830518,-0.019674913033412136,0.034975019540173645,-0.016064615252594956,0.009631166212095124
Visiting Team Score,0.05782953740532434,0.016007642379429105,0.016224799409136792,1.0,0.028311770540114817,0.20258128125355054,-0.05703174340664455,0.6225883739665258,0.7658672124069211,0.424135445983313,0.19977683597907747,0.5588011172750549,0.9877931190148335,0.04682774727361786,0.2509400247766224,0.14746717058154937,0.3471729682079537,0.22096679723227897,-0.04911155544312816,0.18304360076169612,-0.05707441805560409,0.0025014936612182373,0.0015516128133758976,0.19313033445224018,0.21537241268442017,0.025778417004049408,0.025068703060852512,-0.009366829198461844,-0.0551988902191187,0.3232026577643584,0.06842239616277673,0.005806792300857132,0.020153434704799123,-4.226294146767159e-05,-0.007701846585244008,0.3116718241000966,0.07272990038113947,0.05467338142359847,0.004559861817478453,0.000708812740763358,0.028271893959762436,-0.0903938637601557,-0.0012728785948663852,0.03531972769966736,0.006429060217877127,-0.09927466302776103,0.16184224119785387,-0.08558268562555905,-0.08684542368285585,0.021787205970013233,-0.032229810861508806,0.09724886464496803,0.41706780302225643,0.9672310626884328,0.9668743164770636,0.15967138925029453,0.056050214629705775,0.03830449352041873,0.054275737039467614,0.20047774476268856,0.04998832832016485,-0.012069771722585769,,,0.7484740326938296,-0.054295769320875986,0.7298212779591278,-0.051418095907190986,0.7868387683376055,-0.04053662636456111,0.8210145901472105,-0.04722872509912496,0.03648924870849191
Home Team Score,0.03322546818161776,0.006152181689399075,0.0046694470108379245,0.028311770540114817,1.0,-0.16742337176544053,0.026638435420519004,0.015899011311087303,0.010123458084950132,0.03499712904830531,0.007689799124270785,0.0452072842841384,0.025731042471643935,-0.09854173613779639,0.002828011596654853,0.04288463420651484,-0.04764252785324949,-0.08205234888574636,0.002619640473781036,-0.0703372621326316,-0.06965848777248307,0.03679020345589615,0.01862393587406449,-0.03761484096295173,0.24290331605965684,0.9678837670458229,0.9664791294686165,0.21385841407173795,0.02042541033121569,-0.27751150533928143,-0.03898308549526067,0.2324890331523181,-0.028475160028867637,-0.0026167916936018372,-0.01496510159281548,0.3837691993294774,0.748550778741915,0.4358669937272403,0.17837741634071602,0.5368050878016967,0.9869582074670107,0.10067740494610367,0.2852320507443709,0.07494643873462745,0.3603043701964225,0.1814363262435845,-0.18371241195778773,0.17836578119807583,-0.057254927056757644,0.005554328905116156,0.03624999449554686,0.11152411158345207,0.04374274742243533,0.029612073681647914,0.02984063400730022,0.01194099150251406,-0.005039251394678056,-0.018800848517279152,-0.0008252953269518296,-0.03511441282014122,0.0028279891934198634,0.02673274555301675,,,-0.017326383730831094,0.7644000681707667,-0.013290558449293022,0.7497486782929748,0.03740310327785764,0.7895853081375072,0.02098823716179541,0.8264021795966687,0.031343584083403084
Length of Game in Outs,-0.019079417112661038,-0.01932648086360416,-0.017901498463390196,0.20258128125355054,-0.16742337176544053,1.0,0.013026469861372863,0.6801011647842181,0.247167492597422,0.1401443165775794,-0.002950471582777165,0.14629109216036398,0.20294296792444627,0.2038748631356632,0.016409595848780524,0.06937540408726464,0.21156314710927618,0.2471965884805619,0.23942296928397386,0.14543271233304012,0.04967140593162261,0.007220436433001355,-0.016959020265963017,0.2511990256741764,0.4351691122760836,-0.16040522957590989,-0.16010044329725906,0.032046900637180784,-0.020154629417952864,0.9730018810963171,0.30069368623021275,0.01987690204117046,0.03623946910868276,0.1091880855131847,-0.008504451203404484,0.6522178821223615,0.014096640960817891,-0.047960915963282925,-0.06522455501185935,-0.04269927639858064,-0.16972817481769104,0.04806810693407025,-0.04093178265355668,0.07286151408260472,0.07050019657840137,0.06978574540843017,0.351572004204302,-0.021720281312618578,0.0699983116138601,0.08896461814864089,-0.005906066903437153,0.2321135253366086,0.4040578172676188,0.19069421818370985,0.190473154978592,0.10930087366541644,0.0409654117368324,0.9584431153141356,0.260319042819468,0.026029782805624478,0.07317729668807979,0.012702351887323795,,,0.10559638644163304,-0.20388023068086666,0.11311848337362548,-0.1935980521385419,0.10346151827696463,-0.21307595732278617,0.11440446938357372,-0.21976915810494316,-0.0019077307948799887
Attendance,0.10641782516138015,0.010590083281016878,0.011608108695858023,-0.05703174340664455,0.026638435420519004,0.013026469861372863,1.0,-0.005276262591076725,-0.06100246603875826,-0.02540666418996926,-0.02482214549044209,-0.052970101878634976,-0.052544566841955194,-0.009261539297899544,-0.025074851365762766,-0.0166321714587053,-0.06806799759542427,-0.04126885692438371,0.08826570107736494,0.009729484995997753,-0.06774273122627363,-0.09574904348300367,-0.018223870496582265,-0.025719431680010507,0.012841120066494151,0.030880225773114337,0.03139612149036634,0.04669628770182862,-0.07801907544398738,0.004690202442250571,-0.06810981445835629,-0.039700991034901635,0.028066479105182264,-0.03194388520867977,0.003844209647667428,0.045397798716818795,0.035257545896211,0.008198693414154003,0.030976281087033607,0.055653363174313,0.02257148973611463,-0.018728504833213432,-0.02840697523458531,0.0015482469306036055,-0.023787413310476443,-0.010550340505986845,0.04104814513264538,-0.020735520772832212,-0.03475653553876768,-0.011522755855162053,-0.0597363299541206,0.007230076874344763,-0.043711746722131475,-0.044610049484055544,-0.04454675962321815,-0.023231377200647826,0.006994363187294469,0.022354704095095237,-0.04166899850540945,-0.014709835018241612,-0.02120493892680655,-0.0867968268055966,,,-0.08621282612460084,0.006328715435306925,-0.09826916578989799,0.01019915459324916,-0.07935298252313211,0.049872029216827256,-0.09207303366168322,0.03839460746566139,-0.09181213275002416
Visting Team At-Bats,-0.012583486807445213,0.014215549983558076,0.01540671599438693,0.6225883739665258,0.015899011311087303,0.6801011647842181,-0.005276262591076725,1.0,0.8010663141710663,0.4163358389638307,0.09526190661897485,0.332943845510497,0.6135746012380515,0.04470080443460635,0.05016432158852119,0.08606869135557763,0.1587445454863592,0.24041389056045157,0.13630116228354347,0.18594466207401342,-0.0573019800895272,-0.05400713573414942,-0.005438041909983362,0.5381399970495683,0.3775920100279745,0.00879901219554638,0.008181284663327978,0.04933594901105745,-0.03412712588942436,0.6928488009294222,0.21876071433568692,0.04156142531655727,0.02401825776687098,0.07918927684425689,-0.026909526892120363,0.5803805831244584,0.13384463853763878,0.05591905088798896,-0.013879225490878208,0.010901340387408478,0.01009492912976502,0.006988228236543685,-0.007075590722070854,0.06326832261160299,0.07834967035133496,0.03055001808446233,0.24694566278180066,-0.02643996747445234,-0.03711650806908412,0.07547095239304365,-0.020541809172041393,0.213183835259786,0.5167605184061819,0.5940064942253882,0.5940664774793221,0.16614885874654134,0.040018874313093575,0.6133849669967261,0.1401828621480548,0.17336937573132738,0.07615580071159783,-0.05685068047764709,,,0.5941610157719186,-0.05473032611675447,0.5551564956854038,-0.04856048003668327,0.5554336512769239,-0.06309337774728753,0.594586048486786,-0.061819160214649914,0.02629005188133092
Visting Team Hits,-0.01812969619318185,0.033927868453472454,0.034246894260201326,0.7658672124069211,0.010123458084950132,0.247167492597422,-0.06100246603875826,0.8010663141710663,1.0,0.4982030005109166,0.15742707535570724,0.35825177540480624,0.7565425058751694,0.08775244337645667,0.19903892990669642,0.08629703895712731,0.17256321059487095,0.206282397099536,-0.09259723287074403,0.1864575640363471,0.01751502235025444,0.12335706708044611,0.01927071062603925,0.5317821138942705,0.22626994567300907,0.0017879739401205144,0.000343784332580587,0.022700702586953968,-0.029670583631682623,0.3288478875388191,0.0768335194887157,0.01621926872809073,0.017675320723052255,0.0078785815409905,-0.02118838791313755,0.3170871184278521,0.08830170056380116,0.05496351255498021,0.009850869658639402,-0.027542845675042553,0.007372763795615511,-0.04296037016969311,0.0034942704894029434,0.04648381619591425,0.002987482863483543,-0.0610222155130863,0.1426351130526676,-0.054744709056965414,-0.08467215690152552,0.023540176254762835,-0.04134276303288897,0.13290520877496043,0.4316667844202531,0.7499970666520873,0.7501230557557581,0.1507340626952403,0.03983408841713816,0.127684073864295,0.1357490427490308,0.13224258554947074,0.05543856318944431,0.1347838629534664,,,0.9186574725311891,-0.03280472306371656,0.8518159375958717,-0.031151914091301046,0.7847006143072973,-0.04556516761435608,0.865393384474488,-0.043189574451704335,0.01620489234270147
Visting Team Doubles,0.0001879213829735255,-0.016992244069421313,-0.016283550237525767,0.424135445983313,0.03499712904830531,0.1401443165775794,-0.02540666418996926,0.4163358389638307,0.4982030005109166,1.0,0.03893446942217095,0.06568231169807491,0.4185453586678818,0.018809179770423685,0.15128764291288221,0.059415722628718394,0.17675225702251357,0.21609690376456356,-0.05047674839059313,0.06084679286792447,-0.016917938949096867,-0.012480582091116426,0.006357187830405896,0.3060344716625342,0.12581880043423005,0.01980593113963707,0.01949630387849005,0.017258248930895375,-0.05868105927394641,0.18019232885562628,0.010246631796925056,0.014486974292100298,0.016461006162415873,-0.03961000792834583,-0.0042925001983137034,0.18851464620898115,0.05692944365007872,0.03227134571705381,0.022463084362680342,0.007984889460056294,0.03201168980837244,-0.0291801357988704,-0.006914496706377575,0.030790589222068603,-0.007974446712272742,-0.03751253091684805,0.07272996984447135,-0.030186324914870145,-0.033630675227957374,-0.03230077871221216,-0.022225513657863436,0.05258716875948636,0.26887218263234447,0.43132447005196106,0.43103846313500827,0.10313737148762711,0.0007681061944276021,0.08014094905108354,0.06555601955670794,0.04784534451258756,0.009197831308093572,-0.004536565272004234,,,0.48537163053329363,-0.01382141043696117,0.4600462236939219,-0.015020237458841798,0.5051104360204414,-0.00553394966061348,0.5238683050061758,-0.00941964228349981,0.010800514563416129
