team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
1,Apr 5,@,ATL,"L,5-16",8.0,12,16,14,2,8,8,2,1,15.75,46,173,102,4,2,1,0,35,1,1,0,2,0,1,0,6,Derryl Cousins,"C.Zambrano (99-9-L), S.Marshall (99), J.Russell (99), J.Samardzija (99), J.Berg (99), J.Grabow (99)"
2,Apr 7,@,ATL,"L,2-3",8.0,5,3,3,0,2,12,1,1,9.56,32,127,79,0,0,1,0,29,2,0,1,0,0,0,0,4,Jim Joyce,"R.Dempster (99-69), S.Marshall (1-H), J.Grabow (1-BL), E.Caridad (99)"
3,Apr 8,@,ATL,"W,2-0",9.0,8,0,0,0,4,4,0,0,6.12,37,148,88,3,0,0,0,33,1,0,0,0,0,1,3,5,Marvin Hudson,"R.Wells (99-59-W), S.Marshall (0-H), E.Caridad (0-H), J.Grabow (0), C.Marmol (99-Sv)"
4,Apr 9,@,CIN,"L,4-5",8.0,5,5,5,0,2,4,1,0,6.00,31,108,68,0,0,0,0,28,1,1,0,0,1,0,0,3,Doug Eddings,"C.Silva (99-65), J.Berg (3-H), E.Caridad (0-BL)"
5,Apr 10,@,CIN,"W,4-3",9.0,7,3,3,0,2,13,1,0,5.36,35,137,84,0,0,0,1,32,1,0,0,1,0,0,1,3,Dana DeMuth,"C.Zambrano (4-60-W), J.Grabow (1-H), C.Marmol (1-Sv)"
6,Apr 11,@,CIN,"L,1-3",8.0,7,3,2,1,4,10,0,0,4.86,35,140,86,8,3,2,1,30,0,0,0,0,1,1,0,5,Kerwin Danley,"T.Gorzelanny (99-68), S.Marshall (2-BSv), J.Grabow (0-L), E.Caridad (1), J.Russell (5)"
7,Apr 12,1,MIL,"W,9-5",9.0,8,5,5,0,5,8,1,1,4.88,38,152,80,1,1,0,1,32,2,1,0,0,0,0,1,4,Tony Randazzo,"R.Dempster (4-40-W), J.Russell (0), J.Samardzija (6), C.Marmol (1)"
8,Apr 14,1,MIL,"W,7-6",9.0,13,6,6,0,2,10,0,0,5.03,40,137,89,2,0,0,0,37,3,2,0,1,0,0,1,5,Ted Barrett,"R.Wells (5-43), J.Berg (4), J.Russell (1), J.Gray (99-W), C.Marmol (1-Sv)"
9,Apr 15,1,MIL,"L,6-8",9.0,14,8,6,2,5,8,2,2,5.14,50,204,122,0,0,2,0,41,2,0,0,1,1,2,0,4,Angel Campos,"C.Zambrano (4-41), S.Marshall (3), J.Samardzija (2-L), J.Grabow (3)"
10,Apr 16,1,HOU,"W,7-2",9.0,6,2,0,2,0,8,0,1,4.60,34,115,83,0,0,0,0,32,0,1,0,1,0,1,1,3,Brian O'Nora,"C.Silva (6-68-W), J.Grabow (0), C.Marmol (1)"
11,Apr 17,1,HOU,"L,3-4",9.0,6,4,4,0,1,3,1,0,4.55,35,128,82,0,0,0,0,33,0,0,0,1,0,1,0,5,Phil Cuzzi,"T.Gorzelanny (5-44-L), J.Gray (2), J.Berg (2), J.Russell (2), S.Marshall (1)"
12,Apr 18,1,HOU,"L,2-3",10.0,8,3,3,0,3,10,0,0,4.37,40,158,98,2,1,1,1,35,2,0,1,1,1,0,0,3,Chris Guccione,"R.Dempster (5-73), C.Marmol (1-BSv), S.Marshall (0-L)"
13,Apr 19,@,NYM,"L,1-6",8.0,9,6,4,2,3,6,1,1,4.38,37,136,88,2,2,1,0,33,1,0,0,0,0,1,1,5,Jeff Nelson,"R.Wells (4-59), J.Russell (1-L), J.Samardzija (3), S.Marshall (0), J.Berg (1)"
14,Apr 20,@,NYM,"L,0-4",8.0,9,4,4,0,5,9,1,1,4.39,38,155,91,0,0,1,0,31,0,1,0,1,0,0,1,3,Todd Tichenor,"C.Zambrano (4-58-L), J.Gray (2), J.Grabow (3)"
15,Apr 21,@,NYM,"W,9-3",9.0,6,3,3,0,3,7,1,1,4.29,37,133,87,2,0,1,0,33,0,1,0,0,0,0,0,5,Jeff Kellogg,"C.Silva (4-66-W), S.Marshall (1), J.Berg (1-H), J.Grabow (0-H), C.Marmol (2)"
16,Apr 22,@,NYM,"L,2-5",8.0,7,5,3,2,3,9,0,0,4.24,34,140,89,2,2,0,0,30,2,0,0,1,0,2,1,4,Mark Carlson,"T.Gorzelanny (4-54-L), J.Russell (2), J.Gray (1), J.Berg (0)"
17,Apr 23,@,MIL,"W,8-1",9.0,8,1,1,0,2,7,0,2,4.04,37,133,83,2,0,1,0,33,3,0,0,0,0,0,1,2,Laz Diaz,"R.Dempster (4-64-W), C.Marmol (1)"
18,Apr 24,@,MIL,"W,5-1",9.0,7,1,1,0,4,8,0,0,3.87,38,147,94,3,0,0,0,33,1,0,0,1,0,0,0,5,John Hirschbeck,"T.Lilly (99-68-W), J.Grabow (2-H), C.Zambrano (3-H), S.Marshall (2), C.Marmol (0)"
19,Apr 25,@,MIL,"W,12-2",9.0,8,2,2,0,1,7,0,1,3.76,37,120,81,0,0,0,0,35,3,0,0,0,0,1,1,3,James Hoye,"R.Wells (5-61-W), J.Russell (2), J.Berg (2)"
